review,rating,date
"produk original, bagus bangett terimakasih sudah amanah",bintang 5,6 bulan lalu
"Pernah beli tapi dari ecommerce lain, dengan ukuran dan model yang sama tp sol karet bawahnya warna ijo dan di tiktok ada 2 toko yg mengatas namakan ventela agak ragu sih...",bintang 5,4 bulan lalu
Wiihh mantap ok punya ini baru online sesuai harapan bukan cuma di poto aslinya keren,bintang 5,5 bulan lalu
"build quality sepatu baik, keren untuk anak sekolah. pengiriman cepat. thx ventela",bintang 5,1 bulan lalu
"Pesen kmren sore, pagi-pagi udh sampe aja. Pesanan sesuai, sepatunya awet udh beli buat anak bungsu sekarang beli buat kakaknya karena sebagus itu. Makin sukses vantela �...",bintang 5,2 bulan lalu
"Bagus, cuma kebesaran ukurann 39 sama anak saya, padahal kaki anak saya memang ukuran 39.. tapi Ndak apa2 bisa dipakai pas kenaikan kelas saja nanti",bintang 4,1 bulan lalu
"bagus bahan nya, jahitan rapih, semoga bawah nya awet, spt CVS",bintang 5,2 bulan lalu
"barang sesuai, pengiriman cepat, penjual responsif.. mantap..",bintang 5,6 hari lalu
"Bentuk dan ukuran: Pass
Daya tahan pakai: Awet",bintang 5,5 bulan lalu
"Barang bgus sesuai dengan gambar, pengiriman cepat dan barang aman ga rusak.",bintang 5,4 bulan lalu
"Bagus banget sepatu nya saya suka,puas sekali pengirimanya juga cepat,terima kasih semoga sukses terus yaa🤩😊",bintang 5,5 bulan lalu
Kualitasnya tidak kalah dengan produk luar negeri,bintang 5,2 bulan lalu
"sepatu sekolah esempe ampe esemma, pas kayak digambar",bintang 5,1 bulan lalu
"baguss bangettt, untung aia si ngepas sepatunya, awal nya udah mikir kalo bakal kegedean soal nya beli nya ukuran 42, biasanya juga beli yg ukuran 42 jadi gw kira kaga ba...",bintang 5,4 bulan lalu
"Terlalu keren sihh, sesuai picture, anakku suka, bahan gx kaleng², amanah terus seller, thanks ya",bintang 5,6 bulan lalu
"Ventela saya udah 3 taunan kurang, dan baru ganti sekarang☺",bintang 5,1 minggu lalu
"bagus banget sepatu nya, sesuai pesanan pengiriman nya juga cepet bgt..",bintang 5,1 bulan lalu
pas dtg bagus bgt dan dlam keadaan baguss,bintang 4,5 bulan lalu
Buah sawo buah pepaya kita upload dulu ya…,bintang 5,1 bulan lalu
Sepatutnya bagus pengiriman nya cepat josssss,bintang 5,1 bulan lalu
𝙼𝚊𝚗𝚝𝚊𝚙 𝚜𝚊𝚗𝚐𝚊𝚝 𝚋𝚎𝚛𝚔𝚞𝚊𝚕𝚒𝚝𝚊𝚜,bintang 5,3 hari lalu
Pesanan sesuai barang bagus ori,bintang 5,7 bulan lalu
"alhamdulillah sampe, anak pun senang.
sepatu sudah teruji awet nyaman di pake.
thx ventela",bintang 5,5 hari lalu
"Pas banget anak saya sangat suka, enak dipakainya",bintang 5,4 bulan lalu
Size sesuai empuk nyaman di pake,bintang 5,6 bulan lalu
"Modelnya bagus,real pick 👍👍👍👍",bintang 5,5 bulan lalu
"paket sudah sampai, alhamdulilah aman pengiriman nya cepat recommended bgt",bintang 5,6 bulan lalu
Pesanan sdh sampai. Pengiriman cepat. Barang sesuai pesanan. Semoga awet.,bintang 5,3 minggu lalu
"Bagus seperti biasa, senang berlangganan di toko ini. Mantap deh pokoknya",bintang 5,1 bulan lalu
barang sampe sesuai pesanan... semoga sepatunya kuat...thank u...,bintang 5,1 bulan lalu
Bgus.. Sesuai...pkonya ok deh..😍,bintang 5,1 bulan lalu
"Paket sdah datang Barang ok ,kualitas ok",bintang 5,5 bulan lalu
Alhamdulillah paket pesanan sudah sampai dan sesuai dengan keinginan anak,bintang 5,5 hari lalu
Salah ukur jadi kebesaran,bintang 4,1 bulan lalu
barangnya bagus banget semoga awet ga salah emng beli di sini 👍👍👍👍,bintang 5,6 bulan lalu
"Bentuk dan ukuran: Bagus ukuran ssuai
Daya tahan pakai: Kualitas bagus Made in lokal",bintang 5,6 bulan lalu
"Kualitas ok, Pengiriman cepat
Bentuk dan ukuran: Pas
Aroma: Standart sepatu baru
Daya tahan pakai: Belum dipakai
Warna: Sesuai.pesanan",bintang 5,4 bulan lalu
"Sepatu sekolah bagus dan nyaman dipakai
Ini udah pembelian kedua
Bentuk dan ukuran: Sesuai dan akurat
Daya tahan pakai: Tahan lama",bintang 5,4 bulan lalu
"Sangat bagus dan sesuai pesanan,dari lem nya kelihatan sangat kuat,,ga nyesel lah pesan disini😊",bintang 5,5 bulan lalu
bagusss ori,bintang 5,4 minggu lalu
"Sepatu ya bagus bgt 100% asli, cocok bgt buat dipake sekolah warna ya juga bagus.. Jangan ragu beli di sini yaa.",bintang 5,4 bulan lalu
"Bentuk dan ukuran: Pas
Warna: Sesuai
Daya tahan pakai: Bagus",bintang 5,3 bulan lalu
"Pembelian kedua kalinya untuk anak sekolah
Bagus dan murce 
Kualitas cukup baik untuk produk Lokal Indonesia",bintang 5,3 bulan lalu
"Ukuran sesuai,kualitas cukup bagus,harga sesuai👍🏽👍🏽maaf gak ada foto,sepatunya langsung di pake",bintang 5,6 bulan lalu
"Pengirimannya cepat,semoga nyaman di gunakan dan tahan lama",bintang 5,4 bulan lalu
"di lidah sepatunya tidak ada logo ventela, dan di dalem lidah sepatunya tidak ada logo ukurannya",bintang 5,5 bulan lalu
Sesuai pesanan nyaman di pake poke kualitas keren dah,bintang 5,1 bulan lalu
Pesen kemarin udah datang cepat ori lagi makasih Abang kurir narkoba dan tiktok,bintang 5,2 hari lalu
Sepatu y bagus pas no y anak sy suka makasih ka,bintang 5,5 bulan lalu
Klo ada bintang 100 udah ku kasi rating 100,bintang 5,1 bulan lalu
Produk vantela ga pernah gagal produk vantela,bintang 5,5 bulan lalu
"Bentuk dan ukuran: Pas
Warna: Sesuai
Bagus bgtt",bintang 5,2 hari lalu
Saya puas banget sepatu buat anak saya sesuai yg dia mau bagus banget,bintang 5,6 bulan lalu
🥰🥰🥰🥰 aku suka barangnya sangat puas puas bangeut,bintang 5,5 bulan lalu
"Kekecilan, d uraian katanya 22.5cm ngambil nya no 35 datengnya malah kekecilan",bintang 3,5 bulan lalu
Barang original dan pengiriman cepat,bintang 5,4 bulan lalu
"baguss banget, worth it jugaa, sukak bangett pokoknya 🥰🥰🥰",bintang 5,5 bulan lalu
G bisa nuker size aneh bgt cuma karena alasan size chart udh ada. Ditoko lain bisa,bintang 1,6 bulan lalu
sangat bagus anak sya suka banget.kurir nya dah langanan.,bintang 4,5 bulan lalu
Worth it!!! 👍🏼👍🏼👍🏼,bintang 5,5 bulan lalu
