review,rating,date
"Barang sesuai deskripsi, kualitas bagus, dan pengiriman cepat. Penjual responsif dan packing rapi sehingga barang sampai dengan aman. Harga juga sesuai dengan kualitasnya...",bintang 5,5 bulan lalu
"sepatu merk lama sekali ini, pemain sepatu lama ini, dulu sempat liat bapak beli di mall sepatu ini, skrng sudah gaada di mall, cuman ada dijual online aja. produk bagus...",bintang 5,2 bulan lalu
"Thanks. Barang berkualitas. Kalo dipake jalan tidak terlalu bunyi 'cetak-cetok', krn ada lapisan karetnya. jd tdk terlalu kaku. semoga awet. thankssssss",bintang 5,4 bulan lalu
woww yg td saya sudah dilantunkan ga bisa lah ya 🙂‍↕️🙂‍↕️🙂‍↕️🙂‍↕️🙂‍↕️🙂‍↕️🙂‍↕️🙂‍↕️🙂‍↕️ ga ada yang terjadi di dunia sudah merekomendasikan abah,bintang 5,1 bulan lalu
"bahan sepatunya bagus banget, ukurannya juga pas ga terlalu besar atau terlalu sempit. bantalan busa yang nyaman ketika digunakan",bintang 5,
"overall dengan harga segini cukup puas. sepatu datang dengan kondisi agak berdebu. ukuran 44 bagi kaki panjang 28.5 cm cenderung ngepas, walaupun masih mudah keluar masuk...",bintang 5,
"modelnya cantik dan rapih . 
hanya kurang puas kualitas .. cepat rusak 
Sol sepatu jatuh dalam waktu satu bulan setelah pembelian.",bintang 4,"modelnya cantik dan rapih . 
hanya kurang puas kualitas .. cepat rusak 
Sol sepatu jatuh dalam waktu satu bulan setelah pembelian."
Sangat puas dan tidak mengecewakan insole sesuai dengan ukuran kaki tampilan bagus dan nyaman digunakan,bintang 5,6 bulan lalu
"Suami urgent butuh pantofel h-1, seller responsif payment sblm jam 14.00 langsung dikirim hari itu jg via instant. Buildnya bagus utk harga segini, looksnya juga oke. Ada...",bintang 5,
Barang tiba sesuai pesanan dan terbungkus rapi. Model keren dan jahitan pun halus,bintang 5,9 bulan lalu
"cepet sampainya, penjual responsif, sepatunya nyaman d pakai.",bintang 5,1 bulan lalu
"Barang sesuai pesanan, penjual fast respon dan ramah, pengiriman aman dan tepat waktu.",bintang 5,8 bulan lalu
"Nice! Pengiriman sesuai target. Packigan sesuailah dgn gaya official store! kerenn! Saran utk kalian yg bingung sizingnya gmna, sesuaikan sja dgn fit kalian yg biasa, kar...",bintang 5,
"barang asli , harga murah banget dibanding di department store .seller cepat respon & kirimnya.",bintang 5,
"modelnya keren, pengemasan bagus, pengiriman cepat, kualitas sesuai, recommended",bintang 5,
"Sepatunya pas, nyaman dipake.. Semoga awet..",bintang 5,
"mantap sekali, sesuai deskripsi, pas dengan kaos kaki nyaman di pakai, semoga awet 😎",bintang 5,4 bulan lalu
"Walo pelayanan agak lama, tp barang oke punya, dan qc nya ok krna sepatu yg sy trima dlm kondisi perfect👍, moga bs awet dpake 3thn 😁",bintang 5,
Kualitas bagus. Barang sesuai. Pengiriman cepat. Packing rapi.,bintang 4,2 bulan lalu
terima kasih barang sudah sampai ukuran pas seller juga responnya baik,bintang 5,
rapi dan model bagus bagus semoga awet makasih kiriman cepat banget sukses,bintang 5,4 bulan lalu
"model keren sekali, sangat nyaman di kaki, cocok untuk pergi ke acara acara formal. material sepatu juga bagus. semoga awet.
good job...",bintang 5,
"Keren, bahannya bagusss. ujungnya lancip, dan pas di kaki saya

cocok untuk acara Nikahan teman, wisuda ayang, dan Prewed sendiri🥰",bintang 5,6 bulan lalu
modelnya pas. ukurannya pas di kaki. kualitas mudah-mudahan awet sampe 5 tahun ke atas.,bintang 5,7 bulan lalu
packing bagus barangnya pas sesuai ukuran kaki udah lama juga gw pakai yongki daridulu,bintang 5,
"ukuran pas,....cakep",bintang 5,1 bulan lalu
"bagus sesuai dengan harga barang ok , langsung di pakai",bintang 5,2 bulan lalu
"model keren, nyaman dipakai dikaki. tks yongki komaladi",bintang 5,5 bulan lalu
"sip dah, nyaman di pake sesuai pesanan, black dope",bintang 5,
"cakep sepatu nya dan pas dikaki
sesuai dgn yg di gambar",bintang 5,7 bulan lalu
"sedikit kebesaran, bahan halus, lem rapi, overall okee",bintang 5,
"bagus sepatunya ,bahannya nyaman dipakek ngga bikin kaki sakit",bintang 5,
"Sempat salah pilih ukuran, chat seller apakah bisa langsung di tukar, seller sangat merespon dengan cepat, bisa di tukar dengan aman dan nyaman, sangat tanggap dengan kem...",bintang 5,
"Sempat salah pilih ukuran, chat seller apakah bisa langsung di tukar, seller sangat merespon dengan cepat, bisa di tukar dengan aman dan nyaman, sangat tanggap dengan kem...",bintang 5,
"suka sama barangnya, pengirimannya jg mantap.",bintang 5,
"Harga terjangkau, kualitas bagus, nyaman digunakan",bintang 5,
"sepatunya bagus, enak dipake, beratnya lumayan enteng dan nyaman, mudah-mudahan awet, barang cepat sampai nya, recommended seller",bintang 5,
"Sepatu yang nyaman dipakai, udah beberapa kali beli disini, ukurannya sesuai, seller responsif, harganya murah",bintang 5,
"Sudah sampai, ukurannya pas.. Untuk harga segini kualitasnya saya senang.. Beli pantopel dengan sepatu olahraga memang beda, harus dilebihkan satu dari biasanya, kalah ng...",bintang 5,
"pelayanan sangat bagus 👍
awal pesan ukuran 42 setelah datang barangnya check ternyata busanya ada robek bagian kiri dan kanan mata kaki
setelah itu mengajukan complain a...",bintang 5,
"kualitas baik, cuman ukuran nya aja kurang pas , pesan 42 tapi agak kekecilan.",bintang 5,
model bagus bahan bagus harga bagus trus nikmat mana lagi yg kau dustakan,bintang 4,
pengemasan gak pakai bubble warp gak safety. untungnya gak rusak kardus dan sepatunya,bintang 5,
"simple dan keren,,perfect!!!
ga bikin kecewa",bintang 5,7 bulan lalu
bagus. cocok dipakenya. hamdallah bs dipake pas nikahan sendiri. makasi,bintang 5,
"langsung pakai, untuk ukuran cukup pas, akan tetapi karna kaki saya bentuknya lebar ke samping, agak sdkit press di samping, tp harusnya sih lama kelamaan akan melar ......",bintang 5,1 bulan lalu
"warna sesuai
ukuran sesuai
bahan sesuai deskripsi",bintang 5,6 bulan lalu
"model keren, agak panjang dan pas di ukuran kaki",bintang 5,7 bulan lalu
"Mantab..barang sesuai..
Ukurannya juga pas .
Pengirimannya cepet banget..
Fast respon pula..
Bakal beli lagi fix..",bintang 5,
"Modelnya keren, tidak ada cacat fisik dan mulus. Thanks seller",bintang 5,
"Selalu puas belanja disini, produk bagus, empuk, nyaman dengan harga murah dan pengiriman yang cepat",bintang 5,
"harga murah, barang bagus, ukuran sesuai, mantap, pengiriman jg cepat",bintang 5,
Terimakasih atas pelayanannya yang amat sangat baik dari Tim Yongki Komaladi yang telah merespon keluhan saya dengan cepat dan tanggap. Sepatu sudah sampai dengan selamat...,bintang 5,
"barangnya bagus, walau kepanjangan sedikit",bintang 5,7 bulan lalu
Barang dipaketkan dgn rapih dan produk sesuai deskripsi yg dijual. Recommended Seller.,bintang 5,4 bulan lalu
"nyaman dipakai untuk kerja, ga harus nyikat nyikat",bintang 5,2 bulan lalu
kalau gak karna murah dan buru2 pasti gak beli disini. belum lama dibeli aja udah retak2 kulit sintetisnya. ampun dah,bintang 1,2 bulan lalu
"modelnya sesuai gambar, bagus
pengiriman juga cepat",bintang 5,
"Pengiriman cepat, kualitas bagus.",bintang 5,7 bulan lalu
"bagus sesuai pesanan, ukuran pas. tiba tepat waktu.",bintang 5,2 minggu lalu
"Bagus, packing rapih, proses dan pengiriman cepat. maap poto tak sesuai. buat kado.",bintang 5,11 bulan lalu
"Modelnya keren,Ukurannya pas & Packingnya rapih
 & Aman",bintang 5,6 bulan lalu
"barang sudah diterima, pengiriman cepat, kualitas sesuai harga",bintang 5,
"bagus... sellernya ramah. suami suka
 bgt... next will shop back here. thanks seller",bintang 5,
"utk harga nya, sangat worth it. butuh urgent utk wisuda, adminnya cepat memproses. terima kasih
.",bintang 5,1 minggu lalu
sangat pas. enak dipakai. terimakasih no 44,bintang 5,5 bulan lalu
"Ukuran 44 masih terlalu kecil ternyata buat ukuran kaki saya

Kaki jadi susah sekali buat masuk",bintang 2,5 bulan lalu
"Pengiriman cepat, sesuai deskirpsi. mantap pokoknya",bintang 5,
bagus. kalau dijahit pasti bisa lebih bagus lagi sol nya,bintang 5,
Barang sampai tepat waktu. Semoga awet dan tahan lama,bintang 5,8 bulan lalu
"pagi"" sudah bisa dipake sepatunya 👍",bintang 5,
"cakep, beliin utk anak wisuda SD... so far no complaint... let see, semoga awet utk sekolah SMP",bintang 5,
Barang sesuia mantap yongki  komaladi 1000persen ga kesecewa makasih seller makasih tokped,bintang 5,3 minggu lalu
mantap barang sesuai dengan pesanan. pokoknya puas...,bintang 5,
"Mantab...Pesanan sesuai...
Pengiriman cepat..Produk aman .",bintang 5,7 bulan lalu
respon cepat dan murah kualitas ok,bintang 5,4 bulan lalu
"pernah bertemu langsung om Yongki, Produk bagus",bintang 5,
Bagus. Sesuai Harga dan Gambar.,bintang 5,
barang bagus rapi semoga awet thank you seller,bintang 5,
"Prosesnya cepatt
Bagus kualitasnya",bintang 5,
barang bagus dan pengiriman cepat,bintang 5,
"Pas, Mantab, Joss Gandos.. Ukuran Harus di lebihkan 1 Cm

Good... 👍",bintang 5,6 bulan lalu
"barang sesuai pesanan, Terima kasih gan 😁🙏",bintang 5,5 bulan lalu
"modelnya oke, bahannya juga cakep, nyaman dipake di kaki juga. mantap",bintang 5,8 bulan lalu
"mantul👍👍👍👍👍,enak di pakai,smoga awet",bintang 5,3 bulan lalu
Produknya bagus dan nyaman dipakai. Seller fast response dan pengiriman juga cepat. Recommended,bintang 5,
Anti pecah bos,bintang 5,
"barang sudah sampai sebelum estimasi , namun kondisi barang kurang memuaskan
kondisi sol dalam sepatu kurang rapi dan lem bagian dalam sepatu masih beleberan",bintang 4,
"Sepatunya nyaman dipake, alasnya tebal, harga nya sesuai kualitas, gampang dibersihkan juga.",bintang 5,
"response seller sangat baik.
kualitas sepatu memang sesuai namanya, tidak diragukan.",bintang 5,
