review,rating,date
Pokoke top markotop pas buat kaki q yg susah cari sepatu mantul,bintang 5,
"Sesuai dgn gambar, barang tidak ada yg rusak, ownernya fast respon, best bnget tdk mngecewakn. Worth it👍👍",bintang 5,
"Paketnya udah datang, bagus sepatunya dan cocok di pakai istri aku.modelnya keren. Kurirnya ramah dan juga udah langganan. Makasih ya seller🙏🙏",bintang 5,
"Baguss, sesuai dengan pesanan dan aman juga, walaupun pengirimannya agak lama",bintang 5,
Sepatunya sesuai dan pas. Muat dikaji saya yg gede. Semoga awet. Bakal repeat order 🙏🏼,bintang 5,
"Dan sepatunya sebagus itu donk.. benar2 lebih dr expetasi sy, bahkan sy yg kuatir mengenai ukurannya, ternyata benar2 pas di kaki. Thx seller.
Bakalan jadi langganan nih☺...",bintang 5,
"Sesuai warna,bagus,enak dipakai
Memuaskan 
Sukses untuk reseller",bintang 5,10 bulan lalu
Barang bagus c sesuai harga segitu sayang boxnya beda merk mo di buat kado jd mesti di parcel lagi gk bisa kasih + boxnya,bintang 3,
Baguuusss ukuranny jg bneran jumbo sukaaaa pokoknya 😍,bintang 5,
"Kereenn lah barangnya
Modis banget dipakai segala situasi",bintang 5,
"Barang bagus ..nyaman dipakai
Pas",bintang 5,6 bulan lalu
42 gede banget...harusnya uk 41 deh KLO mau LG...,bintang 5,
"Thanks admin, kurir ramah. Pembelian kedua. Puas banget",bintang 5,
Barang sudah sampai dengan selamat sesuai dengan pesanan terimakasih,bintang 5,
Terima kasih sepatunya sudah datang sesuai pesanan dan bagus,bintang 5,5 bulan lalu
"Bagus, keren...sesuai ekspektasi 👍",bintang 5,
Agak kecilan dikit,bintang 4,4 bulan lalu
Sepatunya nyaman dipakai,bintang 5,
Sandalnya bagus ukurannya pas,bintang 5,1 bulan lalu
"Thanks admin, puas banget.",bintang 5,
𝘽𝙚𝙡𝙖𝙣𝙟𝙖 𝙖𝙟𝙖 𝙙𝙨𝙞𝙣𝙞 𝙜𝙚𝙚𝙨𝙨..𝙤𝙠,bintang 5,
Bagus,bintang 5,
Good,bintang 5,10 bulan lalu
,bintang 5,
,bintang 4,
,bintang 4,
,bintang 5,
,bintang 5,
,bintang 5,
,bintang 4,
,bintang 5,
,bintang 4,
,bintang 5,
,bintang 5,
,bintang 5,
Pesanan kedua kalinya krn bahannya tebal dan nyaman dikaki. Warna sesuai pesanan dan kwalitasnya bagus. Smg sukses dan amanah aamiin..,bintang 5,7 bulan lalu
