review,rating,date
"paket lengkap dan aman, jangan ragu untuk belanja di toko ini👍👍",bintang 5,3 minggu lalu
"jangan ragu beli disini ges, paket rapi + aman, kotak masih disegel rapi, gak ada kendala. overall sangat puas",bintang 5,2 bulan lalu
untuk toko ok sayang di pengiriman lama saya pilih sicepat aku kira cepat ternyata lelet banget kalou beli online gak mau pake pengiriman sicepat.,bintang 5,2 bulan lalu
"mantap, sesuai deskripsi, pengiriman cepat",bintang 5,2 bulan lalu
"alhamdulillah, produk rog pertama yg saya beli, berfungsi dengan baik, penampilan keren, anime fX menambah kesan canggih",bintang 5,3 minggu lalu
"barang sudah sampai, pengiriman cepat dan kondisinya baik,
respon sellernya baik, recommended 👍",bintang 5,2 hari lalu
"Baru kali ini ngasi Bintang 1 ke pnjual, sekelar Official store aja bisa Nipu konsumen, dr awal sy tanya dan berkali2 sy tny dpt TWS ato ngga, dan dijawab berkali ""Da...",bintang 1,2 bulan lalu
"Sesuai dengan pesanan, barang mulus dan oke",bintang 5,3 minggu lalu
hp nya mantap n dapat diskon yg lumayan..pengiriman gercep..tinggal nunggu chillcase nya min hehheeh,bintang 5,3 minggu lalu
"barang ORI , seller ramah , pengiriman cepat , jangan ragu pokoknya beli di sini",bintang 5,2 bulan lalu
barang ori Masih segel. packing barang aman juga.,bintang 5,2 bulan lalu
"pengiriman cepat ,admin fast response , barangnya juga mendarat dengan Selamat 👍👍👍👍",bintang 5,1 minggu lalu
"Barang oke, pengiriman instant cepat, pesan siang sore nya udah sampai.
tapi saya kasih bintang 4 dulu ya kak soalnya gak ada nota pembelian dari toko nya. takut suatu sa...",bintang 4,2 bulan lalu
Awalnya sempet ragu utk dapetin hp + coolernya eh ternyata dapet semua sesuai varian yg dipilih. Paket aman lengkap semuanya.. Thanks,bintang 5,2 bulan lalu
Sampai dengan cepat,bintang 5,4 minggu lalu
Sip berfungsi dengan sempurna,bintang 5,5 hari lalu
barang sampai aman n lancar,bintang 5,1 bulan lalu
"mantap,, barang sesuai pesanan",bintang 5,2 minggu lalu
kualitas mantap,bintang 5,1 minggu lalu
barang sampe dengan selamat dan cepat,bintang 5,2 bulan lalu
Mantap,bintang 5,6 hari lalu
,bintang 5,2 bulan lalu
thanks,bintang 5,6 hari lalu
✌👍,bintang 5,2 bulan lalu
barang sesuaii dan bagusss,bintang 5,2 bulan lalu
good phone,bintang 5,2 bulan lalu
bagus,bintang 5,1 bulan lalu
nice,bintang 5,1 bulan lalu
