review,rating,date
"barang masih segel,bnib ori,bungkus tebal,unit mulus,sudah dites aman n berfungsi,semoga awet buat cari duit",bintang 5,2 bulan lalu
"Puas banget, barang ori, packingnya juga sangat bagus aman. Pengirimannya cepat, sellernya juga ramah dan bales chat juga cepat untuk ditanya2",bintang 5,
"Produk original, pengiriman sangat rapi dan aman. Dapat free antigores (depan belakang), dan selama pemakaian kurang lebih 1 bulan aman, performance good.
Semoga awet ter...",bintang 5,
"Barang masih disegel, semua lengkap dan ipad berfungsi dengan baik.
terima kasih",bintang 5,
"pengiriman cepat, barang dibungkus drngan sangat rapi fan aman  bubble wrap tebal,barang bekerja dengan baik 100"" lancar. thank you so much",bintang 5,2 bulan lalu
"Barang masih disegel waktu sampai dan rapih, mantap banget, sesuai pesanan, dan ada garansi resminya, semoga awet. Thanks seller",bintang 5,7 bulan lalu
"Pengiriman nya cepat, seller respon nya baik, dan barang ori. Thank you!!!",bintang 5,11 bulan lalu
"Barang sampai dengan cepat, produk sudah sesuai ekspektasi, penjual fast respon",bintang 5,
"Pengiriman cepat, packing rapih, produk bagus 👍🏻 Admin responsif.",bintang 5,12 bulan lalu
"Barang sangat oke dan pasti original apple 🥰, fitur nya juga okee bgtt 🫰🏻🫰🏻🫰🏻 toko sangat terpercaya,kurir juga aman pengiriman cepat, gausa ragu klo mau beli ipad...",bintang 5,
"sesuai pesanan seller amanah,cepat respon mantabssss.. pengiriman cepat kilat... yukk buruan yg blm order silahkan order amanah kok",bintang 5,5 bulan lalu
barang original dengan harga terjangkau no tipu2 dan pengiriman juga aman dan cepat mantap pokoknya. terima kasih,bintang 5,
"aman sentosa, liat ulasan, brp banyak terjual dan tokonya udh power merchant pro...
*bs maen genshin impact 😆

legaaaaaaa! 🙏💜",bintang 5,
"seller fast respon, sampai sesuai jadwal, meskipun kardus agak penyok tpi ttep safety, barang ori, mantepp lah",bintang 5,
"Packingnya aman banget, barang masih segel. Garansi aktif sampe Desember 2024. Ga nyesel bngt beli disini, dapat harga murah adminnya ramah lagi.. bakal kasih rekomendasi...",bintang 5,
"awalnya takut belanja online, sampe bolak balik tanya admin + liat review tiktok tentang toko ini, dan ternyata Alhamdulillah aman, karena rumahku juga bukan Jabodetabek...",bintang 5,3 bulan lalu
"sebenarnya aku takut banget beli barang elektronik yg mahal kek gini secara online, tapi beraniin diri buat nyoba dan Alhamdulillah ga kecewa 😭😭. Packingannya lumayan s...",bintang 5,
"Barang aman, wrappingnya oke 
Cuman pengirimannya lumayan lama dari yg kukira
Tapi overall oke aman bgt",bintang 5,
"Bagus banget pelayanannya cepet, barangnya beneran ori.. masih segel juga.. sangat terpercaya email **********************",bintang 5,10 bulan lalu
"sudah cek orisinalitas dari Serial Number, dan original",bintang 5,
"Barang ori, so far lancar jaya. Mantap thanksss",bintang 5,
"fast response, sampai dgn cepat dan aman. makasi WAH GADGET. Di tunggu MS OFFICE nya, thx. *******************",bintang 5,
Barang telah diterima dan berfungsi dengan baik. Terima kasih seller,bintang 5,7 bulan lalu
Pembelin kedua di wahgadget. Yang ini buat adik. Lupa pilih yang with bonus jadi kudu beli pperlikenya lagi 🥲 kalau lupa password ms office juga admin sabat banget nging...,bintang 5,
"Pengiriman cepat, admin ramah, cepet banget sampe nyaaa , thank you minnnnn ^^",bintang 5,
"Sampai dengan Selamat, Packing nya rapih sesuai permintaan, buat gambar2 cocok banget.",bintang 5,
"Barang sampai dengan aman
Packingan juga aman buble wrapnya tebel
Puas beli disini",bintang 5,
pengemasan dan pengiriman cepet banget!,bintang 5,
alhamdulillah ipad nya tiba lebih awal,bintang 4,
mantep ni. sesuai pesanan. semoga awet. di tunggu ini bonusan MS Office. thanks min,bintang 5,9 bulan lalu
"Nomor seri terdaftar. Kemasan masih disegel. Ada garansi Apple. Proses pesanan cepat. Packaging aman 🙏.
Alhamdulillah trusted seller, ditanya-tanya juga fast respon bang...",bintang 5,
"Barang original, sampai cukup cepat dan seller sangat responsif. Alhamdulillah kurir juga sangat responsif dan hati-hati.",bintang 5,
"pertama kali beli gadget via online. pengiriman dari Jakarta ke Surabaya aman banget, tanpa packing kayu bubble wrap super tebal. admin responsif dan fast respon saat di...",bintang 5,
"Produk original Apple, segel, no minus. Sempet terkendala pengiriman instan karena beberapa hari sebelum lebaran tidak ada driver yg pickup. thanks seller",bintang 5,"Produk original Apple, segel, no minus. Sempet terkendala pengiriman instan karena beberapa hari sebelum lebaran tidak ada driver yg pickup. thanks seller"
"THANK YOU WAH GADGET!!
-Barang Ori masih tersegel
-Pengiriman aman
-Chat seller fast respon dan ramah
-Free bonus lengkap
-Packing kayu (additional) biar aman, tapi bubbl...",bintang 5,
"Barang dikirim jamin bagus dan ori. seller jg ramah, membantu kesulitan2 pembeli. recommended seller. Gak nyesel beli sekalian pensilnya.",bintang 5,
"Nice product. Seller fast respon, pengiriman barang cepat, barang original",bintang 5,
Produk sesuai deskripsi. Packing Super Duper Aman. Double Bubble Wrap super tebal. Kondisi 100% baru & masih tersegel. Proses & Pengiriman Cepat. Thanks Seller,bintang 5,
"Barang masih segel, garansi berlakuu, dan pengiriman cepat, trusted, terimakasih seller ❤️",bintang 5,
