review,rating,date
pelayanan toko sangat memuaskan dan ipad berhasil diaktifkan. garansi 1th. barang asal US. mantap jiwa dan cakeep. harga paling murah di sini. TG bonus sudah dipasang pas...,bintang 5,1 hari lalu
"Mantapp mendarat dengan sempurna, kelengkapan dan bonus aman semua. Semoga awet, makasih min🙏🏻🤲🏻",bintang 5,5 hari lalu
brg mendarat dgn sempurna..admin sgt baik dan helpfull,bintang 5,1 hari lalu
"Good condotion,, pengiriman cepat, seller fast respon 👍👍",bintang 5,1 bulan lalu
"MasyaAllah, pengiriman aman. Jaya dan lancar terus kaa 🥰",bintang 5,2 minggu lalu
"Customer service bagus, proses pengiriman cepat, produk masih di segel. kalo gini bikin gampang buat jadi repeat customer.",bintang 5,2 bulan lalu
"barang masi disegel, aman pakai instant 3 jam, admin fast respon. buble wrap cukup tebal",bintang 5,4 minggu lalu
Pelayanan yang diberikan sangat memuaskan dari awal hingga akhir. Respon penjual sangat cepat dan informatif. Pengiriman barang dilakukan dengan segera setelah pesanan di...,bintang 5,2 bulan lalu
"mantap ka, ga sia sia belanja di toko ini saya sangat puas dengan barang nya, dengan harga terjangkau. Terima kasih seller",bintang 5,2 bulan lalu
Status nya sekarang berarti sedang konversi ulang ya?,bintang 5,2 bulan lalu
Mantap... RekSell...,bintang 5,1 bulan lalu
