review,rating,date
"Ipad sampai dengan baik, asli, dicek semua kondisi bagus, harga paling murah. Trusted seller. Nice",bintang 5,7 bulan lalu
"Berapa kali beli produk apple dari seller ini, pelayanan memuaskan, barang ori dan masih segel, cs sangat membantu dalam proses pembayaran dan pengirman, terima kasih dan...",bintang 5,5 bulan lalu
"Packing sangat bagus, fast respond and great service. pokoknya Juara lah servicenya. sukses terus buat seller",bintang 5,6 bulan lalu
Jujur pertama kali belanja barang mahal lewat e-commerce. Biasa saya belanja di toko reseller resmi langsung. Sempat ragu karena jauh beda soal harga. Ternyata keaslian s...,bintang 5,10 bulan lalu
"respon penjual cepat, pengiriman cepat, barangnya aman dan ori, semoga awet dan aman terus, mantap",bintang 5,11 bulan lalu
"mantap, berfungsi dengan baik, garansi resmi, 
perjalanan jauuuhhh, tapi sampai dengan selamat
seller ramah dan sabar. sangat rekomendasi :D",bintang 5,8 bulan lalu
"uda lama pengen punya iPad dan baru sekarang akhirnya pertama kali punya, jdi lumayan bingung jg mau beli dimana. kulihat review nya disini oke2. harga bersaing. baru dik...",bintang 5,10 bulan lalu
"Maaih segel green peel intak, mulus, tipis, pas banget sama magic keyboardnya jd kaya laptop, semoga awet, harga bersaing",bintang 5,4 bulan lalu
barang sudah diterima dan sudah sesuai dengan yg di deskripsi produk. harga bersaing dan berfungsi baik. semoga awet dan baik seterusnya.,bintang 5,4 bulan lalu
THE BEST ✨ awalnya ragu2 mau beli ipad secara online karena banyak cerita horror ttg online order barang mahal 🥹 tapi akhirnya memutuskan utk beli di Putra Group.. dan t...,bintang 5,6 bulan lalu
"Pelayanan toko nya mantap dan puas…

Barang nya baru dan oke..

Thanks gan..",bintang 5,11 bulan lalu
"Barang diterima dgn kondisi baik, sdh ditest aman, sesuai harapan. Terima kasih seller.",bintang 5,6 bulan lalu
"Proses cepat, kualitas OK buanget dan barang mendarat dengan selamat 👍🏻👍🏻👍🏻 Proses cepat, kualitas OK buanget dan barang mendarat dengan selamat 👍🏻👍🏻👍🏻",bintang 5,5 bulan lalu
Recommended seller. Terpercaya. Tinggal nunggu balasan free Microsoft 365 nya.,bintang 5,9 bulan lalu
"Barang original, baru, dan berfungsi dengan baik. Seller komunikatif. Packing aman. Sudah beberapa kali beli iPad di sini. Selalu puas.",bintang 5,5 bulan lalu
"Barang ny original, oke banget, seller ny juga responsif banget.
Pertama kali beli disini, tp trusted and well recommended pokoknyahh. Terimakasih",bintang 5,9 bulan lalu
"Barang ori bergaransi, masih greenpeel, sangat memuaskan belanja di sini👍🏻",bintang 5,6 bulan lalu
"barang mulus tanpa cacat, moga sukses truss tokonya. keren",bintang 5,11 bulan lalu
Barang sesuai dan packaging aman,bintang 5,6 bulan lalu
"Barang sampai cepat , packing aman dan amanah",bintang 5,11 bulan lalu
Barangnyaa baguss pengirimannya cepattt dann amann semogaa produk ini awett dan amaan bisa meningkatkan produktivitas dan keuangann aamiin thankyuu seller,bintang 5,8 bulan lalu
barang diterima dengan baik packing aman dan cepat banget sampe,bintang 5,5 bulan lalu
"Bubble wrap tebal.produk aman smp tujuan.masih disegel.
kabel+kepala charger ada
apple pencil pro, bisa menempel dan ngecharges",bintang 5,8 bulan lalu
Barang pastinya ori. Admin sangat responsif dan fast respond. Segala kendala dihandle dengan baik. Ga usah ragu beli di Putra Group.,bintang 5,7 bulan lalu
"seller fast respon, packaging dibungkus bubble wrap dengan baik. masih segel. thank you seller.",bintang 5,7 bulan lalu
"Saya sangat puas dengan pembelian iPad Pro M4 di toko ini. Produk datang dalam kondisi sempurna, model number terdaftar, dikemas dengan rapi, dan tepat waktu. Harga yang...",bintang 5,10 bulan lalu
"mantap, ipad dan box masih mulus, bubblewrap sangat tebal, nomor model dan serial sama seperti di box, garansi sama seperti tanggal pembelian.
sempat chat untuk request r...",bintang 5,7 bulan lalu
"barang ori, seller responsif, dan dapet region US :D garansi internya jg aktif. thanks seller",bintang 5,7 bulan lalu
"Barang datang sesuai pesanan, spesifikasi sesuai yang tertera, dan dicek produk Ori dan garansi berlaku dan terdaftar di web apple…sedikit kendala saat pengiriman, saran...",bintang 5,6 bulan lalu
"Barang berfungsi dengan baik, Ori Apple hanya kurang di pengiriman ajaa agak bisa di bikin gercep. Thanks",bintang 5,10 bulan lalu
"seller fast respond, kualitas barang bagus, sudah beberapa kali transaksi di sini sangat memuaskan",bintang 5,11 bulan lalu
"Respon Seller cepat, pengiriman cepat dg buble wrap tebal, barang masih segel dan aman sampai tujuan.",bintang 5,6 bulan lalu
Barang tersegel dengan baik dan dalam kondisi baik. iPad sudah dinyalakan dan diinstal lancar dan berfungsi dengan baik,bintang 5,11 bulan lalu
"Barang segel. ori. garansi setahun. fungsi kamera, mic, audio, wifi, bluetooth aman, baterry health 100. cuman colokannya yg 3 kaki. untung ada casan poco f4 67w bisa dip...",bintang 5,8 bulan lalu
"Barang original masi ada green peelnya
Recommend seller dah, seller juga ramah saat ditanya",bintang 5,9 bulan lalu
"barang segel resmi, tidak ada kerusakan,  respon sih yah toko. untuk yang mau Co jangan ragu belanja ditoko ini",bintang 5,10 bulan lalu
"beneran asli!!!
bubble wrapnya jg tebel banget, jadi barang terjamin aman, garansi juga baru berlaku pas gadget mulai dipakai, nomor seri jg terdaftar di apple 
terima ka...",bintang 5,11 bulan lalu
"barang baguss, seller responsif walopun ordernya mepet toko mau tutup tetap lgsung dikirim 👍🏻",bintang 5,7 bulan lalu
"Pengiriman cepar, seller responsif, ipadnya mulus, space blacknya elegant!, garansinya aktif saat dinyalakan. Semoga awet pertama kali beli gadget di toko online sangat p...",bintang 5,7 bulan lalu
"Barang ori, cepat bgt sampe, 
Mulus bgt, no cacat 
Mantapp",bintang 5,10 bulan lalu
"Packing rapi sekali aman sampai di tempat buyer, barang sesuai pesanan, ori, recommended seller",bintang 5,6 bulan lalu
"bubble wrap tebal, segel ok, barang ok. aktivasi sehari sebelum sampai.",bintang 5,6 bulan lalu
Mantul sekali barangnya top lah pokonya. Pengiriman cepat sekali dan barang garansi serta sesuai dengan yang di deskripsikan,bintang 5,10 bulan lalu
"Barang ori, packaging bubble wrap nya tebal sekali, mantap deh. Nomor seri di kotak dan di device cocok, sudah cek coverage juga di web, dan aman garansi 1 tahun. Deg2an...",bintang 5,9 bulan lalu
"Akhirnya kesampean juga beli di Putra Group setelah lama disimpen dalam Wishlist barangnya 😂 Belinya tunggu potongan vocer yg lumayan oke dulu, Harga iPad Pro M4 Inter j...",bintang 5,7 bulan lalu
