review,rating,date
"Produk original, harga sangat terjangkau, packing sangat rapi dan bagus, seller sangat ramah",bintang 5,1 bulan lalu
"Barang masih segel asli bergaransi, original, imei aman, sinyal aman, pengiriman cepat, dapat harga diskon lagi :)",bintang 5,9 bulan lalu
"Barang masih di segel waktu sampai dan ada garansi resminya, pengiriman cepat, kualitas terjamin ori!!",bintang 5,
"Barang original, real no fake fake, pengiriman super aman, sengaja kasih review setelah sebulan pemakaian daan sinyal aman, fitur juga semua oke orisini from Iphone, dan...",bintang 5,
"barang masig tersegel, pengiriman cepat, respon seller ramah dan cepat. pokoknya bener2 trusted.",bintang 5,3 bulan lalu
"Alhamdulillah iphonenya sudah sampai dengan aman, setelah 1 bulan mikir buat beli hp online, pengemasan sangat safety, hp baru original, semua berfungsi normal. Pertama l...",bintang 5,
"Packing mantap, pengiriman cepat, barang ori Ibox PA/A garansi TAM, alhamdulillah dapat harga 9,455, makasih admin, sering2 promonya, adminnya gercep lg dan komunikatif,...",bintang 5,11 bulan lalu
"pertama kali pake iPhone, semoga awet. Garansi resmi semoga gada masalah sama imeinya meskipun gabisa dicek, gatau kenapa gabisa. Yg penting kodenya pa dan garansi resmi....",bintang 5,
Jujur sempet galau mau beli ip online karena takut ga sesuai dan ga aman. tapi makasih universe store yang pertama kali beli udah aman and trusted. kartu garansi juga dik...,bintang 5,5 bulan lalu
"1. Pelayanan yang ramah dan memberikan respon yang baik sehingga customer tidak khawatir untuk Order

2. ketika barang sudah sampai, Barang sesuai dengan pesanan baik fis...",bintang 5,
"Alhamdulillah barang sudah sampe dengan selamat, kualitas original dan berpungsi dengan baik, IMEI oke, packing aman",bintang 5,2 bulan lalu
"seller ramah,untuk masalah packing ga perlu di ragukan super aman,pengiriman whoosh dan yang pasti produk ori apple,anti greenscreen2 club",bintang 5,3 bulan lalu
"Barang baru dan ORI. Admin super baik, pokoknya the best❤️",bintang 5,4 bulan lalu
"Paket sampai di kalimantan timur dengan aman, meskipun kardus luarnya agak penyok tp untuk kardus hp yg di dalam mulus tanpa ada kerusakan sama sekali karena bubble wrapn...",bintang 5,4 bulan lalu
"Barang masih di segel, ada kartu garansinya, pengiriman cepet",bintang 5,8 bulan lalu
"puas banget barang ori kualitas terjamin, mantap pokoknya",bintang 5,
"Pembelian kedua kali disini, seperti biasa tidak mengecewakan dan sangat puas, pelayanan dari admin sangat responsif dan baik, packing sangat aman, pengiriman cepat, kala...",bintang 5,11 bulan lalu
"Barang Original Mantap, awal nya ragu karena pertama kali beli di online ketambah pengiriman dari pihak pengiriman nya lama takutnya ilang atau apalah, tapi Alhamdulillah...",bintang 5,
"Terimakasih banyak untuk admin, maaf di repotkan untuk bertanya2 dlu, hehehe,,pelayanan cepat banget, cekout malam hari ,pagi esok langsung dkrim kan hari itu juga, harga...",bintang 5,
"barang baru dan original sesuai deskripsi, sudah dicoba semua berfungsi dengan baik. penjual ramah dan fast respon, pengiriman cepat. recomended seller 👍👍👍",bintang 5,2 bulan lalu
"TRUSTED SELLER👍🏻
Saya dapat yang seri PA/A. Awalnya sempat ragu beli online. Tapi ternyata yang diberikan benar benar yang garansi resmi indonesia. Pengiriman sekitar 4...",bintang 5,
oklah. Seller ini bisa dipercaya dan reaponnya cepat serta baik. Barang dikirim cepat dan baik adanya.,bintang 5,4 bulan lalu
"Sangat worth it untuk di beli, barang original ibox dan keluaran terbaru. Seller ramah dan respon cepat. OTW order lagi yang ke 2",bintang 5,8 bulan lalu
"barang masih di segel waktu sampai 
dan ada garansi resmi nya & keadaan fisik mulus",bintang 5,
"overall barang oke dijamin resmi good lah pkoknya sellernya, saya kasih bintang 4 dl nanti stelah pemakaian 1 bulan masih oke saya balik lagi buat kasih bintang 5.terima...",bintang 4,5 bulan lalu
"sejauh ini mah okee,barang msh segel,dan garansi ibox,harga paling murah diantara yg lain,amanah,cs nya juga ramah, sukses terus,semoga awet hape nya, terimakasih banyak",bintang 5,
"hp nya berfungsi baik semua,pengiriman cepat,seller nya responsif bintang 5 aja engga cukup ini mah 😍",bintang 5,6 bulan lalu
"Mantep sesuai pesanan pengirim instan sat set garansi iBox , jangan ragu dan bimbang untuk order IPhone di seller ini ya ges ya. Amanah dan terpercaya pisan pokoknya dah...",bintang 5,3 bulan lalu
"barang ori ges, pengiriman mantap, packing aman juga terbaik buat pembelian pertama di sini rekomen pokona",bintang 5,1 bulan lalu
Seller ramah fast respon. Sempat udah diproses tapi minta revisi Cargo akhirnya cancel dulu. Jujur baru pertama kali juga belanja mahal. Sempat deg degkan nungguin paket....,bintang 5,
