review,rating,date
"Barang masih segel green peel, imei terdaftar resmi, garansi resmi sesuai deskripsi. Packing cukup tebal sehingga aman selama pengiriman, mantap",bintang 5,2 bulan lalu
"Garansi resmi indonesia 
Barang segel
Seller ramah",bintang 5,2 bulan lalu
"Garansi resmi indonesia 
Barang segel
Seller ramah",bintang 5,2 bulan lalu
"Garansi resmi indonesia 
Barang segel
Seller ramah",bintang 5,2 bulan lalu
"Barang sampai dengan selamat, barang masih di segel 
cuma ga pake dus aja sih, sejauh ini buble warp tebel masih aman. 
Saran next pakai dus agar packaging aman

garansi...",bintang 5,2 bulan lalu
"barang resmi, dapat garansi **** jd free juga asuransi all risk... mantappp",bintang 5,1 bulan lalu
Sesuai dengan deskripsi . Original dan bergaransi,bintang 5,2 bulan lalu
"barang oke ,aman sampe rmh ,packing berlapis aman ,garansi 1 tahun resmi ,fast respon",bintang 5,3 bulan lalu
Barang di segel tp ada noda distributor resmi asli dan ori garansi on satu tahun pengemasam bw Nya tebel pegirimanya cepat,bintang 5,2 bulan lalu
"Sampai tujuan dengan selamat, pengiriman super satset, barang orii, dapat harga promo😍",bintang 5,3 bulan lalu
"Barang mendarat dengan selamat,admin juga sangat amat ramah dan fast respons..
Dan unit nya fresh tidak mengecewakan

Sangan di rekomendasikan untuk beli di toko ini,.",bintang 5,1 bulan lalu
harga termurah yg saya cari original dan pengiriman cepat,bintang 5,3 bulan lalu
"barang origilnal resmi indonesia,pokok nya beli di sini aman dan terpercaya",bintang 5,2 bulan lalu
"mantap barang ori, masih segel, seller fast respon juga kalo bales chat komunikasinya mantap, promonya juga mantul",bintang 5,2 bulan lalu
"barang dipacking dengan sangat aman.
dus masih tersegel green peel.
ada kartu garansi dan bergaransi DIGIMAP (kode ID/A) maka sudah pasti garansi resmi.
iphone 13 ini mas...",bintang 5,6 bulan lalu
"Barang masih segel dan garansi resmi, dapet garansi dn proteksi 12 bulan juga. Cek imei beacukai ga terdaftar karna bkn barang impor, kode SA/A artinya garansi resmi Indo...",bintang 5,3 minggu lalu
"Terima kasih barang sampai dengan selamat. Di jamin 100% Original. Baru dan Greenpeel. Garansi Resmi.
Recommended Seller.",bintang 5,4 bulan lalu
