review,rating,date
barang datang dalam keadaan tersegel garansi resmi terlampir kondisi barang oroginal dan kuitansi pembelian lengkap semuanya sesuai dengan yang dijual,bintang 5,2 bulan lalu
"Barang segel, garansi resmi, penjual gercep kirim dan fast response di chat. Thankyou",bintang 5,3 minggu lalu
"Adminnya responsif, packaging aman dan tidak ada deskripsi barang di resi untuk keamanan saat pengiriman.
Barang alhamdulillah bagus dan original, dan dapet garansi 1 tah...",bintang 5,2 bulan lalu
barang masih tersegel dengan rapih..cepat sampai ke tangan pembeli..penjual juga sangat ramah dan responsive..gak rugi bertransaksi di toko ini,bintang 5,3 bulan lalu
"Alhamdulillah instan langsung kirim, gak nunggu jam 2. Produk sesuai deskripsi dpt kode PA/A (sesuai request). Produk segel, mulus, cakep perfect pokoknya. Seller juga ko...",bintang 5,2 bulan lalu
"Barang Original, dapet garansi GDN sesuai Request. Bagus banget dan puas belanja disini",bintang 5,4 bulan lalu
"Dapat promo yang sangat amat lumayan, very good deal. Untuk item berfungsi dengan baik, serta cek SN dan garansi juga terdeteksi. Thank you! 👍🏻",bintang 5,1 bulan lalu
"Barang ori, semoga terus amanah yaa. Garansi resmi dan lumayan lagi dapet voucher potongan 1,1jt dari tokped 😂",bintang 5,2 bulan lalu
"Barang ori masih segel green peel, garansi bl*bl* satu tahun. So far so good, tapi rada deg deg ser ya nunggu nya, 3hari wakk!! 😭😭 tapi salahku sih ga ngecek pengiriman...",bintang 5,4 bulan lalu
"mantapp barang sesuai, packing cukup aman dan seller fast respon sekaligus informatif 👍 thank you!",bintang 5,2 minggu lalu
"Barang baru nyampe. Langsung setup, dapat garansi ibox PA/A mantul. semoga awet amiin",bintang 5,4 bulan lalu
"Sudah kedua kalinya beli disini,, bener” amanah,, dapet kode pa/a juga., admin fast respon pokonya sangat worth it.. lanjutkan kualitasnya ya min",bintang 5,4 bulan lalu
"1. Alhamdulillah, stlh maju mundur mau ttp di android atau ke iphone ujungnya nyamain laptop dan tablet, kebetulan bgt bisa dpt harga flashsale dan jd harga plg murah (sl...",bintang 5,1 minggu lalu
"beli iPhone untuk daily driver ❎
beli iPhone untuk m-banking ✅
karena seaman dan senyaman itu buka aplikasi duit pake apel keroak.",bintang 5,3 bulan lalu
mantap banget barang masih segel trimakasih diskonnya tokped,bintang 5,3 hari lalu
"Sudah ketiga kalinya beli disini,, pertama kuning, biru sekarang pink semua dapet kode pa/a garansi resmi pulak,, pokonya ga mengecewakan,, kalo engiriman juga cepet bang...",bintang 5,4 bulan lalu
Barang dipacking rapi dan aman dengan bubble wrap berlapis + tersegel aman BNIB dan bekerja dengan normal. Pengiriman sesuai dengan estimasi. Seller responsif,bintang 5,2 bulan lalu
"Barang masih segel waktu diterima, garansi resmi Indonesia, tidak perlu diragukan lagi. tidak ada kendala sama sekali, terimakasih banyak untuk seller 🙏",bintang 5,3 bulan lalu
"Packaging aman, unit ori dan berfungsi dengan baik, garansi dan coverage aman",bintang 5,3 bulan lalu
"Unit brand new 100%, garansi resmi Indonesia
Thank you Digitech Mall!",bintang 5,5 bulan lalu
"segel
garansi ada
kualitas original 
gasss poll ...",bintang 5,4 bulan lalu
"barang original, sesuai deskripsi. respon seller cepat",bintang 5,3 bulan lalu
"Fast respon, barang ori, sesuai request, garansi ibox",bintang 5,2 bulan lalu
"pesanan sesuai request, garansi baru aktif ketika barang diaktifkan",bintang 5,3 bulan lalu
"Admin responsif, pelayanan sangat baik, pengiriman sangat cepat. Bismillah semoga awet hpnya",bintang 5,4 bulan lalu
"top banget, pelayanannya ramah, saran kalau mau lebih cepet datengnya mendingan pesennya pakai instan aja soalnya sameday baru tibanya tengah malem agak dagdigdug juga ka...",bintang 5,2 bulan lalu
"respon seller bagus, brg dikirim hari itu juga, pengiriman cepet dengan kurir toko jdi lebih terjamin keamanannya
utk kondisi hp bagus ori",bintang 5,3 minggu lalu
"Request yg garansi PA/A, dikirim sesuai dengan request .. baru beli hape pertama x lewat online ,, service nya sangat memuaskan , terima kasih banyak",bintang 5,4 bulan lalu
"barang bagus, packing tebal, semua aman. terima kasih pak kurir yang sangat amanah. maaf atas salah pahamnya. Semua top👍",bintang 5,6 bulan lalu
Barang original. Sesuai dengan pesanan. Walaupun seller sempat akan mengirim tidak sesuai dengan request karena tidak membaca catatan. Untung konfirmasi ulang melalui cha...,bintang 5,1 bulan lalu
"Req gdn tapi di kirim id/a tali ya gapapa, sedikit kecewa saja. Harus e sebelum kirim bisa konfirmasi dulu",bintang 5,1 hari lalu
"order di weeknd ??? gak masalah !!!
Gak mau ribet masalah kirim2 ... pilih pake asuransi bayar dikit asal aman

nyampe eh cm di bubblewrap eits tp aman soalnya barang mas...",bintang 5,2 bulan lalu
Puas banget sama barang sama sellernya juga cepet responnya manteeep,bintang 5,3 bulan lalu
"pengiriman 3 harian. packing aman, barang sesuai. namun dapetnya yg GDN. padahal uda konfirm lewat chat minta yg kode PA/A . 🥺🥺",bintang 5,3 bulan lalu
"Barang ori, garansi resmi, bubble wrap aman, pengiriman instan cepat, admin sangat responsif

Terima kasih",bintang 5,1 minggu lalu
"Recomended seller
Barang Ori Segel
Pelayanan mantap seller responsif 
Bakalan beli lagi disini",bintang 5,3 bulan lalu
"Garansi Resmi, seller amanah, seller fast respon",bintang 5,2 bulan lalu
jernih pol kamera nya emang apple gokil nama nya juga seri tertinggi yak mantab gokil gokil gokil pasti bakal order disini lagi trusted,bintang 5,2 bulan lalu
"Ori, garansi resmi, imei amann, aftersaless gercepp bangett, sempet bingung krn bermasalah di apple id trus dibantu dipandu akirnya sampai bisa, thx keep it up good work!",bintang 5,4 bulan lalu
"fast response, admin cooperative, fast delivery and good hospitality. Bravo and trusted",bintang 5,2 bulan lalu
"Barang Kondisi Terbaik , Dapat Garansi Ibox Thanks Original Buka Segel",bintang 5,2 minggu lalu
"dapat harga termurah, original ibox lagiii duuh mantaapps",bintang 5,4 bulan lalu
Mantab garansi sesuai dan box masih segel juga ketika sampai. Packaging jugaa rapihh. Dijamin aman,bintang 5,3 bulan lalu
"istri saya suka! barang ori ibox soalnya pas dicek di settingan dia kodenya sesuai. trs fisik oke original mulus (new), pengiriman cpt dan seller amanah. sukses terus sel...",bintang 5,
"Semuanya baik, barang sesuai, seller oke, kurir oke. Timingnya saja yang tidak beruntung karena satu minggu setelah pemesanan harga barang drop 1 juta lebih dr harga chec...",bintang 5,2 bulan lalu
"barang ori segel dpet garansi gdn mantap, seller jujur amanah",bintang 5,4 bulan lalu
"mantap betul, sellernya responsive, keren.",bintang 5,2 bulan lalu
"ori, garansi aktif, garansi resmi indo GDN mantap 👍🏻",bintang 5,4 bulan lalu
"kedua kalinya beli, ip pertama kode digimap. ip kedua dapat kode ibox. semuanya garansi resmi indonesia",bintang 5,8 bulan lalu
"barang datang sesuai dengan pesanan, mimin ramah dan cepat respon nya. terpercaya dan sangat memuaskan pelayanannya. saya sangat suka. terima kasih",bintang 5,4 bulan lalu
seller responsif dan narang ori rekomen bgt 👍👍👍👍,bintang 5,2 minggu lalu
Barang masih disegel waktu sampai dan ada garansi resminya 💙,bintang 5,2 bulan lalu
Barang masih disegel waktu sampai dan ada garansi resminya✨️,bintang 5,3 bulan lalu
"Sebelum checkout udh chat nnya stock wrna blue ada atau ngga, blgnya ada stock, pas nympe yg dtg wrna black. Klo emg gd stockny blg dari awal agar buyer tau. Untung aja b...",bintang 2,4 bulan lalu
"barang original cuma kirimnya terlalu lama,",bintang 4,2 bulan lalu
Makasih barang sangat bagus dan original,bintang 5,1 minggu lalu
"terima kasih barangnya sudah sampai. tapi sedikit masukan, karna saya request minta garansi sa/a atau pa/a tapi yang dikirim id/a. mohon lain kali diperhatikan request pe...",bintang 4,1 bulan lalu
"bagus aman terpercayaaa, fast respon",bintang 5,4 bulan lalu
Garansi GDN nya ga ada... repot jadinya... Takut ga bisa klaim nanti ke GDN seller ga konfirmasi terlebih dahulu.,bintang 1,3 bulan lalu
"Admin seller cepat tanggap. Tapi suka bingung udh tau orang mau nya beli krn garansi resmi, dan garansi ibox. Tapi krn gk nulis jdi dirandom kasih gdn. Bukan random naman...",bintang 3,4 bulan lalu
barang mantap original seauai orderan mantap,bintang 5,6 bulan lalu
Pengiriman cepat banget barang sesuai rekomended pokonya,bintang 5,4 bulan lalu
produk baru datang. nanti akan dibuka. terima kasih.,bintang 5,3 hari lalu
"Maaf baru sempat review. Sellernya amanah, minta garansi PA/A sesuai dgn request. Terimakasih banyak seller makin top pokonyaaaaa. Kereeeeen",bintang 5,1 bulan lalu
Mantap. Sesuai. Bergaransi resmi Indonesia.,bintang 5,4 bulan lalu
"Diterima dgn baik
Kondisi baik 
Komunikasi baik",bintang 5,2 bulan lalu
"OK SEMUA SESUAI HARAPAN. 
SEMOGA TAMBAH LANCAR",bintang 5,3 bulan lalu
"Barang aapikkkk sekalii, garansii juga mantaapp",bintang 5,
"barangnya ibox puas
cuman sempat was was krn telat sampe",bintang 5,2 bulan lalu
"ori ⭐️⭐️⭐️⭐️⭐️
harga kompetitif bgt 💯",bintang 5,2 bulan lalu
"cepat sampainya dan oke,walaupun request ibox tapi dikasihnya gdn",bintang 5,2 bulan lalu
"Mantab pokoknya 👍, packing aman pengiriman cepat joss",bintang 5,4 bulan lalu
"barang ori
pengiriman cepat
terimakasih",bintang 5,4 bulan lalu
Packing nya aman Dan rapi. overall puas,bintang 5,1 bulan lalu
barang mantap dapat yg garansi ibox,bintang 5,4 bulan lalu
bagus ori,bintang 5,1 bulan lalu
"barang ori, bagus sesuai deskripsi, pengiriman cepat, recommended seller",bintang 5,4 bulan lalu
mantap barang segel dan garansii resmi👍,bintang 5,2 bulan lalu
"garansi tidak sesuai, tertulis garansi ibox, yang dikirim garansi GDN, perlu pikir lagi beli di toko ini",bintang 4,
"barang masih disegel, ori, dan pengiriman cepet",bintang 5,3 bulan lalu
