review,rating,date
"Barang Masih Segel Original ,
sampai tepat waktu dan Barang sesuai dengan Deskripsi Pokoknya mantap banget Sangat memuaskan",bintang 5,4 bulan lalu
"Barang sesuai deskripsi,seperti biasa tidak pernah kecewa dengan produk Huawei

Hanya saja packing kali ini sangat buruk,kondisi box hp bonyok di salah satu sudut

kondis...",bintang 4,5 bulan lalu
"sayang banget packing ya ancur, kerdus ga kaku-bubble wrapnya kurang jadi masih banyak rongga dr kardus ke barang... akhirnya penyok kardus HP nya.
untung dipakai sendiri...",bintang 4,5 bulan lalu
"Ternyata lebih cepat tiba dari estimasi awal, lebih senang lagi dapat jam yang hijau 😍",bintang 5,5 bulan lalu
Senang sekali menginformasikan bahwa barang telah tiba dengan selamat.  Kondisi barang sesuai dengan yang diharapkan dan terkemas dengan rapi.  Pelayanan yang diberikan s...,bintang 5,4 bulan lalu
"Segel rapi, kelengkapan sesuai deskripsi. Produk bagus. Pemesanan via instan kurir 3 jam, tp nyampenya kisaran 7 jam.",bintang 5,3 hari lalu
"Puas banget, move dari P40 Pro karna hpnya jatuh dan rusak ke Pura 70 Pro, masih suka banget dengan EMUI gabisa move on ke brand lain. Kameranya luar biasa, overall puas...",bintang 5,4 bulan lalu
"Barang Original. packaging aman, bonusan juga oke punya. Walaupun sedikit kecewa akan Sinyal yang ter-KUNCI di 4G dan software exp yang agak agak dari pihak pusatnya, but...",bintang 5,4 minggu lalu
"the best smartphone i've ever had, lebih worth kmn mna timbang apple sama samsung terutama kameranya, speechless sama hasilnya, feel premium nya dpt banget sesuai har...",bintang 5,5 bulan lalu
"Jam Preorder ya bikin begadang, seandainya barang yang bisa di Preorder lebih banyak, kan bisa preorder pagi hari...
Tapi terimakasih atas bonus-bonusnya...",bintang 5,5 bulan lalu
"Mantapppp pengiriman janjinya tgl 25, tapi sekarang uda sampai, respon seller mantappp",bintang 5,5 bulan lalu
"akhirnya barang mendarat setelah nunggu sekitar 3 mingguan.
barang diterima dengan lengkap, namun ada bbrpa catatan yg perlu diperhatikan oleh pihak seller & Huawei n...",bintang 3,4 bulan lalu
"Barang bagus, berfungsi oke, responsif, desain bagus, pakai tambahan app bisa pakai google maps dll lancar, kualitas gambar foto terbaik, amazing, untuk foto bunga jg san...",bintang 5,4 bulan lalu
"barangnya sesuai ,  normal sesuai, warna bagus",bintang 5,4 bulan lalu
"cukup paus sih makenya, belum ada nemu kendala, semoga aman aman saja, pake case ini biar makin cakep",bintang 5,5 bulan lalu
Brg bagus tp untuk packingan lebih diperhatikan lagi,bintang 5,4 bulan lalu
"Barang bagus! teknologi berkelas, puas bgt!",bintang 5,4 bulan lalu
"😇
Maha Pengasih
Maha Pemurah
Maha Pemberi
terimakasih bonusnya",bintang 5,2 hari lalu
"Akhirnya ketemu lg Huawei yg android, mantapp, cara pakainya jg gampang. I really love Huawei, the best mobile phone!",bintang 5,5 bulan lalu
keliatan bagus cm msh penyesuaian pk merk huawei,bintang 5,3 bulan lalu
Camera yg terbaik diantara semua handphone,bintang 5,1 minggu lalu
"Barang bagus, pengiriman lebih cepat dari yg dijanjikan. Terima kasih",bintang 5,5 bulan lalu
"pengiriman cepat, barang bagus, original",bintang 5,3 bulan lalu
udah keren dapat bonus jam GT 4  juga,bintang 5,3 bulan lalu
sesuai yg diharapkan,bintang 5,1 bulan lalu
datang sebelum waktunya.. mantap jiwa,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,5 bulan lalu
rekomended mantap,bintang 5,5 bulan lalu
very good,bintang 5,4 bulan lalu
Nice!!,bintang 5,2 bulan lalu
Mantuuuuuul,bintang 5,5 bulan lalu
