review,rating,date
"bgus bget ya Allah hp Nokia nya , gak nyeselll co disini amanah cepet sampe ny walau baru pemula belanja di toko pedia packing rapi dan aman 👍👍",bintang 5,8 bulan lalu
"Barang segel resmi. Packaging aman. Berfungsi normal. Sender, Radio fungsi normal. cukup kecil karena terbiasa pakai Android, tapi tetap nyaman digunakan. sayang suara sp...",bintang 5,
"barang sudah di Terima dengan aman, seller amanah,  pengiriman super cepat hanya hitungan jam, kurirnya ramah dan sopan, tingkatkan terus, mudah mudah an awet, semua berf...",bintang 5,
"barang sampai dengan selamat dengan pengiriman 1 hari. barang bagus, ori, box rapih.
charger berfungsi dengan baik, batre awet 2 hari kurang lebih. radio bisa dipake, aud...",bintang 5,
hpnya ori dan masih segel... sedang dicharge sebelum pemakaian pertama... semoga awet..,bintang 5,3 bulan lalu
"Barang sudah sampai. Sesuai dengan pesanan, garansi resmi 

Thanks admin",bintang 5,
"Nyala sih nyala, tapi bukan garansi TAM.",bintang 4,5 bulan lalu
"barang original berfungsi dengan baik dan bagus terimakasih,, untuk pelayanan nya di perbaiki lagi yah lebih ramah lagi ,,",bintang 5,
"barang kondisi bagus dan segel aman,, 
delivery instan",bintang 5,1 minggu lalu
"Barang bagus,asli nokia.beli buat bapakku,karna hp nokia 105 2022 sebelumnya gak sengaja terbang dari lantai 2 alhasil pecah lcdnya.sebelumnya beli di nokia official,karn...",bintang 5,5 hari lalu
"tidak ada kerusakan, barang masih segel, berfungsi dgn baik",bintang 5,11 bulan lalu
"Barang sampai. segel. new original. garansi resmi. cocok sebagai hp ke 2, yg hanya dipake khusus trima OTP2 ja. mode siaga baterai awet polll.",bintang 5,8 bulan lalu
"alhamdulillah terimakasih banyak seller dan admin, admin nya super responsif dan barang bener bener langsung dikirim saat itu juga jadi ayah saya bisa pulang kampung dgn...",bintang 5,
barang segel.. Alhamdulillah.. semua fungsi normal,bintang 5,1 bulan lalu
"barang sesuai pesanan 
admin gercep ... 
Sy ada kesalahan alamat pengiriman .. segera dibantu pembatalan ... kemudian proses ulang 
terima kasih 
terima kasih juga sama a...",bintang 5,1 bulan lalu
"Packing bagua, barang aman. Semoga awet.. Thx Penjual",bintang 5,4 bulan lalu
"Masih disegel. Berfungsi baik, semoga awet. Tks",bintang 5,10 bulan lalu
"barangnya MaNTuL Gan, berfungsi sebagai mana mestinya & semoga awet. thanks",bintang 5,
"Cepat dan tepat !
Sebetulnya pengen warna cyan tapi seller kasih tahu kalau yang di toko Bandung hanya tersedia warna Charcoal/black. No problem, barang sudah berfungsi d...",bintang 5,
"Pengemasan bagus banget, pakai karton tebal, bubble wrap didesain 5 lapis, box handphone masih segel plastik, isi lengkap sesuai deskripsi, cuman sayangnya ga dikasih hea...",bintang 5,
Alhamdulillah packing aman sekali...tiba dg aman berfungsi dg sempurna.. terimakasih,bintang 5,
Alhamdulillah sesuai pesanan barang bagus penjual respon kurir ini n syaa Allah baik,bintang 5,
"good ori, barang bagus ngk ada cacat",bintang 5,
delivery cepat dan garansi tam,bintang 5,
"baru sampai dah diunboxing hpnya, gile seh top markotop ini barang bnr2 new nyokap ane suka.  recommended online shop.",bintang 5,
"pesanan sesuai,sesuai permintaan kirim cepat.",bintang 5,5 bulan lalu
barang ok garansi resmi. thanks.,bintang 5,
seller responsif dan lgs kirin. keren,bintang 5,
"Aman sentausa, lumayan gercep admin dan tokonya, buat nenek kuuuu hihi thanks!🤪🫶🏻",bintang 5,
"penjual sangat ramah dan fast respon, kualitas brg original,rekomended seller",bintang 5,
Hp jadul yg sederhana. Cocok utk mereka yg tidak butuh fitur² yg macam². Saya kemarin ini cari² hp model jadul yg tidak ada kameranya. Dan akhirnya ketemu hp ini. Hp berf...,bintang 5,3 bulan lalu
"pengiriman top, barang masih segel berfungsi dengan baik",bintang 5,1 bulan lalu
"produk original nokia 100%, pelayanan ok cepat dan responsif.. sukses terus",bintang 5,
"respon seller cepat, kwalitas barang bagus",bintang 5,
"Seller Fast Response, pengiriman cepat, barang sesuai dgn yg diiklankan.
Recommended Seller.",bintang 5,
"Garansi erajaya, kondisi bagus, teringat hp jika dulu",bintang 5,
Barang berfungsi dengan baik. Pengiriman tepat waktu. Packing aman. Recommended seller,bintang 5,
berfungsi dengan normal handphone nya service nya terbaik toko ini,bintang 5,2 minggu lalu
"maaf baru kasih ulasan , hp nya bagus batre awet dan original",bintang 4,
"barang sesuai yg ditawarkan, pengiriman cepat, kemasan rapih bangetz, sip lah trimakasih 👍",bintang 5,
"keren,tepat waktu  Ada garansi resmi,biarkan bintang berbicara..untuk hadia tanding dom,swmoga tidak mengecewakan",bintang 5,
Yg versi baru sekarang ada logo HMD. Semoga awet,bintang 5,4 bulan lalu
"sellernya ramah, sesuai pesanan. kurir nya jg cepat. tq",bintang 5,
"barang bagus dan sesuai ( cuma belum dicoba), secara keseluruhan mantap",bintang 5,4 minggu lalu
"pengirimannya satset satset, mudah2an berfungsi baik dan awet",bintang 5,
barang berfungsi,bintang 4,
mantap berfungsi dengan baik,bintang 5,3 minggu lalu
"sesuai deskripsi, kondisi normal semua",bintang 5,
Barang segel dan kualitas bagus,bintang 5,
nokia paling bagus diantara hp jadul,bintang 5,5 bulan lalu
sesuai deskripsi.berfungsi dengan baik.,bintang 5,
"produk bagus, berfungsi dgn baik",bintang 5,
ori bagus..cepat...garga miring,bintang 5,
Nokia Kulaitas tidak perlu diragukan,bintang 5,10 bulan lalu
Barang sudah diterima dalam keadaan baik. Terima kasih kurir dan Tokopedia..,bintang 5,7 bulan lalu
"bisa pakai kartu three, tokonya top",bintang 5,
barang sesuai dan packingnya rapih,bintang 5,
"sudah sampai dan dipakai sama ibu, terima kasih",bintang 5,6 bulan lalu
barang sesuai pesanan recommended,bintang 5,1 bulan lalu
seller ok brang ok...TPI belum d test,bintang 5,1 bulan lalu
barang sesuai,bintang 5,2 bulan lalu
bagus dan tepat waktu,bintang 5,
"top, barang ori",bintang 5,1 minggu lalu
"Masih segel, good.",bintang 5,
Ramah bintang 5😁 dan paketan datang dengan aman.,bintang 5,11 bulan lalu
"amaan, berfungsi dgn baik👍",bintang 5,
keren original murah,bintang 5,
,bintang 5,
mantap lah pokoknya,bintang 5,6 bulan lalu
barang sesuai pesanan,bintang 5,
mantap..sudah teruji,bintang 4,10 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,9 bulan lalu
brg sdh diterima dgn baik. terima kasih gan.,bintang 5,6 bulan lalu
sesuai 👍👍👍👍👍,bintang 5,
sejauh ini aman terkendali,bintang 5,
"semua oke, semoga awet",bintang 5,
istimewa,bintang 5,
barang bagus thank you,bintang 5,
mantap sudah di coba,bintang 5,
mantabs,bintang 5,
sip,bintang 5,10 bulan lalu
biasa aja.,bintang 4,11 bulan lalu
"semoga awet, tks gan",bintang 5,
Barangnya original 👍.,bintang 5,
Terima kasih atas pelayanannya. pesanan sudah smpai. Ada garansi toko. Ada garansi resmi. Ada garansi internasional. Barangnya original 👍. Audionya mantap. Baterenya awe...,bintang 5,
Respon cepat dan barang original.,bintang 5,
Barangnya original 👍.,bintang 5,
