review,rating,date
"Aga kecewa sih karena barang datang,kepala chargernya bolong. Tpi males retur return biar pake yg lama aja",bintang 4,6 bulan lalu
Lumayan bgus.tpi tdak ad buku panduan ny.tpi berfungsi baik smua ny.toko ny amanah.jgn ragu beli dsni,bintang 5,2 bulan lalu
"Barang sampai dengan kondisi baik, semua berfungsi, semoga awet. Recommended",bintang 5,1 bulan lalu
Barang berfungsi dengan baik tapi minta warna hitam yg di kirim warna merah,bintang 3,2 minggu lalu
Bagus sesuai dengan yg aku pesan warnanya,bintang 5,2 bulan lalu
"Gk sesuai dengan kenyataan/gambar yg di pajang ditoko..
Dasar pedagang gk amanah...",bintang 2,7 bulan lalu
"Alhamdulillah bagus ,dan ralpic",bintang 5,5 bulan lalu
"Boleh lah harga segini, made in vietnam. Sepertinya baterai nya bukan original karna ujung lapisan konektor nya dari plastik  bkn karet",bintang 4,2 bulan lalu
Setelah unboxing saya cb aktifkan dan bs terisi ketika di cas. Overall aman dan lancar,bintang 4,3 bulan lalu
"Produknya baguss, pengiriman cepat, puasss dech sama tokonya",bintang 5,1 bulan lalu
"Sangat bagus, sesuai dgn yg di pesan,pokox TDK mengecewakan",bintang 5,1 bulan lalu
"Alhmdulilah berfungsi aktif dan bagus masih geres  dan segel , nyokap lngsung seneng terima kasih , Abang kurir langganan jga",bintang 5,3 bulan lalu
"Barang sdh diterima dengan baik, 
Tapi warna tidak sesuai, sy pesan biru yg dikirim hitam, but its oklah
Thanks",bintang 4,2 bulan lalu
"Terimakasih paket t'lah tiba dengan aman & cepat, enteng banget hp nokia 😁 percobaan ngecas batre hp nya, kondisi charger nya  goyang kaya mau lepas bagian dkt k...",bintang 4,6 hari lalu
Okay bagus dan murah untuk ukuran jumbonya gak ada yang bisa kita lakukan adalah melakukan sesuatu tanpa harus menunggu sampai ke tempat,bintang 5,5 bulan lalu
"Berfungsi baik... 
Lumayan buat dipake komunikasi anak disekolah
Semoga awet 😃

Keseluruhan lumayanlah, mksh 🙏
Performa sistem: Normal & baik
Kualitas pengerjaan: Agak...",bintang 4,1 bulan lalu
"Maaf ak kasih bintang 3 agk kecewa ak dengan halnya, pk kurir baik",bintang 3,1 bulan lalu
"SIM card sama kartu memori nya ngk ad ya, hp nya lumayan bgus dan bisa di hipupkn",bintang 3,1 bulan lalu
"Barang datang asli, recomended 👍👍
Puas belanja dsini. 
Terimakasih ❤",bintang 5,4 bulan lalu
