review,rating,date
"Produk original, kualitas suara sangat jernih dan bass terasa mantap. Baterai tahan lama seperti yang diiklankan. Pengemasan rapi dan aman, barang sampai tanpa cacat. Pen...",bintang 5,1 bulan lalu
nemu tokonya atas rekomendasi gadgetin. Barang bagus! garansi aktif dan berfungsi dengan normal. pengiriman super fast seller ramah. overall recommend purchase!!,bintang 5,2 bulan lalu
"hp original dan bergaransi resmi, warnanya lucu dan enak dilihat. enak digunakan dengan satu tangan karna iphone ini juga ringan.",bintang 5,2 bulan lalu
"packing aman, adminnya sangat responsif, produk original, aman semua, untuk selanjutnya bakalan beli ke sini lagi nih, terimakasih.sangat rekomen nih tokonya",bintang 5,6 bulan lalu
"Barang ori distributor resmi indo tam/digimap/gdn dikirim random, sellernya fast respon, hanya dipacking nya saja yang kurang puas (hanya bubble wrap)",bintang 5,2 bulan lalu
"sebenarnya barang diterima tidak cacat sama sekali, bagus. tapi alangkah lebih baiknya untuk menambah bubble wrapnya, karena dikejadian saya, dusboknya penyok semua ehe",bintang 5,1 bulan lalu
Upgrade dari iPhone 13 ke iPhone 15 setelah beberapa hari rilis 16 series. Udah demen dari awal rilis dan baru kesampaian beli sekarang. Sengaja upgrade ke varian ini bia...,bintang 5,8 bulan lalu
"maaf, ini barang buat orang lain, jadi video yg diupload bukan iPhone 15 ya. penjual ramah, fast respon, toko offlinenya ternyata di r*** m** grogol. sangat membantu. kur...",bintang 5,2 bulan lalu
"barangnya ori, sesuai spesifikasi, yaa meski warna yg dipilih gaada, it's okay, saya pilih hitam tp karna stok tdk ada, jadinya ganti warna lain dan seller sudah info...",bintang 5,10 bulan lalu
"Drama iPhone 16 ga masuk2 ke indoo jdi pasrah ambil 15 krn hp lama dah mulai rusak. Dpt diskon 800rb an mayan bgt

Menggunakan ekspedisi regular dtg dlm 4 harian dri jkt...",bintang 5,6 bulan lalu
"produk original harga ambyarrrr, aman bgt. dikirim ke solo. walaupun 3 hari di jalan. insyallah aman bgt. thanks seller amanah. bisa beli disini guysss",bintang 5,2 bulan lalu
Barang diterima bersegel. pengiriman lebih cepat dari estimasi. sayang warna birunya kurang terlihat. Dapat harga yg sangat bersahabat,bintang 5,6 bulan lalu
barangnya sampai dan sesuai dengan yang di pesan. terima kasih min.. alhamdulillah pemakaian aman dan berjalan lancar,bintang 5,9 bulan lalu
"barang original masih tersegel dengan baik, imei aktif dan garansi resmi. pengemasan baik.",bintang 5,3 bulan lalu
"Barang sesuai, pengiriman cepat, penjual responsif dan awalnya agak ragu beli online tapi setelah barang sampai cukup puas. Terima kasih,",bintang 5,2 hari lalu
Barangnya bagus. Mulus. Ga ada cacat. IMEI juga ori dan sebagian perangkat dicek juga aman,bintang 5,2 bulan lalu
"trusted seller, barang ORI BNIB, garansi tam setahun, dan bisa ambil langsung ke kios kalo takut pake kurir 👍🏻 recommended pokoknyaa 💯",bintang 5,2 bulan lalu
"Pengiriman cepet, admin ramah, barang ori, keren",bintang 5,12 bulan lalu
"Barang diterima ok sesuai deskripsi.
Semoga aweettt🤲🏻🤲🏻🤲🏻

Yg sangat bermasalah di ‘pengiriman sangaaaat lama’ menurutku. Pilih express (3jam) tapi dua hari sampeny...",bintang 4,5 bulan lalu
Mantap. Brg resmi n ori. Tk ada yg rusak / penyok meski pakai bubblewrap saja. Smp jg sgt tepat wktu ke Kalimantan 👍👍 terimaksiih seller.,bintang 5,8 bulan lalu
"Mantap sekali barangnya, asli, pengeriman cepat, seller terpercaya, sudah langganan dari dulu",bintang 5,4 bulan lalu
"Pengiriman cepat, seller responsif, terima kasih",bintang 5,4 bulan lalu
"Ready ssd mikrotik L6

https://tokopedia.link/K13YA3Qu6Lb",bintang 5,2 bulan lalu
"hehe makasih kak, aku dah 2 kali beli di sini pertama beli ipad mini 6 yang kedua ini, semoga amanah terus ya kak, barang bener bener bagus new juga, maap gak aesthetic r...",bintang 5,8 bulan lalu
Barang original paking rapi oke,bintang 5,5 bulan lalu
mantap ori. sudah jadi langganan,bintang 5,3 bulan lalu
mantap sesuai apa yang ada 😍 terimakasiii,bintang 5,11 bulan lalu
mantap barang bagus ori garansi bli bli pengiriman aman dan cepat rekomended seller,bintang 5,2 bulan lalu
"Barang masih segel, pengiriman aman sekali bubblenya, iPhone PA/A garansi dari distributor resmi",bintang 5,
"mantap pelayanan bagus, respon penjual cepat pengiriman cepat barang mantap ori dan terbukti aman, aksesoris juga jempolan kereen studio ponsel 👍",bintang 5,6 bulan lalu
"Brg msh segel, garansi resmi, cepat sampai, semoga berfungsi dengan baik…..",bintang 5,11 bulan lalu
"Produknya ori, pengiriman juga cepat dan aman.Sellernya respon baik.
Produknya sesuai diskripsi .Semoga awet🤩",bintang 5,5 bulan lalu
"setelah maju mundur akhirnya co juga, gila dapet harga sangat rendah, dapet yang garansi resmi iBox, barang mulus luss. seller responsif, pengemasan dan pengiriman juga c...",bintang 5,2 bulan lalu
Mantap terima kasih hp nya aman lancar selamat sampai tujuan 👌,bintang 5,3 bulan lalu
"adminnya sangat ramah dan responsif, barang dijamin original. Request garansi GDN juga dikirim sesuai request, recommended untuk beli iphone dan aksesoris nya ditoko ini�...",bintang 5,10 bulan lalu
"Garansi oke
packing mantap aman jaya
cuman karna harus JNE jadi bayar lebih ga bisa gratis ongkir
langsung dipasangin casing sama istri",bintang 5,8 bulan lalu
"harga terbaik dari semua toko, original, dapet bonus case dan anti gores, mungkin bisa tambah promo Cashback...",bintang 5,
"Garansi TAM, masih segelan, garansi belom jalan, packing juga tebel dan box tanpa penyok, Aman dah pokonya. 
Makasih admin.",bintang 5,11 bulan lalu
"barang original sesuai pesanan. 
seller fast response.
proses cepat.",bintang 5,2 bulan lalu
"Unit masih segel, original…. sesuai elspetasii pokoknya",bintang 5,3 bulan lalu
"Akhirnya barang nyampe dengan selamat,awalnya mah ketar ketir karena baru kali ini belanja online dengan harga tinggi. Tpi overall semua Ok dari pelayanan toko sampai kur...",bintang 5,2 bulan lalu
"Awalnya sempat ragu karena harga lebih murah dibanding toko lain, tapi setelah barang sampai dan sudah dipakai selama 2 minggu makin mantap dan jangan ragu beli di toko i...",bintang 5,
"Barang ori, trusted, kelengkapan unitnya lengkap, ada kartu garansi, hokinya aku dapat garansi erajaya, bersyukur banget, packing aman walopun tanpa kardus, bubble wrap n...",bintang 5,8 bulan lalu
"Waktu pandemi 2020 nggak berani keluar, coba belanja produk Apple di studio ponsel keterusan sampe sekarang…. 
 
Alhamdulillah penjual amanah mulai dari Macbook, iPad sam...",bintang 5,8 bulan lalu
"alhamdulillah sampai juga barangnya, asli ori ga perlu di ragukan lagi",bintang 5,2 bulan lalu
"Pake gojek instant, nyampe jam 4 sore. Driver bisa ditrack dan alhamdulillah amanah. Packaging nya juga oke

Garansi resmi indo, harga cukup",bintang 5,
"Pengiriman cepat walau sempat terjeda saat diproses seller, tapi seller responsif menjawab pertanyaan saya, jadi ga was2. Packaging aman banget, bubble wrap tebel, box ga...",bintang 5,
"Pengiriman Cepat, Seller Responsif, Barang Original semoga awet",bintang 5,7 bulan lalu
"mantab barang original, pengiriman cepat,
dapet garansi GDN lg, puas belanja di toko ini pokoknya",bintang 5,3 bulan lalu
"Alhamdulillah, barangnya udah sampai dengan selamat. pesan packing kayu tapi dikirim bubble wrap,, ngga papa yang penting barangnya aman dan selamat. barang ori dan garan...",bintang 5,11 bulan lalu
"Produk original, packing aman, admin fast response, order disini untuk yg kedua kalinya tidak pernah mengecewakan 🙏🏻",bintang 5,2 bulan lalu
"barang ok garansi 1 tahun tanggal pembelian sesuai sama tanggal garansi, garansi resmi...

recomended di studio ponsel",bintang 5,9 bulan lalu
"Barang ori, respon dan packing seller mantul.",bintang 5,3 bulan lalu
"barang segel, dikirim instan, paket dibubble rapat tanpa cacat. Ori, grs resmi. tks",bintang 5,
"Barang ori pelayanan memuaskan fast respons… bubble wrapnya tebel banget jadi insyaAllah aman saat pengiriman,,,Recomended seller",bintang 5,2 bulan lalu
"Barang tiba dengan selamat, masih tersegel dengan baik.. Alhamdulillah beli online bisa dapet harga lebih murah dan terjamin. Insya Allah ga nyesel beli do studio ponsel,...",bintang 5,5 bulan lalu
"Respon cepet, barang ori walaupun ternyata bukan ibox, ttp ori indo kok, cuma gabisa claim ke ibox aja paling. But overall ok sih thankyou ya🙏🏻",bintang 5,
"Pengiriman oke barang asli, respond admin cepat",bintang 5,2 bulan lalu
barang cepet bgt nyampenya. barang ori ibox. seller proaktif ngasih tau untuk hati2 dgn penipuan yg sering kejadian.,bintang 5,6 bulan lalu
"Recommended seller. Udah ke 3x nya beli produk apple disini, selalu memuaskan. Pengiriman aman pake kurir toko, garansi aman, barang segel",bintang 5,
"barang sesuai, box msh segel green peel, harga jg paling murah dari yg lain.",bintang 5,2 bulan lalu
"Pengemasan super rapi dan aman, pengirimannya jg baik, barang yg diterima ori berfungsi dgn baik, seller trusted, fast respond, dan super helpful 👍🏻",bintang 5,9 bulan lalu
"perfecttt original garansi resmi indonesia ini, rekomend bangett",bintang 5,
"Seller ramah, barang cepat sampai dan berfungsi dengan baik",bintang 5,2 bulan lalu
"Waktu proses sangat cepat, packing bagus wrap cukup tebal, barang sesuai dengan pesanan",bintang 5,3 bulan lalu
Barang sampai dengan aman sudah di coba terbukti ori garasi panjang new in box,bintang 5,3 bulan lalu
"okeee all clear, aman, packing juga rapi dan aman , pengiriman cepat, seller fast respon",bintang 5,
"Warna hijau sebagus itu 😍. Product resmi, baru, masih tersegel",bintang 5,2 bulan lalu
"Alhamdulillah Mantap! Garansi GDN, Beli sore besoknya sebelum siang udah dateng, barangnya original & bagus banget tentunya, seller informatif, jangan ragu buat beli...",bintang 5,11 bulan lalu
ori kokk aku dapet yg GDN trs jangan lupa claim garansi bliblinya lagi ya. dari 6s langsung upgrade kesini. bismillah awet sampe 5-8 tahun kedepn🥹❤️,bintang 5,3 bulan lalu
"Terima kasih iphone 15 nya sdh nyampe, packing rapi, pengiriman cepat, seller responsif, device bergungsi dengan baik, semoga awet Amien...#saya tahu studio ponsel dari v...",bintang 5,2 bulan lalu
Barang Original seller terpercaya. Bisa Buat langganan.,bintang 5,8 bulan lalu
"Barang sudah sampai dengan selamat, Barang masih disegel, sudah di coba semuanya berfungsi dengan baik iPhone 15 untuk Istri.. 😁 Terimakasih banyak",bintang 5,6 bulan lalu
"alhamdulillah barang nyampe dengan selamat, baru pertama kali beli iphone dan online pula. semoga awet seterusnya amiiin heheh. seller nya ramah, fast respon, informatif...",bintang 5,3 bulan lalu
"Barang normal, pengiriman cepat, respon penjual baik.",bintang 5,
"Barang masih tersegel, no minus baru memuaskan",bintang 5,3 minggu lalu
"Barang sampai dengan selamat, pemakaian udah ± 3 bulan. Sampai sekarang Alhamdulillah awet dan worth banget walaupun 128gb tapi balik lagi tergantung cara pemakaian stora...",bintang 5,11 bulan lalu
Thank youuu! Masih segel green peel garansi resmi Indo. Recommended bgt ni toko 😍 semoga awet aamiin,bintang 5,2 bulan lalu
