review,rating,date
"Review setelah pemakaian 2 Minggu,  Hp bagus tidak ada kendala, Original, Lengkap, Fitur Bypass charging berfungsi, semua fitur work, Harga dapat diskon beli pas 12.12, p...",bintang 5,5 bulan lalu
"pengiriman cepat, barang jugaoriginal, packaging nya juga rapih penuh dengan bublewarp",bintang 5,5 bulan lalu
"Barang sampai terpacking dengan aman, barangnya juga sejauh ini berfungsi dg baik👏🏻kedepan bakal pesen disini lagi, admin fast response, & dari proses pemesanan s.d...",bintang 5,6 bulan lalu
"barang segel dan bergaransi
pengemasan aman dan rapi",bintang 5,5 bulan lalu
Barang bagus dan respon cepat. kelengkapan terjamin.,bintang 5,2 bulan lalu
"Alhamdulillah akhirnya mendarat dengan aman sentosa,Fast , packing rapih Real pic recommended seller Barang original . Pertahankan..sdh berlangganan d toko ini aman terpe...",bintang 5,4 bulan lalu
"sampe dengan aman, semua di cek bagus, terimakasih seller suksess selalu",bintang 5,3 bulan lalu
"Alhamdulillah barang sudah sampai dan sesuai ekspektasi , awalnya ragu belanja online setelah melihat yang kasih B1, tapi terpatahkan dengan seller yang ramah dan kurir y...",bintang 5,5 bulan lalu
Mantappp. admin sangat fastrespon. barang diterima dalam kondisi bagus original. semoga awet. makasih min 🙏🏼,bintang 5,4 bulan lalu
"Barang masih di segel dan berfungsi dengan baik, packing lumayan aman, kualitas barang original mantap.",bintang 5,11 bulan lalu
"oke barang masih segel, pengiriman cepat.. tidak ada kendala.. packing rapi dan tebal. makasih semoga lancar selalu..",bintang 5,8 bulan lalu
"Mantap ,Barang original.",bintang 5,6 bulan lalu
"barang segel, berfungsi dengan baik, dan pastinya bnib, seller ramah responnya",bintang 5,4 bulan lalu
"bareng sampai dengan selamat, walau box untuk fan coolernya gx ada, overall lengkap, bubblenya pun tebal, untuk pengiriman juga cepat walau ke overload 🗿",bintang 5,2 bulan lalu
"barang bagus packing aman dan rapi, isi paket lengkap sesuai deskripsi. waktu pengiriman lebih cepat dr jadwal estimasi. toko yg sangat baik dan dapat direkomendasikan.",bintang 5,
"mantap, auto sat set dong, pesan jam ½4 sore, paket tiba jam 6 sore. kurir juga ramah dan amanah, penjualnya juga responsif dan gercep, thankss you make me happy",bintang 5,6 bulan lalu
"Barang di segel, mantap HP keren, Top,bagus. packing bagus, pengiriman cepat, kurir ramah, konfirmasi dulu saat barang mau dikirim dan setelah sampai.",bintang 5,3 bulan lalu
"hp gaming yang tidak diragukan lagi kualitasnya, seller sangat responsif dan komunikatif",bintang 5,10 bulan lalu
"mantap,harga oke,barang original,packing rapi",bintang 5,2 bulan lalu
makasih bang toko. top pokonya sehari sampai,bintang 5,2 bulan lalu
"sesuai pesanan, original dan mantap..Packing tebal dan aman",bintang 5,1 bulan lalu
"Sesuai pesanan ..Barang masih segel 
pengiriman cepat",bintang 5,9 bulan lalu
apa apanya ini toko/selernya bagus banget.  terpercaya banget. wajar bintang 5. tetap semangat abangkuu,bintang 5,5 bulan lalu
"packing bagus, pelayanan bagus dan respon chat cepat. terima kasih bos",bintang 5,8 bulan lalu
🤑😚😚😚😉😉☺️🤑🤐😝😝🤪🤪🤪🤪🤪🤪🤪😗😗😗😗😗😗😗😗😗😗😗☺️☺️☺️☺️Barangnya original 👍 Kemasan disegel Ada garansi resmi Kelengkapan sesuai Warna sesuai pesanan Barangny...,bintang 5,11 bulan lalu
"Hp ini memang bagus soal performanya menurutku, kalo buat game berat juga bisa nglibasnya meskipun suhu naik. itu maklum karena tidak di limit. 

buat yang koar "" hp...",bintang 5,3 bulan lalu
"barang segel dan bergaransi resmi, semoga awet",bintang 5,1 hari lalu
"paket bagus dan kuat, smartphone sesuai ekspetasi",bintang 5,9 bulan lalu
Barang diterima dengan n masih bersegel. packing rapi n aman. Mudah2an awet,bintang 5,11 bulan lalu
"Jangan pernah ragu beli handphone di toko ini kemungkinan saya akan jadi pelanggan setia. Hp datang real piture, baru,original,admin nya ramah terimakasih  ulasan ini juj...",bintang 5,2 bulan lalu
"barang ori, semoga awet,
king finix mantap",bintang 5,6 bulan lalu
"barang sudah saya terima,bagus smuanya komplit tidak ada yg cacat satu pun,semoga awet 🙂",bintang 5,2 bulan lalu
"Pengiriman cepat, HP mulus, packingnya mantap dan rapih ya no minus. Josssss!!!!!",bintang 5,5 bulan lalu
"mantaplah toko ini, fast respon dan langsung gass👍",bintang 5,11 bulan lalu
Muluss masih plastikan packing nya super tebel mantap lah 👌🏻,bintang 5,1 bulan lalu
barang ok semua aman semoga awet seller ramah,bintang 5,2 bulan lalu
"Alhamdulillah barang sampai selamat, agak kesusahan saat unboxing soalnya bubble wrap nya tebal",bintang 5,2 bulan lalu
