review,rating,date
"barang segel..toko responsif walaupun ada sedikit kendala dengan ekspedisi, yg penting anak senang",bintang 5,3 minggu lalu
"ini adalah standar minimal tablet, enak banget buat nggambar ama main game ringan. recommended",bintang 5,2 bulan lalu
berfungsi dengan baik semoga awet. pelayanan dan pengiriman cepat,bintang 5,2 minggu lalu
Alhamdulillah barang sudah sampai.. cukup cepat.. barang juga bagus ga ada mslh...,bintang 5,1 bulan lalu
"Alhamdulillah, selamat sampai tujuan, 8 / 256 enak pakainya ga ngeleg, terimakasih",bintang 5,3 minggu lalu
"Barang masih segel waktu sampai, produk original, packing aman, berfungsi dengan baik,",bintang 5,2 bulan lalu
"harga bagus, delivery cepet. Dan yg paling penting produk nya ori , ada garansi resmi, dapat bonus flip cover ori plus paket perdanaTelkomsel. bisa langsung pakai karena...",bintang 5,2 bulan lalu
"barang bagus, masih segel worth dengan harga segitu puas
pengiriman cepat",bintang 5,3 minggu lalu
"kerennn dan pas dapet promo, Alhamdulillah tokonya recomen nih",bintang 5,2 bulan lalu
"bagus, anak langsung suka, semoga selalu amanah....",bintang 5,3 minggu lalu
trima kasih kak.. sudah sampai.. aman sentosa lancar jaya.. mantaaaaabbbbb !!,bintang 5,3 minggu lalu
mantappp fast sekalii satset,bintang 5,1 bulan lalu
,bintang 5,2 minggu lalu
"keren, penjual gercep",bintang 5,2 bulan lalu
oke lah,bintang 5,2 bulan lalu
