review,rating,date
mantap..rekomended seller..fast respon..pokoknya puas belanja di sini,bintang 5,5 bulan lalu
"worth to buy 👍 dengan segala fitur,spek, ditambah adanya bonus bundling aksesoris xpad ini pantas menjadi yang terdepan dibandingkan rival yg sekelas. 

Tokonya rekomen...",bintang 5,2 minggu lalu
"barang sesuai, garansi resmi, asli, semoga awet, terimakasih",bintang 5,5 bulan lalu
"Bener2 recommended, Produk asli ga ada masalah sama sekali, toko amanah, dan yg paling aku suka itu pengirimannya cepat banget guys. Pokoknya Rekomendasi banget belanja d...",bintang 5,3 minggu lalu
"fast respon chat cepat, pengirimannya cepat, barang nya masih segel, recommended seller",bintang 5,4 bulan lalu
"seller responsif ramah dan pengiriman super cepat. barang sudah mendarat dengan baik. 
Terima kasih banyak",bintang 5,1 bulan lalu
"Bersegel, sesuai ekspetasi, bergaransi, packing aman dan rapi, penjualnya top dan ramah, recomended seller",bintang 5,2 minggu lalu
"Tablet entry level yang cukup untuk memenuhi keperluan pekerjaan ringan saya untuk olah data dan edit video tipis² ketika mobile ,

Seller cepat proses kirim barang nya d...",bintang 5,5 bulan lalu
"barang masih disegel saat sampai,garansi masih panjang,mantap deh",bintang 5,1 bulan lalu
"bagus, masih di segel. harga terjangkau thank u min",bintang 5,1 bulan lalu
"packing tebal aman sampai kalteng, produk original, anak jadi senang, terimakasih 🙏",bintang 5,1 bulan lalu
barang sesuai permintaan & deskripsi. proses cepat. packing aman. tks,bintang 5,5 bulan lalu
"Mantap sangat rekomen, paket terbungkus sangat tebal good👍",bintang 5,1 hari lalu
"Barang masih disegel, mantap jiwa, makasih",bintang 5,5 bulan lalu
"Segel ori, bublewarp tebal banget, Toko andalan",bintang 5,5 bulan lalu
"sampai tepat waktu, unit aman. 
jempol utk semuanya.",bintang 5,6 bulan lalu
"TOP SELLER

Respon cepat, packing aman, barang ori & sesuai ekspektasi",bintang 5,7 bulan lalu
"Bagus, kiriman cepat, dan aman semua nya. Barang ori dan garansi resmi! Packingnya mantab tebel banget",bintang 5,3 bulan lalu
"kualitas barang oke, pengiriman super cepat, seller fast respon",bintang 5,6 bulan lalu
terimakasih berfungsi normal packing bubble wrap tebal super aman,bintang 5,5 bulan lalu
"puas banget, cepet sampe dan normal tanpa lecet pokoknya rekomen",bintang 5,1 bulan lalu
"Barang diterima dgn baik, sudah dicoba dan berfungsi dgn baik, seller responsif, terimakasih",bintang 5,1 bulan lalu
"respon cepat , packing rapat padat , tab nya oke",bintang 5,5 bulan lalu
"masyaallah barang nya sudah sampai dengan aman, bagus banget, dan sudah dicoba pakai semoga awet. tokonya juga fast respon dan amanah, terimakasih sukses selalu 🙏",bintang 5,1 bulan lalu
mantap sesuai barangnya kalo kata gua jangan  mau beli bagus ini barangnya masih tersegel ❤️ pengirimannya cepat 3hari,bintang 5,8 bulan lalu
"Pesanan sangat cepat sampainya, paking sangat amat bublewrapt tebel bgt..rekomensed seller bgt..next jadi langganan 👍",bintang 5,5 bulan lalu
pengiriman cepat. barang asli. puas sekali  Terima kasih,bintang 5,3 hari lalu
mantap datang nya cepet barang bagus seller,bintang 5,7 bulan lalu
"ternyata mantap pelayanan nya, responsip, sempet ragu, pake instan. gak sampai 1 jam barang sudah saya Terima. 
mantappppp. sukses terus",bintang 5,1 minggu lalu
Mantapp sehari jadi packing aman rapih banget barang juga bagus puassss,bintang 5,7 bulan lalu
"Packing super aman. Pengiriman cepat. Mantap sekali. Kalo secara specs dan performa, sudah banyak yg review. Untuk tablet entry, cukuplah",bintang 5,6 bulan lalu
barang diterima sesuai deskripsi. Expedisi sangat lambat!,bintang 5,2 bulan lalu
amanah seler terjamin langsung nonton mpl,bintang 5,7 bulan lalu
"Busetttt.. kemarin order jam 17, hari ini jam 10 sdh sampe? Paket aman, fitur2 wortid utk meeting/presentasi.. memang recomended seller 👍 big thanks kak",bintang 5,5 bulan lalu
selalu mantap. uda order tablet kedua dan puas. jos,bintang 5,3 bulan lalu
Tablet yg sangat value for money!,bintang 5,1 bulan lalu
