review,rating,date
Kualitas barang original dan respon penjual juga kooperatif,bintang 5,4 bulan lalu
"Seller responsif, pengiriman cepat, barangnya oke punya.",bintang 5,5 bulan lalu
"Seller responsif, pengiriman cepat, barangnya oke punya.",bintang 5,5 bulan lalu
"Pesanan yang ditunggu-tunggu akhirnya datang jugaaa 😍 Warna terbaru super cakep! Super trusted seller, sudah langganan 👍🏻 Thank you!",bintang 5,9 bulan lalu
"Unit Surface dlm Box, BNIB, dikemas rapi dan aman. Setelah dibuka dan dinyalakan, keren luar biasa!! Notebook ‘tetangga di California’ udah overrated.
Layanan toko bagus,...",bintang 5,7 bulan lalu
"Barang sudah diterima sesuai pesanan, sudah di coba user dan berjalan lancar",bintang 5,4 bulan lalu
Nice product and good service from the store,bintang 5,8 bulan lalu
pengiriman lancar. Barang Original. Mantap.,bintang 5,7 bulan lalu
Barang sesuai pesanan dan cepat sampai,bintang 5,8 bulan lalu
"mantap langsung sampe..
barang OK.",bintang 5,8 bulan lalu
Akhirnya sampai,bintang 5,6 bulan lalu
Gercep dan ok,bintang 5,5 bulan lalu
Great,bintang 5,9 bulan lalu
mantap...,bintang 5,9 bulan lalu
