review,rating,date
barangnya bagus nyampek cepet ya cuma emang kayak kata orang-orang kalo mau main game Harus pakek cooler karena emang panas,bintang 5,2 minggu lalu
"Barang sesuai dan berfungsi dengan normal, reseller ramah fast respon, pengiriman cepat via j&t, Tidak mengecewakan👍🏻✨",bintang 5,2 minggu lalu
"Barang segel dan bagus, packingnya juga bagus dan safety ada bubble wrap tebel. Mantap",bintang 4,3 minggu lalu
"Hp nya bagus, masih segel. So far berfungsi dengan baik",bintang 5,1 bulan lalu
"rekomendasi banget hp 2 jt an ini,cocok buat game2 berat di libas",bintang 5,1 bulan lalu
"overall oke. barang sesuai deskripsi, packing rapih dan aman sampai tujuan. terimakasih juga untuk estimasi kurirnya tepat waktu.",bintang 5,3 minggu lalu
"Paket mendarat dengan aman sesuai dengan deskripsi 
serta kurir yang sangat ramah 

Semoga awet dan ditunggu untuk Series Neo 3 nya admon 🥰",bintang 5,1 bulan lalu
"barangnya bagus ,tidak penipuan dan semoga dapat awet 5 tahun kedepan aamiin",bintang 5,2 bulan lalu
"Aman lancar jaya semoga awet, hp gaming terbaik diharga nya",bintang 5,2 bulan lalu
"pengiriman cepat sebelum lebaran udah sampe

mudah2an anak saya suka dg smartphone ini

puas lah belanja di Nubia official",bintang 5,1 bulan lalu
"sesuai pesanan, sudah di tes semua berfungsi, ada kartu garansi, produk ori nubia, modelnya bagus pengiriman super cepat, aman karena memakai bubble wrap yang tahan banti...",bintang 5,1 bulan lalu
"barang masih segel, pengiriman cepat walaupun masih waktu libur lebaran",bintang 5,1 bulan lalu
"respon chatnya cepet and baik, pelayanannya bagus, barang aman semoga awet",bintang 5,2 bulan lalu
"barang masih segel toko/prabrik
kemasan bagus aman
barang ORI garansi resmi
mantap semoga awetttt🙏",bintang 5,3 minggu lalu
"barangnya udah sampai min.
Keamanannya mantap, Info Device dan Harganya diSensor/ditiban pakai Peringatan.

setelah di coba main CODM kurang lebih 30 menit, Smooth banget...",bintang 5,1 bulan lalu
"Sungguh sebuah mahakarya dari nubia. Testimoni pemakaian selama 3 hari baterainya sangat awet, dibuat main ml dan hok dari jam 12 siang sampai jam 3 sore hanya berkurang...",bintang 5,2 bulan lalu
"barang nya masih di segel... packing aman... bagus... semua sesuai... asli, fitur oke.. garansi aman...",bintang 5,1 bulan lalu
Barang diterima dengan baik bahkan pelampungnya/ pelindung masih ada hingga seminggu atau sepekan 😁😁. Maaf hp digunakan,bintang 5,1 bulan lalu
Akhirnyaa paket sudah sampee.. packinggg wowww superduper aman karna pake babble balon yg super tebel baru pertama beli hp online dengan packing seperti ini mantaapp noo...,bintang 5,1 bulan lalu
"Alhamdulillah pesanan telah sampai.
agak lama pengiriman. dan sudah dicek 
berfungsi normal.
terima kasih",bintang 5,1 bulan lalu
"Pelayanan Cepat
Pengiriman sesuai dan bisa dikonfirmasi
Barang sesuai dan qualitas oke",bintang 5,3 bulan lalu
barang nya cpt nyampenya packingnya juga bagus+aman,bintang 5,1 minggu lalu
"Packaging Good
Phone in Good condition
Nice",bintang 5,1 bulan lalu
"bagus sesuai budget,gk tahu klo masalah daya tahannya",bintang 5,5 hari lalu
"barang segelan ok, sesuai iklan, dah 2x beli merek yg sama hampir berdeketan, cuman blon dapet bonusan",bintang 5,1 bulan lalu
"barang original, sesuai pesanan, lengkap, cpt sampai, aman, ok baget",bintang 5,1 bulan lalu
barang terjamin original dan pengiriman super cepat,bintang 5,1 hari lalu
"seller respon bgt, pelayanan memuaskan, hrg mantappp, packing aman bgt, recomend dah beli hp brand zte di lapak ini, terimakasih semoga awet yahhh 🙏",bintang 5,1 bulan lalu
