review,rating,date
"Mantaf. Pengiriman cepat, Seller Fast Respond, admin ramah, Packing Safety, barang bagus. Recomended Store",bintang 5,3 bulan lalu
"mantap lah, barang nyampe, kondisi kinclong. recommended banget.",bintang 5,3 bulan lalu
"MANTAP BANGET LAH POKONYA, MUDAH2AN AWET YA.. BELUM FINISH SEBERNERNYA INI PROGRAM NYA, TINGGAL DIPOLES DIKIT UDAH KELAR GAK NYAMPE SEJAM KELAR SEMUA PROGRAM NYA. MAKASIH",bintang 5,6 bulan lalu
"Berfungsi baik, respon cepat dan ramah, walau ada kendala, penjual tetap beri solusi, best lah, recommended",bintang 5,2 bulan lalu
"barang sesuai dengan yang di lapak, pemgiriman cepat plus free kabel satanya juga ada.produk 100% baru. plug n play nga usah pusing2 instal lg.",bintang 5,1 bulan lalu
"Barang bagus, berfungsi sebagaimana mestinya.
seller nya sangat baik.",bintang 5,1 bulan lalu
"barang jos pisan,packing oke, cepat sampai.
tinggal pasang tanpa ribet",bintang 5,9 bulan lalu
"Barang Original
Seller Ramah & Sangat komunikatif dan sangat membantu dalam konsultasi tentang pemasangan produknya.
jangan ragu beli produk di toko ini.
terima kasih...",bintang 5,3 bulan lalu
"pengiriman cepat, seller ramah fast respon, barang bagus, mantap",bintang 5,3 minggu lalu
"barang sesuai deskripsi, dipasang di Dell optiplex 3010 langsung jalan, tinggal konek internet trus update driver aja..
untuk softwarenya ternyata karena versi baru jadi...",bintang 5,
SSD berfungsi dengan baik walaupun motherboard versi lawas. Kabel sata bisa digunakan. Seller mudah diajak komunikasi.,bintang 5,2 bulan lalu
"Sip SSD nya lancar tanpa kendala, oke nih laptop jadul jadi ngacir
Barang asli, spek sesuai, kemudahan dlm penggunaan, thanks gan",bintang 5,
"Barang bagus, langsung dipasang dan normal",bintang 5,
Recommended sekali beli di sini kalau ada apa2 tinggal chat admin langsung dikasih solusi. Barang berfungsi normal,bintang 5,2 bulan lalu
"barang sesuai, berfungsi baik, packing aman.",bintang 5,3 minggu lalu
"RECOMENDED SELLER....!!!!
Gak usah ragu gaes beli di toko ini... sellernya humble & sangat responsif dalam konsultasi tentang produk nya
dan pastinya after sales nya...",bintang 5,3 bulan lalu
untuk keseluruhan aman dan berfungsi dengan baik.,bintang 5,2 minggu lalu
Berfungsi dengan baik di Toshiba L645. semoga pemakaian SSDnya awet. Terimakasih.,bintang 5,4 bulan lalu
Barang sudah sampai dan sesuai dgn deskripsinya. Terima kasih banyak kak,bintang 5,2 bulan lalu
Mantap Pak Oke 😁 Langsung jadi teknisi wakakak🤣🤣🤣,bintang 5,4 bulan lalu
"sesuai deskripsi, langsung dicoba dan berjalan dengan baik...",bintang 5,
sesuai order... berfungsi dengan baik... respon & pengiriman cepat...puasss..,bintang 5,3 bulan lalu
Bekerja dengan baik 👍 tinggal update beberapa driver supaya lebih oke 👌,bintang 5,5 bulan lalu
"barangnya sudah di terima sudh di coba langsung masuk windows 10, trimakasih bang🙏",bintang 5,11 bulan lalu
"alhamdulillah paket telah sampai semoga bisa berfungsi dengan baik, karena belum saya coba",bintang 5,9 bulan lalu
"barang bagus, berfungsi dengan baik",bintang 5,10 bulan lalu
Mantap toko yg bagus dan amanah,bintang 5,4 minggu lalu
"barang sampaii dengan cepat, belum sempet di cobaa semoga gaada kendala dan awet ... makasih min",bintang 5,2 bulan lalu
"ssd nya sampai dengan selamat, pengiriman juga cepat 1 hari nyampe.",bintang 5,2 bulan lalu
garansi resmi model nya sesuai di gambar barangnya ori nih RAM mantul buat gaming suara nya TOP hasil foto untuk kelas tablet oke baterai nya di buat main seharian kuat,bintang 5,garansi resmi model nya sesuai di gambar barangnya ori nih RAM mantul buat gaming suara nya TOP hasil foto untuk kelas tablet oke baterai nya di buat main seharian kuat
"Seller komunikatif, tapi Microsoft office nya masih perlu beli lisensi tidak free, smoga ke depannya semua aplikasinya bisa digunakan dgn free tanpa embel"" beli lagi",bintang 5,1 bulan lalu
"Barang yg datang sesuai deskripsi, mamang sellernya past respon, pengiruman cepat, dapat bonus kabel sata, dll. pokoknya recomended seller, jangan ragu beli di sini, ada...",bintang 5,
"Bagus, tgl pkai     ... Penjual ramah",bintang 5,1 bulan lalu
"terima kasih,sudak di jalankan berfungsi dengan baik, windowsnya KMS 6 bulan, mesti nyari license lagi,🙏",bintang 5,5 bulan lalu
MANTAP REKOMENDASI BNGT TINGGAL PASANG SAMA INSTALL VGA SLSAI GA RIBET MNTP garansi resmi model nya sesuai di gambar suara nya TOP barangnya ori nih,bintang 5,
"bagus , berfungsi dengan normal mantap gan",bintang 5,2 bulan lalu
mantap.. berfungsi normal dan isian sesuai,bintang 5,1 minggu lalu
"mantap penjualnya detail ngasih taunya, ramah",bintang 5,3 bulan lalu
"sesuai pesanan, berfungsi dengan baik, trims gan...",bintang 5,3 bulan lalu
"terbaik yang pernah ada..diskusi jelas, dipandu pilihan yang benar. sdh dipasang dan lancar jaya. laptop ngebut dan stabil. recommeded seller bgt2. thanks alot",bintang 5,2 minggu lalu
"pelapak, orgnya ramah.. tanya² dijawab. 
barang sesuai deskripsi.. thks",bintang 5,4 bulan lalu
"Penjual gercep respon & pengiriman..barang normal sudah dicoba. 
Rekom seller !!",bintang 5,6 hari lalu
produk sesuai descripsi dan berjalan dengan lancar,bintang 5,2 minggu lalu
"sesuai request. fast respon seller. 
recomended",bintang 5,2 bulan lalu
"Respond Toko dan Barang ok punya, siip lah",bintang 5,
Josh gandosh kotos². top markotop. langsung ngacir speed nya gak lemot lagi.,bintang 5,1 minggu lalu
barang ok dipasang disupport installasi.terimaksih,bintang 5,
"mantep gan laptop jadul jadi ngebut ,makasih banyak!",bintang 5,1 bulan lalu
Terdeteksi & berfungsi baik,bintang 5,3 bulan lalu
"brng brfngsi dgn baik, mksh buat seller.y",bintang 5,5 bulan lalu
"pengiriman cepat, barang sesuai",bintang 5,
"sangat mantap, sesuai request di layani dengan baik",bintang 5,10 bulan lalu
makasih gan............................................................................,bintang 5,8 bulan lalu
"pembelian kesekian kalinya. 
selalu puas dan ga pernah kecewa. 

terimakasih",bintang 5,6 bulan lalu
berfungsi dengan baik 👍,bintang 5,2 bulan lalu
penjual ramah,bintang 5,5 bulan lalu
recommended seller,bintang 5,7 bulan lalu
mantap 👍,bintang 5,
good,bintang 5,2 bulan lalu
Joss bisa langsung pakai,bintang 5,10 bulan lalu
mantap gan,bintang 5,1 bulan lalu
manthaf,bintang 5,2 bulan lalu
Ok Sesuai ekspektasi....,bintang 5,
Mantap barang nya ok,bintang 5,1 bulan lalu
,bintang 5,7 bulan lalu
,bintang 5,8 bulan lalu
,bintang 5,
Mntp,bintang 5,1 bulan lalu
murah,bintang 5,
"joss gandhos, lancar",bintang 5,2 bulan lalu
sesuai👍👍👍👍👍,bintang 5,1 bulan lalu
oke,bintang 5,3 minggu lalu
GoodJobs daizobu 🗿,bintang 5,3 bulan lalu
mantap,bintang 5,2 bulan lalu
mantap,bintang 5,11 bulan lalu
Top banget,bintang 5,1 bulan lalu
mantap gan,bintang 5,
sesuai request 👍,bintang 5,3 minggu lalu
mantap... tq Bos,bintang 5,
top.... tinggal tancep,bintang 5,
