review,rating,date
"kabel casnya belum dicoba, karna ternyata beda dengan punyaku sebelumnya. buat yg mau beli, mending sekalian beli kepala casnya biar gak ribet nyari lagi. earphone juga b...",bintang 5,2 bulan lalu
"barang sampai dengan selamat. ada garansi resmi dan masih segel. bisa dijalankan dengan sangat baik. pengiriman cepat pesan hr selasa, kamis udh dateng. terimakasih buat...",bintang 5,10 bulan lalu
barang msh di segel.packing nya oke sangat aman . untuk pemgirimannya sesuai estimasi juga. oke bagus,bintang 5,
Barangnya original 👍 Kemasan disegel Spesifikasi sesuai Ada garansi resmi Kelengkapan sesuai Warna sesuai pesanan Barangnya mulus Berfungsi dengan baik Suara jernih Kame...,bintang 5,9 bulan lalu
"Bagus, sesuai dan berfungsi dengan baik.  Barang original.",bintang 5,
"Hp beserta bonusnya sudah sampai dengan selamat. semuanya bagus, cuma earphonenya aja yang kurang, tapi ya namanya juga bonus, mau yg bagus ya harus beli ya.. 
terimakasi...",bintang 5,10 bulan lalu
"Bubblewrap sangat tebal, aman banget. pengiriman jg normal. terima kasih",bintang 5,3 bulan lalu
mantap bahan bagus tidak mengecewakan pemirsa,bintang 5,2 bulan lalu
"hp nya berfungsi dengan baik, semoga awet dan aftersales nya tidak ribet. mantuk",bintang 5,
"ini sudah yang ke-2 kali saya beli hp di toko ini..
Barang bagus dan berfungsi dengan baik...masih disegel waktu barang sampai.",bintang 5,
"Barang sesuai dengan harga,pengiriman cepat bagus dan sy puas dengan barangnya terimakasih sm tokonya,sangat amanah,terimakasih banyak",bintang 5,10 bulan lalu
pengiriman tjepat. peking aman. barang ori. moga awet. makasee.,bintang 5,7 bulan lalu
"barang oke, spesifikasi sesuai harga mantap.",bintang 5,9 bulan lalu
"barang sudah diterima, pengiriman dipaking dengan aman, susuai dengan permintaan, recomended seller.terimakasih",bintang 5,
Hp nya asli nih jgn ragu tappppppppssssss,bintang 5,9 bulan lalu
"Tolong admin yg balas chat sblm saya beli, lebih fokus dlm menjawab pertanyaan saya. Makasih",bintang 5,11 bulan lalu
"barang original dan bergaransi sein. free adapternya ada dan semua berfungsi dengan baik. tapi sayang, di awal tanya warna hitamnya ready namun setelah pembayaran ternyat...",bintang 4,12 bulan lalu
"pelayanan penjual sat set, langsung proses, ndak pakai lama. packing barang, aman. barang masih segel. suka ama penjual seperti ini. makasih pelayanannya.",bintang 5,1 bulan lalu
"sesuai deskripsi, ada garansi resmi, barang orginal, packing aman",bintang 5,10 bulan lalu
