review,rating,date
"barang sesuai deskripsi
Masih utuh segelan
penjual responsif 

jgn ragu dah beli disini
aman sentosa",bintang 5,1 bulan lalu
Barang oke harga oke sesuai dengan yang di minta.,bintang 5,6 bulan lalu
"Barang SEGEL dan ORIGINAL, Garansi RESMI 1 tahun, Seller amanah dan bakal jadi langganan",bintang 5,
"Barang masi tersegel, dijamin ori insyaAllah, pengiriman sangat cepat. Semoga selalu amanah yaa toko Budi. Terima kasih",bintang 5,7 bulan lalu
Barang sesuai. Samsung original. Msh segel Semua.. Recomended seller..  Thanks 👍,bintang 5,1 minggu lalu
HP nya ori dan murah meriah promo nya. Semua nya ok no repack dan benar masih segel!,bintang 5,
"barang segel, packing rapih, seller gercep 👍👍
paketan lengkap sesuai pesanan dan deskripsi.
Smoga tokonya berkah 🙏🏻",bintang 5,11 bulan lalu
mantaaap... hp a15/256 masih segel dan berfungsi dgn baik asli samsung. packing kemasan super aman. terima kasih,bintang 5,
Super pinte seller ni. kayanya bekas tempelan adapter yg dipaket ori hp nya. Super,bintang 5,7 bulan lalu
barang berfungsi dengan baik dan dikemas dengan rapi,bintang 5,3 minggu lalu
"produk Aman, mulus, sudah dicoba semuanya lancar",bintang 5,
"Alhamdulillaah, barang pesanan udah sampai dg baik, berjalan normal, & sesuai deskripsi.
Terima kasih, Kakak Seller. Semoga usaha smean sukses & barokah.",bintang 5,
"mantab,sesuai deskripsi dan pesanan.
kelengkapan juga aman
thx seller",bintang 5,1 bulan lalu
mantap .. sesuai dengan deskripsi .. respon & pengiriman cepat .. 👍👍👍,bintang 5,11 bulan lalu
"Good !.. sejauh ini semuanya normal, buat gift dan orangnya happy 😊 

cuma ekspedisi biru kurang rokemen, lamaaa",bintang 5,6 bulan lalu
"barang mash segel, sesai deskrpsi, belum dicoba, mudah2an berfungsi",bintang 5,
"lebih murah dari toko oren, kondisi kotak sedikit penyok, isinya aman, barang mulus semulus pantat bayi, packing juga aman",bintang 5,
"barang masih segel,kemasan rapi.penjual ramah.

barang juga bagus alias original resmi.

pokonya bagus deh",bintang 5,3 minggu lalu
"barang masih segel
kwalitas baik
pengiriman baik 
respon baik
toko nya amanah",bintang 5,
"barang sampai aman, semua lancar, isi lengkap, akhirnya punya hp bagusan, lebar, ga dikatain usang sm yutub",bintang 5,3 bulan lalu
"Overall worth it lah barang ori garansi resmi
Cuman satu kekurangan toko ini dalam hal pengiriman, harusnya kalo chekout hari ini dikirim hari ini juga jangan besok besok...",bintang 4,2 hari lalu
"barang original, packing rapi dan aman, sesuai deskripsi 🫶👍",bintang 5,
Mantap barang oke sesuai respon seler ramah baik hati dan tidak sombong,bintang 5,2 minggu lalu
mantap paket sesuai cepet sampai gaskeunn,bintang 5,1 bulan lalu
terimakasih Kaka produk sudah saya terima dan baru saya bongkar produk ORI packing aman,bintang 5,2 minggu lalu
trauma pernah beli xiaomi dicuri kurir 4 bulan baru duit dibalikin. tadi cek toped paket sudah sampai penerima budi..lha..sy di kamar tidur2 tdk terima paket apa2. cek fo...,bintang 5,
mantap ramah cpt responnya dan bagus paketnya,bintang 5,9 bulan lalu
"hp bagus, seller baik dan ramah, terimakasih banyak",bintang 5,8 bulan lalu
Bagus ga ada kurang satu pun pengiriman kilat bgt makasi seler,bintang 5,6 bulan lalu
Produk ori Samsung....gk diragukan lg. Pengiriman cepet sampai nya,bintang 5,2 bulan lalu
"Barang sampai dg aman, kondisi masih tersegel dan sudah di tes, terima kasih",bintang 5,1 bulan lalu
