review,rating,date
"Alhamdulillah barangnya udah sampai dan sesuai dengan pesanan, packingnya aman banget jadi ga rusak pas pengiriman. Segel dan garansi resmi Samsung Indonesia",bintang 5,3 minggu lalu
"Packing bubble wrap tebal, kotak HP terbungkus plastik dan disegel sticker polos putih, HP diterima dalam kondisi baik, sudah dicoba dan berfungsi normal, cek IMEI sesuai...",bintang 5,3 minggu lalu
"Barang sesuai pesanan, proses kirim dan kurir super cepat, packing sesuai kebutuhan, harga bersaing, semoga awet…",bintang 5,2 bulan lalu
"Produk sesuai pesanan, produknya tersegel rapih,",bintang 5,1 minggu lalu
"Seller nya sangat Amanah,
barangnya sampai dengan selamat..
A56 memang the best..
rekomen sekali beli di Toko ini.. 👍🏻",bintang 5,1 bulan lalu
"barang masih segel, pengiriman aman karena bubble wrapnya tebel banget. pesanan juga cepet dikirim.",bintang 5,1 bulan lalu
"Barang bagus masih di segel , pengiriman cepet langsung di proses",bintang 5,1 bulan lalu
"sesuai pesanan, sesuai deskripsi, barang original, masih disegel dengan aman, berfungsi dengan baik, kualitas bagus langsung bisa diaktifkan dan digunakan, barang mulusss...",bintang 5,1 bulan lalu
Aman dan asli. Kualitas barang bagus. Gak ada kendala sama sekali. Pengiriman juga cepat,bintang 5,1 bulan lalu
"Barang masih disegel, barang baru dan aman ketika datang, packeging rapi, spesifikasi sesuai dan tentunya bisa digunakan dengan baik. Terima Kasih",bintang 5,1 minggu lalu
"barang unit mantap, sesuai pesenan barang original",bintang 5,1 bulan lalu
"Received the item in good condition. The seller was very responsive, and the delivery was impressively fast. Highly recommended!",bintang 5,1 bulan lalu
barang bagus..seller jg ramah dan baik.minta warna di catatan msh di kasih.pengiriman jg cepet,bintang 5,1 bulan lalu
"good job. pengiriman cepat,  hp masi segel dan ORI. harga termurah. udh dapat potongan harga ada cashback lagi 280k. woilaah. klo di itung2 jadinya cuma bayar 5.375k incl...",bintang 5,4 minggu lalu
Respon seler bagus... barang original masih disegel... pengiriman super cepat... semoga awet... Terima kasih...,bintang 5,1 bulan lalu
"Alhamdulillah barang sudah sampai dengan aman, sesuai pesanan, dan semua dalam kondisi bagus.. Semoga jadi hp yg berkah dan awet..thanks seller n kurir.",bintang 5,1 bulan lalu
