review,rating,date
"barang sesuai deskripsi, original dan dipakai sudah 1mngg an aman2 aja, chek masa produksi juga masih 1bln dari pembelian (jadi barang benar2 new product), sedikit kendal...",bintang 5,7 bulan lalu
"Barang masih segel, berfungsi baik.. pengiriman cepat, seller ramah dan enak diajak diskusi.Rekomendasi toko",bintang 5,
terimakasihhhh sudah diterima dengan baik. pengiriman cepat pelayanannya memuaskan 👍👍👍,bintang 5,8 bulan lalu
"Barang sudah sampai, isi lengkap sesuai deskripsi",bintang 4,1 bulan lalu
"packaging super aman, barang diterima dalam kondisi baik",bintang 5,
"barang bagus pengiriman cepat, tapi di bagian atas dan bawah layar seperti ada plastik tipis tersangkut",bintang 5,
"seller responsif, harga bersaing, barang ori, paking aman, kurir kilat. mantap",bintang 5,1 bulan lalu
"barang ori dan berfungsi dengan baik, seller fast respon banget, paket juga cepet banget sampe dan pengemasan nggak ada celah bubble wrapnya tebell banget.",bintang 5,
"Penjual ramah, fast response. Barang original dan uda free eSim XL. Semua berjalan lancar tanpa kendala apapun.
Tapi sedikit masukan kalau kirim via gosend, lebih baik ka...",bintang 5,
"barang ori, bungkus cukup tebal. ada bublewrap dan dikardusin lagi. dapet harga lebih murah. terima kasih",bintang 5,
"Gercep banget sehari nyampe Bandung. Packing super rapi dan aman, full lakban all around the package. Harga paling murah se-tokopedia, puas deh pokoknya. Mudah-mudahan ta...",bintang 5,3 bulan lalu
"Barang bagus masih segel, lancar jumat pesen minggu sampe cikampek. Harga paling murah dari toko2 lain. Semoga awett",bintang 5,9 bulan lalu
"Original, garansi resmi dan barang segel BNIB.",bintang 5,11 bulan lalu
"barang original, berfungsi dengan baik, pengiriman cepat, packing aman, moga awet, semua fitur berfungsi normal, pas 11.11 dpet hrga cuma 5,6jt. mantab. bawaan box ada un...",bintang 5,
"Barang BNIB. original sudah pasti. packing sangat aman. seller juga ramah. sejauh ini tidak ada kendala setelah pemakaian 1 minggu. Oya, stylus S-pen sangat responsif, de...",bintang 5,3 bulan lalu
"Barang ori,pengiriman langsung cepet harga termasuk yg kompetitif..next kalo butuh gadget bisa nih di toko ini..tks ya",bintang 5,
"Udah beli 2x dari toko ini, barang original tapi kali ini ngga dapet bonus esim paket xl, harga paling murah dari toko lain",bintang 5,8 bulan lalu
"garansinya juga masih aktif.. barang orii, baguss, packagingnya juga aman.. so far after dipakai hampir 1 bulan gaada issue sih. dan utk seuukuran tab ini masih worth it...",bintang 5,4 bulan lalu
"Iseng² cari Tab S9 FE, lalu nemu di toko ini dgn harga miring yg ga masuk akal.
Spt bbrp riviu yg saya baca, saya juga awalnya ragu dgn harga yg ditawarkan, tp stlh ngobr...",bintang 5,
"barang ori, fast respon , kereeeeennn 
semoga bisa lebih baik lg",bintang 5,
"nyampe juga di hari ketiga. padahal pake YES 😑
packing aman. segel sein BNIB. Unit yg sy dapet seret bgt slot sdcard nya. udah d tusuk pelan2, susah bgt keluar nya. enta...",bintang 4,
"barang sesuai deskripsi, bagus banget dan masih segel... mantapp👍👍",bintang 5,8 bulan lalu
"barang segel BNIB
ternyata tab nya lebih tebal dan lebih berat drpd tab S9 
overall ok.. mudah2an awet",bintang 5,
"Barang BNIB, Original, Packing Aman Sampai Tujuan, Proses Toko Cepat.",bintang 5,9 bulan lalu
barang masih disegel pada saat diterima. sudah dicoba dan berfungsi dgn baik,bintang 5,
Alhamdulillah sesuai pesanan dan sangat cepat dengan pelayanan yang tanggap dan harga sangat kompetitif,bintang 5,2 bulan lalu
"sesuai pesanan, masih terseal semuanya dijamin baru. packingnya juga aman dan pengirimannya cepat 👍",bintang 5,
"pengiriman cepat, packingan rapat, barangnya mantap",bintang 5,9 bulan lalu
packing aman...barang aman...penjual ramah tamah,bintang 5,
"kebetulan dekat rumah jd bs kirim instant,,original,dan best price se tokped. terimakasihhh",bintang 5,2 bulan lalu
"paling murah diharganya... sempet ragu kok bisa murah... 😅
barangnya mantap, packingnya aman... dikasih dus keras luarnya, selimut bublewrap beberapa lapis baru ketemu d...",bintang 5,3 bulan lalu
"barang segel garansi resmi produk original, semua berfungsi dengan baik tidak ada defect, harga termurah. overall oke",bintang 5,1 bulan lalu
"garansi resmi, bisa diambil ditempat, barang ori, respon cepat",bintang 5,
"masih segel, baru, garansi resmi samsung indonesia",bintang 5,10 bulan lalu
"Produk sangat nyaman digunakan, smooth, layar TFT tapi seperti amoled, include S-pen, seller ramah, recommended seller, thanks Gan",bintang 5,1 minggu lalu
barang masih segel. Packing rapi banget. dapat harga murah plus voucher 9.9. mantap. sukses.,bintang 5,8 bulan lalu
"barang resmi masih segel, walaupengiriman agak lama, tpi worth it, sepaket sama chargernya juga thanks seller, semoga awet",bintang 5,10 bulan lalu
"ditombol power, agak susah buat finger print. karena kehalang casing.
tolong diperbaiki design nya",bintang 5,7 bulan lalu
"masih segel dan sesuai diskripsi, dibungkus menggunakan bubble wrap dan proses pengiriman cepat",bintang 5,9 bulan lalu
barang ori dan packing sangat aman tebal,bintang 5,3 bulan lalu
barang masih segel original. barang bagus,bintang 5,2 bulan lalu
barangnya msh segel dan bonus charger spt di deskripsi.,bintang 5,
"Barang Segel, Fast Respon, Pengiriman Cepat,",bintang 5,2 minggu lalu
"produk ori, packing + kardus rapi kuat mantap",bintang 5,11 bulan lalu
"original, pengiriman n respon cepat, barang dtg kondisi bgus n selamat sampai tujuan,, trimakasih",bintang 5,10 bulan lalu
Barangnya original 👍 Proses pesanan cepat Packaging rapi Packaging aman 🙏,bintang 5,
"barang segel, packing rapih + bubble wrap, selotip full, thanks seller.",bintang 5,11 bulan lalu
"barang asli, packing bagus. cuman kmrn ada miss d kelengkapan paket (charger) yg proses nya lmyn lama. overall msh bagus sh",bintang 4,10 bulan lalu
"packing aman, barang tersegel. seller responsif. thanks ya",bintang 5,10 bulan lalu
barang bagus sesuai dengan harapan pelayanan cepat,bintang 5,8 bulan lalu
"barang baguss keren original, rekomendasi seller topp",bintang 5,
Pesanan dikirim di hari yg sama dengan transaksi tp emang malam sih. Sejauh ini unit normal. Saya sdh cek ke CS samsung kalau unitnya resmi untuk garansi di Indonesia,bintang 5,Pesanan dikirim di hari yg sama dengan transaksi tp emang malam sih. Sejauh ini unit normal. Saya sdh cek ke CS samsung kalau unitnya resmi untuk garansi di Indonesia
"Barang BNIB, seller responsif harga promo",bintang 5,10 bulan lalu
"Pengiriman aman dan cepat, perangkat bisa berjalan dengan baik",bintang 5,
"barang diterima dengan baik dan diberi kardus dengan bubblewrap , tapi charger seperti yang dijanjikan tidak ada",bintang 4,2 bulan lalu
"kerennn barang nyaaa, cuman admin nya kurang fast respon",bintang 5,3 minggu lalu
"fast response, bnib, packing ok, original",bintang 5,
"Mantab..
Barang baru, masih segel.
Kualitasnya OK..",bintang 5,
"Pengiriman cepat
Respon seller cpt",bintang 5,
"sesuai keterangan, ada segel nya, respon & pengiriman cepat",bintang 5,
"Nice pembelian ke 2 Di Toko ini. Barang Nya selalu Ori dan yg pasti deket bisa gosend terus, Makasih",bintang 5,1 bulan lalu
"Produk sesuai deskripsi, packing aman banget, mantap! 👍",bintang 5,
"respon penjual baik. cuma sayang, pesan sam day dan penjual bilang kirim hari yg sama, akhirnya br kirim besoknya dan siang pula jam 2. kurir kesorean ambil barang, kemal...",bintang 4,10 bulan lalu
nice seller barang oke so far so good tidak ada problem,bintang 5,
masih segel... bagus. Seller ok. Cuma kurir aja id express yg lama,bintang 5,8 bulan lalu
makasihhh barang sudah diterima dengan baikkk mantapp👍👍👍,bintang 5,8 bulan lalu
Barang diterima orang rumah kondisi baik. Sampai skrng blom unboxing krn masih dinas luar kota. Terimakasih Seller,bintang 5,
"makasih, pelayanannya mantap. ekspedisi juga okelah. seller recommended🙏🏻",bintang 5,8 bulan lalu
"Barang Ok, Garansi Resmi, Fast Respon",bintang 5,2 minggu lalu
"Beli sameday nyampe nya 2 hari kemudian, cuma dibungkus buble 2x gulung untuk barang jutaan, gw beli brg 50rb aja dikasi dus.. payah 👎👎👎",bintang 3,9 bulan lalu
sangat  direkomendasikan. Pokoknya jangan ragu belanja di sini ya kak,bintang 5,
Barang original. Pengiriman cepat,bintang 5,
ok barang asli pengiriman aman,bintang 5,2 bulan lalu
"segel ori, kirim jauh aman",bintang 5,10 bulan lalu
siippp. barang sesuai deskripsi.,bintang 5,
AWESOME SOUL... MANTAB DJIWA... SUPER RECOMMENDED SELLER...,bintang 5,2 bulan lalu
Barang original karena begitu beli langsung dibawa ke Samsung Center buat cek garansi. Paten!!,bintang 5,10 bulan lalu
"Alhamdulillah pesanan sampai dengan selamat, kemasan aman dan produk segel dan ori",bintang 5,
"barang baru ori,  masih segel. dapat harga murah di sini Alhamdulillah 
Hanya jasa ekspedisi nya yg agak lemot dan bikin kesal",bintang 5,
ke luar pulau jawa 3 hari doangg?? luv bgt🫶🏻🫶🏻🥺🥺,bintang 5,2 minggu lalu
"fast respond, pelayanan ramah, barang bagus, nyampe cepet bgt, recommend seller,",bintang 5,1 bulan lalu
"Barang Ori sesuai deskripsi.
pengiriman cepat
recommended seller",bintang 5,2 minggu lalu
"box original,  lengkap dengan spen, Kabel charger,  sim ejector",bintang 5,1 bulan lalu
"Barang original. pengiriman cepat, harga udah paling murah diantara seller lainnya",bintang 5,
"penjual fast response, barang datang juga masih segel. mantap... dan sukses selalu untuk seller.",bintang 5,
barang masih disegel saat sampai dan dapat berfungsi dengan baik. seller-nya juga fast respon,bintang 5,
"Samsung Galaxy Tab S9 FE+ varian ram 12 GB, 256 GB internal sdh saya terima. Spek dan warna sesuai, garansi resmi samsung indonesia. Terima kasih gan .....",bintang 5,
"barang ori dan sampai dalam 3 hari
paling murah se tokped
lengkap stylus dan new in box",bintang 5,3 bulan lalu
"produk : segel, garansi resmi, baru kinyis2, berfungsi baik

seller : responsif banget (di chat jam 12 malam masih dibalas 👍👍👍). packing mantap dan aman.

⭐⭐⭐⭐⭐",bintang 5,
Ada garansi resmi Barangnya original 👍 Penjualnya ramah banget Packaging aman 🙏,bintang 5,
"Barang masih segel, resmi. Pengiriman cepat. Terima kasih banyak Myfon Teleshop Official.",bintang 5,3 bulan lalu
"Barang maaoh segel dan original, imei cocok dan berfungsi baik. semoga awet dan berkah, Aamiin... Thanks seller.",bintang 5,3 minggu lalu
Barang diterima dg kondisi baik. Packagingnya rapi dan aman. Bagian dalam diberi foam & bubble wrap. Bagian luar tertutup rapat dg lakban.,bintang 5,10 bulan lalu
"barang original dari samsung, semua lengkap masih sealed BNIB, thank you seller maaf juga yaa klw byk tanya2 💖

TIPS: jangan pilih JNE YES soalnya lama di warehouse tang...",bintang 5,8 bulan lalu
"pengiriman cepat, barang Ori, mantap pokoknya",bintang 5,2 bulan lalu
"barngnya masih disegel, pengiriman cepet bgt 2 hari sampe.. respon penjual juga baik, sejauh ini penggunaan nyaman",bintang 5,"barngnya masih disegel, pengiriman cepet bgt 2 hari sampe.. respon penjual juga baik, sejauh ini penggunaan nyaman"
"Barang masih disegel, packingnya tebel, rapih, dan aman banget. Terbaik dan termurah! Terima kasih banyak admin sudah sangat responsif",bintang 5,
"pengiriman cepet,  rapi, barang sesuai.  CS fast respond",bintang 5,
"barang sesuai deskripsi, pengiriman aman, respon seller cepat. terima kasih",bintang 5,1 bulan lalu
"fast respons, barang diterima sesuai pesanan, berfungsi dengan baik, makasih kak",bintang 5,
"Barang cepat sampainya, masih segel sampai sekarang alias belum dibuka. Review menyusul ya",bintang 5,2 bulan lalu
"yang mau belanja jangan ragu, toko / penjual fastrespon  dan amanah, product yg dijual sesuai deskripsi dan sesuai yg kita pesan, mantab pokoknya belanja disini.",bintang 5,8 bulan lalu
"barang sesuai pesanan, sejauh ini di test berfungsi dengan baik",bintang 5,
"Barang bagus, pelayanan oke , pengiriman cepat",bintang 5,9 bulan lalu
Ada Toko offline-nya dan Bagus Pelayanan dari Penjual (Mas Yanda). Terimakasih.,bintang 5,
"barang sampai, segel, sesuai SN nya .. dapat harga promo dan berfungsi baik sampai ulasan ditulis",bintang 5,
"Mantap, respon seller juga bagus 👍🏻",bintang 5,9 bulan lalu
"sesuai deskripsi, pelayanan oke dan jelas",bintang 5,
"Layanan cepat, sabar menghadapi pertanyaan, dapat harga promo murah, mantep.",bintang 5,
"bnib sesuai kata admin, fast respon. jos lah",bintang 5,9 bulan lalu
"nyari2 toko yg jual bukan repack, alhamdulilah toko ini amanah dan sangat informatif. barangnya benar2 baru dan belum pernah dibuka. Terima kasih yaaaa",bintang 5,1 bulan lalu
beli dihari Minggu cepat sampai..fast response mantaabb..makasih ya mas,bintang 5,beli dihari Minggu cepat sampai..fast response mantaabb..makasih ya mas
"tabnya keren, seller nya bae banget. sukses terus unt seller dan Tokopedia",bintang 5,
"responsif, paling murah dan dijamin ori",bintang 5,
"barang masih segel, gak ada cacat. ori",bintang 5,1 minggu lalu
responsif dan terpercaya 👍,bintang 5,
yg dibeli se + yg dikasi se,bintang 1,5 bulan lalu
"Barang sampai. Paket aman, harga ok",bintang 5,
baramg bagus dan segel masih utuh,bintang 5,10 bulan lalu
"barang original, tidak perly ragu",bintang 5,2 bulan lalu
"fast respon, fast delivery, recomended",bintang 5,
sesuai spesifikasi...terima kasih.,bintang 5,
"Mantap, sudah datang yang ditunggu-tunggu. Jangan pakai next day sicepat, wkwkwk. ga sesuai jaminan sehari.",bintang 5,"Mantap, sudah datang yang ditunggu-tunggu. Jangan pakai next day sicepat, wkwkwk. ga sesuai jaminan sehari."
"barang
sudah 
sampai 
bagus
aman
...........",bintang 5,
top....sudah diterima dan lancar semua..makasih gan,bintang 5,
Packingnya rapih dan sangat aman.,bintang 5,11 bulan lalu
"dapet harga miring, terimakasih myfon",bintang 5,
"rekomended seller, barang ori",bintang 5,
respon n barang oke,bintang 5,
harga lebih murah dari yg lain,bintang 5,5 bulan lalu
Barang datang dalam kedaaan tersegel. Kurir pengiriman datang sesuai waktu permintaan. Terimakasih 🙏,bintang 5,3 bulan lalu
Barang ok. Seller ok,bintang 5,
so far so good. mudah2an awet. packing aman. thanks,bintang 5,
,bintang 5,
,bintang 5,
Mantap,bintang 5,
sesuai deskripsi,bintang 5,
Barang aman dan mantap,bintang 5,3 bulan lalu
,bintang 4,3 bulan lalu
,bintang 5,11 bulan lalu
mantap! biar bintang yang berbicara,bintang 5,2 bulan lalu
good,bintang 5,
ok. sesuai order,bintang 5,
TOP,bintang 5,6 bulan lalu
mantapp,bintang 5,
mantapsss,bintang 5,10 bulan lalu
