review,rating,date
"Barangnya ori, semua berfungsi oke, s pennya juga mantab. overall sukaaaa, thank you seller 🫰",bintang 5,10 bulan lalu
"akhirnya sampai jugaa, cukup cepat sampainya, beli karna butuh cepet padahal nunggu 12.12 pasti murce wkwk. packagingnya only 1 bubble wrap + dus DIY overall aman barangn...",bintang 5,5 bulan lalu
"bagus keren langsung kupakein tg, aman kok spen tetep lancar ga seret 👍🏻",bintang 5,1 bulan lalu
"Barang aman, semua berfungsi dengan baik, tidak ada kurangnya, mantap",bintang 5,9 bulan lalu
Diterima dengan baik dan berfungsi normal meskipun kemasannya agak mengkhawatirkan.,bintang 5,3 minggu lalu
barang masih disegel. sampai dengan aman.,bintang 5,1 minggu lalu
"barang masih segel, setelah dibuka kondisi baik, dan setelah dicoba barang berfungsi baik",bintang 5,2 bulan lalu
"packaging sangat rapi dan aman, barang tentu saja Ori. sampai dengan cepat dan barang mulus. berfungsi dengan baik",bintang 5,2 bulan lalu
"Barang resmi, original, masih segel. Pengiriman cepat. Recommended!",bintang 5,8 bulan lalu
"Alhamdulillah seneng banget akhirnya barang yg ditunggu tunggu datang😭, Packaging aman banget, mulus tidak ada kurang satupun, semua berfungsi dengan baik, seneng banget...",bintang 5,
"barang sampe dgn kondisi mulus & tersegel, packaging tebel pake kardus dan bubble wrap berlapis. semua berfungsi dgn baik, overall puas 👍🏻",bintang 5,10 bulan lalu
Aman beli di official store karena barang BNIB tersegel resmi bukan repack,bintang 5,
"Pengiriaman sangat cepat. Packing rapih dan aman, produk sesuai pesanan, kurir nya ramah, penjual nya cepat respon, poko nya tidak pernah memgecewakan kalau order barang...",bintang 5,
barang sampai dengan selamat. suara speakernnya bagus,bintang 5,10 bulan lalu
"mantap, barang rapih dan berfungsi sangat sesuai!!! tinggal book cover keyboard supaya tambah produktif",bintang 5,
"barang masih disegel, original, pengirimannya cepat. tapi sayangnya tolong ditingkatkan lagi kardus/bubble warpnya.. sekelas samsung saya kira semestinya banyak ya safety...",bintang 5,
"Kardus peyok padahal pakai pengaman lebih, pengiriman termasuk lama
Bubble wrap sangat tipis
Semoga bisa diperbaiki kedepannya",bintang 5,8 bulan lalu
"barang tersegel dengan baik, pengiriman cepat dan terbungkus rapi",bintang 5,8 bulan lalu
"barang masih di segel, tepat waktu, barang sesuai pesanan",bintang 5,9 bulan lalu
respon toko nya cepat pengiriman nya juga gak lambat trus barang nya aman,bintang 5,3 minggu lalu
"Packaging super aman, berasa securee bgt saat terima. Barang dalam keadaan sangat baik",bintang 5,1 bulan lalu
barabg sesuai deskripsi dan tersegel dengan baik.,bintang 5,8 bulan lalu
"pengiriman cepat, packing tebal. semoga awetttt",bintang 5,11 bulan lalu
alhamdulilah yg di tunggu2 sudah sampai dengan aman barang masih tersegel dan sudah aktif mudah2an awet,bintang 5,
"Barang baru, masih tersegel, packing sangat aman, pengiriman cepat
kualitas barang dan garansi terjamin",bintang 5,7 bulan lalu
"berfungsi dengan baik, namun sayang untuk pengemasan sangat minim sekali dan dikhawatirkan tidak aman sampai pada customer, mohon dibuat lebih aman lagi kedepannya.",bintang 5,2 bulan lalu
"barang segel,original pastinya,berfungsi dengan baik,hanya masih bingung garansi fisiknya yg mana?",bintang 5,
"Barang sesuai deskripsi, packing sangat aman, pengiriman cepat, respon seller juga cepat banget. terima kasih, sangat puas dg produknya",bintang 5,
"Barang Ori, Tersegel Rapi. Pengiriman sangat cepat Dan Amann",bintang 5,1 bulan lalu
"Tablet masih disegel, bagus sesuai spesifikasi. Kartu garansi langsung terbit di Tokopedia, sayangnya nggak ada fisiknya. Sudah bisa dipakai tabletnya.",bintang 5,4 bulan lalu
"bagus, cocok buat ngambar portable, s pen nya tipis, tapi mudah untuk terbiasa pake ngambar, aplikasi csp gratis sampe 6 bulan, mantap.",bintang 5,4 bulan lalu
"barang masih baru dan mulus. tiba di tangan dengan selamat. terima kasih samsung, tokped, dan pak kurir 🫶

terkait unitnya, terkadang agak ngelag, tapi gak terlalu mengg...",bintang 5,4 bulan lalu
"pelayanan cepat, masih segel, barang bagus sekali",bintang 5,11 bulan lalu
Barang berfungsi dengan baik dan kelengkapan sesuai dengan deskripsi dan gambar.,bintang 5,6 bulan lalu
Barang resmi. Berfungsi dengan baik. Spesifikasi all around di harganya sekarang yang sudah ok di 5.8-5.5 juta-an. Packingnya aman.,bintang 5,8 bulan lalu
"Barang ori dan sangat bagus, sepadan sekali",bintang 5,
"Pengemasan barang cukup, barang sampai dgn aman, cepat. Masih tersegel. Produknya juga oke sesuai kebutuhan kita. Manteb",bintang 5,10 bulan lalu
"Good product, pengiriman sedikit bermasalah tapi couriernya bertanggung jawab",bintang 5,
"bukan yg paling kenceng, tpi paling lengkap di harganya",bintang 5,
bararang original dan masih di segel mantap,bintang 5,
"Pembelian khusus tablet saja, dpt s pen, garansi merek 1 thn, brg cpt dtgnya, pesan jumat, minggu sdh smp Lampung, packingnya oke bgt, brg msh tersegel, kalau mau beli mm...",bintang 5,2 bulan lalu
mantaaf....ngga perlu yang flagship....ini aja udah cukup bgt,bintang 5,
"barang masih disegel ,ori, manteb,cakep, sukaa",bintang 5,
"Barang udah sesuai, tetapi packingnya  masih kurang sesuai. dan unit terakhir kali di cas tgl 26 dan posisi box masih disegel",bintang 5,2 bulan lalu
pengiriman cepat dan aman. barang ori dan aman,bintang 5,6 bulan lalu
"Mantap, barang ori dan sampai dengan aman + cepat, packaging secure 👍",bintang 5,3 hari lalu
Paket diterima dalam keadaan baik dan aman. Box lapis dan tablet berfungsi dengan baik,bintang 5,1 minggu lalu
