review,rating,date
"Barang baru, mulus, original, garansi, berfungsi baik",bintang 5,
"Paket aman, barang terlihat ori sesuai deskripsi, seller fast respon, mantap deh",bintang 5,
"Barang bagus, tersegel dgn rapi. Seller ramah dan komunikatif. Pakai pengiriman instan gak sampai 3 jam sdh tiba. Terima kasih ya..",bintang 5,5 bulan lalu
"Bintang 5 untuk seller dan produknya, produk original, seller responsive dan memastikan barang sudah kita terima atau belum. Infonya bisa claim garansi ke samsung service...",bintang 5,3 bulan lalu
"Barang masih disegel. Packaging aman, kardus + bubble wrap.
Tab nya asli SEIN, bisa langsung scan barcode di belakang box nya. Suara speakernya manteb banget meskipun cum...",bintang 5,9 bulan lalu
"barang ori, mantab, pelayanan super ramah",bintang 5,10 bulan lalu
"Alhamdulillah barangnya sudah sampai, kece banget tabletnya. Pertama kali beli tablet langsung S9 FE hehe, btw buat seller tolong untuk pengiriman jangan pake ID Express...",bintang 5,3 bulan lalu
terimakasih penjual. barang aman sampai tujuan & kondisi masih tersegel ori.,bintang 5,10 bulan lalu
"Barang sesuai deskripsi, sesuai pesanan, mantap pokoknya. semoga awet, tidak ada kendala. rekomendasi seller 🤟",bintang 5,4 bulan lalu
"bagus, sesuai ekpetasi, pengiminanya oke , terus chat adminnya juga sangat fast respon. sukaaaa!!!",bintang 5,2 bulan lalu
"suka banget sama tabletnya, seller bener bener tanggung jawab masalah keyboard yang tidak tersambung ternyata harus update dan fitur note saat layar mati yang tidak bisa...",bintang 5,6 bulan lalu
"Barang disegel dengan baik, penjual ramah, speknya bagus- untuk yang ingin menggambar dpt clip studio paint untuk 6 bulan gratis. Pennya enak dipakai apalagi setelah dipa...",bintang 5,9 bulan lalu
"Penjual response sangat cepat, pesan kemarin esoknya langsunh diproses dan packaging aman, terima kasih seller semoga selalu amanah dan memberikan pelayanan terbaik. suks...",bintang 5,8 bulan lalu
"Barang ori, masih segel samsung dan harga lebih terjangkau🥰. Pengiriman cepat hanya 2 hari karena seller jg cepat memproses, seller ramah dan fast respon, kerenn",bintang 5,"Barang ori, masih segel samsung dan harga lebih terjangkau🥰. Pengiriman cepat hanya 2 hari karena seller jg cepat memproses, seller ramah dan fast respon, kerenn"
"Datang dengan cepat, paket di bubble wrap di dalam box. Aman. Tersegel.",bintang 5,4 bulan lalu
"Packing rapih banget dan segel, asesoris, dan kartu/surat garansi dll lengkap. Bukan S9 full price, tapi value for money, worth it banget karena sudah ada fitur DEX dan s...",bintang 5,9 bulan lalu
produk sudah saya terima dalam keadaan baik dan lengkap. thanks seller.,bintang 5,8 bulan lalu
"Aman, packing juga bagus, kurir juga amanah… barang juga asli samsung…. Mudah2an awet",bintang 5,4 bulan lalu
barang sudah sya terima dengan baik ...sales respon nya sangat whoozzz ...kiriman jga cepat dalam tempo 1 jam sdh sya terima ...,bintang 5,4 bulan lalu
"barang masih segel, packing rapi walau cuma buble sama dus, tapi aman
barang berfungsi dengan baik
penjual ramah, dan sering follow up pengiriman",bintang 5,10 bulan lalu
"barang bagus, lengkap, original, tersegel, pengirimannya aman, cepat, respon seller juga cepat",bintang 5,
"Proses cepat, respons penjual cepat dan ramah, barang ori, masih disegel rapi, dikemas pakai bubble wrap dan kotak kardus, sampai dengan aman. Sesuai pesanan, tipe dan wa...",bintang 5,7 bulan lalu
"Barang sesuai deskripsi, tersegel, original, berfungsi dengan baik, termurah di toped. Proses dan pengiriman sesuai waktu. Recommended Seller. Terima kasih",bintang 5,10 bulan lalu
"Barang diterima dengan baik, barang tersegel ori, kaka adminnya fast respon. Recommended bakal beli lagi di sini",bintang 5,
"pelayanan oke, barang ori masih tersegel dan berfungsi dengan baik",bintang 5,9 bulan lalu
"Barang masih segel, berfungsi normal, ori, mantapp",bintang 5,
"Barang sampai dengan selamat, masih disegel, produk ori, garansi asli 👍",bintang 5,7 bulan lalu
barang berfungsi normal..kemasan aman dalam pengiriman..seller responsif,bintang 5,4 bulan lalu
"Barang original. Repack sih tapi masih beneran brand new. Garansi masih utuh 1 tahun (saya beli 27 Maret 2024, dicek di website samsung garansi sampai 30 Maret 2025). Ori...",bintang 5,
"Barang ori, masi segel pas sampai. Cuman boxnya ada noda bekas cap tangan tapi ga masalah. Barang berfungsi dengan baik, dan membantu banget buat keperluan sekolah. selle...",bintang 5,9 bulan lalu
"Tablet berfungsi dengan lancar, packing super aman dan baik, pengiriman sat set sat set",bintang 5,2 minggu lalu
"barang sampai dalam kondisi baik, paking dengan bubble wrap dan stiker fragile. berfungsi dengan baik, S-Pen berfungsi baik.",bintang 5,10 bulan lalu
pelayananya ramah respon baik barang original packing dan pengiriman aman solusi software diskusi dgn baik barang berfungsi dgn baik original dan mulus,bintang 5,5 bulan lalu
"Barang Ori Segel, Seller ramah, dengan harga dibawah store resmi tapi tetep dapet garansi resmi, cuman packing nya lain kali bisa di tambahkan kayu pengaman, ada tambahan...",bintang 5,
"Pelayanan cepat, fast response, ramah.

admin sangat membantu.

packing sangat rapih dan aman dengan bubble wrap tebal di dalam.",bintang 5,8 bulan lalu
"Ori real! Adminnya ramah, sat set juga balasnya. Suka banget belanja disini 😍",bintang 5,5 bulan lalu
"Barang disegel dan ada garansi resminya, original, pengiriman cepat",bintang 5,10 bulan lalu
"puas sangat dengan produk nya. bundle cover keyboard. sempat panik karna ga konek. tanya mimin , ternyata harus update software dulu. dan bisa dipake deh. thanks ya",bintang 5,7 bulan lalu
"sudah sampai. pengantaran cepat banget, barang sepertinya ori dan berfungsi baik. makasih seller",bintang 5,1 minggu lalu
"Barang Oke, Seller Sangat Responsif, Recommended Seller",bintang 5,
"Barang berfungsi dengan baik dan yang paling terpenting adalah Garansi Resmi dari samsung, Pokoknya Rekomen beli barang elektronik di toko ini........",bintang 5,2 hari lalu
