review,rating,date
"sesuai pesanan walaupun agak telat sampainya
semoga awet
trima kasih",bintang 5,2 bulan lalu
mantap barang sangat bagus sekali makasih kaak semuga terus maju toko nya,bintang 5,1 bulan lalu
"Berfungsi dengan baik, barang original, recommended lah untuk hp 1 jutaan",bintang 5,1 bulan lalu
"Paket dikemas dengan sangat baik, aman, & ekstra bubble wrap. Sudah dicek semua berfungsi dengan baik, di charge masuk, sinyal oke, speaker & mic berfungsi, wifi...",bintang 5,2 bulan lalu
barang masih segel dan original..thx seller 👍👍,bintang 5,4 minggu lalu
"Sesuai ekspektasi, murmer cocok buat kerja dan hiburan yg ringan ringan
Semoga awet, tks seller udah cepat dikirim, pesen kemarin besoknya sampai",bintang 5,3 bulan lalu
"barang segel, dan garansi resmi, makasih seller semoga hpnya awet, warna sesuai request, pengiriman cepet thanks seller,",bintang 5,2 bulan lalu
Barangnya original 👍 Kemasan disegel Kelengkapan sesuai Spesifikasi sesuai Barangnya mulus Ada garansi resmi,bintang 5,
"murah, segel, paking rapi dan aman, penjual cepat respon , terimakasih",bintang 5,2 bulan lalu
"barang sesuai, respon seller juga gercep,pelayanan ok banget",bintang 5,4 minggu lalu
"bagus,barang original ! harga muraahhh 
Garansi",bintang 5,2 bulan lalu
"really good choice buat 2nd phone, emg beli ini karna 2nd phone matot, harganya reasonable + secara spec ini worth parah, udah 64 bit jd future proof, ga kaya merk sebela...",bintang 5,1 bulan lalu
"barang sampai dengan selamat. tidak ada, kerusakan berfungsi dengan baik.",bintang 5,1 minggu lalu
"mantab, pengiriman cepat,respon baik,dan barang diterima dengan normal",bintang 5,1 minggu lalu
"sellernya ramah, amanah. rekomended belanja ditoko ini. semoga ada orderan lagi, biar bisa pesan lagi",bintang 5,2 minggu lalu
"Kejernihan lensa: Lumayan
Kualitas pengerjaan: Lumayan juga
Performa sistem: Hp nya wantek beut dah..........................................................",bintang 5,3 minggu lalu
"Barang good  , service good , admin responsable 
Thank you 🙏🏻",bintang 5,1 bulan lalu
"barang bagus, pengiriman cepat,thanks seller 🥰🥰🥰",bintang 5,2 bulan lalu
"cepet pengirimanya ke madiun cuma 2 harian , toko amanah",bintang 5,1 bulan lalu
barang segel garansi resmi dan original,bintang 5,2 bulan lalu
"Barang baru .. bagus ..
tokonya amanah sekali .. rekomend buangetttt",bintang 5,1 bulan lalu
"hpnya sudah sampai , bener2 amanah selernya udah 2 kali belanja disi terimakasih ya👍",bintang 5,1 bulan lalu
"sesuai deskripsi, kurir top markotop, 1 hari sampai,",bintang 5,2 bulan lalu
hp sudah mendarat dan berfungsi normal,bintang 5,1 bulan lalu
"barang sesuai 
harga terjangkau",bintang 5,2 minggu lalu
barang original dan sampai dengan cepat.,bintang 5,3 bulan lalu
Alhamdulillah paket sudah sampai sesuai dengan deskripsi,bintang 5,2 bulan lalu
Barangnya original 👍 Kemasan disegel Warna sesuai pesanan Kelengkapan sesuai Berfungsi dengan baik Penjualnya ramah banget Proses pesanan cepat Packaging aman 🙏 Respon...,bintang 5,11 bulan lalu
Ada garansi resmi Barangnya original 👍 Kemasan disegel,bintang 5,11 bulan lalu
"mantap gan sudah smpe barang tidak mengecewakan sangat memuaskan belanja disini, terimakasih Tokopedia",bintang 5,2 bulan lalu
good luck barang masih segel...top markotop,bintang 5,1 bulan lalu
barangnya sudah sampai. ori. recomended belanja di toko ini. ini pesanan yang kedua. semoga ada yang order lagi biar bisa pesan lagi. upload video jaringan heng,bintang 5,6 hari lalu
"mantap murah meriah.
pengiriman cepet, admin bisa diajak curhat :)",bintang 5,1 bulan lalu
bagus dapet spek segini di harga yang murah,bintang 5,1 bulan lalu
pengiriman cepat mantap👍🏻,bintang 5,1 bulan lalu
barang Baguss Mendarat dengan baik,bintang 5,3 minggu lalu
"barang nya sangat bagus 
mudah2an barangnya awet",bintang 5,3 bulan lalu
sesuai dengan yg di harapkan puas,bintang 5,3 bulan lalu
overall bagus..,bintang 5,3 bulan lalu
mantap hp nya murah tapi bagus,bintang 5,2 bulan lalu
beli yang ke 2 kali Alhamdulillah amanah,bintang 5,1 bulan lalu
pokoknya jooossssssss...ssssssssssssssss...ssssssss,bintang 5,3 minggu lalu
mantap pokoknya barangnya bagus,bintang 5,2 bulan lalu
"Bagus
Barang ok 
Ga ada cacat",bintang 5,1 bulan lalu
"barang aman ori
top dh 👍",bintang 5,1 bulan lalu
barang bagus pelayanan mantap,bintang 5,6 hari lalu
,bintang 5,1 bulan lalu
bagus semoga awet,bintang 4,1 bulan lalu
Barang diterima dengan baik,bintang 5,2 bulan lalu
Barang sudah diterima dengan baik Terima kasih Kak,bintang 5,2 bulan lalu
barang ok gess,bintang 5,1 bulan lalu
Bagus,bintang 5,2 bulan lalu
Benar² amanah makasih,bintang 5,1 bulan lalu
mantaapp,bintang 5,1 bulan lalu
mantappppp,bintang 5,2 minggu lalu
👍,bintang 5,3 minggu lalu
,bintang 3,3 bulan lalu
