review,rating,date
mantap sesuai harapan dan barang masih segel,bintang 5,11 bulan lalu
"fast response and recommended seller, puas berbelanja di toko ini",bintang 5,5 bulan lalu
"barang nya mulus ori, tidak ada lecet dan tersegel rapih (BNIB), aman sampai tujuan😁👍",bintang 5,1 bulan lalu
"brg dtg masih di segel dn ad kartu garansi, hpnya sesuai ekspetasi, mksh seller",bintang 5,6 bulan lalu
"Mantap hpnya, dikirim pake Instant, co jam 3 kurang langsung dikirim jam 5 nya. Hpnya super lancar dan garansinya resmi",bintang 5,7 bulan lalu
"Barang masih disegel, belum dibuka segelnya, semoga bagus, terima kasih responnya",bintang 5,4 bulan lalu
"barang cepat sampai 3 hari gk boring nunggu, mantap to idx expedisi dan kepada toko, ini AI ada fiture AInya",bintang 5,2 bulan lalu
"paket sdh d tangan barang okee, packing rapih, seller ramah lingkungan, semoga awet hingga bertahun-tahun lamanya. 🫰🫰",bintang 5,
produk original dan sesuai deskripsi serta seller responsif,bintang 5,5 bulan lalu
"First time beli barang jangka panjang untuk 5-7 tahun ke depan by online, OVT yang cukup panjang dan ada naruh harapan di seller ini karena reputasi nya bagus dan ternyat...",bintang 5,
"packing Oke,kurir terpercaya dan admin fast respon
barang garansi mulus",bintang 5,4 bulan lalu
"keren prosesnya cepat, barangnya mulus no minus, packingnya juga rapi dan tebel. worth it banget belanja disini",bintang 5,
"paket datang dengan selamat, packing aman perlindungan mantap barang sesuai pesanan mantap semoga awet barang nya",bintang 5,2 bulan lalu
"barang bagus,cuman sedikit kesel sama status yg menunggu kurir dari kemarin,padahal pake instan !",bintang 4,2 bulan lalu
"hp nya sudah sampai rumah Alhamdulillah terima kasih seller nya ramah fastrespon banget 
mudah mudahan tidak kendala 
terima kasih",bintang 5,7 bulan lalu
"Barang Original, Packing Mantaaaaap, Pengiriman cepaaat dan harga termurah! kerenn dan puas banget belanja disini!",bintang 5,6 bulan lalu
"Barang sesuai pesanan, masih segel dan original, berfungsi normal, walaupun kendala kurir sameday ga sesuai ekspetasi, tapi seller cukup sabar dan profesional.",bintang 5,
"Barang Mantap Segelan, Kualitas dijamin Mutu Mantap Penjual Fast Respond Sangat Sangat Recommended, pengiriman juga sangat cepat sekali, dan penjual pastinya sangat amana...",bintang 5,9 bulan lalu
"Pengiriman cepat dan dipacking dengan aman. HP mulus sesuai deskripsi, original dan garansi resmi Indonesia. Seller sangat informatif dan fast response. Recommended 😁",bintang 5,
Mantap.. pengiriman cepat hp aman tersegel resmi original terpercaya. Admin juga ramah responsif.,bintang 5,
"Barang mulus no minus, barang baru masih segel, handle dari admin cepat walaupun pake instan datengnya tetep 3 hari karena kepotong libur imlek, harga juga mirip sama xia...",bintang 5,3 bulan lalu
"Paket pengiriman nya pake bubble wrap tebel banget jadi aman isi paket nya, barang nya juga masih segel, isi paket lengkap dan sesuai, semua nya asli beserta garansi nya....",bintang 5,4 bulan lalu
"sales fast respon, pengiriman cepat, barang ori tersegel dan garansi… sukses selalu seller. dalam box charger + soft case",bintang 5,
"Bagus banget ori, kiriman cepet harga terjangkau, memori & ram besar, bezel tipis jd cakep banget",bintang 5,1 bulan lalu
"Pengiriman cepat, sesuai deskripsi, bonus2 (paket bundling lengkap) sesuai deskripsi. Bonus speaker nya jg ok. 
Per hari ini saya order 1 hp lagi buat mama saya, cek PO I...",bintang 5,
"Barang oke tidak ada masalah sesuai pesanan , tapi kecewa pelayanan untuk proses pengiriman instant tidak sesuai rule yang tertera di toko batas kirim jam 15.00 di hari y...",bintang 5,6 bulan lalu
mantap barang ori masih segel semua 👍 tadi ada kendala sedikit langsung gercep mantap👍hp aman semoga awet👍,bintang 5,11 bulan lalu
Terimakasih buat penjual. Barangnya sampai dengan selamat dan masih tersegel. Udah dihidupkan dan bagus banget hasilnya. Warna juga sesuai permintaan. Tidak ada lecet dan...,bintang 5,
seller sangat ramah dan fast respon ketika membalas chat.. pengiriman g pke lama.. C.O jam 12 malem jam 10 pagi lsg kirim.. 👍👍 recommended seller,bintang 5,10 bulan lalu
"Baru dan masih tersegel. Proses pengiriman standar. Packaging aman. 

Sesuai deskripsi dan order.an. Alhamdulillah HP berfungsi dengan baik. Penjual nya amanah. 

Terima...",bintang 5,5 bulan lalu
"hapenya keren, enal ditangan dan speknya gila. ane user poco x5 pro akui x5 pro kalah jauh dan desain kurang nyaman ditangan.",bintang 5,4 bulan lalu
"semua ok.. dari barang saya terima masih tersegel semua sampai saya buka dan nyalain... semua berfungsi dengan baik.. dan charger nya juga berfungsi dengan baik
..dan sat...",bintang 5,6 bulan lalu
"barang masih di segel rapih, pengiriman cepat, sangat puas, terimakasih ya

suka 😍",bintang 5,10 bulan lalu
"Terima kasih, barangnya sesuai pesanan,ori, masih disegel dan bungkusnya rapi",bintang 5,4 bulan lalu
"Sesuai dengan pesanan, barang mendarat dengan mulus masih segel dan original, dapet bonus bundle lengkap, harga mahal dikit dari toko resmi nya tp gapapa karena barang ga...",bintang 5,
"barang sudah sampai tanpa kerusakan dan masih tersegel, sudah di pakai selama 4 hari tanpa ada eror sama sekali. recommended ni toko admin nya juga ramah 👍👍😍😍",bintang 5,"barang sudah sampai tanpa kerusakan dan masih tersegel, sudah di pakai selama 4 hari tanpa ada eror sama sekali. recommended ni toko admin nya juga ramah 👍👍😍😍"
packingan agak kurang tebal dikit. untuk kondisi smuanya bgus. semoga awet,bintang 4,
"Respon cepat, pengiriman cepat. order langsung bungkus. barang ori. sesuai espektasi 👍",bintang 5,7 bulan lalu
"handphone nya sudah selamat dan aman sampai kepada saya, original, sesuai spesifikasi dan segel. terima kasih. banyak seller , 🙏",bintang 5,3 bulan lalu
barang original paking rapi toko recommended,bintang 5,6 bulan lalu
"pengiriman cepat, produknya bagus, barang ori. mantap dah",bintang 5,5 bulan lalu
"Penjual fast respon, barang juga dikirim dengan cepat, semoga awet buat nge game",bintang 5,
"meski tidak ada tambahan, packing nya sangat aman, pengiriman cepat",bintang 5,12 bulan lalu
barang kondisi sangat baik dan waktu pengiriman tepat waktu seller/penjual sangat korperatif good job deh,bintang 5,
"HP nya sudah nyampe dari hari kemarin. Bagus banget dan real pic, real storage juga. Respon penjual juga bagus, cuma saya kurang suka sama kurirnya. Lama banget pengirima...",bintang 5,
barang sangat aman packing tebal toko sangat recommended,bintang 5,
"Barang berfungsi dengan baik
Pengiriman cepat
Gacor kang",bintang 5,
Barang sesuai dengan pesanan serta deskripsi. Terima kasih ya kak sudah melayani saya. Salam Sukses selalu.,bintang 5,7 bulan lalu
"Barang sampai dengan selamat, packing sangat baik, semua lengkap adminnya mantap, recommended toko",bintang 5,5 bulan lalu
"barang aman bubble wrap tebal,mantap banget pokok nya",bintang 5,6 bulan lalu
"Barang sampe dgn selamat, packing aman, admin sgt membantu, responsif. Thank u 🙏 gan",bintang 5,
"barang aman, packingan aman, barang baru
terimakasih sukses selalu kak",bintang 5,4 bulan lalu
mantappp. barang original. pengirimannya cepat dari Jakarta ke Riau cuma 5hari. sesuai pesanan thanks kerennn pokoknya,bintang 5,mantappp. barang original. pengirimannya cepat dari Jakarta ke Riau cuma 5hari. sesuai pesanan thanks kerennn pokoknya
"Poco X6 Pro - mesin setara flagship dengan harga yg reasonable

Thanks",bintang 5,7 bulan lalu
"proses cepat, packing aman.. terima kasih",bintang 5,6 bulan lalu
"Respon pelapak & pengiriman lumayan cepat, sesuai pesanan.... terimakasih 🙏",bintang 5,12 bulan lalu
"Top bener ini poco nya. buat ngonten dengan video 4k dan ram/storage yg guede. memuaskan
service goods. dpt warna yellow...eaaa.",bintang 5,
"Poco X6 Pro 5G sudah mendarat dg aman, harga murah, pengiriman cepat, packing super aman, skr lg setting2",bintang 5,4 bulan lalu
"barang ori, seller responsif, pengiriman cepat. sukses terus ya seller",bintang 5,
"barang sampai dengan selamat, pengiriman cepat, seller fast respon, barang berkualitas dan ori",bintang 5,
"Harganya oke, kualitas barang sebanding dan original. Mantap banget seller. Semoga berkah selalu",bintang 5,9 bulan lalu
"barang original. respon penjual baik sekali, pesanan cepat di proses dan pengiriman juga cepat, jgn ragu beli di toko ini ya.",bintang 5,
"barang ori, seller responsif pengiriman cepat",bintang 5,5 bulan lalu
barang masih segel sesuai dengan deskripsi respons admin ramah dan cepat,bintang 5,9 bulan lalu
Pake sameday anter aja order sebelum jam 12 dikirim hari yang sama.. Buat seller top banget. maaf sudah bawel karena hape satu lagi mau rusak dan harus cepet ada penggant...,bintang 5,7 bulan lalu
"paking aman,  barang sampai dengan aman dan berfungsi baik, masih segel, sesuai dengan deskripsi dan cakep.

thx, gan.",bintang 5,
"Hp berfungsi, cuman kok panas ya. bismillahirrahmanirrahim semoga gak ada masalah kedepannya",bintang 5,
"barangnya ORI bersegel, packingannya juga tebal jadi kotak barangnya tidak ada yang penyok, pengiriman juga cepat pesan tanggal 26 subuh dateng tanggal 27 sore dari jakar...",bintang 5,8 bulan lalu
"Berfungsi dengan baik, seller fast response",bintang 5,4 bulan lalu
"barang oke rekomen pokoknya, tidak mengecewakan",bintang 5,
"barang masih di segel, sesuai pesanan dan berfungsi dgn baik, cuma pengiriman lama..",bintang 5,
"Sesuai dengan deskripsi, barang asli, seller fast respon",bintang 5,8 bulan lalu
xiaomi poco x6 pro ini smartphone harga terjangkau tapi spec nya mewah (mepet sawah) untuk saat ini (review gadgetin) dapat case belakang dan kepala charger fast charging...,bintang 5,10 bulan lalu
"Dari tokonya recommended banget yak, adminnya fast respon dan selalu jawab pertanyaan. Barang lengkap. Bintang 5 👍.

Tapi saya mau warning buat orang2 yang mau beli di s...",bintang 5,
"barang segel.
warna kinclong.
spek bagus, kata video yutuber2
kapasitas gede, 512 GB. cocok buat backup dataku dan juga applikasi data, medsos, finansial...
kalau kecepat...",bintang 5,
"Segel tebel. Isi barang lengkap. Handphone nya juga baru, bagus mulus. pengiriminnya juga cepet. puas deh beli disini. Semoga bisa awet lama ini Poco nya 😄",bintang 5,10 bulan lalu
"Barang ori, seller ramah. produk sampai dengan selamat 👍",bintang 5,
"Barang sesuai dan masih disegel, respon penjual sangat baik, pengiriman juga cepat",bintang 5,3 bulan lalu
"Pelapak sangat responsif, packing aman dibungkus bubble sheet sangat tebal. Terimakasih pelapak dan kurir",bintang 5,9 bulan lalu
"barang segel, packing aman, sampai tujuan tepat waktu, & barang berfungsi dengan baik. rekomended seller",bintang 5,
"barang masih segel
packing aman
sesuai deskripsi",bintang 5,10 bulan lalu
"kurir cepet, barangnya ori dan segel juga. mantap!",bintang 5,
