review,rating,date
barang datang dengan selamaaat sukaa aman jaya,bintang 5,1 minggu lalu
barang segel admin responsif dan barang original xiaomi thanks min,bintang 5,3 minggu lalu
"barang bagus, sesuai dengan deskripsi, sudah di coba performa baik, packing tebal dengan tambahan pembelian bubble wrap. terimakasih",bintang 5,1 bulan lalu
"ok mantap mulai dari packingnya sangat rapi walaupun paketnya nyampenya agak lama, tapi pas paketnya dtg, hasilnya sangat memuaskan thank you ya...👍",bintang 5,1 bulan lalu
"kemasannya dibuat tebal, produk original. hanya saja memang pengirimannya agak lama.",bintang 5,2 minggu lalu
"LCD aga renggang di dekat kamera dan itu jadi ada bunyi dibagian back (bawaan pabrik). ajuin komplain dan dicek di xiaomi service center, bisa tukar unit sekarang unit ba...",bintang 5,3 minggu lalu
Sesuai,bintang 5,2 bulan lalu
"barang original resmi xiaomi, kondisi kardus mulus packing mantab",bintang 5,4 hari lalu
"Barang sesuai, proses kilat, pengiriman supercepat. kemaren pagi order, hari ini pagi2 barang dah nyampe. padahal luar kota jauh. mantabs",bintang 5,1 bulan lalu
"original
produk sesuai
sip
mantap",bintang 5,3 minggu lalu
perfect,bintang 5,4 minggu lalu
Perfect,bintang 5,2 minggu lalu
pelayanannya bagus,bintang 5,1 bulan lalu
TOP SELLER,bintang 5,1 bulan lalu
