review,rating,date
"Terima kasih ya kak, atas respons nya.
Barang sudah di terima dengan baik.
Packingan bagus, rapi, aman dan tebal.

Mohon maaf kemarin 5.5 sehingga driver ojolnya pada pen...",bintang 5,3 minggu lalu
"Saya sudah ajukan batalin sebentar untuk mengubah pembayaran, karena saya bayar pakai CC, ingin mengubah tenor cicilan, tidak disetujui oleh seller, sangat kesal rasanya",bintang 1,2 bulan lalu
"Alhamdulillah barang diterima tanpa ada cacat, kurirnya juga cepat dan aman. Semoga tabletnya awet sampe beberapa tahun ke depan.",bintang 5,2 bulan lalu
"komitmen utk delivery nya sangat bagus sekali. pelayanan seller luar biasa. gokil dah. buat yg mau shopping disini jgn ragu yah, top markotop ini sellernya 😁👍",bintang 5,2 bulan lalu
"terima kasih, barang bagus, pengiriman jg gesit, best service dah 👍👍👍👍",bintang 5,2 bulan lalu
"Respon dan pengiriman sangat cepat. Seller sangat ramah dan baik hati. Pengiriman menggunakan same day, dikarenakan sudah tidak bisa mengirim dihari yang sama, oleh selle...",bintang 5,2 bulan lalu
puas belanja di sini pelayanan cepat ramah walaupun transaksi malam-malam tetap dilayani dikasih bonusnya banyak ditambah barang original masih segel dan belum aktivasi,bintang 5,2 bulan lalu
"barang oke sesuai deskripsi, seller responsif dan cepat layani orderan pengiriman hny bbrp jam sampai setelah check out",bintang 5,2 bulan lalu
"Admin ramah, pengiriman cepat, barang tiba dengan baik dan langsung bisa dipakai 👍.",bintang 5,1 bulan lalu
barang diterima dengan segel kwalitas dan barang bagus sesuai dengan keinginan,bintang 5,1 bulan lalu
mantap... waktu datang barang masih disegel...,bintang 5,1 bulan lalu
Barang original dan sesuai,bintang 5,2 bulan lalu
Nais,bintang 5,2 bulan lalu
Sip,bintang 5,1 minggu lalu
🤍💯💯💯,bintang 5,2 bulan lalu
