review,rating,date
"Barang masih disegel, berfungsi dengan baik, barang original baguuss cakep warnanya. Tapi sayang pengirimannya lama",bintang 5,
"pengemasan cukup baik namun perlu penambahan sedikit bubble wrap, kualitas HP sangat memuaskan, respon penjual cukup baik, pengiriman cukup lama.
Terima kasih itel🤩",bintang 5,
"barang ori dan segel, ada kartu garansi nya terus ada softcase antigores udah terpasang, sama  ada casan 18 watt, packing nya lumayan aman karna udah dilapis sama bubble...",bintang 5,11 bulan lalu
pengiriman cepat 2 hari sampai . barang masih segel . packing rapih . kurir ramah . kondisi barang baik dan bisa menyala . isi lengkap,bintang 5,5 bulan lalu
"Seller Fast Respon , Harga Terbaik , Packing Cukup Baik Dan Aman , Barang Yg Di Kirim Sama Seperti Yg Di Tawarkan Di Lapak , Semoga Bisa Di Pertahankan Terus Untuk Kedepa...",bintang 5,
Terima kasih barang sudah diterima dengan kondisi baik dan berfungsi normal. Packing juga aman dan pengiriman sesuai jadwal.,bintang 5,11 bulan lalu
Pengiriman lumayan cepat. Pas sampe pengemasan bagus barang aman berfungsi dengan baik tidak ada kendala pokoknya oke. Next order lagi,bintang 5,11 bulan lalu
"produk berkualitas dapet free gift. harga  terjangkau lagi pas kmaren promo lounching
Terima kasih ya sukses selalu",bintang 5,
Terimakasih pesanan sudah mendarat dengan selamat packing aman Barang masih segel garansi resmi berfungsi dengan baik barang original tokonya juga itel official harganya...,bintang 5,
pengiriman cepat..packing terbungkus rapih...product bagus langsung dipake mantap..berfungsi ..ada garansinya..semoga lancar terus,bintang 5,7 bulan lalu
"Barang sampe dengan selamat. masih tersegel, sesuai pesanan, ga ad lecet. cepet juga yg sampe. ok bnget pokoknya..
semoga ga rugi beli disini..",bintang 5,4 bulan lalu
"keren sih ini hp dapat harga di 1,3juta. pengiriman cepat walaupun dengan id express. sempet was was karena layanan pengantarannya dilihat notif hanya begitu gitu aja. tp...",bintang 5,8 bulan lalu
barang sampai dengan keadaan mulus masih segel,bintang 5,4 bulan lalu
