review,rating,date
Paket iPad mini 7 sampai tepat waktu dan dalam kondisi sangat baik. Pengemasan sangat aman sehingga perangkat terlindungi dengan sempurna. Pengirimannya cepat dan mudah d...,bintang 5,7 bulan lalu
"Sangat puas dengan iPad Mini ini! Ukurannya yang compact membuatnya nyaman untuk dibawa ke mana saja, tetapi tetap cukup besar untuk membaca, menonton film, atau bekerja....",bintang 5,5 bulan lalu
"Barang tersegel, bubble wrap, berfungsi baik, mantap sesuai kebutuhan…",bintang 5,5 bulan lalu
"Cepat sampai, barang ok, segel 100%, recommended seller",bintang 5,4 bulan lalu
"Mantap semua ok, pengiriman agak lama karena 12.12 tapi adminnya informatif & fast respon 👍🏻",bintang 5,5 bulan lalu
Barang sesuai deskripsi. Packing bubblenya tebel. Sesuai pesanan,bintang 5,6 bulan lalu
barang masih disegel packing rapih dan pengiriman cepat. tokok recommended,bintang 5,6 bulan lalu
"Barang baik, bagus dan sesuai pesanan. Pesanan cepat diproses dan dikirim sesuai waktu pemesanan",bintang 5,5 bulan lalu
Mantab sekalihhh emang paling the best dah pokoknya,bintang 5,6 bulan lalu
"Ipad mini 7, semoga semakin powerfull dari generasi sebelumnya… mantab",bintang 5,6 bulan lalu
sempet deg2an karna checkout barang yg lumayan harganya.. Thanks seller semoga lancar terus usahanya,bintang 5,6 bulan lalu
"ORI banget barang masih segel packaging aman, seller ramah amanah fast response, kurir cepet banget nyampe rumah gw mantap RECOMMENDED dah pokoknyaaaaa!!!!
Auto jadi cont...",bintang 5,5 bulan lalu
"Barang nya sesuai dengan pesanan. Aman degan green peel nya. Harga lebih ok dari pada di store offline. Memilih toko ini setelah melihat review toko-toko lain. Dan ya, sa...",bintang 5,3 bulan lalu
"sampai dengan aman, packing bubble wrap tebal. tadinya sempat khawatir sama kirim reguler (rekom tokped), tapi ternyata aman.",bintang 5,6 bulan lalu
"Barang masih segel, packing rapi, original, cepat sampainya. Bergaransi resmi",bintang 5,5 bulan lalu
"barang original, garansi sesuai dengan bulan pembelian, seller komunikatif, so far puas sekalii 👍",bintang 5,3 bulan lalu
