review,rating,date
"pengiriman cepat, packing aman, kemasan disegel ori, garansi resmi, barang original, makasih",bintang 5,2 bulan lalu
barang tersegel imeinya terdaftar bener bener amanah banget Alhamdulilah sampe juga tepat waktu dari estimasi terimakasih ya min gaada yang rusak atau mines cocok seperti...,bintang 5,2 bulan lalu
"sesuai deskripsi, berfungsi dngn baik, pengiriman cepat, packing lumayan aman",bintang 5,5 bulan lalu
Barang mulus packaging rapih dan masih segel,bintang 5,7 bulan lalu
"barang diterima dengan baik, packaging juga aman dan tersegel dengan baik,  desain hpnya bagus warnanya juga bagus, performa juga baik sudah saya tes, fingerprint dan nfc...",bintang 5,8 bulan lalu
"Alhamdulillh sdh sampai, Hapenya cakep bgt. paking nya aman bgt dn pengirimannya juga cepat. BTW vivo ga mau bikin tablet apa? hehe. makasih",bintang 5,4 bulan lalu
"Respon penjual cepat, pengiriman cepat dan aman, barang sesuai 
Rekomen buat yg mau beli",bintang 5,3 bulan lalu
Barang 0ri dan masih segel... pengirim cepet....yg penting ni dah order yg ke2 kali,bintang 5,3 bulan lalu
"paket sudah diterima, packing oke, aman, buble warpnya tebal, mudah-mudahan awet, Aamiin",bintang 5,1 minggu lalu
"Jangan pernah menyerah pada mimpi-mimpi yang kamu miliki. Terus berjuang, dan suatu saat kamu pasti akan meraihnya.",bintang 5,4 bulan lalu
"Barang masih di segel saat sampai, berfungsi dengan baik",bintang 5,9 bulan lalu
"barang ori sesuai pesanan
dpt free softcase sm antigores+ charger jg alhmdulilah",bintang 5,1 bulan lalu
Packingnya aman banget... udh kedua kalinya saya belanja di toko ini.. recoment banget... barangnya juga bagus .. gam ad lecet,bintang 5,9 bulan lalu
Alhamdulillah..diterima dengan kondisi baik dan berfungsi.  Terimakasih  Vivo Official,bintang 5,3 bulan lalu
kerennn bagus banget... cepet juga sampenya.. mau belanja lagii di toko iniii,bintang 5,3 bulan lalu
"barang resmi dr vivo,cuma belum dicoba aja dapat promo juga.",bintang 5,8 bulan lalu
"mantep deh hpnya bagus dan selalu puas kalau beli disini, mantul bangetttttf deh",bintang 5,1 bulan lalu
"Untuk pengiriman mantep satset tokopedia, bonusnya mantep ini",bintang 5,5 bulan lalu
barang masih di segel berfungsi semua asli semua,bintang 5,4 bulan lalu
"barangnya bagus masih segel, semua berfungsi, pengiriman juga cepat, terima kasih",bintang 5,9 bulan lalu
"harga oke, pengiriman cepat, kualitas ori",bintang 5,7 bulan lalu
"Wah Sempurna 👍👍 dapat barang seperti yg di harapkan dus masih terbungkus plastik .
isi lengkap, hp, charger, free plastic case dan pin simcard.
Thank you 🙏",bintang 5,2 bulan lalu
barang smp dgn kondisi dus msh tersegel. beli jg di vivo official terjamin keaslianya tpi harga lebih murah dibanding seller lain,bintang 5,2 bulan lalu
"alhamdulillah paket tiba dgn aman 
produk original 
masih segel
terimakasih atas kerjasamanya 
semoga bermanfaat dan barokah",bintang 5,1 bulan lalu
"packing pakai dus tebal, hp original dan lengkap, dua kali order ngga kecewa., trmksh Vivo Indonesia, trmksh Tokopedia",bintang 5,1 bulan lalu
"packing rapi dan aman, pengiriman termasuk cepat. barang berfungsi dengan baik",bintang 5,3 bulan lalu
"fast respon, fast delivery, paket aman, barang sesuai, ga usah ragu beli disini",bintang 5,2 bulan lalu
"respon dg baik, packing rapih, barang Bagus sesuai,",bintang 5,1 bulan lalu
"packing aman, penjual respon, pengiriman aman pakai id express.",bintang 5,11 bulan lalu
fast respon deh barang sesuai. good seller,bintang 5,3 minggu lalu
alham dll sesuai keinginan dan asli datangnya cepat,bintang 5,6 bulan lalu
"barang masih disegel,, barangnya mantul,,",bintang 5,10 bulan lalu
"barang sudah diterima dalam keadaan baik, berfungsi sebagai mana mestinya, mantap 👍 trimakasih 🙏",bintang 5,3 minggu lalu
Alhamdulillah barang sudah sampee dengan selamat terimksih offcial store vivo selalu memberikan yg terbaik untuk kami sebagi pelanggan selalu jadi langganan di official s...,bintang 5,7 bulan lalu
Ada plastik luar yg membungkus. dilapis kardus tersegel aman. baru produk didalam kardus. Terima kasih semoga awet,bintang 5,11 bulan lalu
"toko dan kurir sangat amanah, vivo emang paling besttt",bintang 5,4 bulan lalu
Barang bagus normal semuanya murah kualitas layar dan kamera bagus,bintang 5,2 bulan lalu
"Barang original, dapat garansi juga, pengiriman cepat.",bintang 5,1 bulan lalu
"Barang masih di segel waktu sampai dan ada garansi resminya, berfungsi dgn baik,kualitas brg orginal.",bintang 5,2 bulan lalu
"barangnya masih segel, dan ori semua ngak nyesal belanjaan disini kalau ada rejeki mau belanja di sini lagi terima kasih Vivo indonesia",bintang 5,5 bulan lalu
barang mantap segel ori klo ad rezeki beli lagi,bintang 5,6 bulan lalu
"barang segel terbungkus rapi,, packing aman,,,,, pengiriman cepat... sampai tujuan",bintang 5,2 bulan lalu
Barangnya original berfungsi dengan baik dan packing aman,bintang 5,1 bulan lalu
barang mulus masih disegel original amanah tokonya,bintang 5,7 bulan lalu
Ada garansi toko Barangnya original 👍 RAM besar Baterenya awet,bintang 5,11 bulan lalu
pengiriman sngat cepat dan barang sampai dngan baik,bintang 5,2 bulan lalu
