review,rating,date
"sesuai spesifikasi, garansi dapet 2 tahun, dan pengiriman terbilang cepat. awalnya ragu sama kurir pilihan toped (ID EXPRESS) karena banyak masalah, tapi Alhamdulillah pa...",bintang 5,4 bulan lalu
Bagus cuma unit yang saya dapat renggang kanan kiri bagian atas dan bawah. Semoga pihak service center bisa segera memberi jawaban apakah ini wajar atau kelalaian QC.,bintang 5,3 bulan lalu
"Saya sangat puas dengan pembelian iQOO 13! Barang sampai dengan selamat dan kondisi sangat baik. Produk original, performa luar biasa. Ditambah bonus menarik dan diskon y...",bintang 5,5 bulan lalu
"mantapp sangat puas, best lah untuk harga segini sangat2 memuaskan
design dan build quality mantap semua
packing juga aman terlindung
cuman utk kurir rekomendasinya aja y...",bintang 5,5 bulan lalu
"barang baru segel resmi official store, packing rapi aman kardus & bubble wrap tebal",bintang 5,4 bulan lalu
"nice. PO dpt bonus. hape kentjang, seller komunikatif. garansi jelas. cocok kalo buat gaming tp kamera n fitur lainnya spt finger print kouwenceng buanget. ttep jadi conc...",bintang 5,5 bulan lalu
"Barang segel rapih, tapi dalam dus coklat tidak di padatkan buble wrap, ada kemungkinan akan terguncang² saat pengiriman. kurir cepat sampai, fast respon vivo. semoga awe...",bintang 5,3 bulan lalu
"Mantap Hpnya Bagus Banget, Rekomen banget Enak buat apa aja",bintang 5,5 bulan lalu
"Respon penjual cepat dan ramah, beli PO ikut promo 12.12, dapat diskon lumayan banyak
Pengiriman lebih cepat dari tgl yg di tentukan
Proses kirim sangat cepat via Lion Pa...",bintang 5,4 bulan lalu
"produk sesuai Pesanan, packing rapi dan Aman, sudah di test dan berfungsi dgn baik, pengiriman cepat.",bintang 5,3 bulan lalu
"packing super aman 
aman di expedisi ""idexpres"" di kota saya gk bnyk dramapaket hilang dsb ,, 

hp nya jos 8 elite harga promo  8 jt an varian bawah🤏✅👍",bintang 5,5 bulan lalu
bagus rekomendasi  handphone ini jos gandoss..!! 🫰🫰🫰🫰🫰🫰 oke banget la.....,bintang 5,2 bulan lalu
"Barang diterima dengan baik (normal, segel, no minus) dan lengkap, walaupun pengiriman cukup lama karena ekspedisinya. Overall puas",bintang 5,2 bulan lalu
"admin responsif, packaging safety, the real definition of monster inside",bintang 5,2 bulan lalu
"barang masih segel dan aman packing nya, mantap pokoknya kualitas gak usah ditanyakan lagi terimakasih",bintang 5,5 bulan lalu
hp nya bagus gk ad lecet dan pengiriman nya sesuai jadwal (tepat waktu) tapi sayang gk dapet bonus nya. katanya dapet bonus audio speaker tapi isinya hp doang. agak menge...,bintang 4,1 bulan lalu
"Alhamdulillah paketnya sudah sampai dri tgl 26 maret, mohon maaf bru sempet review, sempat terkendala alias stuck dri tgl 20 maret, walaupun agak kecewa dgn chat yg hanya...",bintang 5,2 bulan lalu
"Smartphone flagship terbaik tahun 2025, asli gak bikin nyesel dengan performanya yang super kenceng bahkan untuk standart HP gaming, menurut saya kamera IQOO 13 ini jauh...",bintang 5,2 bulan lalu
Bagus bener HP nya. build quality ok bgt. spek mantul. service seller sangat responsif. deliverynya lebih cepat dari estimasi. Masih dapat gift lagi. Saya puas banget den...,bintang 5,2 bulan lalu
"Review setelah pemakaian ~ Battery super awet dipake seharian buat sosmed / game, charging 120w 36menitan suhu cukup hangat, hasil fotonya kamera okelah.",bintang 5,5 bulan lalu
"Bagus min, lancar buat ngegame, kameranya juga bagus",bintang 5,5 bulan lalu
"barang sesuai deskripsi, seller komunikatif",bintang 5,5 bulan lalu
"Overall HP nya bagus banget. udh coba juga main MLBB and E-Football so result very smooth and comfortable. 


untuk struk pembelian via toko ini apakah tidak dikirimkan d...",bintang 5,2 bulan lalu
keren banget pengiriman juga cepet banget Aman amanah mantaplah. barangnya mntap iqoo 13 memberikan pengalaman menonton dan bermain game yg gokil parah dengan mengaktifka...,bintang 5,1 bulan lalu
"hp keren,desain bagus n ada erjibinya bisa flexing tipis""",bintang 5,5 bulan lalu
"barang diterima lengkap meskipun gift set nya sdh habis, dapat harga primo, diskonnya lumayan.
HP nya keren.. semoga awet.",bintang 5,2 minggu lalu
"sempurna. dos luar segel, dos dalam segel. aman jaya sentosa. makasi vivo tangerang.",bintang 5,3 bulan lalu
recommeded seller sayang sicepat busuk lama banget baru dikirim,bintang 5,5 bulan lalu
hp paling ngebutt.. gilaaa harganya. kualitas iqoo the best,bintang 5,5 bulan lalu
"kelengkapan lengkap. pas aktivasi e-warranty card cuma setahun sampe 2025, tapi tanya seller kalo ke service center tetep extend jadi 2 tahun. kita cek nanti",bintang 5,5 bulan lalu
"paket samapai dengan mulus, barang berfungsi tanpa ada cacat sedikit pun, packing dari pihak seller juga sangat rapi dan aman tentunya. Serta banyak bonus nya, terima kas...",bintang 5,1 bulan lalu
"Alhamdulillah selamat sampai tujuan, gift box nya juga ada 3 macem",bintang 5,2 bulan lalu
barang ori bagus sangat baik packing aman bonus ada,bintang 5,5 bulan lalu
Setelah sebelum nya gw Pake IQOO 12 dan sekarang Upgrade ke IQOO 13 dan jujur ini HP ter Worth it di Tahun ini dan untuk Tahun 2025. The Real Flagship Killer dengan Chips...,bintang 5,5 bulan lalu
"Barang mantap, performance gacor, pengiriman relatif cepat 👍🏻👍🏻👍🏻",bintang 5,5 bulan lalu
"barang masih segel,original ada garansinya,pengiriman jga cepat",bintang 5,2 bulan lalu
"awalnya agak ragu beli karena ada isu bertebaran, tapi ujung-ujungnya beli juga. ternyata isu hanyalah isu, bukan fakta. overall bagus, cuma kamera doang yang kena downgr...",bintang 5,4 bulan lalu
"Pertama kali beli hp di masa preorder setelah tidak ganti hp selama 5 tahun.. Luar biasa iqoo13 benar2 monster inside dgn snapdragon elite, terimakasih bonusnya, smoga hp...",bintang 5,5 bulan lalu
"barang bagus ,gem ngebut plus adem, smoga awet 😁",bintang 5,5 bulan lalu
barangnya mantap hpnya lancar jaya. Fast charging juga bisa dibikin charger cepat di optionnya. hpnya ga panas diajak main game libas abis. monster dah ni hp,bintang 5,2 bulan lalu
"Barang di proses dengan cepat, padahal estimasi 4 hari tapi 2 hari langsung sampai. tidak ada lecet dan masih segel, TQ 🙏",bintang 5,3 bulan lalu
"kebetulan HP yg lama rusak, keluar Ioo 13 dengan spek dan harga yang cukup terjangkau dikelasnya 😊, semoga awet barangnya",bintang 5,5 bulan lalu
"pengiriman cepat, barang berfungsi dengan baik, performa sesuai harga🥳",bintang 5,4 bulan lalu
Barang segel ori mudah2n awet cocok buat main game,bintang 5,3 bulan lalu
"Mantap, performa nya meskipun kamera ada penurunan dr 12, tapi tetep bagus",bintang 5,5 bulan lalu
"Barang sesuai ekspektasi, original, batre nya awet banget 2 hari baru ngecash 1x, dah gitu ngecash cepet cuma 25-30mnt full dr 5%. semoga awet",bintang 5,4 bulan lalu
"Lupa ulas. Barang cepat sampai, terpacking dengan aman dan tentunya barang perform sesuai ekspektasi. Cek the box untuk semua harapan saya, ditambah lg dapat dgn harga di...",bintang 5,5 bulan lalu
"packaging official store, terlalu kentang, seadanya, keliatan kayak tergesa gesa",bintang 1,4 bulan lalu
"barang nyaa di Terima dengan cepat, 1 hari sudah sampai, padahal jauh kirimnya, pesen tgl 8 sore tgl 9 sore udah sampai, 


overal barang nya semua bagus , sudah dapet te...",bintang 5,4 bulan lalu
Mantap barangnya snapdragon elite pertama di Indonesia 100% ngebut 💨💨. Packing aman full kardus dan bubblewrap. Tp pengiriman lama pake idexpress. Kalo bisa pake pengir...,bintang 5,5 bulan lalu
"kelass king👑
pengiriman sempat mandek tapi ternyata emg lemot aja bukan ampe ilang
hpnya gausah ditanya ya, wong stok abis melulu 🔥",bintang 5,5 bulan lalu
"barang original 
pengiriman lumayan cepat
packing oke",bintang 5,5 bulan lalu
Barang datang ori aman sesuai pesanan gg si,bintang 5,5 bulan lalu
"MANTAP HP NYA... SANGAT REKOMENDED
MESKIPUN AGAK BEDA UI DARI SI S BUT ITS OK",bintang 5,2 bulan lalu
mantap hape nya. aura flagship kerasa banget. dapat bonus dari pre order nya. Terima kasih IQOO 🫰,bintang 5,5 bulan lalu
Mantap dengan harga yang tidak terlalu overpriced bisa dapat snapdragon 8 elite cuma sayangnya storagenya hanya 256 gb saja harusnya ada yg varian 12/512 gb.,bintang 5,2 bulan lalu
"admin responsif, semoga brg ny awet ga ada masalah",bintang 5,5 bulan lalu
"Mantap nih cepat sekali sayangnya padahal kepotong libur tahun baru, unit dapet yg bagus diluar yg lg marak akhir akhir ini. Terimakasih 🙏",bintang 5,4 bulan lalu
"Pengiriman cepat banget. beli jumat pagi, hari minggu sudah diantar kerumah. keren. sayang aja ga dapat hadiah spesial ramadhan. Hape nya keren banget mewah kencang warna...",bintang 5,2 bulan lalu
"barang oke, sesuai pesanan, pengiriman cepat memang top official store",bintang 5,5 bulan lalu
