review,rating,date
"cantik sekali warnanya packing aman bubble wrap banyak bikin makeup cantik pakai lipstik cantik lipliner pokoknya top bgt penjual ramah semoga awet dan JD langganan, mura...",bintang 5,
"Barangnya sdh sampai, cepat sekali pengirimannya, terbungkus rapih & barangnya sesuai. Trima kasih Ka.",bintang 5,
alhamdulilah udh nympe packing nya juga aman banget ini baru pertama kali beli semoga cocok dan ga bikin kusam,bintang 5,1 minggu lalu
bagus bgt buat pinggir bibir yang hitam sukak,bintang 5,8 bulan lalu
kurang sukaaa😫ga sesuai ekspektasii dann sama sekali ga keluar warnanya di bibirrrr btw isinya cuman segitu kahh???,bintang 3,1 bulan lalu
"Fragile, isi tipis, panjang gk sampe 2 ruas jari, sesuai harga lah. Seller tolong pertimbangkan ganti kurir freeong, I* exp*es* sangat lemot, kirim senin sampe jumat pada...",bintang 4,
"bagus warnanya, cuma cepet kering, kudu gercep kl pake, biar ga crack",bintang 4,
"naah, ternyata varian warna ini yg cocok di saya. yg  sebelumnya dibeli warnanya terlalu mirip bibir, jadi ngga kelihatan saat jd lipliner. kalau warna yg ini, kelihatan,...",bintang 5,11 bulan lalu
Alhamdulillah bagus sesuai pesanan.. Warnanya natural dan mudah dipakai..,bintang 5,
"warna cantik, syg nya lemah jadi gampang patah..",bintang 5,
"warnanya pigmented dan bagus, gampang buat di apply dan membantu untuk two tone lips",bintang 4,1 bulan lalu
"bagus barangnya, ringan, mudah digunakan, hasilnya memuaskan, suka deh!",bintang 5,
"fast respon, pop lip bentuknya imut, semoga cocok",bintang 5,
"kualitas barang=good
pelayanan=good
pengiriman=good
plus ada bonusnya..trims",bintang 5,12 bulan lalu
"warnanya cocok u kulit bibirku yg agak gelap,membuat riasan lipstik jd rapih",bintang 5,9 bulan lalu
dipakainya awet dan cocok tidak bikin alergi,bintang 5,5 bulan lalu
"Bagus dan cocok di bibir, packingnya juga aman.",bintang 5,2 bulan lalu
Sesuai gambar dan pesanan. Packing aman. Sehat selalu. Terimakasih🙏🏻,bintang 5,
bibir jadi terlihat rapih dgn lip liner ini...,bintang 5,10 bulan lalu
"Affordable semua harganya. Semoga cocok di aku. Makasih gisel, dikasi bonus pouch gemec",bintang 5,6 hari lalu
"gampang ilang, barang ga dikirim padahal pesen 2 tp cm dikirim 1, isi dikit",bintang 1,
"pengiriman nya super cepat, terima kasih dikasih kacamata 🙏😍",bintang 5,
"Warnanya ga keluar, keras juga lip linernya, engga empuk dan lembut",bintang 4,
Warnanya oke. Sayangnya agak rapuh. harga sebanding dgn kualitas. Diproses cukup cepat. Packing aman.,bintang 5,1 bulan lalu
saya pesan lip liner dan bluson trnyt yg di kirim hny lipliner kecewa sih penyelesaian masalahnya gantung ya ud kapok aja,bintang 1,
Barang sampai dengan selamat. Warnanya bagus 🫶🏻,bintang 5,
warna sesuai yg dipesan. seperti lipstik bentuk stik kecil,bintang 5,
"Pesanan sdh smp, lip linee nya fampang patah sedikit di tekan krn lembek",bintang 4,1 bulan lalu
"lip linnernya bagus bngt,warnanya ga terlalu gelap jga",bintang 5,1 bulan lalu
"ini sih cakep bgt , cuma yagitu deh selera. aku tidak suka karnaa terlalu kecil yallah xixi",bintang 4,
gatau buat apa tp beli soalny lucu 😁✌🏻,bintang 5,
"warnanya sih cakep ya, tapi rapuh bgttt dan benyek, kluar dikit trs dipake aja patah😭😭😭 trs kucoba runcingin pake rautannya jg malah patah:)",bintang 3,
"shadenya pas bgt, tp sayang ga pigmented😔 jd aku pake sbg contour😁",bintang 5,5 hari lalu
"Barang sudah di terima & sesuai dengan deskripsi di etalase. Proses pemesanan sampai pengiriman cepat. Highly recommended seller, keep up the good work !!",bintang 5,
warna2nya bagus tapi saya belum coba semua. terima kasih fast responsnya dan kurirnya yg cepat sekali pengirimannya. tks seller.,bintang 5,
"baru pertama kali beli, mudah2an cocok",bintang 5,
"tipis sekali lip linernya, takut patah pas dipakenya",bintang 2,
"Belom juga di pake udah patah duluan 
Coverage 0 
Warna ngga keluar sama sekali",bintang 1,1 bulan lalu
Suka bgt! Shadenya pas bgt. Jadiin lipstik juga dong plis,bintang 5,
hanya ga puas dengan pengiriman yang lama banget,bintang 5,
Udah dateng baru pertama kali coba semoga cocok,bintang 5,4 hari lalu
Untuk harga sgini yaaa cukup worth it.  I love it tho. Butuh variasi warna coklat yang banyak lagi,bintang 5,
,bintang 5,
pasenan sdh sampai...pengirimannya cpt...warnanya bags keren,bintang 5,
bagus banget warnanya,bintang 5,
warnanya ngga keluar,bintang 4,1 bulan lalu
kurang keluar warnanya,bintang 4,1 minggu lalu
"nice, warna nya nyatu bgt",bintang 5,
Terlalu kecil jadi patah,bintang 3,1 bulan lalu
paket cepat sampai,bintang 5,
Rralpict👍👍👍👍👍👍👍👍👍👍👍,bintang 5,1 bulan lalu
Produk nya patah,bintang 3,1 minggu lalu
sesuai,bintang 5,
Ga keluar warnanya ☺️,bintang 3,1 bulan lalu
gampang patah,bintang 1,
"Packing rapih, sesuai pesanan",bintang 5,
,bintang 5,
sesuai sama foto. suka banget,bintang 5,9 bulan lalu
mudah patah,bintang 3,
warna sesuai,bintang 5,
bagusss,bintang 5,
lip linernya ok,bintang 5,
,bintang 5,1 minggu lalu
,bintang 4,1 bulan lalu
,bintang 5,
cepat habis,bintang 3,
udah,bintang 5,2 minggu lalu
"suka bgt,mau beli lg",bintang 5,
belum di coba semoga warna nya bagus,bintang 5,
Ga nyata sama sekali,bintang 2,1 bulan lalu
Bgs,bintang 5,1 bulan lalu
akuuuuu sukaaaaaa bgtttttttt,bintang 5,
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 4,1 bulan lalu
,bintang 4,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
