review,rating,date
"sudah sampaii dengan cepat~ brushnya bagus dan lengkap, lembutnya juga standar bukan yang terlalu lembut atau kasar gitu. sayangnya ada satu brush yang agak rusak/ngeleba...",bintang 4,
"Wah katanya klo CO 1 set dpt scissors. Aku ga dapet ! Emang dpt flash sale 319k, tp ada 2 brush yg ga rapi. Masa iya yg flashsale ga rapi gini ga dpt gift jg 😂 Malah yg...",bintang 4,
"Finally, bisa beli aeris onyx karena penasaran bgt. Ternyata emang bagus, lembut, kokoh. 
Dan yg pasti terlihat mevvahh 😭😭👌🏼
Rekomended bgt buat MUA pemula kek aku, k...",bintang 5,
Bagus banget ada tulisannya di brushnya jadi fungsinya bisa tau kardusnya agak penyok tp masih aman dapet hadiah makasih,bintang 5,
"Bulu kuasnya lembut, beberapa diantaranya bulu kuas padat menyesuaikan kegunaan. Pegangannya terasa kokoh. Looksnya mewah. Dikemas dg cukup aman. Semoga awet ✨",bintang 5,11 bulan lalu
"Awalnya mo beli yg aeris x bubah tapi yg satu set fullnya habisss, jadi nyobain yang ini aja. ternyataa BAGUSSS BANGETTTTTTT, Ga sabar buat nyobain brush barunyaaa.",bintang 5,
Alhmdllah pihak seller sangat bertanggung jawab. Ada 1 item kurang tp lngsung dihubungi dn dikirim kembali produk yg kurang itu. Makasih seller 🙏 semakin percaya belanja...,bintang 5,
"Bagus bangettt🥰🥰🥰 bintang 10 untuk aeris☺️☺️☺️gak nyesel beli ini,beli kemaren pas flash sake hargany jadi 270 ajaaa,mayan banget diskonnya 100rban😊😊thankyou aeris",bintang 5,
Emang bagus dulu pake set yg pink aja ga rusak”,bintang 5,5 bulan lalu
Aaa cepet banget sampenya dan halus bangettt! mau ku cuci dluu xixixi thankyou,bintang 5,4 bulan lalu
"Belum nyoba semoga tahan lama brush nya, lembut sih kyk brush pd umum nya. Lengkap jg dikirim 15 pcs. Setelah dicoba nanti smg jd tahu apa bedanya sm brush biasa yg lebih...",bintang 4,
Tq.. dpt bonus pinsett.. recommended seller.. barang jg orii,bintang 5,
"Brush pertama yg height quality, semoga awet bertahun2",bintang 5,
Bagus bangeetttt lembutttt. Emang ya ada harga ada barang🫶🏻,bintang 5,
"brush nya lembut ,dan dikirim dalam keadaan baik terimakasih seller",bintang 5,
"Penjual responsif, pengiriman cepat dan aman, pke kardus+bubblewrap+robekan kertas jadi aman smp tujuan, barang bagus, ori dan halus, brand lokal yang ga kaleng-kaleng po...",bintang 5,
"Kecepatan pengemasan termasuk cepat apalagi buat dikirim ke kalimantan,Brush-nya lembut. Proses pesanan cepat. Warnanya cantik 😍. Cuma dus bagian luar penyok dan dus hit...",bintang 4,
Pengemasannya agak kurang safety ya. Paket di terima kondisinya sudah ada bagian yang terbuka. Kemasan sister blendienya juga jadi rusak huhu. Untuk nggak tercecer dan ng...,bintang 5,
Brush-nya lembut. Gampang dibawa-bawa. Kemasannya compact. Nyaman di kulit. Warnanya cantik 😍. Packaging aman 🙏.,bintang 5,
