review,rating,date
"Warna OK. Pensil kecil mudah diaplikasikan dan mudah dibawa. Simple dan ringan. Produk diterima baik dan kualitas baik. ED masih lama, jadi aman.
Thank you azarine",bintang 5,3 bulan lalu
"Memang bagus ini, fav eyebrow! Warna nyata, gampang dipakai & easy to glide.
Cuma lama ngirim aja dr tgl 30 Maret baru sampe 7 April!🥲",bintang 5,1 bulan lalu
"warna sesuai,aku pikir hitam pekat gitu karna tujuannya emang cari yang bunan pekat medhok gtuu",bintang 5,1 bulan lalu
"Order 11 Sep, 17 Sep baru diterima😭😭
Sumpah lama bgt kurirnyaaa yg katanya rekomendasi Tokped🫠

Beli ini karena Paola Serena hehe",bintang 5,8 bulan lalu
Sangat suka .. bagus eye brownya... Bakal order lagi.. ujungnya kecil bagus buat gambar bingkai alis,bintang 5,2 minggu lalu
Alhamdulillah yg dinanti2 dah dateng. Gampang banget buat diaplikasi in. Mantap deh Azarine,bintang 5,
warnanya ngeblend sempurna sm guratan alis asliku. ga kaya topeng pokoknya. hasilnya natural. pensilnya yang kecil jd mudah kalau mau mengarsir alis. ada spoolinya juga b...,bintang 5,5 bulan lalu
Teksturnya creamy Gampang dipakai Packaging aman 🙏 Proses pesanan cepat Packaging rapi Respon penjualnya top,bintang 5,
"selalu nyetok varian eyepresso ini. menyatu alami dengan alis saya, mudah saat digunakan. uk pensilnya tipis, jd mudah saat melakukan pengarsiran alis2 pada bagian yang p...",bintang 5,1 bulan lalu
"suka banged pake ini. repurchase trs, dipakai tahan lama, kena air wudhu, minyak ttp on. dibersihkannya juga mudah. mantap pokoknya",bintang 5,8 bulan lalu
ujung pensilnya kecil pas bgt buat gambar alis i love it!,bintang 5,9 bulan lalu
kemarin nyobain punya temen ternyata bagus akhirnya nyoba beli deh terus juga buat aku yg gak terlalu jago ngalis ini cocok bgt si. aku beli dapet harga promo 😄🤩,bintang 5,8 bulan lalu
"enak dipakai, packing super aman, fast respon. pengiriman cepat.",bintang 5,
"seller fast respon, pesanan tiba lebih cepat.. packing rapi dan aman.. terimakasiihh🥰",bintang 5,
"Sebenarnya g terlalu suka produk eyebrownya karena isi sedikit bgt dan gampang patah,tapi hasilnya bagus,tolong diperbaiki kekurangan itu azarine ,kl produk yg lain bagus...",bintang 3,
"suka bgt, gampang dipakenya, dapet harga murah lagi",bintang 5,7 bulan lalu
so far cocok produk azarine. ringan bgt di kulit,bintang 5,5 bulan lalu
selalu suka sama produk ini. productnya tersegel saat diterima. warnanya cocok membingkai alis. cocok sekali. mempercantik bentuk alis. good job,bintang 5,6 bulan lalu
"cukup lama dalam pengiriman, weekend libur & baru di kirim senin, sampe di kantor terdekat hari jumat, mungkin ga bisa ikut pengiriman jumat kali ya, minusnya ga ada...",bintang 5,7 bulan lalu
ini pembelian keselian kali. puas banged sama kualitas azarine. tahan lama lagi. mantap,bintang 5,10 bulan lalu
Baru mau coba. Pengiriman cepat. Dan packanging aman.,bintang 5,8 bulan lalu
pensil alis nya pigmented bgt dan cocok buat pemula,bintang 5,5 bulan lalu
"warnanya pigmented, midah diaplikasikan❤️❤️",bintang 5,6 bulan lalu
"Enak bgt sih pensil azarine ini, murah pula",bintang 5,8 bulan lalu
"bahan ringan, terlihat natural, warna kalem dan ga tebel
isi dikit jd cepet habis",bintang 5,7 bulan lalu
Pengiriman cepat. Seller cepat tanggap. Warna pekat dan naturalll abis finish looknya. Gak bikin alis bruntusan. So smooth. Product ori. Tekstur kyk crayonnn dan kecil en...,bintang 5,6 bulan lalu
Bagus pensil alisnya cmn sayang kurang cocok warnanya yg ini di kulit saya yg sawo matang..,bintang 5,2 minggu lalu
"suka banget, mudah diaplikasikan presisi jd gampang ngatur bentuk alis",bintang 5,
"ini pembelian ke 4 buat pensil alis nya azarine krna enak bgtt dipake dn gampang jgaa, cukup pigmentasi dn tahan lama",bintang 5,
"bagus, kecil aplikatornya, enak buat serat",bintang 5,8 bulan lalu
alhamdulillah barg diterima dlm kondisi baik. packing aman. cocok pakai azarine. cepat sekali sampainya. thank u seller+ kurir,bintang 5,
"lebih suka pake eyebrow yg tipe kecil kayak azarine ini, warna juga ok",bintang 5,10 bulan lalu
Barang bagus dan packing rapih bgt dan aman.Pencil alis dipakenya enak dan bagus,bintang 5,6 bulan lalu
"slim banget, mudah digunakan untuk yg baru belajar bikin alis. warna eyepresso juga mirip banget sama warna alis saya jadi terlihat sangat natural bukan cokelat mencolok.",bintang 5,11 bulan lalu
Gampang di aplikasiin nya dan ketahanan nya lama,bintang 5,10 bulan lalu
kaget bgt formulanya berubah😭 jadi padet ngejreng gampang patah.. so so sad aku langganan produk ini pdhl,bintang 3,5 bulan lalu
parah banget azarine. paket nyampe isinya kosong dan ada tulisan produk tidak tersedia sementara duitnya udah ke penjual. katanya mau digantiin pas produknya ready tapi s...,bintang 1,6 bulan lalu
"ini udah pembelian berkali kali, selalu sukaaaak bikin hasil natural",bintang 5,9 bulan lalu
pesan tgl 30 sampainya tanggal 11 😮‍💨 lama banget pengemasannya juga lama banget untuk official store ya 😑,bintang 3,5 bulan lalu
Kecewa dgn pengirimannya. Estimasi sampai maks tgl 12 tp baru diterima tgl 17 itupun setelah komplain dulu,bintang 3,7 bulan lalu
"mantull, pengiriman cepettt semoga cocok",bintang 5,8 bulan lalu
bagusss bangt buat undertone neutral aaaa semoga awet apalagi dpt harga cuma 17k aja thx u azarineee❤,bintang 5,
