review,rating,date
"barang bagus dan sesuai foto, barang juga nyampe dengan cepat dan aman karena packaging rapih",bintang 5,5 bulan lalu
"pigmented warnanya, enak di pake dan transferproof suka sama warnanya cocok heheh",bintang 5,8 bulan lalu
Brg mendaraylt dgn aman sesuai jadwal. Kardus penyok tapi packing dalam aman Dari goncangan. Brg sesuai pesanan. Blm dicuba. Smg cocok dgn wrn kulit bibir saya yg agak ge...,bintang 5,5 bulan lalu
"Texturenya creamy, punya kompartmen brush sama rautannya juga. Waktu pengemasannya sayangnya cukup lambat, tp pengirimannya lancar jaya",bintang 5,11 bulan lalu
"warnanya cocok buat nyamarin dark tone lips. ga terlalu oranye, dan ga terlalu merah, pas bgt classic beige",bintang 5,6 bulan lalu
"Packing aman
Kwalitas oke
Crwamy
Gampang di aplikasi gk perlu nekan banget udh keluar warnanya
Bagus lah",bintang 5,2 minggu lalu
"Packing aman
Kwalitas oke
Crwamy
Gampang di aplikasi gk perlu nekan banget udh keluar warnanya
Bagus lah 
Cm warnanya kurg si mnrku",bintang 4,2 minggu lalu
"bagus bangeeeettt, sukaaaaaak, packagingnya juga niat bangetttt 😍 tapi kenapa gampang banget patah 😭 terus susah juga ngambil serutannya 😭",bintang 5,2 minggu lalu
"Disayangkan banget paketnya sampe dalam keadaan udah disobek bagian atasnya, alhamdulillah barangnya aman",bintang 5,
"Produk sekecil ini tapi packagingnya niat banget, makasih ya BLP sgt Top. Dri seller cpet kirim
Tpi karena pake ekspedisi ninja lama bgt lama poll",bintang 5,2 minggu lalu
"Mantap 👍 Sesuai pesanan 👍
Pengiriman cepat & aman
Rekomen seller 👍👍",bintang 5,5 bulan lalu
"warnanya bagus, pigmented dan creamy juga. recomended pokoknya :)",bintang 5,10 bulan lalu
"Produk sesuai pesanan,warnanya bagus,pengiriman ok dan packaging rapih banget,terima kasih ya",bintang 5,
"bagus banget gampang di aplikasikan,sangat lembut",bintang 5,5 bulan lalu
"barang sesuai pesanan, pengemasan aman, pengiriman cepat. terima kasih!",bintang 5,11 bulan lalu
Baguss banget jd mau beli warna lainnya biar bisa dipake buat banyak warna lipstik,bintang 5,6 bulan lalu
