review,rating,date
"Warna: balck
Daya tutup: pas
Manfaat produk: bikin ales
Performa: baguss",bintang 5,6 bulan lalu
"Bagus..kok warnanya coklat
AQ mesennya hitam",bintang 4,7 bulan lalu
"Katanya tahan air anti luntur koq aku buat heyliner luntur.. Berselemak jadinya. 
Aku kecewa",bintang 2,10 bulan lalu
"Svmy nya bagus klo di pke,cuma kuas alis nya ga bisa ngebentuk kecil",bintang 2,5 bulan lalu
"Belum dicoba
Warna bagus dan komplit
Ada kuas alis nya
Makasih kak",bintang 5,3 bulan lalu
"tidak sesuai pesanan, yg dateng mlh warna coklat",bintang 2,5 bulan lalu
Bagus banget waterproof alisnya gampang banget membntu yg ga bisa bikin alis,bintang 5,6 bulan lalu
"lumyan bagus,wrnanya juga bagus,cuma tak tahan air ya",bintang 5,5 bulan lalu
Produk lmun bgus cm sayang kirain di kasih kuas alis ny ternyata GX ad gmn pake ny KLO GX ad kuas nya🤭🤭,bintang 5,7 bulan lalu
"Warna: real
Jenis kulit: Cocok
Manfaat produk: lucu",bintang 5,9 bulan lalu
Barang sudah sampai kurir ramah sudah 2 kali cekout pkknya  eyebrownya bagus than lma,bintang 5,5 bulan lalu
Mksih kha pket nya ssuai..dan bgus,bintang 5,8 bulan lalu
Kecewa.. Katanya tahan air anti luntur koq aku buat heyliner luntur. 😓,bintang 2,10 bulan lalu
barang nya sudah sampai pengirimannya cepat pengemasannya juga rapi ..,bintang 5,3 minggu lalu
"Daya tutup: rapat
Performa: yeopotta",bintang 5,3 bulan lalu
"Baguss ,,,",bintang 5,10 bulan lalu
barang bagus . amaan tapi gak ada kuas nya,bintang 3,7 bulan lalu
Aneh gada barangnya kosong gimana sie g jelas,bintang 1,6 bulan lalu
Barangnya sesuai yg d ingin kan makasih ya KK,bintang 3,5 bulan lalu
Pas sm pesan,bintang 5,5 bulan lalu
Baguss pokoknya Sesuai dengan gambar,bintang 5,8 bulan lalu
Bagus warnanya saya sangat puas thanks,bintang 5,7 bulan lalu
"Mantap Bosque, mudah-mudahan awet di pakainya",bintang 5,8 bulan lalu
Sesuai lah dengan harga ya ..,bintang 4,7 bulan lalu
Bagus alisnya 😍,bintang 5,5 bulan lalu
Bagus dan sangat baik,bintang 5,9 bulan lalu
bagusss warna nya cocok sama aku,bintang 5,5 bulan lalu
Bgs bnrn dpt 3,bintang 5,3 minggu lalu
Semoga cocok,bintang 5,7 bulan lalu
Warna: Bagus,bintang 5,2 bulan lalu
Alhamdulillah terimakasih eyebrow nya sdh smpe,bintang 5,6 bulan lalu
Sangat bagus sekali,bintang 5,7 bulan lalu
Manfaat produk: Bgs,bintang 5,9 bulan lalu
,bintang 4,5 bulan lalu
Biar bintang yg menjawab🥰🥰🥰🥰🥰,bintang 5,8 bulan lalu
Manfaat produk: Ok,bintang 5,9 bulan lalu
Alhamdulillah baru smpe paketnya,bintang 5,5 bulan lalu
Bagus banget,bintang 5,7 bulan lalu
kurang nyata,bintang 3,1 bulan lalu
Bagus sekali,bintang 5,6 bulan lalu
Bagus sekali,bintang 5,7 bulan lalu
pass sesuai,bintang 5,1 bulan lalu
G ada kuas nys,bintang 2,8 bulan lalu
Sesuai,bintang 5,10 bulan lalu
Alhmdullh sesuai pesann,bintang 5,9 bulan lalu
Seusai dalam gambar,bintang 5,6 bulan lalu
Bagus,bintang 5,8 bulan lalu
bagus,bintang 5,8 bulan lalu
Bagus,bintang 5,7 bulan lalu
Bagus,bintang 5,8 bulan lalu
Bagus,bintang 5,9 bulan lalu
Bagus,bintang 5,9 bulan lalu
Good bngett✨,bintang 5,6 bulan lalu
bgusssssssssssssssssssssssssssss,bintang 5,8 bulan lalu
Baik,bintang 5,7 bulan lalu
Baik,bintang 5,8 bulan lalu
Baik,bintang 5,8 bulan lalu
Baik,bintang 4,9 bulan lalu
baguss bangettt,bintang 5,7 bulan lalu
Alhamdulillah barang ya 👍,bintang 5,7 bulan lalu
G ada kuas,bintang 2,8 bulan lalu
G ada kuas,bintang 2,8 bulan lalu
G ada kuas,bintang 2,8 bulan lalu
Bagus aku suka,bintang 5,7 bulan lalu
Relpic,bintang 5,1 bulan lalu
Relpic,bintang 5,9 bulan lalu
Bagusssss,bintang 5,9 bulan lalu
Baik,bintang 3,7 bulan lalu
Lumayan,bintang 4,9 bulan lalu
Pesanan nya SDH sampai,bintang 5,8 bulan lalu
Barang sudah datang,bintang 4,8 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 4,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,5 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 4,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,7 bulan lalu
,bintang 4,7 bulan lalu
,bintang 5,8 bulan lalu
Ok,bintang 5,7 bulan lalu
Bgus,bintang 5,6 bulan lalu
Bgus,bintang 5,6 bulan lalu
Bagus bangett aku suka😘,bintang 2,8 bulan lalu
,bintang 3,4 bulan lalu
,bintang 3,5 bulan lalu
,bintang 3,6 bulan lalu
,bintang 3,6 bulan lalu
Baguuus,bintang 5,7 bulan lalu
,bintang 2,6 bulan lalu
