review,rating,date
"Pertama kali coba beli cream buat alis, isi nya mini, saya kirain nggk dapat kuas nya, ternyata di dlm kotaknya, mudah di aplikasikan, saya ambil no 04 untuk alis saya hi...",bintang 5,3 bulan lalu
Sumpah warnanya bagus bgt jga wangi antu luntur mudah di aplikasi kan jga,bintang 5,2 hari lalu
"Barangnya bagus pekinganya rapih bangat ,pokonya suka deh 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰",bintang 5,2 bulan lalu
"Warna: Cantik
Daya tutup: Bagus
Manfaat produk: Membuat alis lebih cantik",bintang 5,2 bulan lalu
Terima kasih kakak barang di terima dengan aman sesuai pesanan juga warnanya sukses terus kakak usahanya,bintang 5,1 minggu lalu
Paket sdh smpe alhamdulillah dpt koasnya jg 👍,bintang 5,3 minggu lalu
"Warna: Ash brown
Manfaat produk: Untuk alis",bintang 5,4 bulan lalu
"Hobi baru sekali bisa nyobain semua produk brow gel😆
Warna: Ash brown
Daya tutup: Rapat,tidak pecah,tidak longgar
Manfaat produk: Buat alis bisa,buat eyeliner jg bisa
Je...",bintang 4,2 minggu lalu
Alhamdulillah SDH nyampek paketnya kk dpt harga promo,bintang 5,1 bulan lalu
"Gampang buat alis. Langsung satset, aplikatornya ada kuas sama ujung kaya karet, buat rapiin alis
Agak keras tp sekali usap dh pigmented, ga gampang luntur di muka bermin...",bintang 5,4 bulan lalu
Barang bagus ori Gampang di aplikasikan di alis emang udah langganan di toko ini pengiriman cepat kurirnya juga ramah,bintang 5,4 minggu lalu
"Maaf baru bisa kasih ulasan, paket nya udh sampe dri seminggu yg lalu. Bagus bgt warna nya tahan lama jg kena keringet atau air ga luntur kadang klo mau hapus alis pake m...",bintang 5,2 bulan lalu
"bagus, tpi pas coba dipake wrnanya aga lebih coklat 
kirain gelap aja gt",bintang 4,3 bulan lalu
"Warna: shade 04
Aman gada yg rusak cuman pengiriman nya lambat🙏",bintang 4,1 minggu lalu
Eyebroe nya bagus bngt pas lah buat pemula yg lagi belajar ngalis anti air juga,bintang 5,4 bulan lalu
Baguss gak salah pilihh shade cocok banget dengan halis ku yang tebal...,bintang 5,2 bulan lalu
Alhamdulilah paket sudah dtang. Maaf Bru kasih ulasan. Brng bagus. Cm blm BS cra mengalisnya,bintang 5,3 bulan lalu
Bagus gampang d aplikasikn g luntur d coba d tep2,bintang 5,2 bulan lalu
Beli eyebrow focallure cuma karna butuh brushnyaa krna hilang punyaku😭aslinya eyebrow ku Masi pada banyakk karna emang seawet ituuu🥹♥️,bintang 5,2 bulan lalu
"Produk di terima dengan baik,semua nya sesuai yg di pesan,,toko nya amanah🥳",bintang 5,4 bulan lalu
"Pesanan sesuai, aku pilih 04 the real cakep pas aku buat ngalisss",bintang 5,2 bulan lalu
"Yeees ok bngt ini barang, baay.. Bay.. Pensil alis 

Smpe beli yg pake cetakan ttp ga puas di pake nya 

Tpi Focallure waterproof ok bngt",bintang 5,3 bulan lalu
"Barangnya udah nyampe dengan aman
Bagus bangettttttt warnanya, mengaplikasiannya juga gampang bgtt",bintang 5,6 hari lalu
Sya pesan black knp muncul coklat brown,bintang 5,1 bulan lalu
"Aaaa mantulll ihhh sukaaa
Udah free kuas juga aku dapet harga murah lagi, kirain bakal susah pakek yang kuas"" gini ternyata baru belajar sebentar udah bisa😝😋",bintang 5,1 minggu lalu
"Ternyata kena air langsung ilang,,Kurang cocok di alis gundul menurut saya,karna lebih kecoklatan dari pada keiteman,,,",bintang 4,3 bulan lalu
