review,rating,date
"barang sesuai, packing aman & cepat sampai 👍👍 thank you !",bintang 5,7 bulan lalu
Suka banget sama produk ini. Ada harga ada rupalah 😊. Top. Puas sama produknya.,bintang 5,
,bintang 5,
Bagus hasilnya,bintang 5,9 bulan lalu
👍🏻👍🏻 Luv it! Thank you Holika,bintang 5,
2nd purchase! Love it thank you! ❤️,bintang 5,
Alis jadi rapi.,bintang 5,
gak kelihatan.,bintang 2,
goodd,bintang 5,2 bulan lalu
warnanya agak gelap,bintang 4,
"Fast respon, fast delivery. Cuma beli 1 pun pengiriman cepat. Eyebrow definer nya juga OK. Recommended belanja make up disini. Thanks yah",bintang 5,
kereeen.. pas dapat bonus n diskon..😍😍😍,bintang 5,
Bagus bgt. Bikin alis tetep on sepanjang hari.,bintang 5,Bagus bgt. Bikin alis tetep on sepanjang hari.
bagus parah. krn pgn samain sm warna rambut jd beli ini. n bener2 bagus sih bulu alisnya jd warna blonde jg tp ga menggumpal. buat yg pgn lbh perfect gambar alisnya terli...,bintang 5,
terimakasih paketnya sdh sampai 😊,bintang 5,
suka banget...hasil natural halus  dan tidak menggumpal,bintang 5,
suka bgt. awalnya agak tebal to lama2 warnanya menyatu kaya alis asli,bintang 5,
Really nice!! Love it,bintang 5,
