review,rating,date
"Mudah diaplikasikan, warnanya cantik, harga terjangkau, kualitas produk baik, pengiriman cepat, pengemasan aman. Terima kasih",bintang 5,2 bulan lalu
"baguss pdhl pencil nya kecil bgtt ak suka jd gampang bingkai, cm ak lupa kulit ku warm dan deep jd pas dipake lebih ke abu2 bgt wrn nya ky nenek2 wkwk jd diakal2in sih pa...",bintang 4,4 minggu lalu
"pigmentasinya kureeeeng tapi packagingnya bagus, compact yang gak makan banyak tempat",bintang 3,3 bulan lalu
"Tipis, gampang patah, isi dikit, warna soft, kurang begitu coklat, lucu, comfortable.",bintang 5,2 bulan lalu
"Pengemasan rapi aman tebal, harga lebih murah dari pada toko sebelah..
Pengirimannya juga lumayan cepet",bintang 5,2 bulan lalu
"Barang diterima dg baik dan sesuai deskripsi, pengantaran juga super cepat, kurir juga sopan, adm juga respon baik dan cepat
Barang sangat baik sudah di coba dan worthit...",bintang 5,4 bulan lalu
"Barang diterima dg baik dan sesuai deskripsi, pengantaran juga super cepat, kurir juga sopan, adm juga respon baik dan cepat
Barang sangat baik sudah di coba dan worthit...",bintang 5,4 bulan lalu
Cakep. Penailnya kecil jd enak buat bikin alianya. Gampang di build up & gak gumpal. Much better daripada yg model pensil.,bintang 5,1 minggu lalu
Cakep. Penailnya kecil jd enak buat bikin alianya. Gampang di build up & gak gumpal. Much better daripada yg model pensil.,bintang 5,1 minggu lalu
Bagus sih tapi suka patah cepet habis jadinya,bintang 3,3 bulan lalu
Langganan karena semudah itu bikin alis pake ini.. Lov banget,bintang 5,3 minggu lalu
"Gangerti lg bener-bener sesuai sm yg aku pesen!😭💗

Suka banget dipacking satu satu pake bubble wrap biar aman. Thank u yaa effortnya💗",bintang 5,2 minggu lalu
"suka bangettt sumpahh wajib beli, TPI sayang nya cepet potong",bintang 4,2 minggu lalu
"Color: Ok
Coverage: Ok
Product benefit: Ok",bintang 5,3 bulan lalu
"packagingnya bener bener aman, mamah saya juga suka bgt sama produknya, the best",bintang 5,3 minggu lalu
Pengiriman cpt...rekomended bgt..dah sering co,bintang 5,2 bulan lalu
Barang sudah sampai dengan cepat dan sesuai pesanan🙏🏼 terimakasih.,bintang 5,3 minggu lalu
baru pertama coba jadi ga tau bagus ga nya,bintang 3,2 bulan lalu
Min ini kok ga keluar ya pensilnya?,bintang 3,3 bulan lalu
"Baguuusss
Akhirnya coba eyebrow warna ash brown",bintang 5,3 bulan lalu
barang sesuai pesanan,bintang 5,2 bulan lalu
bagus warnanya,bintang 5,2 bulan lalu
"Kecil, gampang patah",bintang 3,2 bulan lalu
Produk bagusss,bintang 5,1 bulan lalu
Cepet patah 😭😭,bintang 3,3 minggu lalu
,bintang 5,2 bulan lalu
"Sesuai, bagus banget",bintang 5,2 bulan lalu
Packaging aman,bintang 5,2 bulan lalu
Bagus banget warnanya natural,bintang 5,2 bulan lalu
Isinya sedikit TPI aku suka,bintang 5,1 minggu lalu
Enak banget dipakenya,bintang 5,2 bulan lalu
Gak kecewain 👍👍,bintang 5,3 bulan lalu
,bintang 5,1 hari lalu
,bintang 5,2 minggu lalu
,bintang 5,1 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
Bgs,bintang 3,2 bulan lalu
Sesuai pesanan,bintang 5,3 minggu lalu
sukaaa 🫰🏻🧚‍♀️,bintang 5,2 bulan lalu
f,bintang 5,3 bulan lalu
"mantap, realpict",bintang 5,4 bulan lalu
bagusss banget,bintang 4,1 bulan lalu
Sesuai pict,bintang 5,1 minggu lalu
baguss🤍,bintang 5,1 bulan lalu
Barangnya sudah sampe Terima kasih,bintang 5,2 minggu lalu
K,bintang 5,1 minggu lalu
👍🏻👍🏻👍🏻👍🏻👍🏻,bintang 5,2 bulan lalu
Aman,bintang 5,2 minggu lalu
Bgus bangettt,bintang 5,2 bulan lalu
,bintang 4,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 4,3 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 4,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 4,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 5,3 bulan lalu
,bintang 4,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 4,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 4,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,4 bulan lalu
Ok,bintang 4,4 bulan lalu
Bgus,bintang 5,2 bulan lalu
👌🏻,bintang 5,1 minggu lalu
👌🏻,bintang 5,1 minggu lalu
,bintang 3,2 bulan lalu
👍,bintang 5,2 bulan lalu
👍,bintang 5,2 bulan lalu
bagussss bgtttt👍🏻,bintang 5,2 bulan lalu
