review,rating,date
"udah make 1 bulan ini. shadenya bagus bgt cocok di kulit sawo matang, gak oksidasi, nempel bgt dimuka, coverage nya mantulity ga dempul",bintang 5,8 bulan lalu
bagus banget shade nya pas nyatu dikulit. lumayan coveragenya.,bintang 5,7 bulan lalu
"barangnya sampai dengan selamat, bagus bgt cushionnya sukaa, cocok untuk daily",bintang 5,9 bulan lalu
"bahannya ringan gampang diserap pokoknya mantul ,dapat harga diskon pula. thanks seller",bintang 5,5 bulan lalu
"Kualitas produk baik, harga produk baik, pengiriman cepat & aman",bintang 5,10 bulan lalu
"SUMPAH INI REFIL TER WORTH IT, GILAAA IMPLORA GADA ABISNYAA EMANGGG, coveragevnya buildable di aku masuk bgttt, +++ bisa di replace sama cushion lainnya ( kayaknya)",bintang 5,8 bulan lalu
"terimakasih seller, shadenya cocok bagus cushionnya the best",bintang 5,8 bulan lalu
"minim oksidasi, finish nya matte,ringan juga cocok untuk pemula yang baru pakai cushion",bintang 5,6 bulan lalu
warna pas tidak mengecewakan top bgt halus,bintang 5,4 bulan lalu
"cushion cocok dengan kulitku, mantap....",bintang 5,8 bulan lalu
halo timaaciii seller barangnya sudah sampai dengan selamatt!!!,bintang 5,9 bulan lalu
"bahannya ringan, minusnya agak susah di blend kalo aku.. dan gampang ilang:(",bintang 5,9 bulan lalu
"cocok di kulit combi kayak aku, kayaknya mau naikin satu shade lagi karena ini agak gelap di aku overall worth it buat harga segitu",bintang 5,8 bulan lalu
"Cushion nya ringan, nyaman dipake. Semoga next nya ngeluarin buat yg undertone nya neutral tapi light ya Min. Buat yg ada bekas jerawat kehitaman kalo tap 1 layer masih k...",bintang 5,9 bulan lalu
"pesanan dikemas dengan rapi dan aman, pengiriman agak lama..cushionnya udah dipakai, hasilnya full coverage, bagus👍",bintang 5,8 bulan lalu
tipe kulitku berminyak tipe kulitku sensitif,bintang 5,11 bulan lalu
"Chusionnya ringan, dan menurutku minim oksidasi. tapiiii pengirimannya lama banget, aku nunggu 10 hari atau lebuh kyanya. aku kira barangnya hilang, ternyata kurir nya re...",bintang 4,7 bulan lalu
"barang  sesuai deskripsi.
cocon kulit saya.
bikin wajah glowing.
melembabkan banget.
packing aman,pengiriman cepat.
mantap💪
dapat hadiah thanks😻",bintang 5,6 bulan lalu
"tipe kulitku kombinasi tipe kulitku sensitif
barang sampai tepat waktu, pesanan sesuai, pengemasan rapi dan aman. terimakasih seller & kurir ☺️",bintang 5,10 bulan lalu
"tipe kulitku kombinasi lumayan ngecover bekas jerawat. cocok dipakai daily, suka sih sama prodaknya. dapet harga promo, terimakasih tokopedia superr baik banget",bintang 5,11 bulan lalu
"sesuai deskripsi, respon dan pengiriman cepat",bintang 5,4 bulan lalu
Barangnya bagus. Cocok,bintang 5,5 bulan lalu
"Coverage nya mid to full, suka deh sama packagingnyaaa so chic! Spons nya bentuk teardrop dan lembut parahhhhh.. warna nya di muka ku cocok gak keputihan dan ga gelap jug...",bintang 5,11 bulan lalu
"tekstur nya cair, bikin tampilan flaws, medium covered",bintang 5,7 bulan lalu
"baru pertama kali coba cushion implora,bagus sih br coba td apply,next coba seharian pakai, SDH pernah pakai ss implora dan lipstik nya bagus loh ,btw pengiriman lumayan...",bintang 5,8 bulan lalu
akhirnya sampai. belum di coba tapi semoga cocok. terimakasih seller,bintang 5,8 bulan lalu
pengemasan barang aman banget barang sampai dengan selamat dan sesuai pesanan 👍,bintang 5,5 bulan lalu
"Cocok sama kulit akuuu 😍😍 
Dapet harga ga sampe  gope🤭😆 
Terima kasih tokped🥰",bintang 5,9 bulan lalu
"pas dipakai ringan ga terasa berat, cocok untuk kulit oily, hasil awalnya dia matte tapi lama kelamaan jadi dewy dan flawless, medium to high, untuk warnanya di kulit saw...",bintang 5,10 bulan lalu
"Diaplikasiinnya gampang, shadenya juga lumayan pas c.. masih agak transfer dikit di masker klo di aku.",bintang 5,10 bulan lalu
"belum di coba, semoga cocok. dapet hadiah handsanitizer thx seller❣️",bintang 5,8 bulan lalu
"pengiriman cpt , barang sesuai pesanan semogaaa bakal berlangganan di toko ini",bintang 5,8 bulan lalu
"Ga expect bakal bagus jujur, apalagi dengan harga segini?! Kek emang boleh😭 baru coba dipake belum yang keluar rumah terus kepapar matahari lama jadi ketahan belum tau c...",bintang 5,11 bulan lalu
"teksturnya ringan, tapi shade nya kurang cocok krn kulit aku warnanya kehijauan. coveragenya menurutku medium",bintang 5,9 bulan lalu
"suka produk nya👍
ringan, coverage nya bagus, ketahanan dari pagi sampe sore pun masih bagus walaupun udah kena air wudhu",bintang 5,10 bulan lalu
