Product Name,Current Price,Original Price,Image URL,Stock,item_id
SOMETHINC HOOMAN Breathable UV Cushion Cover SPF 35 PA++++ - HOO Linen FULL,Rp156.870,Rp189.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/19/a31b8ed0-c06c-434d-be2c-10d5ca753b68.png.webp?ect=4g,621,1
Maybelline Superstay Vinyl Ink - Liquid Lipstick - Rogue,Rp139.900,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/12/11/bde1a009-fba3-461e-9ebd-dd6adc7298c7.jpg.webp?ect=4g,Sisa 4,2
Whitelab [UPGRADE] N10-Dose+ Brightening Serum Niacinamide 10% - Pencerah wajah Mencerahkan - Upgraded Formula,Rp76.800,Rp168.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/3b961687c8d74128b4ac736d84edb77e~.jpeg.webp?ect=4g,"27,5 rb",3
SKINTIFIC 5X Ceramide Low pH Cleanser Facial Face Wash - 15 ml,Rp45.000,Rp90.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/4/12/f64e4037-8562-468a-b07b-3a2d6565b22a.jpg.webp?ect=4g,18,4
SLAVINA First Kiss Body Care Body Lotion dan Shower Gel by Nagita Slavina Moisturizer dan Sabun Mandi Cair 350ml - Body Lotion,Rp86.400,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/c5b93f8065814a86832b2de86240799e~.jpeg.webp?ect=4g,3.754,5
Morris Glam Edition 100ml/Eau De Parfume/Parfum Wanita - Pure Romantic ~ Morris Glam EDP,Rp33.100,Rp89.900,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/1ba8476ccd4647f78af050aecbc29a83~.jpeg.webp?ect=4g,89,6
Evangeline Musk Eau De Parfum 100ml White Parfum Wanita,Rp33.060,Rp50.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/8/cf2d2b09-8523-493a-ba0d-31ff9b1328ba.jpg.webp?ect=4g,14,7
Garnier Men Oil Control 3in1 Charcoal Facial Wash 100 ml Twin Pack,Rp70.200,Rp78.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/9/12/d7a3de90-6af3-4497-b1d5-ecc51e564c4c.jpg.webp?ect=4g,80,8
"Emina Daily Matte BB Cream 16 g - Melembabkan, Matte Finish, Oil Control - 01 Light",Rp31.500,Rp35.200,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/40dc2eac623b430caeb7b144ee921495~.jpeg.webp?ect=4g,77,9
hanasui flawless cream krim 31-40 EFG - fungi 5gr cr,Rp14.500,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/30/c10d5979-0a29-449d-99f4-d06578d716df.jpg.webp?ect=4g,48,10
PIXY #Filter_Free Airy Stay Two Way Cake - C12 Fair Ivory,Rp34.000,Rp40.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/12/85fea30e-5489-4442-8c35-f2f8f83c56aa.jpg.webp?ect=4g,102,11
ULTIMA II Delicate Translucent Face Powder With Moisturizer 24 gr - Bedak Tabur Halus & Hasil Natural - Pink Shell,Rp126.900,Rp135.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/9ae97258c34f4c74b32b21cb7dbb05e0~.jpeg.webp?ect=4g,Sisa 3,12
"[HIGH DEMAND] Teratu Beauty 15 gr Matte Blur Set Translucent Loose Powder with Salicylic Acid, Centella Asiatica, Tea tree - 15 gr Refill",Rp70.000,-,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/2ede72ce82914f7eaa50b9fb25813209~.jpeg.webp?ect=4g,"10,6 rb",13
NEW Silk Glow Luxcrime Blur & Cover Two Way Cake - Cinnamon 8.5g,Rp109.650,Rp129.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/7/15/c2d28a13-4c68-49ac-bc08-181f37c8b26e.png.webp?ect=4g,714,14
MOP - Microblur Translucent Loose Powder - New Packaging,Rp135.150,Rp159.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/19/1e224b81-a7d3-402c-8ec8-c08a7886443c.jpg.webp?ect=4g,Sisa 5,15
Revlon Touch & Glow Face Powder 24 gram (bedak tabur lembut dan hasil natural) - Creamy Ivory,Rp60.300,Rp67.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/871ed05bb79a4cf08a1ed72380c1f5ec~.jpeg.webp?ect=4g,50,16
DAZZLE ME Better Than Filter Fixed Loose Powder Lightweight Loose Powder Bedak Tabur Ringan Tahan Lama 12 JAM - 01 True Translucent,Rp54.900,Rp150.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/e99dafd3074440ec8740f431b11417d8~.jpeg.webp?ect=4g,3.985,17
SOMETHINC HOOMAN UNDER CONTROL HD Blur Loose Powder - 01 Translucent,Rp135.000,Rp165.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/8/7/708bb725-7200-4576-a636-20724674ac4f.jpg.webp?ect=4g,2.824,18
Marina Compact Powder UV Protection - 01 Ivory,Rp9.600,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/3/1/6bfa2651-fa05-489c-8fe6-af635f83e6d4.jpg.webp?ect=4g,283,19
Maybelline FIT ME! 12H Oil Control Powder 118 Light Beige,Rp56.000,Rp83.900,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/6/20/3cafae98-66be-4754-842e-546f98ef4d73.jpg.webp?ect=4g,79,20
Hanasui Perfect Fit Setting Powder - Loose Powder - Bedak Tabur Translucent Wajah - 03 Natural,Rp35.357,Rp55.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/a65d42cabbe64db499e4dc2c4db949cf~.jpeg.webp?ect=4g,Sisa 7,21
[Official] FOCALLURE Loose Powder Oil-control Lasting 12H -3 Colours - FA15-01,Rp37.500,-,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/0c3185ac53c44b7083eadd1536a2eb81~.jpeg.webp?ect=4g,"16,2 rb",22
Raine Beauty Soft Cheek Color Drops - I'm Flattered,Rp149.000,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/7/6/afa87969-3e02-41ed-8662-418d227b8a02.jpg.webp?ect=4g,15,23
BLP - Face Glow - 4.5g - Blush On / Bronzer / Highlighter - Sunnies,Rp92.000,Rp115.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/992438a873d24ac3a76be6cfa49dfae6~.jpeg.webp?ect=4g,107,24
ESQA Wonder Crush Serum Liquid Blush On - Flirty Summer,Rp89.000,Rp110.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2025/1/31/646cdc4a-afea-441f-9674-9af9da6ea636.jpg.webp?ect=4g,294,25
Sea Makeup Vibrant Flushed Liquid Blush On Cair - Orchid Dusk Pink Mauve - Pewarna Wajah - Dahlia Sunset,Rp68.000,Rp99.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/2b9eaae69b44469695d9d94d0ba0436f~.jpeg.webp?ect=4g,2.981,26
"[BEST SELLER] Judydoll Blush Powder - Blush ungu cool Tone, perona pipi natural untuk daily, mudah di blend dan tahan lama - #02 Pink Rose",Rp63.480,Rp69.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/bea5458491144644a86bc1ccc9a44fa3~.jpeg.webp?ect=4g,361,27
WARDAH Colorfit Cream Blush - Formula ringan dan teksturnya creamy - Makeup - 01 SAND CORAL,Rp53.010,-,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/2f29a6c1fc344d14b95b8c8c189c9285~.jpeg.webp?ect=4g,58,28
Viva FIn Touch (BLUSH ON) Finishing Touch - Tersedia 3 Varian Warna - No 03,Rp6.475,Rp8.750,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/9366a7a7879344d6b33dc6b6d21e6d59~.jpeg.webp?ect=4g,68,29
Hanasui Perfect Cheek Blush & Go Powder - Blush On Wajah - 01 Pink,Rp31.172,Rp50.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/3661c792276f425a9e5093b9f962e7e7~.jpeg.webp?ect=4g,88,30
Glycore 10% Cream Membantu Menyamarkan Noda Hitam pada Wajah (10 Gram),Rp26.600,Rp36.200,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/12/79f25781-7863-4ecf-a32c-e1b1474eb586.png.webp?ect=4g,1162,31
NEW! Emina Bright Stuff Moisturizing Cream 20 ml - Pelembab Wajah Mencerahkan - 20 ml,Rp24.500,Rp29.150,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/9a5fdc2ceedd4dfba146ef981ad3a6a3~.jpeg.webp?ect=4g,204,32
Wardah C-Defense DD Cream 20 ml - Cerah dan Warna Kulit Merata - Light,Rp27.950,Rp32.500,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/8db0ac2ce1f14be68973a27064d3471c~.jpeg.webp?ect=4g,160,33
MS GLOW - WHITENING DAY CREAM - 10gr - DAY CREAM NEW,Rp72.000,Rp150.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/4a6eeb0c3c884827b03a0d013c8d86a3~.jpeg.webp?ect=4g,Sisa 9,34
PIXY Concealing Base 4 Beauty Benefits 01 Natural Beige,Rp36.000,Rp40.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/20/e8e8660c-d72c-4f67-829f-797d63396458.jpg.webp?ect=4g,923,35
PIXY Concealing Base 4 Beauty Benefits 03 Creme Beige,Rp36.000,Rp40.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/20/2a0a0a7e-2d71-456b-adc5-13ca2d31791f.jpg.webp?ect=4g,418,36
Haquhara Dark Away Creamy Blend Color Corrector / Corrector Orange / Corrector Peach - Orange,Rp97.000,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/36b4f5a6ae4c42aa9b90f7590999e82c~.jpeg.webp?ect=4g,140,37
OMG Oh My Glam Cover last Liquid Foundation SPF 20 PA++ Concealer Waterproof Lasting - 41W Sand,Rp17.544,Rp36.460,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/e8cebc293e61487390c8d6510850f20e~.jpeg.webp?ect=4g,20,38
Luxcrime Sponge-Tip Seamless Liquid Contour - Praline,Rp90.090,Rp99.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/10/10/04a94aad-c809-4402-af49-d98790a96fae.png.webp?ect=4g,3.800,39
SOMETHINC EGGO 3D Contour / Bronzer - Dragon,Rp62.000,Rp75.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/4/5/9258a519-3eea-46cd-8cfb-e69512901301.jpg.webp?ect=4g,599,40
Eze Nails - Blissful In Pink Ombre Spot On Manicure (Kuku Palsu Tempel) - Blissful in Pink Ombre,Rp114.990,Rp124.990,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/13082bc36e08473a84c7d32628a32089~.jpeg.webp?ect=4g,1.002,41
PIXY #Filter_Free Airy Serum Cushion Glow - C12 Fair Ivory,Rp71.100,Rp79.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/6/92e1b80b-12cb-4840-b9ba-b10ec5737ff4.jpg.webp?ect=4g,239,42
Guèle - Refill BARE Cushion - Mare,Rp149.000,-,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/08d3c70890e848a1a98cdbb4a8ad0056~.jpeg.webp?ect=4g,1.928,43
TIRTIR Mask Fit Red Cushion 4.5g - 17C Porcelain,Rp140.400,Rp260.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/740aff3bf2ca4a8da1ff3012c281e4e9~.jpeg.webp?ect=4g,372,44
"Implora Healthy Glow Cushion - 01 Ivory, Reguler Pack",Rp87.000,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/5/28/cc2ccc89-c2e5-4c69-b39f-5d8ac53e7b54.jpg.webp?ect=4g,Tidak Dijual,45
True to Skin - Skinlike Porefecting Cushion SPF 35PA+++ - Refill-Biscoff,Rp79.000,Rp129.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/6/4/8d1571b3-6a85-4cf6-ba81-b59c64c1a7c6.png.webp?ect=4g,2.528,46
PIXY Make It Glow Dewy Cushion 101 Light Beige - Refill,Rp82.800,Rp92.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/1/7/abad79ab-c527-413e-9113-d38ca9c91495.jpg.webp?ect=4g,88,47
【HOT SALE】TIME PHORIA - Timeless Lumina Matte Perfection Cushion 11g - 00 Bare,Rp189.000,Rp379.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/987b146460404f9c982a96557e526c70~.jpeg.webp?ect=4g,9.474,48
Luxcrime Perfecting Cover Cushion - Velvet Matte SPF 50 PA +++ - C01,Rp139.620,Rp179.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/9/19/947d084c-73f2-4308-9300-519dc4ccb980.png.webp?ect=4g,8.422,49
[CAMPAIGN NO GIFT] Madame Gie No Limatte Cushion - Make Up Cushion - 02 Pancake,Rp65.000,Rp99.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/0246f52789ad49b69b66e2424524fb63~.jpeg.webp?ect=4g,3.232,50
MOP - Anti Cakey Lock and Smooth Gripping Primer - New Packaging,Rp157.520,Rp179.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/19/d6ae96f6-daeb-47e8-b664-e6817b99455e.jpg.webp?ect=4g,87,51
