review,rating,date
Lipstiknya bagus gk bikin bibit kering tahan buat makan dan warnanyaa cantik poll,bintang 5,5 bulan lalu
lip cream no tiga lt pro sudah dateng sesuai pesanan dan manteb sesuai diskripsi produk original,bintang 5,5 bulan lalu
"Barang sesuai dengan deskripsi, cocok untuk wajah saya, pengiriman cepat, rekomen seller, sukses selalu.",bintang 5,3 minggu lalu
"Produk sudah diterima dengan baik, dapet bonus masker juga. Terima kasih banyak seller dan tokopedia",bintang 5,
"Alhamdulillah paket sudah diterima, seller gercep dan barang sesuai dgn ekspetasi, barang original dan yg jelas kenyamanan dalam berbelanja, jangan ragu tuk belanja ditok...",bintang 5,
"beautiful color, hasilnya matte dan terasa powdery, ga bikin bibir gersang apalagi dipakein lipbalm dlu, minim transfer kalau ga di gesek keras... menurut saya ini produk...",bintang 5,
"barang diterima dan dikemas dg baik, pengiriman pun cepat",bintang 5,
dari dulu suka lt pro. dan koleksi warna2mya . suka banget karna ringan polll di bibir . tidak mengendal . tidak membekas . dan tidak gampang luntur kalo di buat abis mak...,bintang 5,5 bulan lalu
"LT PRO terbaik, suka banget sama warnanya, lip cream nya ringan bgtt, tahan lama, pengiriman jg cepet 😍😍😍😍🥰",bintang 5,
"Kualitas bagus sesuai deskripsi, pengiriman cepat, seller fast respon, rekomen seller",bintang 5,10 bulan lalu
Nggak bikin bibir kering. Aplikator mudah dipakai. Hasilnya matte. Cocok buat kulit gelap. Packaging aman 🙏.,bintang 5,
"dpt harga sale, exp masih 2024, minus di packing terlalu kecil takut selip dan cmn di lapis plastik",bintang 4,
"yg baru datang warnyanya agak beda dikit, jd lebih terang, tp ttp cinta sama si 14
kl yg 03 kurang cocok di aku jd pucat kayak org sakit alhasil jarang sekali dipakai..",bintang 5,
"Barang bagus, murah, dan berkualitas. Respons dan pengiriman jg sangat cepat. Recommended Seller.",bintang 5,
"reommended...pertama kali beli, product baik, coverage bagus, tidak kering di bibir, ketahanan setengah hari (setelah minum beberapa kali) cukup baik. recommended.",bintang 5,"reommended...pertama kali beli, product baik, coverage bagus, tidak kering di bibir, ketahanan setengah hari (setelah minum beberapa kali) cukup baik. recommended."
Hasilnya tahan lama. Aplikator mudah dipakai. Cocok buat kulit gelap. Hasilnya matte. Nggak lengket.,bintang 5,
"Respon cukup cepat, produk sesuai deskripsi. 
No.10 lebih 'oranye', ber-glitter, agak membekas.
No.14 lebih 'pink' jadinya hampir magenta, doff, tidak mem...",bintang 5,
ini yg katanya base ombre favorit para mua ya??? warnanya kyk agak ke orange gtu klo di tangan gatau nnti di bibir…,bintang 4,
Alhamdulillah udah lama pakai LT Pro yang nomor 8 ini.. Di bibirku gak bikin kering,bintang 5,11 bulan lalu
kalau dipakai terasa ringan dan warnanya juga cantik...pas di kulit bibir.,bintang 5,
"suka banget sama warna nya. sehabis makan, liptik tetap nempel",bintang 5,
beli lip cream yg udah pernah dibeli 6 tahun lalu. karena suka banget sama warnanya. teksturnya ringan g' bikin bibir kering juga,bintang 5,
