review,rating,date
"barang bagus, respon penjual cepat, sesuai pesanan, mantapp luxcrime",bintang 5,8 bulan lalu
"Akhirnyaa ada refill cushion iniii, sukak banget pas beli pertama kali sampe gak pikir panjang buat beli refillnya karna sebagus itu, gak ngerusak kulit dan shadenya bagu...",bintang 5,
Selalu beli luxcrime karena ini yg paling masuk warnanya hehe,bintang 5,2 bulan lalu
"coverage nya bagus, di aku finish nya gkbterlalu matte, mayan bagus. cuman agak kurang lama ketahanannya.",bintang 5,11 bulan lalu
"Baguss, cocok dimuka, produk luxcrime emang best",bintang 5,6 bulan lalu
aaaaa sukak bgt aku kira terlalu gelap di muka aku tenyata pas banget ❤️ terimakasih luxcrime 🥰 tipe kulitku berminyak under tone kulitku warm,bintang 5,10 bulan lalu
"Bahannya ringan, mudah diserap dan coveragenya mantap banget. Kantung mataku kecover sempurna, top deh",bintang 5,10 bulan lalu
"barang cepet banget sampenya, smua barang lengkap n aman, thanks seller",bintang 5,8 bulan lalu
"Bagus hasil matte, tp case lumayan besar jd agak susah bawanya sih",bintang 5,
"Bagus banget sangat coverage, ringan bangett dan alhamdulillah saya milih shade yg tepat. love so hard to this cushion. Hasilnya sangat mate tipe kulitku normal",bintang 5,
"hasilnya lebih mate dibanding yg SPF 35
coverage sama dan tdk perlu finishing dgn compact atau lose powder lagi, 1 touch N finish.
photo dengan camera depan yaa",bintang 5,
Cushion nya ringan banget di pakai dan untuk packaging nya oke banget.. Luv Luv sekebon Luxcrime😍😍,bintang 5,1 bulan lalu
bagus banget cushion nya cocok untuk tipe kulitku berminyak,bintang 5,
alhamdulillah bagus cushionnya. cocok shade nya dgn warna kulit saya. ringan dan coverage juga ok. tks,bintang 5,4 bulan lalu
"Baru mau coba cushion dr Luxcrime,untuk wrna nya pas bgt dikulit aku,tempatnya imut lucu,smg cocok jd bisa repurchase",bintang 5,6 bulan lalu
Kandungannya sangat bagus dan sesuai sama apa yg di gambar sangat recommend dan cocok bgt dimuka 💜💜,bintang 5,
"baru mau coba sihh, semoga warnanya cocok, suka bgt deh sm packaging nya .. lucu",bintang 5,
"Belum aku coba, semoga warnanya ga terlalu terang. Walaupun beda tone sama kulit muka aku bisa diakalin sih. Pengen warna n01 tp habis huhu",bintang 5,
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif under tone kulitku warm under tone kulitku netral under tone k...,bintang 5,
Bahannya ringan. Bagus di pemakaian 3 jam pertama. Lebih dari itu harus cek karena udah mulai crack,bintang 5,10 bulan lalu
"tipe kulitku normal. 

pertama nyoba ini rekomendasi follower di IG. 
tertarik sama produk ini karena sempet cek review nya di youtube katanya ringan banget di muka. trus...",bintang 5,
"tipe kulitku berminyak, beneran nahan minyak sihhh tapi masih kurang cerah menurut aku untuk aku karena dia sama kaya kulit aku, coverage nya juga bagus",bintang 5,
"belom dicoba sih, soalnya baru aja dibuka. moga aja cucok",bintang 5,
"Shadenya pas di gw cocok 👍, lumayan cover bekas jerawat",bintang 5,8 bulan lalu
