review,rating,date
"bagus banget, sayang isinya dikit banget jadi berasa pricey. tapi suka dengan hasilnya. gak gampupatah",bintang 5,7 bulan lalu
"Emg kecil bgt pensilnya, tp cukup buat kl cmn nyamnungin alis asli sama bikin baru. trs gampang blend. ada spully jg",bintang 5,6 bulan lalu
"pensil alisnya udah sampai dengan aman dan packing rapi....warnanya sesuai ekspetasiku.....produk ori dan tersegel ....tq seller, toped dan abang kurirnya ..",bintang 5,8 bulan lalu
"Barang original, sesuai pesanan, packaging amat bgtt",bintang 5,
"blom coba, tapi lihat dari produk sangat tipis dan mungkin mudah diaplikasikan",bintang 5,11 bulan lalu
"produk sesuai pesanan. packaging baik. pengiriman standar. baru pertama kali coba, so far so good. Gampang dibawa-bawa. Packaging aman 🙏. Packaging rapi.",bintang 5,
"Packing aman pakai kardus dan bubble wrap. Udah nyoba produk ini hasilnya tebel, gampang dipakai, dan gampang dibawa kemana-mana. Thank you seller 💐",bintang 5,
"repurchase, tidak gampang patah 👍Gampang dipakai.",bintang 5,
"Barang sesuai gambar dan deskripsi, pengemasan baik dan aman, kualitas bagus dan hasilnya juga bagus",bintang 5,
cocok banget buat pemula & orang yang ngga begitu jago bikin alis. mudah banget dipakai karena ukuran pensilnya kecil jadi ngga susah untuk gambar alis. precise bange...,bintang 5,7 bulan lalu
Teksturnya keras. Gampang dipakai. bentuk ujungnya segitiga kecil bgt jadi bisa buat gambar garis tipis. spoolienya lembut bgt,bintang 5,
Hasilnya tebal. Teksturnya creamy. Gampang dibawa-bawa. Packaging aman 🙏.,bintang 5,
"Pigmented tapi gampang di blend, bisa natural bisa on fleek, bisa untuk pemula 😍👍🏻",bintang 5,
"Proses barangnya lumayan lama sih, tapi pengirimannya cepet banget. Barangnya dipack rapi dan sesuai dengan deskripsi. Udah sering beli di luxcrime dan selalu puas sama b...",bintang 5,
"Dapat flash sale, pertama kali mau coba pensil alis luxcrime semoga cocok. Pengiriman agak lama. Pensilnya kayanya lembut. Thank you",bintang 5,
"Akhirnya sampai jg yg ditgugu2,, awalnya smpt heran g biasnya nympe 10hari,,baru kali ini psn ditoped lama bgt ini cz dari jasa ekspedisi nya x ya,, tp kl dari penjualany...",bintang 5,
"Pesen 1 aja pake box gini... makasi banyakkk yaaa
Aman banget ko 
Pensilnya juga bagus kecil gt jd gampang aplikasinya",bintang 5,
"bagussss warnanya
pengaplikasian gampang karena pensilnya ramping",bintang 5,7 bulan lalu
"Butuh 4 hari barang sampai ke Bali. dikemas dengan sangat baik. Semua barang baru, lengkap sesuai pesanan. Puas",bintang 5,"Butuh 4 hari barang sampai ke Bali. dikemas dengan sangat baik. Semua barang baru, lengkap sesuai pesanan. Puas"
Cepet banget sampenya cm 1 hari!! Packagingnya bagus bgt dan aman. Produknya jg baguus dan gampang dipakai. Thank you Luxcrime!,bintang 5,Cepet banget sampenya cm 1 hari!! Packagingnya bagus bgt dan aman. Produknya jg baguus dan gampang dipakai. Thank you Luxcrime!
"Prosesnya cepat, kualitas tak diragukan, mantab cepat bgt sampe barangnya 👍🏼",bintang 5,
"ukurannya pas, mudah untuk pengaplikasiannya terutama untuk pemula",bintang 5,
"I always bought eye brow in Germany or in Holland whenever I visited those countries.
And yet, it was my first time to purchase this pencil. Quite hard to use since the t...",bintang 4,
pensil alis mudah digunakan dan hasil alis terlihat natural.,bintang 5,
"Packaging, pengiriman 👍🏼
Kualitas barang top. Warna dark brownnya natural , penggunaan mudah 👍🏼🌟",bintang 5,
Teksturnya creamy. Beneran waterproof. Gampang dipakai. Gampang dibawa-bawa. Penjualnya ramah banget. Respon penjualnya top. Packaging rapi. Proses pesanan cepat. Hasilny...,bintang 5,
Hasilnya tebal. Gampang dipakai. Proses pesanan cepat. Packaging aman 🙏. Respon penjualnya top. Packaging rapi.,bintang 5,
Teksturnya keras. Gampang dipakai. Packaging aman 🙏. Packaging rapi. Gampang dibawa-bawa.,bintang 5,
bagus ga gampang patah. warnanya juga ada pilihan lainnya. harganya standar ya,bintang 5,
Kualitas produk sangat baik. Produk original. Kecepatan pengiriman sangat baik.,bintang 5,
Hasilnya awet Beneran waterproof Gampang dipakai Gampang dibawa-bawa Packaging aman 🙏 Proses pesanan cepat,bintang 5,
Gampang dipakai  Hasilnya awet Gampang dibawa-bawa,bintang 5,
Sbenernya pas buka paket isi nya kosong tp apa daya lupa buat video unboxing mau komplain sampe jungkir balik juga ga akan bisa. Tapi sumpah demi Tuhan isinya kosong. Mun...,bintang 5,
"pigmented, ujung pensilnya gampang buat ngebentuk alis tapi tetap natural, sejauh ini pensil alis ini paling nyaman, mudah, dan oke buatku. selalu repurchase",bintang 5,
"pengiriman cepat, packaging aman, barang original",bintang 5,1 bulan lalu
Paket sampai dengan aman. Kualitas produk baguss. Packnya agak penyok takut patah tapi aman kok,bintang 5,
Gampang dibawa-bawa Proses pesanan cepat Packaging aman 🙏 Gampang dipakai,bintang 5,
"Pengiriman aman bgt, pake kotak besar trus dlm-y pake bubble wrap lg. 
Pencilnya kecil, gampang dibawa2. Make-y juga gampang. Cm memang ga tahan lama",bintang 5,
