review,rating,date
"staining di shade staycation ini itu kayak color-changing gloss yang warna pink gonjreng gituh, soo buat yang mau beli bisa dijadiin pertimbangan. Tapi, nggak keliatan ko...",bintang 5,8 bulan lalu
"pengemasan lama bgt, gagal pick-up 2x, katanya sih karna event 6.6, tp isokeey packing aman bgt, exp masih lama, dpt harga promo jadi 40k senangnyaaaa... warnanya juga ba...",bintang 5,11 bulan lalu
"fav deh klo udh produk mop, ga perlu dragukan lg ya. cuma harus cocokin shade dgn kulit dan outfitmu",bintang 5,
Melembabkan. Teksturnya bagus. Produk original. Warnanya OKE. Cocok juga buat kulit undertone. Nyampenya juga cepet,bintang 5,
Love sekali sama warnanya yang cantik & super lembab dibibir! Salah satu liptint terbanyak isinya dibanding liptint2 lain diluar sana hehe,bintang 5,6 bulan lalu
"TOTALLY MY COLOR!!!! I love it so much waaa keputusan yg ok bgt beli ini Night Ride. Diswipe pakai tisu pun masih ada tint nya alias ok bgt, nanti siang mau coba terjang...",bintang 5,
"sangat bagus, warna bagus, pengiriman cepat",bintang 5,10 bulan lalu
"ringan banget di bibir, seperti biasa kalo produknya kak tasyaaaa mah bestttt",bintang 5,
"Sukaa bangeett cocok di bibir aku yg kering, alhamdulillah dpt nya di toko ijo sempet cari cari jugaa. Makasihhh😍❤️",bintang 5,
"cakeeeeppp polll!!!!!! cocok buat neutral undertone, stainnya juga cantik bgt❤️❤️❤️",bintang 5,7 bulan lalu
Kemasannya ringan dan lucu. Enak diselipin dimana aja gitu. Aplikatornya beda ya. Beneran memeluk bibir gitu. Pas dipake ringan banget dan kerasa dingin. Nyes. Warnanya d...,bintang 5,
Warna nya cakeppp fresh banget dibibir sampe cekout 2 niiii hihi,bintang 5,
"Great product, Best price & Packaging Delivery was good. Recommended Seller 👍",bintang 5,8 bulan lalu
"Bagis banget, warnanya cocok buat akuu smooth banget di bibir ga kering sama sekalii",bintang 5,
Bagus tp tdk terlalu tahan lama warnanya di bibir,bintang 5,
"bagus bangettt, tahan lama, wangi juga warnanya juga bagus bangettt",bintang 5,7 bulan lalu
"Bagus banget warna tahan lama, tekstur nya bagus cocok banget woiiiiiiiiiiiiiiiyayayyayayayyayay yayayayayyagag yayayayyayayyayaya",bintang 5,5 bulan lalu
"lama banget pas mau dipick up barangnya ya Tuhan...
lip tint nya sih belum dicobain
cuma packaging super aman.",bintang 5,
"warnanya cantik, bibir jd lembab dan penuh",bintang 5,11 bulan lalu
sesuai dgn deskripsi. sgt butuh liptint yg bs mcover pinggiran bibir yg menghitam. wrn dominan merah burgundy seri night ride ini pas sekali dgn yg kubayangkan. aku pake...,bintang 5,
Dah ges gakusah panjang2. udah tau sebagus apa ya mama ayang bikin lipstik. nyesel cuma beli 5. ayo cepat restock lagi mama ayang! sekalian parfum. YOK BISA YOK❤❤ LOP SEK...,bintang 5,
"Perfect combo, respon cepat barang okay Perfect combo!!!",bintang 5,11 bulan lalu
"superrrr superrrrr cantikkkkk shade nya
stain nya mantep pollllll juara super tahan lama
dari smlm nge swatch sampe pagi ini gak ilang2 ditangan super mantul
produk mop,...",bintang 5,11 bulan lalu
"Barang sesuai deskripsi, bagus, bahan ringan, cocok dikulit, untuk proses dan pengiriman lumayan cepat! Terima kasih",bintang 5,
"keren bgtt pas guncang 6.6
alhamdulillah udh sampe
barang bagus
exp masih lama
warna mop gsah diragukan",bintang 5,11 bulan lalu
paket sampai dengan aman dan suka sekali dengan warnanya. buat daily wear cocok bangett. thankyou,bintang 5,10 bulan lalu
stain nya gokil bgt warna nya juga gongg wanginya kaya coklat pokonya besttttttt packaging nya juga canci bgtttt,bintang 5,1 bulan lalu
"KECANDUAN beli produk mop, sampe semua punya dr patfum fondation 😸",bintang 5,
"packing aman. pengiriman cepat. fast respon. lumayan nempel di bibir n awet. warnanya aku suka.

makasih tokopedia
makasih MOP 
makasih para kurir",bintang 5,
first time nyobain dan langsung suka. foto dan asli jg ga yg jauh bgt bedanya. aku yakin bakal nyoba shade lain dan jd mop maniaa nih,bintang 5,9 bulan lalu
"Pembelian ke 2 am to pm yg pertama punya shade date night tp hilang kayanya jatuh dr tas karna selalu dibawa bawa , lgsg beli yg shade gym sesh, warna nya bagus bgt kaya...",bintang 5,
gilsssss liptint mama ayang ringaaaaaan banget belik wrna brunchhh sesuai rekomen mother of pearl💞 kayak merah cabe tapi tidak nyeterrrr cocok buat ngantor,bintang 5,
waranya cenderung ke pink purple. ringan bgt tp masih cpt ilang menurutku,bintang 4,11 bulan lalu
"best banget dah , warnanya bagus dan tahan lama dong , makan berminyak pun masih stain",bintang 5,7 bulan lalu
"warnanya strong bgt wlpn pake dikit.  gak tahan lama udh coba d pake makan mie jawa yg rebus,  ilang juga.  msti reapply. 
warnanya d bibir kya magenta gtu jatohnya.",bintang 4,
"Bahannyaa ringan, mudah menyerap, cukup lembab dan tahan lama. Dikirim cepat rapi dan aman",bintang 5,6 bulan lalu
"teksturnya ringan dibibir, gak bikin bibir kering.
buat kulit sawo matang & warm undertone kek aku jadinya lumayan bold warna ini",bintang 5,7 bulan lalu
"stainnya mayan si untuk ukuran liptint, tp kaget dikit segonjreng itu warnanya",bintang 5,8 bulan lalu
"warna lipstiknya bagus, sesuai pesanan. respon penjual cepat.",bintang 5,4 bulan lalu
"awalnya coba punya mba ku, karna bagus makanya beli sendiri hehe 👍",bintang 5,8 bulan lalu
"pengemasan amat sangat aman, pengiriman cepat. terima kasih",bintang 5,6 bulan lalu
"prtama kali beli cakep packagingnya+di bibir g glossy n g matte bgt,terasa ringgan.next order lg ini mah",bintang 5,5 bulan lalu
Fast Respon Pengiriman cepat  Terima kasih barang sesuai,bintang 5,8 bulan lalu
packingnya cepet banget dan aman meskipun mesen di 7.7,bintang 5,10 bulan lalu
agak lama di anternya tapi bagus sih semoga bagus warnanya mantap,bintang 5,
"warna nya cocok banget, tahan lama juga, tekstur nya creamy bangettttt, next mau beli lagiiii",bintang 5,6 bulan lalu
"Warnanya natural, teksture ringan n lembut di bibir. Bibir kelihatan sehat n lembab",bintang 5,
Cocok warnanya dan bisa nutupin warna gelap bibir. Makasih 😘,bintang 5,
di aku gak bikin kering ya di bibir. sukaa 😍,bintang 5,
"Packaging nya keren, barangnya oke semoga cocok",bintang 5,8 bulan lalu
Bener bener best combo ombre si sama honey comb,bintang 5,9 bulan lalu
"gaperlu diraguin lagi, ini bagus banget buat ombre karna secantik itu merahnya",bintang 5,
"rill ngestain nya puool deh, emang ga diragukan lagi produk mama ayang gaada yang gaagal🤩🤩🤩🤩🤩",bintang 5,10 bulan lalu
Okeeee bgt transferproof. Pigmented parah. Pake nya dikit2 dulu aja klo kata aku 🥰,bintang 5,
warnanyaaa cantikk. stainnya gilee mop top sekali 🫶🏻🫶🏻,bintang 5,8 bulan lalu
Lipstik nya bangus banget. Aplikatornya enak. Makasihhhh,bintang 5,
"Blm d coba,, dr revieww yg lain sih okk 
Next kita update ya",bintang 5,8 bulan lalu
Bagus bgt sukakkkkk .. lipstik nya sesuai ekspektasi bagussss next mau pesen lagi,bintang 5,
"lebih imut dr bayangan sy...yg pasti tak saplah pilih warna, bagud di aku...kita cb pakai bsk yaa apa iya long lasting.",bintang 5,
"Pesanan sesuai, kata doi bagus produknya",bintang 5,
"Teksturnya enak banget, tapi tips sebelum pake bibir dalam kondisi lembab ya jangan kering. Emang beda ya orang ngerti make up bikin produk make up itu customernya kayak...",bintang 5,
"bagus banget dibibir hitam 
warna juga bagus",bintang 5,10 bulan lalu
Warnanya cantik 😍 Hasilnya tahan lama Desainnya mewah Aplikator mudah dipakai Desainnya lucu Proses pesanan cepat Packaging aman 🙏 Packaging rapi Respon penjualnya top,bintang 5,
"Aplikatornya oke banget, gak bikin messy. Warna merah menyala, without a hint of orange nor brownish,and that’s what I’m looking for!❤️❤️❤️ Kualitas sesuai dengan harga....",bintang 5,10 bulan lalu
ringan banget dibibir gak bikin kering juga pokoknya best banget produknya,bintang 4,10 bulan lalu
"ok banget, ga bikin bibir kering, lumayan tahan lama dibibir, warnanya juga cakep bangey",bintang 5,
