review,rating,date
Dpt potongan diskon jadi harganya lumayan bgt. Pengiriman juga sangat cepat. Suka bgttttt deh. Belum coba si tapi harusnya bagus sih ya wkwkwk,bintang 5,
"Udah langganan dan emg sebagus itu. Saya MUA dan selalu pakai primer ini utk client. Beneran anti cakey, makeup lebih awet dan nempel di kulit. Tekstur agak cair",bintang 5,
"Sampai nya cepat, barangnya sehat wal afiat. Extra protection lagi. Masyaallah soo happy 😊. Sukses selalu MOP.",bintang 5,11 bulan lalu
"baguuuuus banget packagingnya..
mewaaah!

suka suka suka!!!

ada wanginya dikit",bintang 5,
"bikin kulit kenyal dan plumpy, nyaman di kulit buat kulit sensitif seperti kulitku enak bgt gakniritasi atau kemerahan",bintang 5,11 bulan lalu
Barang sesuai deskripsi. Packing rapih. Shipping cepat. Recommended Seller. Terima kasih.,bintang 5,2 bulan lalu
"Pecinta mop garis keras, apalagi sama bedak tabur nya aaa cinta bgt, makasi ka tasya sdh bikin produk lokal yg bagus hgt dg harga terjangkau👍",bintang 5,
"belum dicoba...cuma sudah punya concealer dan bedak taburnya,bagus dua2nya...mudah2an ini jg cocok",bintang 5,
tipe kulitku normal tipe kulitku berminyak tipe kulitku kombinasi tipe kulitku kering,bintang 5,11 bulan lalu
"Kualitas barang ok, pengiriman cepat, seller responsif, barang sampai dengan selamat, kondisi barang baik. Cakep bats sih ini. Thank you seller",bintang 5,
"kecewa bgt, baru nyampe tapi boxnya rusak kaya gini, terus di botolnya udh ada yg ngelupas huhu",bintang 3,
"Baru banget di buka tp catnya ada yg ngelupas. Terus minta dikirim next day jadi regular. Harusnya bisa dibawa keluar kota jadi gabisa huhu, cs jg ga terlalu ngebantu jaw...",bintang 4,
"Packagingnya cantikkk banget warnanya gemes, teksturnya juga enak dan bikin lengket gitu jadi makeup nempel banget tipe kulitku berminyak",bintang 5,
"bagus, packingnya super safety, suka bgt sm packagaing MOP, so far sebenernya gada ngaruh apa2 di kulit selain bantu ngelembabin sebelum makeup aja.. untuk bikin tahan la...",bintang 5,
"blm di coba semoga memuaskan 
kemasan cantik banget tapi ada yg kegores😥 kecewa",bintang 4,
