review,rating,date
"pigmented. cocok banget buat inner ombre, terus juga makin lama dipake bikin bibir makin lembab. meskipun ngga pake lipbalm, kalo pake ini ke semua bibir tetep lembab (ng...",bintang 5,11 bulan lalu
"Warnanya cantik, bagus. Tapi lengket banget dibibir, dan tidak tahan lama. Jadi kalau pakai ini jgn makan atau minum ya 🙂‍↔️",bintang 5,10 bulan lalu
Suka banget bisa dapet mop pas 11.11 harganya jd 40k an huhu😭 warnanya cantik bgt yg ini terus ada mint”nya gituu dan pigmented bgt lovv deh pokoknya,bintang 5,6 bulan lalu
"my wishlist, bagus banget dan suka packaging dan tekstur lipglossnyaaaa 🧡🧡🧡💖💘",bintang 5,1 bulan lalu
"Ada mint mint nya gitu, agak kaget dikit awalnya wkwkwk tapi bagus! Thankyou yaa",bintang 5,
akhirnya aku repurchase lgiii punyaku yg lama udah abisss 💥💥😩😩💓 suka bgttt thank u Mop,bintang 5,6 bulan lalu
"Terharuu, ternyata beneran bisa cover bibir aku yg gelap! Applicatornya nyamann, cooling sensationnya nyata, biasanya kalo gloss itu finishnya agak gengges kalo gws gak g...",bintang 5,
Baguss bangett bikin bibir plumpy disaranin sebelum pake ini buat scrub bibirnya dulu biar bibirnya mulus dan plumpy,bintang 5,11 bulan lalu
"Beli warna yg nude pertama kali, kok bagus n pigmented banget dan awet tahan lama. Coba beli yg 04 Mauversal untuk tambahan warna pink nya. Seller gercep proses dan kirim...",bintang 5,2 bulan lalu
"Respon cepat, barang sesuai deskripsi...dipakai lembab. Tx Kak😊🙏",bintang 5,10 bulan lalu
"bagus banget suka warna nyaa,tahan lama juga",bintang 5,2 bulan lalu
Agak kemahalan untuk brand lokal. Semoga sering banyak diskon jadi banyak yang ingin mencobanya dan ketagihan untuk beli. Pengiriman lamaa mungkin karena puasa,bintang 3,
cakeup glossy dan glassy thick n lengket tapi kece..vafis halus tersamarkan pihmentation cukup ok,bintang 5,5 bulan lalu
"Belom lama dipake jadi belom bisa test Wear. Ada fine tiny scents sekilas when applying. Ada sensasi minty juga, ga ganggu, buat aku pribadi sih it’s a plus but this one...",bintang 5,5 bulan lalu
"Respon penjual cepat, packing bagus, barang sesuai deskripsi 👍",bintang 5,
"dipakai cantik banget, bikin bibir kering, warnanya deep cocok bgt buat ombre",bintang 5,
"Bagus bangeeet. Banget banget. Dari bau & tekstur awalnya bener2 mirip sm F*nty Beauty yg Gloss Bomb, cuma setelah dipake lebih suka tekstur MOP jauh.. karena GWS Plu...",bintang 5,
Finally kebagian MOP Berryphoria😭 begitu tau restock langsung belii! Warnanya bagus banget😭😭😭 lipgloss nya wangi vanilla!!! Suka banget sama applicator nya gedeee jad...,bintang 5,
i lop mop lop bgttt thxxx ini bagus😎😎w skrg udah punya mop ges prodak ka tasya ges wajib dibeli ges bagus,bintang 5,
bagus banget warnanya dan glossy parah tp agak lengket,bintang 5,11 bulan lalu
"warna nya bagus, wangi nya enak kaya kue, bagussss bgtttt",bintang 5,11 bulan lalu
"bibir plumpy, lembut, wanginya jg enak",bintang 5,11 bulan lalu
"enak bgt, bajnya jg wangi enak coklat, bibir jd penuh suka bgt 😍😍",bintang 5,
"Bagus, pengen yg berey phoria tapi gak restok2; kapan ya reztock lagiiii, knp lama bet ga dikeluarin lg whayyy?",bintang 5,
"bukan pecinta lipsgloss cuma tergiur beli karena liat Tasya, ternyata suka dan cinta banget abis ini beli lagi GK pake nunggu abis stok 💕🤌",bintang 5,
"Bagus banget warnanya, teksturnya agak thick tp justru itu yg bikin plump. Ada sensasi dingin mint gt tp ga ngeganggu kok. Bener2 lsg mempercantik look dgn plump gloss in...",bintang 5,3 bulan lalu
warnany emng ada hint ungunya tapi ttep bagus buat dijadiin topper karna baguss dan ada gliter yg superr alus jadi bkin kesan makin cantik,bintang 5,
"warnanya cantik, ada cooling sensation gtu pokonya cakep",bintang 5,
Warnanya cakep tp di bibir saya jadi lbh gelap tp tetap suka sih,bintang 5,
sukaa banget warna nya cantik. pantesan sering. sold out . love it,bintang 5,
bagus banget MLBB dan pretty rad nya. aku selalu repeat order,bintang 5,11 bulan lalu
guys aku mau preloved baru sekali nyoba ga cocok di aku,bintang 5,3 bulan lalu
"selalu suka sama produk mop, love bgt <3",bintang 5,
"suka sama warna nudiversal inii cocok buat base ombre, pengiriman cepat dan aman thankyouu mop!",bintang 5,
Bagis banget ga bikin bibir kering,bintang 5,
"cinta bgt sm berryphoria,restok nya lama bgt😔💗",bintang 5,11 bulan lalu
SUKA BANGEEETTT😍 bener2 sesuai klaim semuaaa😍😍 nudieversal bener2 universal🥹😍,bintang 5,
bagus bangetttt 🤍🤍🤍 warnanya cocok di akuu,bintang 5,6 bulan lalu
"warnanya cantik bangettt, emang agak thick teksturnya tapi bagusss bangett",bintang 5,6 bulan lalu
"semoga cocok, soalnya baru pertama kali pake",bintang 5,
melembabkan bibir. jadi glossy dan kaya bibir sehat alami,bintang 5,
produk sesuai pesanan exp masi lama 2027,bintang 5,
"kayanya bakal beli yg shade lain deh, lucuu bangeeet yg ini bagus",bintang 5,8 bulan lalu
"Kecewa banget banget banget, udah paketnya dikirim laaaamaaa bgt, udh war biar dapet  lipgloss G.W.S tautau malah dikirim yg AM to PM, ini ga di cek dulu apa sblm ngirim?...",bintang 1,
"akhirnya wishlish kuu restock, ada wangi vanillanya yaa sukaaa💗",bintang 5,
"Yang paling menyenangkan bau dan rasanya gak ganggu. Enak. Tekstur agak tebal ditutul aja pakenya. Nice tint, barely there 🩵",bintang 5,9 bulan lalu
"my fav lipgloss ever, paket datang dengan sempurna thank you!!",bintang 5,7 bulan lalu
"bagus, paling sesuai dari 3 produk menurutku cuma ini sih",bintang 4,
"Gila ini bagus bgt formula dan terutama warnanya!!!! Bkn lipgloss biasa. Bs dpake bwt jd ombre2, dipake sendiri pun ombrenya juga cantik. Omg sneng kebagian",bintang 5,
lipstiknya enak dipake sih lembab bgt n glossy,bintang 5,
Lipstik dengan hasil terbaik 😘🥰,bintang 5,
"warnanya cantik banget, pink nude yang soft dan bikin muka jadi fresh🤍 huhu tapi sayang, di aku warnanya susah banget nyatu dan rata gitu. setelah pemakaian beberapa men...",bintang 3,11 bulan lalu
Beh prah enak banget tapi ada sensasi mint mint gitu si tapi ini glosy yang bagus semoga tahan lama untuk ketahanannya aku belom coba,bintang 5,5 bulan lalu
"lip plumber terbaik,ada sensasi dingin setelah dipakai. 
glossy banget, kalau mau sexy look wajibs dicoba. 
kualitas tidak diragukan. bagusnya pakai lipstik warna nude du...",bintang 5,
Tipe gloss yg super thick. Ada warna nya cantik. Tapi kebawa tidur tetep bikin bibir kering finish nya.,bintang 4,
baguss. sadly aplikator dan packagingnya tuh bikin ngepick up produknya kebanyakan pas baru dibuka. jadi berantakan. semoga bisa improve ya,bintang 5,
Bagus bagus bagus… ♥️♥️♥️,bintang 5,
"warna bagus, tapi pigmennya kaya misah sm oilnya, tp asal di blend agak lama aman2 aja sih",bintang 4,
Untuk kulit sawo matang gak bikin kusam malah buat bibir nampk sehat,bintang 5,
"Love the colours, very vibrant and bold however felt so light on the lips like you wear nothing",bintang 5,
"aman banget packaging nyaa, baguss bgtt lipgloss nyaa ah suka lengket tapi ga ganggu dan nampol bgt Bibis jadi seksyeh ❤️",bintang 5,
"BAGUS BGTTTT!!!!!💖💖💖💖
BERRYPHORIA BEST!! tysm💗😭",bintang 5,11 bulan lalu
"bagus bangett sumpah dah kek lucu gt warna nya, ga bisa berkata kata intinya lov u",bintang 5,
"senangnya pakai MOP tuh lips looks healthy. tp utk shade ini agak salah pilih krn di aku sama dg warna base lip aku. pengen yg lebih ngepink aja, tp oke tetap kepake, di...",bintang 5,
udah ngincerr ini tapi sold out muluu🥲 akhirnyaa dapet jugaa dan baguss bgtt🫶🏻🫶🏻,bintang 5,
"Cocok banget di warna bibir pink gelap, menyatu dengan bagus",bintang 5,
"bagus bgtt gilaaa 
bagusbgt buat di ombre, warnanya cocok juga and nyampenya cptt",bintang 5,7 bulan lalu
"sukaaa bgtt, ada mint2 nya gitu. warna nya juga cakep bikin fresh apalagi dgn ada glitter nyaa!",bintang 5,
"Udah beli 2 kali warna yg sama.. ini enak sig, lip gloss murmer tapi gak murahan. Loves ngt.",bintang 5,
Mantaappp baguss bngtt💛🥺yg diimpi2kan punya lips kya gini💛🤗,bintang 5,
"Bagus bgt, kaya ada mint2 nya yaa kaya abis makan permen mint👍",bintang 5,
"Warna nya cantik banget, pengiriman nya cepet bangett woiii",bintang 5,
"Sesuai pesanan cepat sampai nya, semoga shade berryphoria nya restock lagi yah!!<3",bintang 5,
"THANKS MOP, LOVE BANGET SM PRODUCT NYA",bintang 5,6 bulan lalu
"trnyata warna keungu an (?), biasa aja rasanya",bintang 5,
gausah di raguin ga nyesel beli di pakenya helwahhhhhh 💕💕,bintang 5,
bagusss warnanyaaaaaa❣️❣️❣️❣️❣️❣️,bintang 5,
Bagus bgt beneran,bintang 5,
recommended!!,bintang 4,7 bulan lalu
bibir gemilang cahaya luar biasa,bintang 5,
cakeppp bgt,bintang 5,7 bulan lalu
dicombine sama mlbb UGHHH perfecto HAHAH,bintang 5,
baguss bgt,bintang 5,10 bulan lalu
,bintang 5,6 bulan lalu
,bintang 5,7 bulan lalu
"Baguss, tahan lama",bintang 5,11 bulan lalu
baguss bangettt,bintang 5,
"BAGUS BNGTT WOYYYY, SANGATT REKOMENDEDDD",bintang 5,11 bulan lalu
Wajib punya ♥️,bintang 5,
Warna glossnya cakep bgt,bintang 5,7 bulan lalu
Barang diterima dengan baik. Terima kasih,bintang 5,
,bintang 5,7 bulan lalu
,bintang 5,8 bulan lalu
,bintang 5,7 bulan lalu
,bintang 5,7 bulan lalu
,bintang 5,
,bintang 5,
bagus suka warnanya,bintang 5,
Cairannya spt menggumpal,bintang 2,10 bulan lalu
Sesuai pesanan👍👍😬,bintang 5,
bagus banget warna nya pls!!,bintang 5,1 minggu lalu
bagus bgt,bintang 5,4 bulan lalu
Makasi ya pacar aq happy,bintang 5,6 bulan lalu
bagus,bintang 5,3 bulan lalu
baguusss,bintang 5,
Bagusss,bintang 5,
bgs,bintang 5,7 bulan lalu
BAGUSSS bgt warna nyaa,bintang 5,
sukaaaaaa banget 🥰,bintang 5,8 bulan lalu
masyaallah mantab,bintang 5,5 bulan lalu
terima kasih,bintang 5,
❤️❤️❤️,bintang 5,11 bulan lalu
sukaaaaa bangeeeet,bintang 5,
