review,rating,date
"Warna: Brown
Daya tutup: Tersegel
Manfaat produk: Untuk alis
Jenis kulit: Normal
Performa: Waterproof
Alhamdulillah pesanannya sudah sampai ,, sesuai pesanannya dengan yg...",bintang 5,2 minggu lalu
"Warna: Brown
Daya tutup: Tersegel
Manfaat produk: Untuk alis
Jenis kulit: Normal
Alhamdulillah pesanannya sudah sampai ,, sesuai pesanannya dengan yg di pesan cepet pengi...",bintang 5,2 minggu lalu
"Raelpic pokonya madame Gie tuh emang bagus ,,selalu amanah keluar yg LBH bagus lagi ya madame pokonya laris untuk toko madame makasi👍👍🫰🙏",bintang 5,4 bulan lalu
"Belum coba, kemasan botol sangat mini💕",bintang 5,4 bulan lalu
"bagus syuka mudh d aplikasiin nya
Daya tutup: rapat
Manfaat produk: untuk merapikan alis agar terlihat lebih cantik",bintang 5,6 bulan lalu
Baguss jdi gampang ngalisnya  cuma ak salah shade aja sama cepet luntur,bintang 4,6 bulan lalu
"Warna cukup menarikk,tp agak kecewa karena tekstur nya terlalu cremyy banget jdi kurang suka dikit🙏🤏",bintang 4,6 bulan lalu
"Barangnya bagus,,datangnya cepet.. kurirnya udah lngganan juga..oke pokoknya,,ga mengecewakan belanja di toko ini..",bintang 4,7 bulan lalu
jujur ga bakal nyesel si kalian beli disini,bintang 4,2 bulan lalu
Bagus bikin bisa ngalih 👍👍👍👍👍,bintang 5,4 bulan lalu
alhamdulillah barangnya suda sampai dan sesuai,bintang 4,4 bulan lalu
G bagus alis nya g nempel trus langsung hilang ke gores dikit,bintang 1,5 bulan lalu
"Sd h smpe semoga ,cchoco deh",bintang 4,2 hari lalu
"Warna: 04 Caramel
Manfaat produk: Membuat Alis, Agar Lbh Bersinar D Aku😄",bintang 5,3 minggu lalu
"Baguss, gampang dipakenyaa, luvvvvb pokonyaahhh❤️❤️❤️🫶🏻",bintang 5,6 bulan lalu
Dari textur ny kurang nempel kalo di pake dan agak berminyak kalo di lihat.,bintang 5,1 bulan lalu
Paket sudah sampai pengirimannya sangat cepat skali,bintang 5,2 bulan lalu
"baru ngasih ulasan
Warna: espresso
Daya tutup: rapat aman Pakingan nya juga rapih",bintang 5,5 bulan lalu
"Bagus, pengiriman cepat,packing rapi,produk mudah digunakan",bintang 5,9 bulan lalu
"Quality ok..cm saya Salah pilih wrna,,hrusnya yg mocca agk gelap ..caramel trllu terang..but is okay 🙏😉",bintang 4,4 bulan lalu
"tekstur nya kurang bagus trs aga berminyak juga klo di pke jdinya gmpng luntur . but, dgn harga segitu its okay",bintang 3,6 bulan lalu
cakeppp warna nya pas cocok buat bikin look alis natural ambil ini ajaa jgn ragu ragu lagi,bintang 5,6 bulan lalu
Bagus mudah di aplikasikan...warnanya ok,bintang 5,7 bulan lalu
"Barangnya bagus, tapi pengirimannya lebih dari estimasi",bintang 5,4 bulan lalu
"Beda banget Ama yg q punya,,enak g luntur meski sehariyan kringetan,,,ini mah luntur kemana"" walaikum baru makek",bintang 3,1 minggu lalu
"Oke kurir dah langanan
Manfaat produk: Bagus tahan lama",bintang 5,5 bulan lalu
"Barang dtng sesuai pesenan.
Makasih ya kak cpt jg dtng'x",bintang 5,6 bulan lalu
Ga Bisa di pake enter banget langsung ilang kemaren angin ga boong🥹,bintang 1,5 bulan lalu
"Real pick, barang sesuai pesanan 🤲🏻🤲🏻",bintang 5,6 bulan lalu
suka bgt !! cuma ga waterfoof cpt ilang gpp sesuai sama harga nya,bintang 5,4 minggu lalu
Kirain aku 02 espresso itu hitam muda eh pas datang warna brown 😩,bintang 3,4 bulan lalu
"Sangat suka, murah kualitas bagus",bintang 5,3 bulan lalu
Thanks min barang nya sudah sampai,bintang 5,1 bulan lalu
Baguss bngttt nyampa barangnya langsung aku cobaa ❤️emang suka yang natural beauty gitu🙏🏻,bintang 5,7 bulan lalu
"Barang bagus sekali,,saya suka",bintang 5,3 bulan lalu
Kirain dpt kuas nya Kya di gambar ternyata tidak.,bintang 1,9 bulan lalu
"Warnanya bagus, dengan harga segitu",bintang 5,7 bulan lalu
bgs sih cmn wrnanya coklat bgt kaya no 3,bintang 4,5 bulan lalu
ini bagus bangett look nya natural,bintang 5,2 bulan lalu
baguss sii cuman salah pilih shade,bintang 5,6 bulan lalu
Bagus katanya soalnya bukan buat saya,bintang 5,2 bulan lalu
Bagus sesuai pesenan,bintang 5,1 minggu lalu
Ga anti air,bintang 5,1 bulan lalu
"Cakepppp puollll
Color: Warnanya cakep",bintang 4,6 bulan lalu
Sesuai pesanan saya terimakasih,bintang 5,
Bavus sekali mudah di aplikasikan,bintang 5,6 bulan lalu
Sesuai,bintang 5,1 bulan lalu
Bagus terimakasih ka pengiriman cepat,bintang 5,6 bulan lalu
Bagus,bintang 5,1 minggu lalu
,bintang 4,2 bulan lalu
Produk lumayan lah,bintang 5,6 bulan lalu
Bagus isinya bnyk juga,bintang 5,6 bulan lalu
trimakasih kak pesananku udh dtg dan kurirnya sopan baik trimakasih next order,bintang 5,5 bulan lalu
Gampang luntur,bintang 3,6 bulan lalu
"Mantull barang nya,,,,",bintang 5,1 bulan lalu
Cantik banget suka dengan ini🫶😃,bintang 5,2 bulan lalu
Warna: Bagus,bintang 5,5 bulan lalu
Produk bagus,bintang 5,8 bulan lalu
Barang nya oke,bintang 5,2 bulan lalu
Ckep,bintang 5,1 bulan lalu
,bintang 4,3 minggu lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,1 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,2 bulan lalu
,bintang 5,4 bulan lalu
,bintang 5,5 bulan lalu
Baguss cekalii🥰,bintang 5,5 bulan lalu
Barang sesuai pesan an👍,bintang 5,7 bulan lalu
"Sesuai pesanan, suka",bintang 5,6 bulan lalu
Bagus banget,bintang 5,1 bulan lalu
Bagus banget,bintang 5,1 bulan lalu
Bagus banget,bintang 5,1 bulan lalu
bagus bnget,bintang 5,6 bulan lalu
👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,bintang 5,6 bulan lalu
Suka sama barang nya🥰,bintang 5,9 bulan lalu
Mantul keren kurirnya langganana,bintang 5,9 bulan lalu
Alhamdulillah pesanan nya sudah sampai,bintang 5,8 bulan lalu
Bagus poll,bintang 5,5 bulan lalu
Sangat bagus,bintang 5,1 bulan lalu
Warna: Bagus sesuai,bintang 5,6 bulan lalu
bagus bgttt plis,bintang 5,2 bulan lalu
Suka banget,bintang 5,2 bulan lalu
Bagus,bintang 5,1 minggu lalu
Bagus,bintang 5,1 bulan lalu
Bagus,bintang 5,1 bulan lalu
