review,rating,date
pengaplikasiannya gampang beli krna di recomendasiin sama MUA yg ngajarin krn katanya gampang d blend tp emng udh d buktiin gampang d blend dan hasilnya bagus untuk shadi...,bintang 5,7 bulan lalu
"gampang di blend, warnanya mirip dengan warna kulit tapi keknya lebih ke pink, sedangkan kulitku lebih ke kuning. kalau coverage dan tahan lama nya belum dicoba. Expired...",bintang 5,
"ringan, blend juga.. pas sm kulit kuning langsat. exp 2026, tp ga pke buble warp packingannya n gda bungkus",bintang 5,
"Teksturnya creamy, pigmented, sangat mudah untuk membuat garis, karena creamy cukup dengan tekanan ringan saja saat membuat garisnya. Warna contour tidak kuning atau oran...",bintang 5,
"Packaging aman, contour and highlighter sticknya pigmented and creamy banget! Trs pas ak blend, it blends so smoothly! Suka bgt + affordable for that excellent quality! �...",bintang 5,
"Barang sesuai pesanan, pengiriman juga cepat. Kemasan pengiriman jg aman. Respon penjual bagus. Thanks seller",bintang 5,
"Barang sesuai, pengiriman cepat, warnanya pas dan gampang di blend. Thank u 😀",bintang 5,
Cobain yang warna milk mocha. Rencana mau dibuat eyeshadow atau shading an. Gampang dibaur juga warnanya.,bintang 5,7 bulan lalu
"Pengiriman lumayan cepat, packing aman. Creamnya lembut banget, gampang pas blending di wajah.",bintang 5,
Warna contour & highlighternya cocok untuk kulit sawo matang. Terima kasih ya 😊,bintang 5,
Pigmented banget. Gampang di-blend. Gampang dibawa-bawa. Penjualnya ramah banget. Respon penjualnya top. Packaging aman 🙏.,bintang 5,
"nyampenya cepet banget dan dapet harga diskon heheh, contour nya baguss tp kurang suka sm highlighternya",bintang 5,
Kualitas oke banget untuk produksi lokal Indonesia,bintang 5,
praktis dan pigmented. pengiriman dr toko super kilattt,bintang 5,
"Pengirimannya ke undur tapi akhirnya dikirim juga, dapat bonus juga😍 terimakasih botanica❤️",bintang 5,
"Selain cocok untuk kulit sawo matang, warna countournya bisa menutupi flek hitam dan dilengkapi dengan highlighter. Terima kasih ya 👍🏼👍🏼",bintang 5,
produk sesuai. pengemasan baik. pengiriman cepat,bintang 5,7 bulan lalu
"Terima kasih brg sdh sampai ada bonus dan dpt ampau lagi,  semoga berkah dan toko nya terus maju😀",bintang 5,
Ternyata dapet juga hadiah dari mineral botanica. Makasih ya 👍🏼,bintang 5,
Oke...barang dikirim sesuai pesanan... sudah biasa pakai dan cocok.,bintang 5,10 bulan lalu
belom dicoba tp looks so good. packing ok and warna cakep,bintang 5,
"Pesanan cepat diproses. Baru mau coba, mudah-mudahan cocok.",bintang 5,7 bulan lalu
puaaasss pake bangeeettt😍😍😍😍🥰🥰🥰🥰🥰... malah suprise bgt dpt hadiah kacamata 😁😍😍😍😍😍😍.. sukaaaaakkkk.. trimakasih banyaaak seller  rekomen pisan🥰🥰.. packag...,bintang 5,
suka deh...sukses selalu kakak maaf bukan gambar asli yah,bintang 5,
Semoga cocok deh krn udah lake bbrp dari produknya,bintang 5,
Baru mau coba semoga cocok + dapet bonus natural deodorant!,bintang 5,
Sampai dengan cepat & sesuai dengan yg di pesan.. 😊,bintang 5,
"Seller gercep. Packing aman. Produknya cocok buat pemula krn creamy, gampang diblend dan warnanya gak terlalu keluar",bintang 5,
gampang di aplikasikan tapi mungkin  karena kurang coklat jadinya kurang terlihat,bintang 5,
"warnanya ternyata tidak se cool tone itu, mayan neutral lah, tp overall ok, highlighter nya gaada glitternya tp ttp ada dikit efek highlight nya",bintang 5,6 bulan lalu
"Pengiriman reguler cepat sampainya, produk bgs, akhirnya beli, sekian lama bingung pilih shadenya, smoga cck, packaging rapi/aman, tq seller",bintang 5,
"baru dicoba 1x tp nggak serius jd g bisa bilabg gmana2, lagian ini pertama kalinya saya punya yg begini",bintang 5,2 bulan lalu
"kualitas barang bagus, kiriman cepatGampang di-blend.",bintang 5,
"bahannya ringan, mudah di serap. pengiriman cepat",bintang 5,
agak kurang cover ya. tapi cukup lha sesuai harga,bintang 4,
"Produknya oke, mudah digunakan. Tapi dari ekspedisinya terlalu lama.",bintang 5,
"Packaging aman, pengiriman cepat, barangnya baguuss makasih",bintang 5,
"hasilnya bagus, cocok👍🤗
pembelian ke2",bintang 5,2 bulan lalu
"bahan ringan, mudah diaplikasikan.
warna sesuai",bintang 5,
"suka banget sm contour sticknya mineral botanica, dia creamy gt jadi gampang diblend. semoga bisa keluarin yg coklatnya lebih ke cool tone jadi ga terlalu merah",bintang 5,
ok banget. creamy dan gampang diaplikasikan,bintang 5,
"Wow keren packingan double,pengiriman cepat plus hadiah nya. Trima kasih..",bintang 4,
Bagus bgtt pengirimann cepatt respond seller bagusa bgt🤗👍🏻,bintang 5,
"warna contour nya nyata dan long lasting, aku suka. warna highlight nyaa lebih ke warna concealer, gampang hilang dan tidak ada shimmer.",bintang 4,
First time nyobain yg katanya bagus. Semoga cocok!,bintang 5,
"enak banget pakenya, diblend gampang",bintang 5,
barang bagus sesyai dengan oesann packing rapih,bintang 5,6 bulan lalu
"baru mau coba produk ini, semoga cocok ya",bintang 5,2 hari lalu
