review,rating,date
"bagus banget sih murah juga
ini tahan banget ya tadi dibuat olahraga ga terlalu bau soalnya pakenya dikit",bintang 5,6 bulan lalu
"Barang sudah sampai dengan cepat, sesuai orderan juga next bakalan chek out lagi terimaksih🙏🏼",bintang 4,2 bulan lalu
"Alhamdulillah paket sampai cepat jg, packing aman gk ada yg retak botol parfum nya. So wangi nya enak cm kyk wangi buat cowo ya it's oke lha. Next order lagi dech nan...",bintang 5,4 bulan lalu
suka banget wanginya manis seger tahan lama dapet harga 3k lagi 😭 thks seller and tokped sering2 diskon gede2an biar makin rame 🤩,bintang 5,1 bulan lalu
Mantap parfum kesukaan ini favorit banget murah lagi bakal langganan trus disini makasih,bintang 5,7 bulan lalu
"paketnya sampai dengan aman tanpa ada lecet sedikitpun, pengiriman lumayan cepat, untuk parfume nya sendiri aku suka poll wanginya tuh segerr, ga terlalu tahan lama sih,...",bintang 5,1 bulan lalu
Yg 1 bagus yg 1 bocor gatau gimana pake nya karena gabisa ditekan,bintang 4,1 bulan lalu
"Paket packing rapi banget, keadaan barang utuh tdk pecah, wanginya awet, semoga toko tetep amanah, tambah maju iy kk tokonya, mksh jg abang kurir sehat slalu😇🙏",bintang 5,2 bulan lalu
"Realpict sesuai pesanan, wangi nya enak n tahan lama, packing rapih n pengiriman cepat",bintang 5,3 bulan lalu
"Kualitas produk: Gak akn gagal kalo parfum Morris, parfum nya enak enak kalo Moris gak akan gagal hehe joss lahh jangan ragu⭐⭐⭐⭐⭐⭐⭐⭐👍🥰🥰
Wanginya tahan lama jadi suka d...",bintang 5,5 bulan lalu
"pengiriman cepat tapi sayang barang datang dalam kondisi sudah pecah tak tersisa,ga kapok tapi next di double in kardusnya atau bubble wrapnya 😭😭",bintang 3,3 bulan lalu
Mencoba aroma baru ternyata aromanya enk banhet mewah dan gk bikin nek wow pokoknya recomended bangetnini luxury star makasih,bintang 5,7 bulan lalu
Wanginy enak strong buat di outdoor ini oke banget tp klo di indoor nyegrek bgt,bintang 5,1 bulan lalu
paket mendarat alhamdulilah sesuai gambar wanginya enak tahan lama jg terimakasih seller,bintang 5,3 bulan lalu
"pengiriman nya cepat sekaliiii 😍 wangi bangettt, klo habis beli lagi ahhh 😭😍 wanginya nempel terus, sukaa bangettt 😭😍❤️ kalian wajib cobain deh,packing juga aman ban...",bintang 5,5 bulan lalu
"Cepet bgt nyampenya dan aman sekali packing nya, sampai dalam kondisi bagus ga ada kerusakan cuma ternyata aku kurang suka wanginya🥲",bintang 4,4 bulan lalu
Wanginya kurang cocok sama aku sih.. karna aku sukanya yang fresh dan bukan manis strong kayak gini bikin enek.. ga cocok buat siang hari fix.. namanya aja midnight love...,bintang 4,4 bulan lalu
"Mantap baunya enak & soft, sudah order sekian kali rekomen seller 👍👍",bintang 5,5 bulan lalu
"Enak baunya baru nyobak si...
Tp lebih suka baunya yg princess..
I💓morris.. 😁😁",bintang 5,3 bulan lalu
"Kualitas produk: very good!
bubble wrap sangat tebal, aman pool
wangi nya enak, seger manis",bintang 5,5 bulan lalu
Packing aman ..tidak pecah botolnya wanginya mantap seger .....thanks pa kurir dan penjualnya juga responnya cepat,bintang 5,3 bulan lalu
Wanginya enak tapi sayangnya ga tahan lama,bintang 5,4 bulan lalu
"dapat harga 30k 
udah dpt minyak smog awaet😄",bintang 5,3 bulan lalu
"Barang realpict,wanginya enak banget,packing aman dan rapi bubble wrapnya tebal banget,terima kasih. 🙏👍",bintang 5,7 bulan lalu
"Garpunya dah sampai ,packingan bagus tidak bocor terimaksih",bintang 5,3 bulan lalu
"Wangi, blm tau seberapa aromanya bertahan, kemasan utuh TDK rusak, tks seller dan Abang kurir",bintang 5,1 bulan lalu
"Maaf baru kasi ulasan,wanginya bangeet...tahan lama.",bintang 5,5 bulan lalu
"Wanginya manis lembut gitu bener katanya kalo bisa dipake cowok cewek yg varian ini
Soalnya wanginya kyk cew tomboy gtu tapi sukaa!! 
Plisss wangi varian apalagi yg perlu...",bintang 4,2 bulan lalu
Lumayan wangi ini aku GK tau yang paling enak wanginya yang parian apa tapi ini lumayan enak wanginya,bintang 5,4 bulan lalu
Baru coba wangi yg ini ternyata enak juga,bintang 5,5 bulan lalu
"wanginya enak banget,fresh,lumayan tahan lama",bintang 5,5 bulan lalu
"dapet harga promo, wangi lumayan yg gak strong banget.. Bisa buat daily",bintang 5,2 bulan lalu
"sumpah wanginya enakkkk bngetttt ga terlalu strong tapi nyebar gtu loh klo ada anginn beuhhh lumayan tahan lama ya dibajuu sukakkk, sukses selalu tokpedd😻❤️",bintang 5,2 bulan lalu
Mantap sesuai pesanan.. Morris is the best 👍👍,bintang 5,3 bulan lalu
"Paket sudah nyampe.
Kualitas produk: Oke",bintang 4,2 hari lalu
"Terimakasih pesanan aku sampai packing aman dan rapih 🙏🏻 
Wangi nya enak🥰",bintang 5,3 bulan lalu
"Parfumnya enak, seger wanginya 
recommended bgt 😍",bintang 5,6 bulan lalu
"Kualitas produk: wangi bangettt sumpahh, next beli lagii ini maa😍❤️❤️dipackingnya jga aman banget baguss sekalii kaa, thank u udah amanahh❤️",bintang 5,3 bulan lalu
Wangi bngt nama nya juga minyak wangi sih ya,bintang 5,5 bulan lalu
"Paket sudah sampai dengan kondisi baik,wanginya harum juga.trimakasih.",bintang 5,4 bulan lalu
"Parfum nya udah sampe ,, wangi nya enak bnget .. mudah2an si wangi nya awet ya tahan seharian ..",bintang 5,1 bulan lalu
"uda beli ke 2x nya, wangi nya enakkk bangettt trus tahan lama🤍🤍🤍",bintang 5,6 bulan lalu
"Wangi banget parfumnya, sukaaaaaa ntar mau beli varian yg lainnya, packingnya rapi jadi barang sampai dengan aman, terimakasih seller 😍😍😍😍😍😍",bintang 5,3 bulan lalu
"BEST PKO NYH😭😭🫶🫶🫶🫶
NEXT CO VARIAN LAIN,MAU COBA SMUA VARIAN",bintang 5,3 bulan lalu
wanginya enak banget dg harga segitu dpt psrgum kya parfum mhal..mksh seller,bintang 5,3 bulan lalu
Brang dtang sesuai pesanan dan tidak mengecewakan,bintang 5,6 bulan lalu
"wangi banget, aku udah dari lama pake parfum ini. suka banget",bintang 5,1 bulan lalu
Alhamdulillah Paket sudah sampai paket nya baru sempat saya buka...sya suka dengan wangi nya... wangi parfum gak bikin pusing tahan lama 👍👍🙏🙏🙏,bintang 5,5 bulan lalu
bagusss wangii ngebuatt sayaa di notice amaa orangg,bintang 5,2 bulan lalu
Sumpah nih wanginya enak bngett🥰 mkasih pengirimnya jga cepett😊😊,bintang 5,3 bulan lalu
Yg ini emg sudah pakai lama wanginya enak.,bintang 5,5 bulan lalu
wanginya enak.. lumayan tahan lama.next mau nyoba yg lain,bintang 5,6 bulan lalu
Barang udah nyampe wanginya seger,bintang 5,3 bulan lalu
pecah harusnya dipacking lebih bagus,bintang 1,1 bulan lalu
Barang sampai dalam keadaan sudah pecah,bintang 1,3 bulan lalu
"Yeay yang di tunggu"". Sebelum Nya pake yg varian midnight love banyak bgt yg nanyain. Skrg coba pake ini enak juga wanginya fresh wangi wangi Wanita feminim, trus kal...",bintang 5,4 bulan lalu
kedel bgttt pas dateng malah barangnya gaada,bintang 1,1 bulan lalu
Bau'x segar&wangi banget,bintang 5,2 bulan lalu
Udah gak penasaran emang bauknya enak manis sukkaaaaa 🥰🥰,bintang 5,3 bulan lalu
Aromanya enak dan wangi aku suka sama baunya🥰🥰🥰,bintang 4,5 bulan lalu
"Wanginya lumayan,",bintang 5,5 bulan lalu
"Wanginya tahan lama nggak habis², tetap lengket dibaju, kurirnya ramah dan pengiriman nya juga cepat",bintang 5,3 bulan lalu
"Kualitas produk: baik,tdk ad lecet
wangi parfumnya awet,walaupun di cuci tp wanginya tetep nempel.",bintang 5,6 bulan lalu
"bubble wrap tebell, barang ori, paket aman, pengiriman cepat👍🏻.Parfume nya enak wangi floral ketahanan jg oke",bintang 5,5 bulan lalu
Paket sudah di terima semua keadaan baik 👍👍,bintang 5,1 bulan lalu
"Bagus cuman,ga full isi nya ga sama isi nya sama yg varian glam",bintang 4,1 bulan lalu
"Good package, cuman kurang auka bau nya, tpi kalau yg suka bau seger"" pasti suka",bintang 4,4 bulan lalu
"Tiap bulan udah langganan beli morris edisi yg ini hampir semua aroma aku pesen tiap bulan bukan buat aku tpi buat paksu dan papa karna mereka sangat suka😆
Kualitas prod...",bintang 5,5 bulan lalu
"Maap gabisa foto, tapi bagus ko, wanginya Juga tahan lama enak kalem",bintang 5,2 bulan lalu
"bagus dan wanginya enak, harga mu
Kualitas produk: bagus",bintang 5,2 bulan lalu
"Wanginya suka banget, tahan lama wanginya
Kualitas produk: Bagus",bintang 5,5 bulan lalu
"Pure romantic! have a special scent! wangi bunga melati, tapi bukan yang MELATI BANGET! Soft~ Kesebar 1 ruangan dan ninggalin jejak! kalau kalian suka wangi bunga cobain...",bintang 5,2 bulan lalu
"dia harumnya nggak terlalu menyengat wanginya kalem, trs kalau mau baunya agak tahan harus semprot agak banyakan",bintang 5,2 bulan lalu
Barang sampe dalam keadaan hancur . Isi dr parfum abis tak bersisa rembes ke bubble wrap.kemasan luar tampak rapih ga ada cacat. Pas dibuka botol dlm keadaan pecah isian...,bintang 3,2 bulan lalu
"packing nya aman, dan admin nya fast respon juga, harum parfum yg ku suka🥰",bintang 5,3 bulan lalu
"Harum banget tahan lama.
Kualitas produk: Joss banget",bintang 5,3 minggu lalu
"Barang sesuai pesanan, cepat sampai, wangi nya enak banget serta tahan lama.",bintang 5,3 bulan lalu
Wangi nya enak bgt yg metropolis buat cowo yg glam edition buat cewe..  ... Bkal sllu pkai morries.. Akn berlangganan pula.. Thank u.,bintang 5,6 bulan lalu
Wanginya manisss gitu tapi enak awalnya kaget terlalu manis pas di semprot jdi kale manisnya,bintang 5,4 bulan lalu
