review,rating,date
"Ringan banget, butirannya halus, bisa nahan minyak, menutup pori pori, looks like skin but better",bintang 5,7 bulan lalu
"Uda repurchase 2 kali yg ukuran mini, karena ukurannya kecil bisa dibawa2 kemana-mana dan kalo lagi pake tas yg kecil masih muat! Minusnya nggaada kacanya. Untuk texturen...",bintang 5,1 bulan lalu
Bedaknya bagus untuk kulit kering dan coveragenya oke banget. Aku udah pake lama jadi udah cocok banget di aku. Hasil akhirnya glowing. Warnanya ok. Packaging ok,bintang 5,7 bulan lalu
"Pengiriman cepet dan aman, barang gaada yang rusak. Warna honeycomb ini juga fit buat kulit di sawo matang. Complexion yang ringan banget buat makeup sehari2. Cukup skin...",bintang 5,1 bulan lalu
"Coba yang travel size dulu karena biasa pake yang ijo.
Ternyata lebih enak yang ini dari pada yang ijo. 
Warnanya pas sengaja beli yang agak gelap dikit karena cushionnya...",bintang 5,8 bulan lalu
"lembut banget, awet dan tahan seharian, cukup coverage, di aku shade pas tapi jatuhnya cenderung ke merah, tapi so far secara bahan oke banget ga geser dan oksidasi",bintang 5,3 minggu lalu
"bahan nya ringan gampang diserap dan cocok sama kulit kering aku , coverage nya oke banget , packaging nya juga gemeeesss banget 😭🫵🏻",bintang 5,8 bulan lalu
"Suka banget puas banget sm kualitas nya, beneran bagus bukan iklan doang kerennn ga kecewa samsek",bintang 5,8 bulan lalu
Udah biasa pake luxcrime ini bener2 lembut dan enak dipake. Mau sheer atau full coverage bisa diatur. Plus sekarang packagingnya?? Cakep bgttt,bintang 5,8 bulan lalu
ringan banget gak dempul terus juga nyaman di pake,bintang 5,7 bulan lalu
akhirnya ketemu shade custard yang aku cari2. lucu banget size kecil gampang dibawa kemana2.,bintang 5,6 bulan lalu
"bagus baget, cocok untuk kulit kombinasi, untuk kulit oily bagus dapat nahan minyak, yg kulit kering bgs juga",bintang 5,8 bulan lalu
"Ku suka banget bedak sama Eyebrow nya bagus bangettttt. Tapi sayang banget utnuk eyeliner nya gampang ke apus, pdhl untuk penggunaan dan ketajamannya bagus banget hiks.",bintang 4,6 bulan lalu
"ka plisss keanya musti ganti jasa pengiriminnya deh, demi apa lama bgt ka lebih dari seminggu muter-muter trs paketnya pdhl udh sampe kota aku tapi lama bgt bgt bgttt dia...",bintang 4,7 bulan lalu
Barang semuanya sampai dengan selamat.. packaging juga aman dan oke banget.. barang yang dikirim sesua dengan pesanan.. thank you seller..,bintang 5,10 bulan lalu
"PARAAHH lagi super duper beruntung bisa dapet diskon yang lumayan bangett! shade nya perfect match di kulit akuu♥️ ngga bikin patchy pas dijadiin setting powder, coverage...",bintang 5,7 bulan lalu
"tempatnya lucu, coveragenya bagus bangett",bintang 5,7 bulan lalu
"ringan dan blur effect nya ada banget, cocok untuk kaum yang suka sat set deh",bintang 5,7 bulan lalu
"lebih suka yg ijo deh kyknya, lebih nempel di kulit, tapi yg ini bagus untuk kulit yg kering banget kyknya",bintang 4,8 bulan lalu
"kecik banget enak buat dibawa kemana2, ga makan tempat. shadenya juga cocok di aku, sawo matang warm tone. di muka ga dempul dan ringaaaaannn banget butirannya halusss",bintang 5,1 bulan lalu
bagus banget bedaknya bener2 tahan lama sampe,bintang 5,6 bulan lalu
"produk yang dikirim sesuai dengan pesanan, twcnya aman tidak pecah. trimakasi luxcrime 💜",bintang 5,7 bulan lalu
"warna shade sesuai pesanan, pengiriman cepat, bagus bgt, dapet harga 12k 😆",bintang 5,7 bulan lalu
"ringan di kulit, terlihat flawless dan healthy skin. shadenya bener2 sama warna kulit, jadi keliatan gak pakai bedak. love 💕 gak pernah kecewasama luxcrim twc",bintang 5,8 bulan lalu
"warnanya cocokk banget sama kulitt, hasil akhirnya juga cakep bangett, mudah diratain, dan yang ga kalah penting packingnya lucuu",bintang 5,6 bulan lalu
"Barang sesuai yg di pesan, datang juga cepat dan pengemasan rapi. Makasih kak",bintang 5,7 bulan lalu
"wahh packing bener2 menjaga produk bangett. first time cobain silk glow, moga cocok. sblmjya coba yg blur & cover, hasilnya baguss. thanks seller...",bintang 5,7 bulan lalu
