review,rating,date
"ringan,cepat meresap, waterproof jadi bagus untuk dipake pas mau hangout cuma satu yg kurang",bintang 5,8 bulan lalu
"Isinya lumayan banyak, pengiriman cepat, tahan lama, tipe yang kalo dipakai di bibir kelihatan kering bgt. aku pake buat blush on. packingnya aman",bintang 5,5 bulan lalu
"bagus tekstur nya, cocok buat bibir gelap kyk aku, tapi kalo bisa pilih warna diatas ini aja soalnya terlalu gelap yang ini. pengirimannya cepet juga. packing nya super a...",bintang 5,2 bulan lalu
"Warna nude nya cakep polll, dipake sendiri g bikin aku keliatan pucet apalagi kalo di ombre beuh menyala🔥g bikin kering juga, suka bgt😍",bintang 5,12 bulan lalu
"keren bgt produknya.. fix suka sih sama warnanya bener nude yg kucari2, pigmented dan lgsg set up di bibir, next bakal order lg buat ombrenya karna awal ini cuma mau tes...",bintang 5,6 bulan lalu
"Warna bagus untuk base ombre, pengiriman cepat tapi packing hanya kardus dan bubblewrap, tidak ada secondary kemasan produk, overall oke, good job Emina!",bintang 5,8 bulan lalu
"pengiriman aman, warna bagus, tahan lama, tekstur baik dan sangat cocok untuk sehari hari",bintang 5,3 bulan lalu
"packagingnya aman poll, paragon emang besttt. produk lip nya emina yg ini jg bguss, warnanya cocok buat kulit gelap indo. creamy tp powdery, enak di blend, dan gabikin bi...",bintang 5,4 bulan lalu
"Enak dipakenya, ringan gt. Wanginya jg enak ga ganggu. Warnanya klo diaku kyk seductressnya Maybelline",bintang 5,1 bulan lalu
Beli emina creamatte karena kata orang-orang bagus dan ternyata emang bagus,bintang 5,7 bulan lalu
"koleksi creammate keduaku setelah sebelumnya co shade coral crush. ini warnanya reddish pink gitu menurutku, girly abis. cantik dan pigmented! sekali oles berhasil nutupi...",bintang 5,8 bulan lalu
"creamatte emina bener-bener bagusss banget, ngasih efek blurry waktu dipake, dan ga bikin bibir kering. ini aku mempercantik creamatte ku sm gantungan lucukkk. thank youu...",bintang 5,8 bulan lalu
"bagus warnanyaaa, engga terlalu kering dan nyatu di bibir.udah dari kapan tu mau untung dapet promo wkwkwkwk jadinya dapet harga 4 ribuan deh. next mau nyobain warna lain...",bintang 5,8 bulan lalu
"Sudah sampai, warnanya aku banget. Suka banget sama teksturnya, dan pigmentasinya cukup menutup untuk bibirku yang lumayan gelap. Warnanya nyatu dengan warna kulitku yg k...",bintang 5,8 bulan lalu
"pengiriman lumayan cepet, kurir ramah, aku dapet harga murah karena lagi promo xixixi, tapi salah shade, tapi gak papa sihh bagus jugaakkk",bintang 5,7 bulan lalu
barang yang dikirimkan sesuai pesanan dan harganya murah terima kasih,bintang 5,5 bulan lalu
"warnanya bagus, cantik, ada spf nya, wanginya enak..",bintang 5,3 bulan lalu
"pengiriman cepat, dapet harga 500perak, wrna pink cantik, sukaaa poll",bintang 5,7 bulan lalu
packingnya rapi banget lipstiknya juga gampang banget ngesade,bintang 5,9 bulan lalu
Seneng bnget sama warna ini bagus ringan awet juga abis nya. Cuma seperti nya tekstur nya beda dari yg sebelum nya,bintang 5,6 bulan lalu
"warnanya bagus,tahan lama,teksturnya lembut ringan di bibir",bintang 4,7 bulan lalu
"tekturnya ringan seperti gapakai lipstik, semoga tahan lama  🥰",bintang 5,9 bulan lalu
"formula ringan, tekstur tidak lengket, warna cantik dan cocok untuk semua skintone",bintang 5,8 bulan lalu
"Puas banget, first time nyobain SSnya emina semoga cocok.Dan harus beralih produk Indonesia. makasih gratisannya emina",bintang 5,
cakeeeeeeeppp warnanya..sesuai pesanan..terimakasih..cepet kirim pula..😍😍😍,bintang 5,4 bulan lalu
"sesuai dengan pesanan, belum dicoba packing rapi dan safety banget",bintang 5,
"ini salah satu lip cream kesukaan aku warnanya cocok di wajah aku, produknya cukup tahan lama.. pas dipakai juga nyaman.. buat di jadiin base pas ombre juga bagus
untuk p...",bintang 5,
"seller respon cepat, packaging rapi dan aman, produk bagus, paket sampai dengan cepat. terima kasih yaa",bintang 5,
barang yang dikirimkan sudah sesuai pesanan terima kasih,bintang 5,4 bulan lalu
"karena base ombre ku habis akhirnya mutusin buat beli ini yg shade pumpkin spice. di aku sendiri warnanya tuh brown pink gitu, cocok buat jadi base ombre karena di aku ja...",bintang 5,8 bulan lalu
"Waktu beli, yg ini tdk ada. Mungkin ketinggalan pas packing. Saya cb hub penjual. Alhamdulillah sgt baik. Mau komunikasi dg saya hingga tgh malam. Lalu lipstick dikirim m...",bintang 5,
"EMINA CREAMATTE


✓ Hasil akhir : matte ada sedikit hint glossy nya
✓ Aplikator bentuk kaki
✓ Bisa menutupi garis bibir yang gelap
✓ Tahan lama
✓ Warnanya intens
✓ Transf...",bintang 5,
"EMINA CREAMATTE


✓ Hasil akhir : matte ada sedikit hint glossy nya
✓ Aplikator bentuk kaki
✓ Bisa menutupi garis bibir yang gelap
✓ Tahan lama
✓ Warnanya intens
✓ Transf...",bintang 5,
"bagus sekali, cuma sayang nya transfer tapi memang bikin lembab",bintang 5,8 bulan lalu
"kiri creamatte 07, kanan poppin mate 02. so far kedua warna cocok di saya. pengiriman cepat dan produk sesuai. thank you",bintang 5,
"pengemasan dan pengiriman cepat. pengemasannya safety bgt pake kerdus pdhl cuma 1pcs dapet gift jg. 
untuk warna lipnya dimukaku terlalu pucet yg atas warna asli, yg bawa...",bintang 5,
"ringan banget di bibir, tahan seharian pokonya bagus banget",bintang 5,9 bulan lalu
"brg smp sesuai order dan aman..warnanya bagus, cocok dipakai sehari² dan bibir lbh lembab.",bintang 5,9 bulan lalu
"pengemasan dan pengiriman cepat, belanja dari toko official udh pasti ori dong ya. sangat recommended.",bintang 5,5 bulan lalu
"Terima kasih Emina, belanja di official store dapet bonus creamy tint.
Untuk produk creammatte formulanya tetap enak. Tapi warna fuzzy wuzzy berbeda dari ingatan saya wak...",bintang 5,
"sesuai, teksturnya lembut dan tahan lama.
warnanya juga bagus banget",bintang 5,5 bulan lalu
"warnanya bagus bgt ga nyesel CO shade ini, trus meskipun ini cream matte tapi ga se kering itu si pokonya baguss sukaa luvv thank u eminaa💋🙈",bintang 5,2 bulan lalu
"ini pemakaian ke 2 produk emina creamatte 
teksturnya lembut ,aplikator nyaman dipakai.
warna coklat bagus.",bintang 5,8 bulan lalu
"packing rapi, barang yang dibeli sesuai, pokoknya recommended lah ya.",bintang 5,
