review,rating,date
Oh waow.. canggih sekali ini 3 in one 😃 tapi kyknya yg razornya ga gitu perlu. dan emang ringkih ya.,bintang 5,1 bulan lalu
pernah pinjem ke temen merk ini lumayan bagus. jadi mau nyobain,bintang 5,7 bulan lalu
warna bagus..gampang di aplikasi ke alis..krn model ujung pesil  nya kotak runcing ...ada brush di ujung pensil...untuk merapikan alis ada silet nya..tinggal di balik aja...,bintang 5,
pensilnya twrlalu pendek cepet banget habisnya dan patahnya..meskipun sudah naik hati2 dan g panjang2 tetep aja patah karna setipis itu.. tp bagus dan pengaplikasikannya...,bintang 3,
"Simple banget,ga ribet,ga susah2 dibawa kemana2,pengiriman cepat pula,ga bikin kecewa,mantap banget belanja disini..😊",bintang 5,
Mudah pengaplikasiannya. Hasil goresan bagus dan halus. Bagian belakang terdapat pisau alis dan sikat juga utk merapikam alis.,bintang 5,
Nyata banget ya ink nya. Tapi masih syulit mengaplikasikan biar sama antara kiri dan kanan 😆,bintang 5,
"pakingan aman, kiriman cepat dan original",bintang 5,10 bulan lalu
"ngebantu buat aplikasiinnya, dan ini beli ke 2x buat kasih karena emang enak dipakenya dan murce",bintang 5,
"kemasannya elegan dan cantik, untuk warna yg dipilih bagus dan cocok",bintang 5,
"Menarik 3in 1 praktis
Semoga awet tahan air",bintang 4,
belum di coba... tapi asli kemasan mewah....,bintang 5,
"good quality
murah tapi ndak murahan",bintang 5,
"paket komplit, pensil alis, sikat bulu, pisau bulu",bintang 5,
pensilnya empuk & gampang makenya,bintang 5,
"packaging rapih, pengiriman tepat waktu.",bintang 5,9 bulan lalu
"pensil alisnya bagus, meskipun terlalu tipis, tapi ada silat dan sikat untuk merapikan alisnya.",bintang 5,
Hasilnya awet Beneran waterproof Gampang dipakai Gampang dibawa-bawa Packaging aman 🙏 Proses pesanan cepat,bintang 5,
"sesuai pesanan, tapi brush ya terlalu tipis, kurang enak dipakainya",bintang 4,
"produk sesuai pesanan. 3in 1 praktis jadinya, 3 alat dalam 1 produk. pensil mekaniknya kecil, tapi ternyata bagus juga buat menggambar alis. warna okay.. pengiriman agak...",bintang 5,
"Design bagus, tapi Pegang agak berat krn ujung ada pisau. Overall ok",bintang 4,
"Cara pakainya gampang, nyaman dipakai, warna sesuai dengan warna kulit. Tahan lama ga mudah luntur. Terima kasih Seller Packaging aman. Mantappp👍👍🙏",bintang 5,
Ini bagus banget hasilnya. Gampang aplikasinya dan easy to build. Ga yg lunak banget tapi surprisingly hasilnya kaya eyebrow pencil yg lunak2 itu. Daebak sih,bintang 5,
"Produknya sesuai gambar dan deskripsi. 
Pacakgingnya benar"" mewah terlihat luxury. Inovasi baru dari o.two.o ada cutter kecil untuk merapikan alis, sangat berguna 👍�...",bintang 5,
Bagus....krn ujungnya mengecil jd cepat patah,bintang 4,
Pesanan cepat sampai dan packing rapi aman bagus,bintang 5,
"tampilan bagus, pisau nya tajam, warna cocok",bintang 5,
super gampang gambar dan rapiin alis. warna coklatnya juga bgs ga kemerahan 👍🏻,bintang 5,
"good produk, 3 in 1  item, lebih praktis",bintang 5,
barang kurang 1 pcs. sdh berkali2 beli di toko ini ga pernah kurang. baru kali ini kurang 1 pcs. krn sdh langganan & sll lengkap jd ga pernah unboxing,bintang 2,6 bulan lalu
bagussss mudah buat alisss,bintang 5,
recommended seller,bintang 5,
"barangnya tidak diterima sama sekali.. kurir nya hanya foto rumah saya dari luar pagar. toko ini tidak mau bantu sama sekali, saya belum pernah begini, merasa saya kesal,...",bintang 1,
barang sesuai,bintang 5,
bgusenjrjeandieienwnsjwiiwlwnxnaiaokananansjwiiwososnnnejsisieiieiwiwisisjsn,bintang 5,
"blm dicoba, mudah2an sesuai expektasi",bintang 5,
"Belum dicoba, nanti balik lagi yah",bintang 5,9 bulan lalu
pengiriman cepat,bintang 5,
cakep bgt gila,bintang 5,
"Maaf , Gampang patah",bintang 3,8 bulan lalu
terlalu cepat habis,bintang 5,
baru mau coba,bintang 5,
Bagus,bintang 5,1 bulan lalu
barang sudah diterima. pengiriman cepat.,bintang 5,2 bulan lalu
pembelian ke-2,bintang 5,
"bagus bgt,harga murah ,",bintang 5,
puas dgn pelayanannya makasih banyak,bintang 5,
sesuai deskripsi,bintang 5,
jos laris mnis buat tokonya,bintang 5,3 minggu lalu
"bagus, kirim cepat.",bintang 5,
,bintang 5,
,bintang 5,
,bintang 5,
,bintang 5,
,bintang 5,
warnanya bagus,bintang 5,
sesuai pesanan,bintang 5,
pembelian ke-3,bintang 5,
pengiriman ny lama,bintang 4,
👍👍suka banget,bintang 5,
bagus,bintang 5,
barangnya sesuai. tks.,bintang 5,
Paket sampai dgn aman,bintang 5,
,bintang 3,
,bintang 3,
👍👍👍,bintang 5,
,bintang 1,5 bulan lalu
