review,rating,date
"kemasannya lucu mini, imut coverage minim cocok bgt buat dipake sekolah karna ga dempul",bintang 5,5 bulan lalu
"produk okeee, gk bikin kering di wajahku yg kering ini. hasilnya bagusss, bener keliatan natural & gk abu² buat wajah kuning langsat kyk aku. udah pemakaian ke 3 sih...",bintang 5,2 minggu lalu
"warnanya cocok di kulit aku, teksturnya juga lembut dan enggak lengket. pengiriman cepat, dan pengemasan aman. thanks",bintang 5,3 bulan lalu
"barang sampai, produk sesuai 
shade N43 medium beige, cocok untuk kulit indonesia",bintang 5,4 bulan lalu
"Kemasan compact, ga kegedean, warnanya baguss",bintang 5,3 bulan lalu
pertama kali mau coba cushion pixy ya.  pengiriman cepat dan proses juga cepat. tempatnya cantik,bintang 5,3 bulan lalu
Barang datang dengan bagus bubble wrap tebal tidak ada lecet saya sangat puas terima kasih,bintang 5,2 bulan lalu
"belum dicoba sih tapi semoga match ya shadenya, lucu bgt packagingnya lilac gemes💜 glow finish cocok buat dry skin, dpt murah 27k jd lgsg cus beli deh!",bintang 5,2 bulan lalu
"sudah sampai, cepat juga pengirimannya cmn sehari sampaiii. kmren beli krn salah shades akhirnya beli lg disinii",bintang 4,4 bulan lalu
"lucu banget, udah coba di tangan dan terasa lembab, tks🩵",bintang 5,4 bulan lalu
"bagus, pengiriman cepat, pemesanan sesuai, tekstur cushionnya kaya air gitu, ga berat pas di pake",bintang 5,2 bulan lalu
"Bentuknya agak lebih kecil ya dan puff nya juga kecil. Untuk shadenya cocok buat medium to neutral undertone. Terima kasih seller, ekspedisi, dan kurir",bintang 5,4 bulan lalu
"teksturnya ringgan mudah meresap pokonya baguss bangget, minusnya bocorr dikitt tapi That's okay pokonya suka banggett sama produk pixy secinta ituu sihh",bintang 5,2 bulan lalu
"Kualitasnya baik
Mudah diaplikasikan 
Terasa ringan di wajah",bintang 5,5 bulan lalu
"baguss bangett tahan lamaa, buat di pake daily juga okee ringann",bintang 5,2 bulan lalu
