review,rating,date
udah lah ga usah fomo kejebak marketing yang gila gilaan udah jelas Pixy Dewy klo untuk sehari² ngantor dan anter anak sekolah dan Pixy matte Untuk tempur anti longsor se...,bintang 5,4 minggu lalu
"Sampe nyetok lagi karena secocok itu sama cushion pixy yg ini, udah nyobain warna shade yg sama dg produk2 viral lain tapi cuma pixy yg pas bgt warnanya sama kulit aku🥰",bintang 5,2 minggu lalu
"cocok bgt pake shade ini, tahan lama, bagus, packingnya aman dan cepet bgt",bintang 5,
tipe kulitku normal under tone kulitku cool,bintang 5,
"Paket mendarat dengan selamat kak..
Produk original dan sesuai 
Sukses seller, Terimakasih",bintang 5,
selalu langganan dan suka bgt pake Pixy. Sayangnya jarang ada promo. Please Adain promo besar2an dong😅🥰🥰🥰,bintang 5,4 hari lalu
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal under tone kulitku warm,bintang 5,
"pengiriman Barang sesuai cepat, Barang ORI👍👍👍",bintang 5,
bagus seperti biasanya tipe kulitku normal,bintang 5,
pengiriman pakai swift dari tokped cepet banget ternyta. oiya udh pasti ori ya karna dari official shopnya lngsng  beli pas promo shadenya ada langsung chackout deh. bere...,bintang 5,
"produknya bagus as u can see, adminnya ramah banget, proses pengiriman juga cepett, ditambah dapet pc jimin yeaay✨",bintang 5,
"Item sesuai deskripsi. Packing aman, pengiriman cepat. Recommended seller",bintang 5,
"Pengiriman cepat, produk sesuai pesanan. bagus  bikin kulit kliatan glowing instan 👍",bintang 5,
Pesanan sudah sampai dan pengiriman pun cepat di kirimnya. Packaging oke terus produk yang di kirimkan sesuai yang di inginkan. Thankyou ya seller ❤️,bintang 5,
"wih barangnya udah datang,,makasih ya,seller tokped,,aku beli murah.karena dapet diskon Tokopedia 🥰🥰",bintang 5,
"CS fast response, ramah, barang dikirim cuma 24 jam sudah smpai

terima kasih",bintang 5,2 minggu lalu
"Pengiriman cepet , barang bagus gada kerusakan dan dapat pc jiminie thankyouu",bintang 5,
"Pengiriman cepat, terimakasih. under tone kulitku netral tipe kulitku kering",bintang 5,
"exp masih 2026
cepet sampe nya
pengemasan aman
makasih ya 🥰",bintang 5,
