review,rating,date
"cerah dan cocok buat bibir yang hitam, dapet freegift lucuuu",bintang 5,2 bulan lalu
aku beli lagi yg shade NAD dan itu baguss dongg trus free nya dikasih kaca tapi agak retak kacanya,bintang 5,1 minggu lalu
Aaaaa sukak bgt ini pertama kali aku beli lip produk di online juga ga nyangka sih beneran ringan pas udah di bibir warnanya cocok lagi tadinya bingung mau beli yg mana s...,bintang 5,1 bulan lalu
"Bagus banget,dpt hadiah juga mksh ka...",bintang 5,2 bulan lalu
"Warna: iog
Jenis kulit: medium skin, neutral to cool undertone
Performa: BAGUS BGTBGTBGT STAINNYA GOKILL, kirain pas awal beli warnanya bakal lebih warm, ternyata buat ak...",bintang 5,1 minggu lalu
Yeaaayyyyy akhirnya dateng juga paketnya yang ditunggu². Udah ngga sabar pen dicoba. Langsung dong dicoba pas paketnya dateng. Mantul banget lipscreennya bagus untuk meli...,bintang 5,4 minggu lalu
paket sudah sampai. pengiriman dan pengemasan rapi cepat aman pastinya. pertama kali coba lip stain ber spf dari preetywell. aku pilih shade NAD bagus ko. terimakasih,bintang 5,1 bulan lalu
"This is the before and after, di bibir ku yang two toned lips INI CAKEP BANGET WOY LAHH LOVE ITTT, (Shade IOG). This my mom account anw😂",bintang 5,6 hari lalu
"hasil warna tergantung warna bibir masing², untuk isi 2ml, menurutku harganya lumayan, next time mau coba warna lain~!✨",bintang 5,2 bulan lalu
"Warna: Sesuai
Jenis kulit: Cocok
Manfaat produk: Untuk bibir",bintang 5,2 minggu lalu
"Yeay... Sampe juga... Gemezh polll... Sempet sedii bingung kog ini gada karet yg buat simpen lipscreen nya kya punya orang2, untungnya bisa pake karet yg pink itu... Maka...",bintang 5,2 bulan lalu
"Cakepp bngtt shade NAD ini, gabikin kering juga di aku, trus stainnya mantep sih suka bangett makasii min🤏🏻💗 sayangnya gadapet gantungan kunci atau harus beli dua ya m...",bintang 5,3 minggu lalu
"paket nya udah nyampeee, cepett banget demi apapunnn, baru pesen kemaren hari ini udah nyampee makasihh banyakk yaa, warnanya cantikk bangettt, jujur waktu pertama kali a...",bintang 5,1 minggu lalu
"bagusss bangettt, apalagi yang warna iog bener"" kaya warna bibirr, dah gitu ringan bgt di bibir",bintang 5,2 minggu lalu
"Warna: Warnanya bagus
Manfaat produk: Untuk melembabkan bibir
Performa: Baik
Jenis kulit: Semua jenis kulit",bintang 5,2 bulan lalu
"Barang bagus,cepat sampai kurir rama tp sayang ada warnanya ada yg beda dikit,🙏🙏",bintang 4,2 bulan lalu
"warnanya cantiik! feelsnya juga enak di bibir, good packaging, good job!",bintang 5,1 hari lalu
"Warna: Warnanya cantik
Manfaat produk: Untuk melembabkan bibir
Performa: Baik",bintang 5,2 bulan lalu
sukaa bgt warna nya cocok buat sekolaa 🫰🫰,bintang 5,2 bulan lalu
Warnanya bagus ga bikin kering bibir,bintang 5,2 bulan lalu
"warnanya cakeppp bgt shade IOG 
bakal repurchase siii😭😭💗💗💗",bintang 5,2 bulan lalu
"udahh repurchase 2 kali, stain nya mantep  sukaaa😵‍💫🫶 inii before after nyaa (●'▽'●)> yang awal pake tipis teruss di tebel inn. biar dapet keychain nya harus beli bera...",bintang 5,3 minggu lalu
"Bagus banget cantik dibibir apalagi stainnya bagus, tapi entah kenapa kalo kering kayak berpasir gitu jadi aku sering bersihin pake tisu. Tapi aman kok soalnya ada stainn...",bintang 5,
"Oke juga nih coverage nya, walau ada spf nya gaada bau yg menyengat/aneh. Ada stainnya walau ga sengejreng liptint (this is to be expected of course). Bagus ! Abis makan...",bintang 5,1 minggu lalu
"bagus anjai ga bikin bibirnya kering sampe ngelupas, warnanya juga makin lama makin nyatu",bintang 4,1 minggu lalu
"Plis lucu dan bagus banget, jujur kaget pulang sekolah tiba tiba ada charm ny dongg, pdhl katanya kemarin uda kosong hehehe",bintang 5,2 bulan lalu
"warnanya cantik 
cuma aku gabetah ama tekstur pas dipake di bibir",bintang 5,3 minggu lalu
"cakepp, bisa nutup two tone lips ternyata, uda ada spf jugaa, bestt, dapet gratis maskernya juga mau cobain langsung hihi semoga cocok",bintang 5,4 hari lalu
"beli yang shade iog mantul bangetttt busett dipake sekolah dari jam 6.30 stainnya sampe jam 12, wajip beli buat bukber sih gusy 😻😻",bintang 5,2 bulan lalu
"Paketnya sudah sampai, Lucu banget terimakasih",bintang 5,1 bulan lalu
warnanya bener bener bagus dan tahan bgt gilaa,bintang 5,1 bulan lalu
Bagus lipscreennya cuma di bibir aku jadi warna ungu😅 mungkin krna bibir ku gelap kali ya..pokonya bagus,bintang 5,2 bulan lalu
"cantikk warnanyaa, stainnya juga gilaa si!",bintang 5,2 bulan lalu
"bagusss next beli lgi insyaallah, real pict maaf gada foto lgi mager ngambil",bintang 5,2 minggu lalu
Mendarat dg aman.. walaupun penyok kardus nya tp yg penting isinya..aman ada bable wrp jg .. trimakasih,bintang 5,3 minggu lalu
Bagus ringan dipakai suka,bintang 5,2 bulan lalu
Bagus. Tapi warnnya kurang keliatan,bintang 5,1 bulan lalu
BEST BUY 2025❤️❤️❤️❤️,bintang 5,2 bulan lalu
"Baguss
Ringan di pakai
Suka",bintang 5,2 bulan lalu
"Dibibir aku yang terbilang hitam lumayan bagus untuk menutupi warna nya, aku suka",bintang 5,2 bulan lalu
"bagus pake bangeeettttt, sukak sama stainnyaaaa😭😭❤️",bintang 5,4 minggu lalu
"a good product 👍🏻👍🏻👍🏻
love d' colour✨",bintang 5,2 bulan lalu
"Coverage: Medium pigmented, tapi ngelembabin
Color: Menggelap satu tingkat di bibirku yang two tone lips dan undertoneku neutral to warm",bintang 5,1 bulan lalu
Bagus baguss,bintang 5,2 bulan lalu
SEBAGUS ITUUU??? SUMPAH AKU CINTA BANGET SAMA LIPSCREEN NYA,bintang 5,2 bulan lalu
"bagus banget
Warna: iog",bintang 5,1 bulan lalu
10/10,bintang 5,2 bulan lalu
warnany bagus tapi di aku kegelapan hhe,bintang 4,2 hari lalu
bagussss bgt next beli shade yg lain♡,bintang 5,2 bulan lalu
Baru nyoba semoga aj gk ngecewakan,bintang 4,3 minggu lalu
glossynya gak lebay,bintang 5,2 bulan lalu
,bintang 5,2 minggu lalu
BAGUSSS PLSSSSSSSSSS HARUSS BELIII LUVVV,bintang 4,2 minggu lalu
Baguss bgtt,bintang 5,2 bulan lalu
Baguss bgtt,bintang 5,2 bulan lalu
,bintang 5,1 bulan lalu
BAGUS BANGET SUKAKK,bintang 5,1 bulan lalu
pengiriman cepat,bintang 5,2 bulan lalu
Warna: agak ke pink an,bintang 5,2 bulan lalu
bgs bgs bgusss bangettt,bintang 5,2 minggu lalu
cantik warnanya,bintang 5,2 bulan lalu
bagusssss akuuu jadiii syukaaaa🤭🤭,bintang 4,2 hari lalu
Baguss,bintang 5,1 bulan lalu
baguss,bintang 5,2 bulan lalu
baguss,bintang 5,2 bulan lalu
Bagus,bintang 5,2 minggu lalu
Bagus,bintang 5,2 bulan lalu
bagus,bintang 5,2 bulan lalu
