review,rating,date
"produk bagus, agak berminyak tapi ringan dan warnanya cerah...

ini nggak ada hubungannya sama produk ini, tapi berhubungan sama produk sebelah. Videonya blur, kardus jug...",bintang 5,9 bulan lalu
"Proses dan pengirimannya cepat, packing rapi, aman diterima, warnanya mirip ya ternyata dng viva lipstik yg sy pilih, tp gpp lah, bs utk ganti2an. Tks.",bintang 5,9 bulan lalu
"soft dan ringan banget di bibir 
cocok for daily use",bintang 5,
"Yeyyy sampe, ihh cakep warna nya
itu yg bawah lip balm nya trus warna lipstik nya juga cakep shimer shimer😂,  ga terlalu ngejreng gitu tapi kek nya bagus kalo yg agak te...",bintang 5,3 minggu lalu
Surabaya Tangsel 3 hari supercepat. dan barang ok ya mantapppp,bintang 5,Surabaya Tangsel 3 hari supercepat. dan barang ok ya mantapppp
"warnanya bgus, tdk mencolok, anaku suka",bintang 5,
"Nyari2 lipstik warna orange yang nggak seberapa terang 🔆 akhirnya dapat juga, warna bagus 👍 orangnya itu natural kayak ala2 musim panas, suka banget karena warna dasar...",bintang 5,
"barang oke dan bagus, sesuai pesanan. pengirimannya cepat, respon penjual cepat",bintang 5,
"spertinya tanpa parfum ya, mungil, blm coba, cocok buat travelling, gampang bawanya, exp date msh lama",bintang 5,
"warnanya cantik bgt, harganya murah cuma emg harus beberapa kali swatch biar keliatan warnanya",bintang 5,
"Bahannya ringan, warna coklat tuanya bagus, waktu diaplikasikan ke bibir jadinya merah bibir, bagus banget, suka 😍 
Ternyata warna lipstick red A yang coklat tua kalau d...",bintang 5,
"Dari dulu suka Red-A 614 warnanya orange cocok di bibir aku, lipstiknya lembab. Cari di toko offline gak dapat-dapat, ternyata di sini ada, langsung beli 2 donk 😍
Pengir...",bintang 5,1 minggu lalu
Respon cepat. Packing rapi. Barang sesuai photo display.,bintang 5,
"teksturnya ringan, kerasa lembab dibibir. warnanya juga cantik gak gonjreng dan cocok dibibir gelap.",bintang 5,3 bulan lalu
"warnanya cantik soft semoga cocok baru coba 
oily... packing aman pe Bogor dengan bubble wrap tebal dijamin amanah dan jangan raguborder teman teman...",bintang 5,11 bulan lalu
pengiriman cepat barang pun sampai sesuai pesananan,bintang 4,
"kualitas produk sangat baik, harga terjangkau, produk original, respon penjual sangat baik",bintang 5,
warnanya bagus bagus.. cocok buat daily.. bentukny mininalis jd gampang taro di dompet ato tas kecil.,bintang 5,
"bahan ringan, ukuran mungil gampang dech dibawa2",bintang 5,
lipstiknya ORI dan pengemasan aman bgt. seller ramah dan amanah,bintang 5,10 bulan lalu
"warnanya lucu, oranye2 cocok untuk makeup seger ala musim panas. kebetulan warna asli bibirku agak gelap ya, jadinya warna oranye-nya agak kecoklatan di bibirku. but over...",bintang 5,
packing kurang rapi cuma pake plastik tdk pakai kemasan kotak lipstiknya!,bintang 4,
"teksturnya creamy, agak lengket, ga terlalu pigmented tapi mencover bibir yang agak hitam walaupun harus oles beberapa kali, tapi buat harga segini udh oke 👍🏻",bintang 5,
"udh lama pake merk ini,kirain udh g ada ternyata dionline ada langsung dari viva lagi jadi pasti ori.makasi",bintang 5,
"demi ap. aku terpukau liat bibirku sndri min, ini lipstik brasa kyk nyatu sm warna bibirku, brasa kyk lip balm skligus yg bkin lembab. bru prtma nyoba krna puasaan gk mau...",bintang 5,
ringan tapi sering2 touch up ya krn lipstik mya gmpang pudar...,bintang 5,
"Ini warna beneran orange, bibirku item. Aku suka lipstick yang pink semu oren, tapi ini beneran oren gak ngepink blas menurutku..dipake bibir itemku jadi nude. salah pili...",bintang 5,12 bulan lalu
"Kualitas barang baik dengan harga baik, sesuai order dan pengemasan paket baik.",bintang 5,
"Melembabkan bibir, hanya agak terasa berat tapi aku suka",bintang 5,7 bulan lalu
"barang ORI, warna sesuai, pengemasan baik 👍🏿👍🏿",bintang 5,
"semoga cocok, baru pertama kali coba viva,
barang ok pengemasan rapih, kurir nya ramah. sampai nya cepet pula, yang lebih ok lagi, ini exp nya 2028 dan2029,
terimakasih",bintang 5,3 bulan lalu
"suka sekali pake red A daridulu,,,,murah dan ga bikin bibir kering juga pecah""......pengiriman cepet dan packing amannnnnn",bintang 5,
"lipstiknya bagussssss bgttttt, orange sesuai yg dipengiiiniiiii, the best forever viva, berjaya selalu viva 😘😘😘😘",bintang 5,3 bulan lalu
Warnanya bagus...packing dan pengiriman ok...seller jg ramah... recommended,bintang 5,
"sesuai pesanan
barang bagus
pengiriman cepat
pokoknya recommended",bintang 5,11 bulan lalu
"warnanya agak orange
maunya yg merah
tp oke",bintang 4,4 bulan lalu
"barangnya bagus, kualitas baik. istripun senang",bintang 4,8 bulan lalu
"respon cepat, pengiriman lancar , jumlah produk pas sudah langganan nih. sukses selalu tokonya🙏💗👼🌿",bintang 5,
warnanya cantik dan cocok di kulitku. lipstiknya jg cukup lembab.,bintang 5,3 bulan lalu
"Alhamdulillah paket sudah sampai,sesuai dg pesanan,real pict, pengemasan rapi,recomended seller,bagus pokoknya,makasih seller,kurir dan tokopedia👍👍🥰",bintang 5,
Warnanya menyatu dengan kulit. Ringan dipakai dan lembur.,bintang 5,9 bulan lalu
"warnanya cakep, sayang wanginya aku kurang suka",bintang 5,
Gampang dibawa-bawa. Aplikator mudah dipakai.,bintang 5,
"lipstik bagus, exp date masih lama. terima kasih ❤",bintang 5,7 bulan lalu
"diterima lengkap sesuai pesanan, mudah2an cocok, packing aman tidak ada yang pecah..mantap",bintang 5,
Kualitasnya bagus cuma sayang pilih warna dikirah warnanya kemerahan trnyata warna pink 😂😂 jadi gk kepakek,bintang 5,2 minggu lalu
"terima kasih seller,tokopedia dan bang kurirnya.
produk sesuai pengemasan rapi,ternyata warna pink🤭",bintang 5,
"Lipstiknya lembut, cocok untuk anak saya yg br belajar make up",bintang 5,
kl lipstik ini baru pertama beli...biasanya merk Viva yg dipakai...msh satu perusahaan juga..makanya mau cb ini juga,bintang 5,2 bulan lalu
