review,rating,date
keracunan grgr nyobain punya temen ternyata bagus bgttt! pas dateng dpt tester parfume? HAH? enak bgt anjrit. gasabarrrr!,bintang 5,9 bulan lalu
keracunan grgr nyobain punya temen ternyata bagus bgttt! pas dateng dpt tester parfume? HAH? enak bgt anjrit. gasabarrrr!,bintang 5,9 bulan lalu
"Performa: lumayan stain dan bagus buat ombre
Warna: look good",bintang 5,9 bulan lalu
akhirnya sampe juga dan ga pernah gagal sama warnanya👍🏻,bintang 5,9 bulan lalu
"My fav lip product ini udah repurchase aku yang kayaknya 7 kalinya, meskipun baru nyobain 3 shade dari semua shade yg ada, but all of them was good like GOOD, semua shade...",bintang 5,8 bulan lalu
"Ini asli enak bgt.. Ringan dibibir ga kering n pecah.. Bibirku yg kering, ga krasa kering",bintang 5,2 minggu lalu
"Bagus sih liptintnya bikin lembab bibir dan warnanya bagus.. tp kurang awet dibibir aku ya cepet ilang gitu, padahal gak dibuat makan dan minum. Stainnya juga kurang. IMO...",bintang 4,9 bulan lalu
"Dipakenya ringan di bibir, warnanya cantik sesuai deskripsi nya, next mau warna lain ini enak banget dibawa makan minum msh ada walau kudu apply lagi tp cakeepp sih sukaa...",bintang 5,2 minggu lalu
"tutup nya seperti biasa ya agak longgar, but its okey ini udh pembelian ke2 aku jd udh ga kaget.. tapi untuk kualitasnya mantep sih. Tapi ini kardus kemasannya udh kebuka...",bintang 5,5 bulan lalu
"liptint ternyaman dan tercantik. ngga bikin kering dan malah moisturizing dan color payoffnya merata. dah deh, gamau berpaling lagi dari rr",bintang 5,5 bulan lalu
pembelian kedua karena lumayan tahan lama dan warnanya bagus,bintang 5,2 minggu lalu
"warnanyaa sesuaii banget sama yang di foto cocok banget buat yang kulitnya kuning langsat, kaget banget biasanya aku kalo pake liptint trus gapake lip balm itu kering, eh...",bintang 5,5 bulan lalu
"in love with this shade, gemas banget astaga!!! and also glossy at the first aplication. repurchase this because the hibiscus sangat cocok di aku!! very hydrating ga biki...",bintang 5,8 bulan lalu
Warna lumayan stain abis dipake makan,bintang 5,9 bulan lalu
Baguss cakep puoll!! Udh repurchese 3kalii dan yg skrg pacakgeingnya ga beleberr!!😍🥰🥰,bintang 5,2 bulan lalu
"baru pertama kali coba beli, ternyata bagus sesuai harganya.",bintang 5,9 bulan lalu
"Pengirimannya cepat banget. Packingnya juga safety banget. Aku keracunan sama punya temanku, pas kucoba auto co di keranjang kuning ini. Sukaaa. Kasih kesan bibir glossy...",bintang 5,1 minggu lalu
"Best liptint, ga bikin kering. Cukup nge-stain stlh makan or minum.. olwes repurchased 😍",bintang 5,9 bulan lalu
liptint with best formula🤍🍭 apaan nih yg Coming Soon 👀. suksess selalu RR,bintang 5,9 bulan lalu
"Selalu suka sama produk rr. 
Warna nya cocok utk underrone warm. 
Dan dapet tester kertas yg ada aroma parfum, tulisan nya ""cooming soon"". gasabar karena enaak wa...",bintang 5,9 bulan lalu
"pembelian kedua. nyoba warna yg lain. 
isi 3,7 gr",bintang 5,9 bulan lalu
"i have two, as always preety, very hydrating and long lasting, thank u 💗",bintang 5,1 bulan lalu
JUJUR CANTIK BGT WARNANYA aku sblm nya pake mimosaa juga cantik tp ini lebih cantik super wow,bintang 5,8 bulan lalu
"lip nya wangii ak sukaakk😍😍, warnanya bagus polll",bintang 5,8 bulan lalu
"Kayanya bakal jadi warna dewdrop favorit aku deh! Warnanya bener bener true warm dark red! I looove this shade! Also, apa inii coming soon?? Bikin penasaran!!👀",bintang 5,9 bulan lalu
Akhirnya kembali bersama liptint andala 🫶🏻🫶🏻🫶🏻,bintang 5,5 bulan lalu
"cantik bgttt gile, mana lagi promo, dapet di harga 62.000 😭😭",bintang 5,4 bulan lalu
"ssooo good, repurchase keduaa kali nyaa💋💋💋",bintang 5,1 bulan lalu
Baguuuusss! Pertama kali nyoba langsung sukakk! Kotaknya jg cantiik bgtt😍,bintang 5,9 bulan lalu
cakep as always dapet harga 54 ribu hihiy 🫰🏻🫰🏻🫰🏻,bintang 4,9 bulan lalu
"Liptintnya enak dipakai, gak bikin kering di bibir. Minusnya, packagingnya kurang memuaskan min. Botolnya tuh cepat kotor karena isi produknya bleber ke bibir botol lipti...",bintang 5,8 bulan lalu
"Packing nya tebal banget, mantap tap tap...barang aman sampai tujuan. Sudah dipakai, terasa ringan banget, gak bikin bibir kering, tapi stainnya agak kurang sih..",bintang 5,9 bulan lalu
"sepertinya rr sdh memperbaiki problem packagingnya yg suka bleber, skrg stoppernya sdh lebih proper jd produknya ngga bleber lgi tpi harus ttp hati-hati makenya, untuk wa...",bintang 5,8 bulan lalu
"the package just arrived, udah beli 4 di online/offline store, and the formula sooo goodd but I suggest u improve the packaging, beleber kemana mana gampang bocor, trs in...",bintang 4,10 bulan lalu
"Liptint ter ok, udh re-purchase yg ke 2. Ga bikin bibir kering dan warnanya gak sheer, stain jg ok",bintang 5,9 bulan lalu
paketnya cpt bgt datangnya. kemarin beli pas dpt diskon jdi 69k hehe lumayan. tp yg ini tutupnya aga seret ga kyk punyaku yg kemarin2 tp its okay gpp❤️,bintang 5,5 bulan lalu
Pesennya cosmopolitan yg dateng mimosa🙂 udh gak divideoin 🙂🙂🙂,bintang 4,2 bulan lalu
Warna nya cocok buat medium skin bikin kulit cerah! Love it,bintang 5,10 bulan lalu
udah 3x repurchasee emng bagussss,bintang 5,10 bulan lalu
udah repurchase berkali2 karena sebagus ituuuuu tapi please ganti packaging dong ☹️ biar ga belepotan kalo ditaro tas,bintang 5,9 bulan lalu
"BAGUS bgt!!!🥺 dari mulai warnanya, trs bikin bibir keliatan plumpyy. Sukaaaaa pokoknya, dapet harga diskon jadi 70 rb✨️",bintang 5,9 bulan lalu
kurang stay cepet ilang,bintang 5,8 bulan lalu
Cakep banget. Ini buat kulit kuning langsat cocok banget sih. Luv sekaliiiiiiiii.,bintang 5,6 bulan lalu
Kurang suka warna hibiscus literally hot pink gitu kaya liptint murah warnanya. Aku yg fair white cool tone aja gak cocok. Mimosa sama frozen rose terbaik 👍🏻,bintang 4,10 bulan lalu
repurchasedd 5 times already! 💖 my favouriteeeeee,bintang 5,10 bulan lalu
"SELALU RESTOCK KALO PUNYAKU ABISSS, SUKA BGTTT SM PRODUK INIII",bintang 5,8 bulan lalu
Repurchase yg ketiga karna emang sebagus itu.,bintang 5,7 bulan lalu
Please doain aku banyak uang biar bisa repurchase KARENA WARNANYA SECANTIK ITU 😭😭😭,bintang 5,10 bulan lalu
"gilak bagus bgt yg manhattan, bakalan jadi fav sih inii",bintang 5,1 bulan lalu
Liptint kesukaankuuu! dry lips approved🥰nyaman bgt di bibir & stainnya tahan lama✨❤️,bintang 5,5 bulan lalu
