review,rating,date
"Pengiriman cepat, harga terjangkau, pengemasan rapih, respon penjual cepat, kurir ramah, barang original,, bagus mudah menyerap gak lengket, wangi banget wangi seger mani...",bintang 5,5 bulan lalu
Revewe jujurjurrr nya wanginya enak nggak bikin enek harumnya tidak terlalu nyebar tpi tetap kecium kok jarak dekat pas di coba nggak bikin abu2 testurnya cair mudah di b...,bintang 5,4 bulan lalu
wanginy enak tp bodylotionny bocor segelny kurang kenceng,bintang 3,1 bulan lalu
"Aroma: Wangi
Manfaat produk: Bisa mencerahkan dan melembabkan kulit
Paketnya sudah datang sesuai pesanan. Wanginya enak banget next bakal order varian yang lain. Terima k...",bintang 5,2 hari lalu
Baru pertama nyoba hand body Slavina dan di unboxing wanginya semerbak banget👍🏻👍🏻👍🏻,bintang 5,6 hari lalu
dipake segerrr... wanginya juga enak suka bngtttt,bintang 5,3 bulan lalu
"Manfaat produk: untuk melindungi kulit dari sinar matahari
Aroma: harum mewah
🥰",bintang 5,2 bulan lalu
"Pertama kli beli wangi banget body lotionnya gampang menyerap ,packing aman bubble nya tebal tpi klo bisa sebaiknya pas bagian tutup nya agak di kencengin atau diberi apa...",bintang 5,1 bulan lalu
Sabun nya bocor yah sampe keluar2 gitu..  harus nya lbh hati2 lagi packingnya.. belum dipake udah lumayan ke buangbya nya..,bintang 2,
Alhamdulillah.. Pesanan sdh dtng n cpt.. Sesuai realpict n kurir ny sdh langganan baik,bintang 5,11 bulan lalu
"Barangx baru coba memang wangi dan tahan dan gampang menyerap dibadan cuma wanginya bukan yg seperti yg sya bayangkan, tetap oke sih",bintang 5,5 bulan lalu
"Manfaat produk: Melembabkan dan memutihkan
Aroma: Wangi bunga seger
Performa: Ok",bintang 5,10 bulan lalu
"Manfaat produk: Mencerahkan kulit
Aroma: Wangi pisan
Performa: Ok donk
Terimakasih orderan aku sudah sampai hanya saja sabunya tumpah untuknya cuma sedikit",bintang 5,4 bulan lalu
"wangi nya enak, awet beberapa jam, handbody nya white cast bikin kulit makin cerah",bintang 5,
"Wanginya sama kayak shower gel nya
Strong tapi enak
Isinya full banget
Blm dicoba semoga mencerahkan",bintang 4,3 bulan lalu
"Manfaat produk: Bagus banget
Aroma: Wangi cewe wangi triliunan bunga
Performa: Bagus
Aaaaa wangii bangetttt wanginya para ciwi"" ❤‍🔥💖💖💖",bintang 5,2 bulan lalu
"Aroma: Aromanya wangi banget buat yang body lotion ❤dan satunya blm di coba karena belum mandi
Manfaat produk: Bisa mencerahkan kulit dan melembabkan kulit serta bisa mem...",bintang 5,6 bulan lalu
Sumpah sebagus itu. Ini kali kedua beli wangi nya memang mantul. Pokok nya wangi banget.. sabun nya gak sempet di foto udh di kamar mandi gak sabaran mau di coba🤭,bintang 5,8 bulan lalu
"Aroma: wangi
Manfaat produk: bisa mlembabkan",bintang 5,5 bulan lalu
"wangi banget sih, tahan lama juga terus udah kelar wudhu aja masih wangi",bintang 5,2 bulan lalu
"alhamdulilah,wangi si tp kurang suka sama wangi nya 
besok bakal cobain varian lain",bintang 5,10 bulan lalu
Walaupun ada tumpah sedikit tapi gpp aku ksih bintang 5,bintang 5,6 bulan lalu
Sy pesen body lotion+shower gel kok yg dateng cuma body lotion doang,bintang 1,
sukaa sama wangi nya pengen cobain semua varian nyaa,bintang 5,1 bulan lalu
"Asli wangi banget, dikulit juga gampang ngeresep. 
Untuk packaging kurang aman ya soalnya ada yang tumpah (sebaiknya pas bagian tutup nya agak di kencengin atau diberi ap...",bintang 5,4 bulan lalu
"fast delivery, affordable price, original item, fast seller response, friendly courier, and the lotion product is very good, I really like the product and I highly recomm...",bintang 5,4 bulan lalu
"tutupnya pecah tapi bubble warp tebel dan masih rapih banget, aku cari juga ga ada serpihan pecahannya, segelnya juga rusak. dipacking sengaja yg reject kah??? agak tumpa...",bintang 4,2 bulan lalu
"Pengirimannya cepat.. Barangnya sesuai.. Wangi banget enak nenangin..  Teksturnya lembut cepet nyerep.. 
Cuman saran aja untuk pengemasan dibagian tutupnya di pastikan ja...",bintang 5,2 bulan lalu
"Baunya kayak hand body citra 😂 aga rembes bagian bukanya, pas nyampe udah tumpah sedikit tapi gpp",bintang 4,2 minggu lalu
Wangi banget..cuma sayang body lotion nya udh kebuka jdi sedikit keluar isi nya,bintang 4,3 bulan lalu
"Packing an nya rapi pakek kardus, double bubblerep gak ada yang bocor",bintang 5,1 bulan lalu
Packing aman.. Bubble wrap nya tebel.. Aku kira emang warna botol nya yang aga ke pink²an ternyata warna botol nya transparan.. Dan itu full produk nya gokill 🔥 btw ini...,bintang 5,5 bulan lalu
"Barang baru sampe, produk nya wangi bgt, dari segi pengemasan aman tapi mungkin karena kena tumpuk"" jadinya sabun nya tumpah sayang bgt🥲",bintang 5,6 bulan lalu
"wanginya kalem bangett, awetttt wanginya walaupun kena air, bikin kulit lembab terus cerahh, udah pernah beli bodylotionnya, sekarang beli lagi,sangking sukanyaa💗
Manfaa...",bintang 5,5 bulan lalu
"Yess yg ditunggu sdh dtng,lotion yg wanginya lembut,gmpang nyerep dikulit,jd inget lotion dr Brunbrun jaman dlu persis dr kemasan n wanginya sama ky Brunbrun 😃 teksturny...",bintang 5,9 bulan lalu
"Paket sudah sampai dgn selamat 
Packing aman 
Produk original 
Wangi nya enak, soft 
Semoga cocok 
Thanks min",bintang 5,2 bulan lalu
ada bocor shower gel nya sedikit tp its okey,bintang 5,1 bulan lalu
wangiiii tapi botolnya tumpah2 dikit but its okeiii!!,bintang 5,2 bulan lalu
"Wangi nya pake banget, aku suka. Tapi untuk pengemasan kurang yaa kak, tolong di buat lebih aman kak biar ga bocor. Tapi tetap puas, makasih kak",bintang 5,3 bulan lalu
"Wanginya segar. Manis tapi segar. Kayak ada hint baccaratnya sedikiiit, vanillanya juga. Pokoknya pas banget. Tp keinget bau sampo. JId berasa habis mandi. Toneup di kuli...",bintang 5,3 bulan lalu
"sumpahh baru pertama kali pake,wangi bgttt yg first kiss n juga ada toneupnya ga bikin abu atau lebay gituu😌 pokoknya love slavina",bintang 5,2 bulan lalu
"Bagus bngt wangii dari mlm aku pake sampai pagi nggk hilang2, terus nggk bikin kulit kering
Aroma: Wangi bngt",bintang 5,2 bulan lalu
Wangi tapi gak yg nyengat gitu ini soft banget buat nyerahin belum tau q baru coba soalnya,bintang 5,3 bulan lalu
Bagus banget cuman kenapa yg datang dua duanya bidy lotion padahal ambilnya paket bunding 1 bodi lotion dan 1 shower gel,bintang 4,
"packing nya aman & oke bgtttt 😍 kalo buat baunya, menurut aku yah, First Kiss ini lebih ke manis yg normal, ada seger dikit seger kaya seger bau bunga, sama ada kaya...",bintang 5,2 bulan lalu
"Ternyata wanginya kurang nampol menurut akuu,next mau cobain varian lain😂tapi barang aman,packing rapihh😘",bintang 4,3 bulan lalu
"Belinya shower gel sama body lotion, malah yang datang shower gel semua.mana bocor 😔",bintang 3,6 bulan lalu
"wangi bangett😍😍. teksturnya juga ringan, wanginya awet trus g bikin pusing. aku sampe beli 2 loutionnya",bintang 5,4 bulan lalu
"Aroma: Wangi seger dan ngga pasaran juga wangi nya
Untuk buaa nya bukan yang banyak busa yaa",bintang 5,
"Pengemasan nya safety banget, aromanya enak banget❤❤❤",bintang 5,1 bulan lalu
Jatuh cinta sm aroma yang ini stla cobain beberapa aroma.,bintang 5,1 bulan lalu
"Wanginya terlalu sopan sehingga ga menyengat, harus nya yg red yh belinya biar menyengat,tp yg ini juga wangi",bintang 5,2 bulan lalu
"Paketnya sudah dtg,sudah CO ke 3 kalinya,karena mau yg wangi powdery,belilah yg First Kiss ini,tp gak ada wangi powderynya,blm nemu gitu hand body yg wangi kaya bedak bay...",bintang 5,
"wangi bangett😍😍. teksturnya juga ringan, wanginya awet trus g bikin pusing",bintang 5,4 bulan lalu
"Sabunnya tumpah dikit huhu eman,,, ini udah pemakaian ke 4 kalinya bener2 wangi semua variannya",bintang 5,6 bulan lalu
"Masyaalllah wangi.. baru pertama kali beli.. titip foto tangan yg belang ini ya k. Kalau cocok bisa order lg yg varian lain. Bdw, suami ku nge fans bgt sm mama gigi. Kala...",bintang 5,3 bulan lalu
Kondisi ok. Lotionnya wangi. Terima kasih.,bintang 5,6 bulan lalu
"Manfaat produk: membersihkan dan mencerahkan kulit
Aroma: first kiss dan sangat wangi",bintang 5,3 bulan lalu
"Pertama kali membeli produk slavina dan tidak mengecewakan, wanginya sangat elegan dan tahan lama. Dan cepat meresap pada kulit sehingga tidak meninggalkan whitecase pada...",bintang 5,3 bulan lalu
gilaa si inii wangi nya enak bangetttt manaa ga ekspek kalo sefull itu isinyaa sukaaa dehh next cobainn varian lainyaa terus lagi packaging nya super aman bgtt mantullll...,bintang 5,2 bulan lalu
"Enak banget wanginyaa,body lotionya ternyata white case ya jadi agak susah ngebland nya dikit heheh overall mantap dua duanya",bintang 5,10 bulan lalu
TK kasih Bintang tiga karena paketku bocor.saran sih ya dari tukang pecking kalau tau yg mau dikirim lotion botolan di luar kardusnya itu dikasih peringatan jangan dibant...,bintang 3,3 bulan lalu
"Aaaaa liat doktif ngereview jadi co deh, trus langsung coba.
Warna nya enak bgttt dan efek tobe up nya GK lebay,asal pakai nya jgn kebanyakan, secukupnya aja
Smoga bikin...",bintang 5,6 bulan lalu
Udah ke sekian kali pakai produck ini & sekarang mau cobain yg wanginya segerr. Pass sampai rumah langsung dong di pakai mandi dan wanginya segerr bangettt suka makin...,bintang 5,4 bulan lalu
"Varian first kiss, harumm bangett. Berasa lagi make parfume saking harumnya😍😍. Sayang banget shower gel nya tumpah sedikit🥲🥲. Saran aku pas packing tutupnya di lakban...",bintang 5,4 bulan lalu
"Pertama coba💙
Manfaat produk: Melembabkan kulit
Aroma: Sweet
Performa: Baik",bintang 5,
"Wangiii bnggttt, buat yg ngk suka wangi2 yg menyengat ini pass bngttt
Menurutku ini bisa buat dialy siang hari gitu, buat malam juga bisa",bintang 5,2 minggu lalu
"pertama kalinya coba beli produk dari mama Gigi, bau shower gel nya enak banget si parahh, se suka ituu. pengiriman nya juga cepet, udh gitu aman pake kardus😭🤍",bintang 5,5 bulan lalu
"Ini asli wangi bgt, sukaa poll. Tahan lama jg, wanginy jg ga langsung ilang pas kena air",bintang 5,4 minggu lalu
Brng baru sampai  setelah buka reping nya ternyata ada yg basah sedikit itu dari botol  shower gel ada yg keluar karena segelnya yg di tutup ada yg basah itu saja yg lain...,bintang 5,
"Wangi ya enak bgt, sabun gel y juga tekstur y ga encer. Wanginya enak, lotion ya wangi tapi nyerap ke kulit y agak lama. Pengemasan aman ya ga tumpah.
Aroma: First kiss i...",bintang 5,
"Wangi, tapi packing nya kurang aman .sabun nya uda pada keluar",bintang 4,1 bulan lalu
"Bagus , wangi banget, tapi sayang segel di tutupnya, yang sabunnya kebuka, jadi pada tumpahh 😭😭, semoga next bisa lebih safety lagi dari segi keamanan product",bintang 5,4 bulan lalu
"Paket di korim dengan cepat dan aman, produk pun sesuai, buat aroma nya aku suka bnget sih ,, trs awet wanginya 🤩 the best lah 👍 next time order lagi dech 🥰",bintang 5,11 bulan lalu
"Baru pertama kali nyobain body losion nya,wangi banget,wangi nya sangat nempel tahan lama",bintang 5,9 bulan lalu
"mba gigi, terimakasih banget udh ciptain produk yg kasih aroma seharum ini dgn harga yg sangat terjangkau. pas aku terima paket stengah 6 lgsg ku coba di tangan wuangi po...",bintang 5,7 bulan lalu
"Wangi banget varian first kiss 
Tp sayang body lotion nya bocor",bintang 4,4 bulan lalu
"Aroma: Lembut wangi
Manfaat produk: Mencerahkan & melembutkan kulit",bintang 5,
"Paket nya udah nyampe, aku suka banget sama wanginya, lembut banget dikulit dan gampang menyerap 👍👍",bintang 5,5 bulan lalu
"Manfaat produk: 8/10
Aroma: 10/10
Performa: 10/10
Mohon dperhatikan saat ingin dkirim krna sy pesanny yang first kiss yg dtg malah the night,tpi wangi sih

bestt deh aku...",bintang 4,
"Body lotion nya aman , tp shower gel nya tutup nya udh kelupas segel nya jd bocor dikit",bintang 4,
"Wangiiinya soft bangeettt... Ini saya udah uji coba pakai bodylotionnya, trus saya cuci pke sabun mandi batang, eh pas dicium lg masih ada dong wangi lotion slavina nya,...",bintang 5,2 bulan lalu
wanginya manis bngt agak seger dan tahan lama btw aku krja d fnb yg otomatis kerjaan nya ada bersih² alat makan jg dan syoknya walaupun kena air bekas cuci piring tangan...,bintang 5,11 bulan lalu
"Wanginya manis, fresh, segar cocok untuk perempuan yg feminim 🥰",bintang 5,2 minggu lalu
"Wangi sangat enak. Walau botol sabun first kiss bocor saat datang, masih ok lah.",bintang 5,8 bulan lalu
"pengemasan kurang rapi, tapi untuk body lotion nya wangi nya tahan lama",bintang 4,
"Packing aman sesuai dng pesanan. Isi botol full dan masih bersegel.
Aroma: Mewah",bintang 5,
"Manfaat produk: Bkin kulit langsung lembab
Aroma: Bau nya wangi tahan lama
Performa: Tahan lama aromanya",bintang 5,4 bulan lalu
"Aroma: Wangi bangettt cocok untuk cewek kuee😣
Manfaat produk: Melembabkan,wangi",bintang 4,7 bulan lalu
"Sabun meleber 
Tutup nya kurang kuat kali ya",bintang 2,3 bulan lalu
"wangi nya enak seger soft, gak trllu strong.. Tp sayang tutup botolnya knpa lecetnya bgni🥺🥺",bintang 5,
"Produk ori, wangi bgt dan melembabkan
Menaikkan tone kulit juga 🥰",bintang 5,5 bulan lalu
Suka banget body lotionnya gak lengket langsung meresap ke kulit. Trus wangiiiii banget,bintang 5,10 bulan lalu
"Wangi bungittzzz.....beb, pokok nya satu ruangan jadi wangi gitu,",bintang 5,5 bulan lalu
"Wangi banget dan safety banget packaging nya,jd aman tahan banting",bintang 5,2 bulan lalu
Ini pembelian ke2.. Wangi nya premium banget aslii.. Bikin lembab juga dan lama lama emang brightening.. Tone up nya gabikin abu.. Brand promosi ga berisik tapi kualitas...,bintang 5,1 bulan lalu
"Yeeess akhirnya datang jg, berawal dari penasar dgn produknya dan aku coba2 isengin pesan, ternyata body lotion-nya the best kali, wanginya jg enak pake bangettt2 dehh. B...",bintang 5,5 bulan lalu
"Aroma: First kiss
Body lotion & shower gel
10/10🔥",bintang 5,8 bulan lalu
"Pengirimannya cepat sekali,packingan nya juga aman, wangi sekali,  semoga cocok dan bagus ya seperti review TikTok 😍",bintang 5,3 bulan lalu
Agak kecewa sih sabun cair nya kebuka kalau bisa packaging nya di betulkan lagi supaya amann,bintang 5,3 bulan lalu
"Baru prtama kali coba,entah knpa q kurang suka aromany pdhl aku suka aroma amber cm yg ini gk sesuai seleraku😁🙏🏽 kayakny kudu coba aroma yg lain😆 tp teksturny lembut,...",bintang 5,5 bulan lalu
"Pokoknya ga nyesel, udah pembelian ke 5 aku yang wanginya first kiss, buat kalian harus beli dan ga akan nyesel🔥🔥😍😍",bintang 5,5 bulan lalu
Pesan 2 tapi cuman dikirim 1 shower gel aja body care nya tidak ada dan packingan nya kurang rapi,bintang 1,
"Barangnya sudah sampai, wangi nya gak usah di ragukan lagi, cuma pengemasannya agak sedikit zonk, gel nyan tumpah, handbody peyot",bintang 5,3 minggu lalu
"Alhamdulillah barang sampai dengan aman, bau body lotion nya enak. Terimakasih",bintang 5,5 bulan lalu
Wangi bangetttt tahan lama pula kena air pun masii wangiii banget dan lembutt ditangann pokonya the best🥰 next order lagii,bintang 5,5 bulan lalu
"sumpah sih ini wangi nya bener wangi yang aku suka banget, bahkan udah kena air wudhu pun masih wangi 😍",bintang 5,7 bulan lalu
"Baru pertama kali cobain semoga sesuai dgn yg di iklankan,seller oke, kurirnya oke,kemasan barangnya oke
Manfaat produk: Melembabkan kulit
Aroma: Wangi
Performa: Oke",bintang 4,10 bulan lalu
"beli 4botol , yg 1 isiannya ga full kaya ktiganya",bintang 5,4 bulan lalu
"Produk nya bagus, sangat lembut di kulit wangi nya adem tahan lama. Ok deh pokonya nya",bintang 5,7 bulan lalu
"alhamdulillah pesanan sudah sampai, pengiriman cepat, pas baru dibuka wangi banget, gak taunya tumpah sabunnya..
untung cuma dikit..

wanginya enak, trmksh seller, kurir,...",bintang 5,
Pengiriman cepat. Barang tidak usah diragukan lagi. Sukses selalu deh.,bintang 5,4 bulan lalu
Senangnya bisa koleksi nagita. Suka banget wangi yang first kiss soft wanginya. Mantap tinggal red opium nih hehehe...,bintang 5,
"Alhamdulillah sih, cuman pas sampe shower gel nya agak tumpah tapi ga papa",bintang 5,
Ini asli wangi banget dan tahan lama wanginya dikulit,bintang 5,2 bulan lalu
Wangi banget ....lembut banget dikulit ...besar juga botol nya ... Pokok nya nggak nyesel pakek nya ...next mau order LG,bintang 5,4 bulan lalu
"Wangi nya suka, tapi knp sabunnya tumpah ya kecewa deh",bintang 3,3 bulan lalu
"Mantap utk smua,g bakalan nyesel deh kalian
Aroma: Bikin berasa palinv wangi",bintang 5,11 bulan lalu
"Wangi dan lembut di kulit
Aroma: Tahan hampir 8 jam aroma wanginya. Trims yaa",bintang 5,
Trima kasih buat produk sabun dan hand body suka bgt ini yg kedua kali saya membelinya trima kasih buat profilnya dan kurirnya baik dan ramh,bintang 5,5 bulan lalu
"Suka banget sama aromanya, lotion nya langsung meresap dan ga lengket. Produk nya bener² best👍
Terimakasih seller semoga amanah terus☺️",bintang 5,2 bulan lalu
"Sudah k2 kalinya beli d toko ini 
Barang nya ori, harum",bintang 5,7 bulan lalu
Bagus banget harummnya elegant dan tahan lama,bintang 5,6 bulan lalu
"Manfaat produk: Belum dicoba
Aroma: Wanginya kerasa
Baru pesen belum sempet dicoba, dan udah cium wanginya beneran wangi dan nempel trus. Mau coba varian wangi yang lainn...",bintang 5,4 bulan lalu
Baru pertama beli semoga cocok kalau wangi nya wangi banget sof,bintang 5,7 bulan lalu
Wangi nya kurang dan ternyta bikin pusing kata ya gk bikin pusing am enek tapi d aq gk ccok bikin pusing,bintang 4,2 bulan lalu
"astagaaa bagus banget,mana harum lagi dan gk mudah hilang wanginya,aku coba bilas kan pake air tapi wanginya gk hilangg😖",bintang 5,7 bulan lalu
"Wangi banget, body lotionya udh di coba,, wangi banget, anak sy suka banget dgn harumnya, Apa lg suami.  Terima kasih. Dan bakal sy cb dgn wangi yg lainnya.",bintang 5,
Bodylation  kecintaan gabisa berpaling semua varian enk gada yg gagal😍😍😍,bintang 5,5 hari lalu
"Jujur wanginya krg ska ya ,tp ya gpp klo ga gtu ga akan bs bli.
Maaf fto tdk sesuai",bintang 5,2 minggu lalu
"Aroma handbody first kiss n shower gellny bukan kaleng2,lembut,seger,n seksi..next bakal order lgi kaka..bnr2 aroma sultan..amanah jg tokoNy ..mksh kk",bintang 5,6 bulan lalu
"Aroma: Wangi nya enk bgt
Performa: Bagus
Manfaat produk: Untuk mencerahkan
Barang baru sampek, blom d cobak, tp wangi nya enk bgt, sesuai pesanan, pengiriman juga cpt, th...",bintang 5,11 bulan lalu
"Sesuai deskripsi, packing aman, terima kasih!",bintang 5,8 bulan lalu
"BRG aman,baru nyoba ,memuaskan skli wanginya,,ak mau coba lotion nya ntr..mksih ya",bintang 5,7 bulan lalu
Suka banget wanginya enak kayak wangi parfum ada manis manisnya,bintang 5,6 bulan lalu
Jujurly baunya harum n soft bgttttttt next time pingin beli all varian 🥰pake dari berangkat kerja sampe pulang masih tercium aromanya padahal keringatan terus😊 recommen...,bintang 5,
"wanginya enak banget, pekingnya jiga rapi banget, tapi aku gak tau ya ini stok kapan, kok kayak stok lama gitu, udah lecet2",bintang 3,2 bulan lalu
kuliatas baik  wangi nya enak pengiriman cepat packing aman,bintang 5,2 bulan lalu
"Mantul wangi nya , tp wangi nya gk terlalu tahan lama sih , cuma enak ajah wangi nya",bintang 5,5 bulan lalu
"Paketnya udah sampe..
Body lotionnya wangi bgt, mudah2 cocok dan bener2 mencerahkan.. Thanks",bintang 5,4 bulan lalu
"Parah wangi bgtttttttt,wangi ny enak ngga bikin pusing, semoga bisa mencerahkan kulit",bintang 5,2 minggu lalu
"kata orang orang wangi nya mewah, tapi pas sampe ternyata aku ga suka wanginya terlalu strong dan cewe bgt wkwk pengn nya yg wangi nya g pasaran dan seger gitusi",bintang 5,3 bulan lalu
suka sama wanggii nya tapi paket nya ga aman karna bouble crp nya ngak tebel jadi sabun nya tumpah ga penuh jdiny,bintang 3,5 bulan lalu
sabunnya wangi tapi bocor tumpah,bintang 3,3 minggu lalu
"First time nyobain, asli sih wangi banget. aku pake ini dari sebelum pigi kerja sampe pulang kerja masih kecium dong wanginya🥰 syukkaaaaaa🫶🏻🫶🏻🫶🏻",bintang 5,12 bulan lalu
Tumpah pekingannya ngga rapih tutupnya nbggga di lem,bintang 1,7 bulan lalu
"Udah yang keempat kalinya beli Slavina emang wanginya enak-enak banget apalagi yang first kiss ini wangi banget
Manfaat produk: Untuk mencerahkan
Aroma: Wangi
Performa: B...",bintang 5,6 bulan lalu
"Kurang bodylotion,saya pesan nya paket bodywash and bodylotion.... Tlong , saya sdh melakukan hak saya ...mnjdinpembeli ,smoga penjual sadar akan hak nya jg ...supaya ama...",bintang 2,
"Aroma: Wangiii segar maniss
Performa: Bagus kemasan besar
Manfaat produk: Melembapkan",bintang 5,11 bulan lalu
"Wanginya sayaa banget , kalem manis manis gitu dan tahan lama",bintang 5,7 bulan lalu
"Paket sudah diterima, pengiriman cepat. Wangi nya enak banget, baru pertama kali coba semoga cocok😍",bintang 5,2 minggu lalu
"Good,wangi, packing rapi pemesanan yg ke dua x,,,dgn beda varian Krn pengen nyobain semuanya",bintang 5,10 bulan lalu
Wanginya kyk parfum jdi gak perlu pake parfum udah wangi pol,bintang 5,
"MasyaAllah wanginya enak bgt soft dan manis2 . Sesuai sama keinginanku.. 

Jd penasaran sama varian lainya.. bismillah
Aroma: Manis sperti vanila, tapi ada wangi fresh ya...",bintang 5,1 bulan lalu
"Sangat bagus, wanginya enak, sedappp, bisa jadi langganan slavina nihh, semoga bisa mencerahkan dan naikin tone up kulitku😍",bintang 5,1 bulan lalu
"Wangi dan enak buangeeet bauNya😍😍😍
Aroma: Segar
Performa: Mewah
Manfaat produk: Tidak kering di kulit",bintang 5,
"kiss fist yang wanginya manis, tahan lama aromnya enak bgt deh pokoknya harum bangett💓🫶🏻",bintang 5,3 bulan lalu
Wangi banget banget banget + bikin kulitku cerah bgt asliiiii,bintang 5,11 bulan lalu
"Suka banget ,ngaruh ke kulit bisa menencerahkan dan melembabkan beh syedep polll beh lah gays",bintang 4,11 bulan lalu
Maksih ini untuk ke 3xnya sngat memuaskn 🫰🏻,bintang 5,6 bulan lalu
"Cepet sampai dan pas dibuka udah semerbak wangii, pas dipake enak bgtt wanginya demi allah gaboong!!! Menurutku ini lumayan tahan lama wanginyaa💋💋💋💋💋💋 pasti akan co...",bintang 5,3 bulan lalu
"Wangi nya enak kyk pke parfume 
Pengiriman cepat bgt 
Tq min",bintang 5,10 bulan lalu
"Alhamdulillah mulus,pakingnya rapi nyobain varian first kiss sebelumnya aku pake shooting Stars",bintang 5,10 bulan lalu
"Aroma: tahan lama,wangi semerbak
cuaca sepanas ini masih tahan gess",bintang 5,1 bulan lalu
"Wangi nya sopan pas pertama kali cobain, semoga cocok di akuu",bintang 5,4 bulan lalu
Alhamdulillah paket shower gel dari slavina sudah sampai dan saya juga sdh beli yang  body lationnya supaya wanginya sempurna dan mudah²an wangi sepanjang hari.,bintang 5,6 bulan lalu
wangi banget dan tahan lama wanginya aku suka banget next pasti order lagi,bintang 5,9 bulan lalu
"Barangnya sudah sampai,, sesuai juga.. packingnya juga aman.. wanginya enakkk gak bikin pusing, wangi kalem.. Terimakasih karna sudah amanah",bintang 5,2 bulan lalu
Aromanya juga lembut tpi lebih ke aroma flower soft kalem tp tetep mewah,bintang 5,3 bulan lalu
"Packing rapih amann,wanginyaa ituuu loh nampoolll bangettt",bintang 5,8 bulan lalu
"Alhamdulillah pesenan nya sudah nyampai  body lotion nya wangi banget ,lembut",bintang 5,
Wangi banget please. Ini wangi nya nyenengin tp kyk nya soon bakal beli yg ocean mungkin lebih seger wanginya.,bintang 5,6 bulan lalu
"harus ny ada body wash,malah lotion dua dua nya",bintang 3,6 bulan lalu
