review,rating,date
"brg tiba tepat waktu , bahan ringan lgsg menyatu dgn kulit..wrna alter cck kulit coklat, hasil akhirnya bnr2 tdk mengecewakan. .packing aman mksh seller, kurir juga",bintang 5,
"terimakasi mas/mba cushionnya udah sampe dengan baik sekali, saya suka sekali dengan warnanya sangat bagus",bintang 5,
"suka sama cushion nya, pas di warna, ringan banget di kulit
baru di review setelH mau habis. thanks seller",bintang 5,
Desainnya lucu. Penjualnya ramah banget. Packaging aman 🙏. Respon penjualnya top. Cocok di kulit berminyak.,bintang 5,
Gampang dipakai. Desainnya mewah. Proses pesanan cepat. Packaging rapi. Packaging aman 🙏. Respon penjualnya top.,bintang 5,
"packaging aman, pengemasan cepat, pengiriman juga cepat, seller responsif",bintang 5,
"penjual memproses dan mengirimkan produk dengan cepat.. packaging baik.. untuk produknya juga ok, puff nya lembut.. coveragenya medium..",bintang 5,
"Produk original, harga terjangkau, pengemasan cepat",bintang 5,
"baguss banget paketnya aman gk ada lecet sama sekali cuman agak bermasalah di pengiriman, ini cushion pertama yang kubeli untung shadenya pas 💖💖",bintang 5,
"seller ramah dan responsif, packing cepat dan aman, produk Ok, shade sesuai, ga bikin abu dan blendable, ringaan...",bintang 5,
"Barang okee, packing baik, pengiriman cepat. Shade sesuai. Exp lama. Bagus dipakainya sesuai klaim jg, cm di sy masih transfer di masker lumayan, ntah cara nge set nya yg...",bintang 5,
"Barang oke, pengiriman cepat, pesen extra bubble wrap supaya dus packaging ga hancur 👍🏻 krn barang buat seserahan jd pengennya masih bagus dusnya",bintang 5,
"pengemasan aman dan rapi, barang original, pengiriman cepat, pokoknya bestt bangetttCoverage-nya sheer. Cocok di kulit berminyak. Proses pesanan cepat. Packaging rapi. Co...",bintang 5,
"Packaging aman ,proses pesanan cepat, barang original, coverage nya mantulity, cocok sm warna kulit saya, dan dpt harga diskon 🥰 thankyou seller 👍👍",bintang 5,
"puas banget, ini beneran dapet yang tercurah terus exp nya masih lama juga. aaman guys.",bintang 5,
"mantap, hampir ragu karena harganya murah.. tpi asli gays..",bintang 5,
Produknya original dan kasih coverage oke bgt untuk aku yg banyak bekas jerawatnya. Tp emang matte bgt yah finishnya 🥲,bintang 5,
"cushion pertamakuu dan alhamdulilah tidak mengecewakan, coverage nyaaa okee, awet jugaa, mungkin krn skin prep ku kurang kayaknya jadi agak ngecrack di garis bibir, gk bi...",bintang 5,
"shade nya cocok dikulit aku, ga kekuningan ga keputihan, pas banget. hasilnya matte, ringan, coverage nya bagus banget 😍 
thanks seller 🥰",bintang 5,
"shade agak keterangan tapi bisa sih diakalin pake bronzer, nice product!",bintang 5,
"bahannya enak, merata di muka, bikin muka fresh",bintang 5,11 bulan lalu
"respon cepat packing aman
cushion sesuai order
pelayanan memuaskan

abang kurir nya juara, pake next day..nganter tengah malam dikerjain 😁😄",bintang 5,
"Seneng banget dpt exp date yg msh lama.....
pdhl udh ketar ketir sebelumnya klo dpt yg exp nya deket, coz harganya stlh diskon jd murce bgt gituuu😅
Shade yg dipilih Bijo...",bintang 5,
Belum dicoba. Tapi keliatannya cocok untuk warna kulit kuning Langsat. Harga murah. Exp masih lama.,bintang 5,
"Kurirnya reguler rasa next day, cepet banget sampenya 😍 baru mau coba, semoga shade nya cocok. Klo cocok, baru beli yg full & disini termurah harganya 🥰",bintang 5,
Packaging aman 🙏. Packaging rapi. Gampang dipakai.  tapi sedih ga dapet stiker 😩,bintang 4,
Coverage-nya sheer. Cocok buat kulit cerah. Cocok buat kulit gelap. Gampang dipakai. Cocok di kulit berminyak. Desainnya mewah. Cocok di kulit normal. Desainnya lucu. Pen...,bintang 5,
Alhamdulillah shade nya cocok. Aman karena warna neutral untuk kulit medium.,bintang 5,
"respon seller sangat komunikatif dan membantu, produk diterima dg keadaan baik tanpa adanya kendala, maybe repurchase disini lagi.
thank u seller, sukses selalu",bintang 5,
hasilnya matte tapi glowing jadi kayak second skin but better cocok buat muka berminyak yg ga suka pake complexion matte banget,bintang 5,
Coverage-nya sheer. Cocok buat kulit cerah. Gampang dipakai. Desainnya mewah. Cocok di kulit berminyak. Penjualnya ramah banget.,bintang 5,
Coverage-nya sheer Cocok buat kulit gelap Cocok buat kulit cerah Cocok di kulit kombinasi Proses pesanan cepat,bintang 5,
"bahannya ringan, mudah diserap, warnanya cocok dan pas di kulit aku, tp sumpah baru ini nemuin cushion yg bner2 sesuai ekspetasi",bintang 5,1 bulan lalu
"insyaallah ori sih😍 pengiriman juga cepat, alhamdulillah cocok banget warnanya di aku. awalnya masih ragu” antara alter sm charlotte tp alter pas banget sih",bintang 5,
