review,rating,date
"warna nya cocok utk bibir hitam, cover bgtt, ringan, sukaa sma warnanya",bintang 5,1 bulan lalu
"Warna nya cocok di kulit indonesia, ga kering juga, masih nyaman dipake meskipun matte finish nya. Worth to buy, harga nya masih terjangkau ga berlebihan",bintang 5,7 bulan lalu
"Beli buat kado... Pengemasan paket super aman dengan dus kecil dan bubble wrap tebal. Expired date masih lama, tahun 2026. Alhamdulillah harga lebih murah. Terima kasih y...",bintang 5,
"Tinted sunscreennya adem pas dipake, easy to blend, warnanya cocok di kulit aku",bintang 5,7 bulan lalu
"Baru nyoba merk ini, kualitas packaging bagus, lip mattenya bagus kyk gak pake lipstik tp kl udah beberapa lama agak oksidasi jd lebih gelap dr warna aslinya, dpt harga 3...",bintang 5,
"Enak nyerap dan tahan lama
Tekstur ringan",bintang 5,6 bulan lalu
lip cream nya bagus waterproof dan ringan tapi sayang shade nya terlalu gelap di aku,bintang 5,3 bulan lalu
"Pengiriman cepat, barang yang di kirim sesuai dengan pesanan. Warna bagus dan tekstur ringan serta awet.",bintang 5,3 bulan lalu
cantik warnanyaa cocok dicombine ma claudia 😍pengiriman cepat dan rapi thank you beauty haul lengkap belanja dsni 💖,bintang 5,10 bulan lalu
produk sesuai pesanan.. cocok aq sm lipcream ini.. pelayanan tokonya cepat..kurirnya jg cepat..,bintang 5,
cantik warnanya dan nggak gampang ilang untuk makan ringan sedang,bintang 5,1 bulan lalu
"lip cream nya ga berat, bisa nutup bagian bibir yang gelap. Warna nya bagus buat jadi base ombre",bintang 5,4 bulan lalu
"beli pas diskon lebaransale 50%, jd beli 2 shade. kemasan pk kotak kardus yg msh bagus ga penyok ketika diterima. dipake ringan bgt, serasa ga pk lip krim.",bintang 5,
Paling suka lipstick ini utk sehari2. Ga kering tapi ga glossy juga.,bintang 5,3 bulan lalu
paket rapi aman bgt. libur lebaran jg msh diantarin. warna sesuai harapan. harga diskon pula. love it! thx,bintang 5,
warna nya bagus pengiriman cepat admin nya ramah,bintang 5,
Lipen merah yg cuco buat warm skintone. Nyaman dipake. Pelayanan toko gercep. Kurir amanah.,bintang 5,3 bulan lalu
barang sampai dengan selamat dan original. bagusssss banget warnanya juga cocok di aku🥰 terimakasi beauty haul😘 sukses selalu,bintang 5,2 bulan lalu
"Bahan nya ringan, warna sesuai. Semoga tahan lama stay nya.",bintang 5,9 bulan lalu
"Moist the lips
Good formula
Menyala Warnanya ..",bintang 5,2 bulan lalu
"bener2 matte lip cream, beli pas diskon. warnanya juga cakep",bintang 5,
"Beliin buat mamaku, katanya suka bgt. Soalnya aku racunin dan beliin karena awet sekalii 👌",bintang 5,10 bulan lalu
"wangiii., warna nya di bibir oke lah, bagus buat ombre",bintang 5,
"mantab, dapet harga promo lsng cekout jeheheh",bintang 5,1 bulan lalu
"Puas banget sama lip cream ini, pengen koleksi semua warna2 nya.",bintang 5,10 bulan lalu
cocok untuk yg lg cari warna nude,bintang 5,1 bulan lalu
Puas deh pengirimannya juga cepat sampai,bintang 5,4 bulan lalu
"Warnanya cantik sesuai ekspektasi. Tapi masih belajar buat apply, karena teksturnya gak terlalu creamy, tapi gak terlalu cair juga. Agak tricky pas, karena warnanya gelap...",bintang 5,12 bulan lalu
"wih tumben nih beautyhaul cepet banget kirimnya. harus diapresiasi! terima kasih yaa.

oiya tentang produknya, Loyalty ini sangat nyaman warnanya di saya krn gak menteren...",bintang 5,10 bulan lalu
Produk sesuai deskripsi. Packing dan kecepatan pengiriman sangat baik. Recommended.,bintang 5,11 bulan lalu
Cocok buat kulit gelap Desainnya mewah Hasilnya tahan lama,bintang 5,
"Harga dapet diskon besar, pengiriman cepet dan warnanya marun bold, sesuai ekspektasi",bintang 5,3 bulan lalu
"maaf baru kasih ulasan,barang diterima dengan baik produk asli dan bagus banget warnanya..lembab di bibir",bintang 5,1 bulan lalu
"murmer sih, warna jg cakep buttttt perih kering di bibir gumpal jg jd ga nyaman dipake lama2",bintang 3,7 bulan lalu
"Warnanya nude agak kecoklatan, klo agak lama jd gelap",bintang 5,
"warnanya bagus kecoklatan gitu jadi natural look nya
dpt harga diskon pula 😍😍😍",bintang 5,
"Lumayan bikin kering, jd prefer pake lipbalm dulu yaa sebelum apply lipcreamnya overall good 👍🏻",bintang 4,1 bulan lalu
Packaging came safe and according to order,bintang 5,
"bagus warnanya, cocok buat istriku",bintang 5,6 bulan lalu
Akhirnya kebeli juga. Mantep sih suka teksturnya enak,bintang 5,
kok ini transferproof banget ya... gampang luntur. ga kaya biasanya...,bintang 2,
Agak sedikit kering di bibir ya,bintang 5,
bagus bgtt asli bakal beli lagi,bintang 5,
tjakep banget dan muraaaahhhh.,bintang 5,11 bulan lalu
Sesuai pesanan,bintang 5,
,bintang 5,9 bulan lalu
,bintang 5,8 bulan lalu
Smells like caramel 👌🏻,bintang 5,
cantik bgt warna ambush ya ampunnnnn,bintang 5,
bagus sekali warnanya,bintang 5,1 bulan lalu
"warna bagus,tahan lama",bintang 5,7 bulan lalu
menyalaaa euy...,bintang 5,5 bulan lalu
Sukakkk😍,bintang 5,
bagus,bintang 5,12 bulan lalu
😍,bintang 5,
